id,n_genes,n_edges,decode_ns,speed,metabolism,sense,size,lifespan,greed,boldness,fertility
0,11,5,6750,0.4778,0.3434,0.6398,0.6362,0.5938,0.5430,0.5333,0.3517
1,10,8,5083,0.4973,0.5101,0.3933,0.4316,0.5639,0.4028,0.5697,0.4564
2,5,2,2375,0.6238,0.5263,0.6362,0.4681,0.4490,0.6753,0.5621,0.6433
3,6,2,2666,0.4620,0.5206,0.4250,0.4727,0.3933,0.4063,0.3109,0.5252
4,9,2,4208,0.3689,0.3357,0.5451,0.4081,0.5171,0.5609,0.4755,0.4000
5,5,2,2292,0.5212,0.4582,0.4910,0.4082,0.5485,0.5125,0.4744,0.5743
6,8,0,3709,0.3778,0.5033,0.6077,0.3286,0.3267,0.5487,0.4770,0.6445
7,7,3,3166,0.4927,0.5123,0.3861,0.3440,0.4406,0.6081,0.4708,0.4252
8,11,3,5541,0.5846,0.4606,0.5332,0.4386,0.6620,0.3434,0.4252,0.3258
9,8,2,3667,0.5165,0.6248,0.3947,0.6171,0.3546,0.2338,0.3818,0.5854
10,10,5,4709,0.3999,0.6350,0.3703,0.5747,0.6413,0.4630,0.4841,0.2553
11,9,5,4291,0.3878,0.5191,0.4929,0.6127,0.5540,0.4000,0.3232,0.4148
12,5,1,2291,0.5830,0.4545,0.5551,0.6346,0.4944,0.7204,0.4979,0.5765
13,10,1,5625,0.3153,0.4793,0.6380,0.4373,0.4392,0.5423,0.4143,0.4266
14,8,5,3875,0.4281,0.5081,0.4649,0.7313,0.5122,0.6804,0.5311,0.4262
15,9,4,5166,0.6578,0.3875,0.5267,0.4456,0.5112,0.6088,0.6127,0.6692
16,2,0,1708,0.5074,0.4659,0.5021,0.4773,0.5539,0.4896,0.5141,0.4168
17,8,6,3792,0.4692,0.2709,0.2890,0.4071,0.4434,0.7105,0.3061,0.3833
18,8,4,3667,0.4225,0.4734,0.6866,0.4320,0.4298,0.2826,0.5092,0.4610
19,4,1,1750,0.4074,0.5724,0.4599,0.5892,0.5685,0.5132,0.5629,0.4712
20,11,3,5458,0.4193,0.2814,0.6588,0.2178,0.4920,0.6142,0.4154,0.5751
21,11,4,5375,0.3823,0.7270,0.2782,0.5092,0.6095,0.3749,0.4901,0.6958
22,6,1,2500,0.5203,0.4198,0.4428,0.3676,0.3409,0.4463,0.5766,0.4751
23,7,0,3125,0.3939,0.4566,0.6033,0.5934,0.5011,0.3923,0.4197,0.5088
24,10,2,4666,0.4228,0.3582,0.5195,0.4144,0.5273,0.5669,0.4340,0.5217
25,9,5,4625,0.6801,0.3946,0.5057,0.2860,0.3922,0.4969,0.6739,0.5676
26,10,6,9417,0.1284,0.5566,0.5086,0.4101,0.4150,0.3849,0.3296,0.4466
27,11,4,5208,0.6388,0.3648,0.4979,0.4337,0.4706,0.2638,0.4063,0.3480
28,7,2,3291,0.3654,0.5057,0.5986,0.5092,0.4217,0.5473,0.6947,0.4882
29,7,1,3167,0.3562,0.6069,0.4768,0.5592,0.4683,0.4015,0.4534,0.3614
30,7,0,3125,0.5870,0.5044,0.4392,0.6799,0.5009,0.5632,0.5653,0.3074
31,11,4,5250,0.3448,0.4293,0.4716,0.3139,0.6131,0.4310,0.4013,0.5203
32,7,4,3083,0.4421,0.3587,0.4314,0.4319,0.6177,0.4739,0.5653,0.3979
33,5,1,2167,0.3901,0.5337,0.6011,0.6675,0.4282,0.4339,0.4849,0.2851
34,10,3,7333,0.7164,0.4987,0.3611,0.6949,0.5713,0.5609,0.7180,0.4131
35,6,2,2917,0.4838,0.5320,0.4217,0.4898,0.4561,0.4584,0.6738,0.3729
36,4,1,1833,0.5082,0.5184,0.4063,0.4119,0.4503,0.5778,0.4744,0.4801
37,9,3,5458,0.4426,0.4603,0.2586,0.4098,0.5517,0.4945,0.3549,0.4146
38,6,2,2500,0.5076,0.3661,0.5670,0.4965,0.6453,0.5234,0.4169,0.4568
39,5,1,2500,0.4243,0.5296,0.5210,0.5728,0.5486,0.5668,0.4963,0.6062
40,9,7,4292,0.4892,0.5356,0.4742,0.2673,0.5835,0.5546,0.7700,0.4639
41,4,3,2125,0.5111,0.4310,0.5581,0.5994,0.4884,0.5739,0.5274,0.3771
42,6,3,2875,0.5668,0.3153,0.4089,0.5436,0.6122,0.5392,0.5109,0.4651
43,8,6,3791,0.2898,0.7616,0.3649,0.3527,0.5437,0.3544,0.2483,0.4907
44,6,1,2500,0.4553,0.4980,0.3272,0.3924,0.5062,0.4734,0.3419,0.6379
45,7,2,3291,0.5448,0.5965,0.6846,0.4812,0.6082,0.5566,0.4805,0.6737
46,7,2,3083,0.4870,0.3898,0.5796,0.5158,0.6032,0.4390,0.5470,0.3723
47,6,2,2459,0.4530,0.5174,0.6920,0.5204,0.4734,0.3950,0.5721,0.4147
48,7,5,3625,0.5736,0.2965,0.5150,0.6602,0.5712,0.5409,0.5243,0.4077
49,5,3,2542,0.5666,0.5565,0.5546,0.6055,0.6435,0.5455,0.4841,0.4441
50,12,6,7542,0.5754,0.2856,0.8199,0.8350,0.5020,0.4252,0.3046,0.5098
51,5,1,2125,0.5246,0.3969,0.4815,0.4398,0.4239,0.4305,0.5472,0.3874
52,3,0,1709,0.5107,0.5541,0.5093,0.5403,0.4440,0.5766,0.4311,0.3445
53,11,6,5333,0.4317,0.2454,0.7219,0.5161,0.3783,0.3949,0.4312,0.2361
54,6,3,2875,0.3933,0.4959,0.4235,0.3548,0.4584,0.5007,0.5122,0.5313
