a,b,dist
921,1703,25
4752,2918,59
3069,473,1
2003,1738,3
2310,4610,59
3167,1832,60
3978,506,58
4577,3921,49
1382,4280,60
2363,1072,58
1226,4662,64
4175,1853,48
4842,1792,36
2473,1246,58
940,219,64
3578,2712,49
4529,1023,23
726,3516,12
998,1942,45
1070,2588,49
959,2405,40
3557,3254,62
2742,4738,62
4768,4853,11
4487,3820,64
86,688,55
2528,4396,45
3457,443,49
2773,1202,64
1760,657,7
3769,902,64
2261,832,64
1965,290,64
144,2632,40
3051,4740,64
2703,2747,36
3148,1654,63
4891,1123,24
4813,4013,55
4906,2758,49
4694,650,60
1998,4530,46
608,468,35
248,3994,64
3682,4716,54
1793,3834,32
3020,3617,49
1130,4620,64
2245,2478,50
512,4105,46
3989,2298,64
710,1107,51
680,2041,34
1371,629,62
1574,3639,56
2986,3935,64
1733,2264,64
2290,4639,32
2237,4036,58
2859,2113,64
199,1406,64
1251,1120,64
4758,3182,58
3388,1303,64
1749,4460,29
14,4384,40
718,1061,38
4493,1958,64
4353,1086,61
1540,3302,64
3623,4347,41
3611,4676,64
2797,1807,64
1058,3852,64
4563,724,46
1197,3637,52
4589,1498,64
2069,3741,58
3524,532,64
1834,4186,32
3198,4201,22
3826,2075,34
47,2182,64
3330,3065,64
2310,4219,64
2997,1505,60
3156,1984,54
4657,4503,60
3966,670,59
3185,629,22
1047,181,40
2891,4812,62
2145,43,47
1575,4325,64
1248,2167,54
3731,4254,59
2529,67,46
4038,1378,60
1795,1854,41
1881,853,64
3392,2710,62
36,3778,42
2051,4336,64
348,330,57
578,584,59
4849,3195,0
1893,1926,63
3780,3874,48
4659,1022,64
4483,1913,62
1376,3897,64
2301,868,17
2092,4827,64
4690,395,64
3005,292,59
4347,497,24
1281,1100,64
4162,4658,63
877,992,33
1120,2125,64
2219,1199,57
250,1482,64
3423,1284,50
1691,1924,42
3856,1499,64
1455,3541,45
3219,886,48
4102,4388,0
1484,3676,28
206,3092,55
1422,770,39
4520,2063,41
1198,450,64
189,3246,64
2792,4992,64
1885,3898,64
1845,1618,64
214,1456,32
1734,4464,64
1822,1847,62
3780,2100,61
1440,2937,37
4886,1805,35
130,208,36
2129,4954,64
1190,1159,64
661,2337,48
3170,3820,7
953,4884,64
2015,4898,52
1084,678,23
1874,2900,9
3905,4234,64
3845,1063,50
1006,2734,49
1300,1044,64
761,2570,46
3195,1120,64
2240,4772,50
3922,1664,41
1358,532,25
407,4869,64
1853,1277,64
161,1088,64
896,253,46
1493,3226,53
4254,2314,64
936,3502,45
2084,4240,46
425,3027,34
869,3789,59
4897,195,52
3368,4991,60
617,4821,32
4240,2788,44
3072,4611,46
3587,3982,21
1796,4038,31
1811,2574,57
4886,1982,64
86,4584,30
4790,236,17
2530,735,55
972,1691,46
1518,544,64
1386,2664,46
2782,125,44
444,3442,61
3349,2496,63
4807,3101,60
2286,1650,17
1759,4137,64
1340,1006,38
4891,338,64
3988,885,64
1948,981,64
3268,4972,52
2643,1102,30
3411,3604,62
189,758,64
504,4236,64
3315,4445,64
90,2581,27
4596,3305,35
4981,856,61
2558,494,64
4859,3719,54
2716,297,34
2310,2564,64
2176,925,47
2047,792,64
832,958,64
4521,4246,64
1965,2231,64
3718,2693,56
0,2465,21
4909,4709,29
