id,n_genes,gene_edges,morph_edges,n_blocks,hard,muscle,sensor,digestive,largest,connected,dev_ns
0,10,2,10,64,0,0,64,0,64,1,279041
1,7,3,9,64,0,0,46,18,64,1,195084
2,10,3,17,33,0,0,19,14,30,0,287375
3,10,7,14,0,0,0,0,0,0,0,284708
4,5,0,7,64,0,0,64,0,64,1,111500
5,6,1,1,64,0,0,0,64,64,1,151958
6,10,4,9,51,0,0,0,51,51,1,291417
7,5,1,10,38,0,10,6,22,38,1,108042
8,6,0,10,64,64,0,0,0,64,1,155375
9,10,6,23,0,0,0,0,0,0,0,289083
10,11,9,17,64,29,14,0,21,64,1,319792
11,7,0,8,52,52,0,0,0,52,1,185083
12,9,7,14,7,0,0,0,7,7,1,247000
13,5,1,13,64,20,0,0,44,64,1,111583
14,11,4,17,64,20,0,43,1,64,1,335542
15,9,5,12,64,0,0,0,64,64,1,253250
16,9,0,10,50,0,0,50,0,50,1,249209
17,7,2,10,64,0,37,27,0,64,1,189459
18,6,2,10,50,27,0,0,23,50,1,155416
19,10,4,15,64,0,0,64,0,64,1,289167
20,4,0,6,58,0,40,14,4,58,1,87375
21,10,7,13,64,0,7,57,0,64,1,296875
22,8,1,14,35,35,0,0,0,35,1,213000
23,10,4,17,64,1,63,0,0,64,1,286125
24,8,1,17,64,39,0,25,0,64,1,213000
25,8,0,12,64,35,26,0,3,64,1,212875
26,9,5,14,41,0,6,32,3,41,1,245166
27,10,4,13,64,61,3,0,0,64,1,290458
28,12,6,23,64,0,0,64,0,64,1,380917
29,6,1,6,64,23,13,0,28,64,1,151834
30,6,1,11,64,0,64,0,0,64,1,153959
31,9,1,19,64,1,12,12,39,64,1,245042
32,10,4,15,64,0,49,0,15,64,1,288541
33,9,4,15,64,0,0,59,5,64,1,245416
34,4,1,10,64,44,0,0,20,64,1,87083
35,12,5,16,48,16,6,5,21,48,1,376708
36,6,2,6,64,0,0,64,0,64,1,151833
37,5,2,8,46,30,0,0,16,46,1,109709
38,7,1,9,64,0,40,24,0,64,1,180500
39,10,6,15,64,52,0,0,12,64,1,292208
40,4,1,3,64,0,8,56,0,64,1,87292
41,7,4,9,64,0,16,48,0,64,1,185000
42,4,2,6,0,0,0,0,0,0,0,94084
43,6,2,11,64,64,0,0,0,64,1,145458
44,4,0,7,55,0,0,1,54,55,1,87375
45,8,7,17,64,10,3,36,15,64,1,207334
46,5,0,4,64,0,0,64,0,64,1,105875
47,7,3,8,64,14,0,4,46,64,1,185000
48,7,1,10,63,0,0,63,0,63,1,183542
49,3,0,3,60,8,0,52,0,60,1,71958
50,10,13,15,64,6,0,58,0,64,1,275166
51,5,0,7,0,0,0,0,0,0,0,106208
52,10,4,17,64,64,0,0,0,64,1,288958
53,3,1,2,64,64,0,0,0,64,1,68791
54,8,3,10,64,13,43,8,0,64,1,208583
55,6,3,4,64,64,0,0,0,64,1,154916
56,4,1,7,64,0,0,64,0,64,1,86417
57,10,2,13,48,46,2,0,0,48,1,294166
58,5,3,9,59,0,16,36,7,59,1,102875
59,3,0,5,64,0,0,3,61,64,1,71750
60,3,1,7,27,0,0,27,0,27,1,68833
61,13,13,24,58,0,0,41,17,58,1,421334
62,7,0,13,62,0,25,13,24,62,1,187000
63,5,2,10,44,0,44,0,0,44,1,124666
64,8,2,18,16,0,0,0,16,16,1,217958
65,6,1,5,64,0,24,0,40,64,1,145500
66,11,6,16,64,0,0,0,64,64,1,324542
67,7,5,10,64,30,0,2,32,64,1,186125
68,11,7,11,64,0,0,45,19,64,1,324208
69,6,2,9,64,32,5,12,15,64,1,153334
70,2,0,1,64,0,0,0,64,64,1,65584
71,5,0,5,64,0,64,0,0,64,1,109292
72,8,3,11,64,9,0,0,55,64,1,218875
73,10,2,19,7,0,7,0,0,7,1,279917
74,11,6,20,64,0,3,47,14,64,1,336458
75,6,2,9,64,41,23,0,0,64,1,145500
76,7,3,15,50,0,18,0,32,50,1,189084
77,8,4,13,64,0,1,46,17,64,1,217083
78,5,2,9,40,0,40,0,0,40,1,106875
79,10,3,9,0,0,0,0,0,0,0,280083
80,9,0,11,34,19,1,0,14,34,1,235292
81,16,10,26,42,0,13,0,29,42,1,600916
82,7,2,9,64,39,25,0,0,64,1,186792
83,15,14,19,64,0,40,0,24,64,1,545875
84,8,2,12,36,36,0,0,0,36,1,217750
85,9,1,15,50,9,7,0,34,50,1,235041
86,4,1,7,64,0,0,64,0,64,1,86583
87,11,8,18,64,0,64,0,0,64,1,339083
88,9,9,11,21,0,0,21,0,21,1,235333
89,9,3,26,64,0,0,51,13,64,1,240916
90,7,5,8,64,0,0,64,0,64,1,181458
91,9,6,7,58,0,0,58,0,58,1,240834
92,3,0,6,46,0,18,19,9,46,1,75334
93,8,5,7,64,0,64,0,0,64,1,207750
94,8,5,5,64,0,0,64,0,64,1,208416
95,7,5,13,64,0,6,58,0,64,1,177250
96,12,5,19,28,0,0,0,28,28,1,370000
97,8,5,13,64,0,7,17,40,64,1,212542
98,9,6,17,64,38,9,12,5,64,1,236083
99,2,1,3,64,0,0,0,64,64,1,68542
100,4,0,2,64,0,40,24,0,64,1,83458
101,11,8,11,64,19,0,45,0,64,1,326083
102,8,1,12,54,0,0,0,54,54,1,212625
103,9,6,11,64,33,0,0,31,64,1,239208
104,7,6,10,44,0,0,2,42,44,1,188125
105,5,0,6,37,0,0,37,0,37,1,110792
106,5,1,10,38,14,0,24,0,38,1,106000
107,11,5,15,34,0,34,0,0,34,1,329750
