step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,3855,4.055,0.177,10.97,387398,93863,179,293021,2666,13152,6049466.0,668053.6,0.024,0.163,0.175,0.385,0.252,246,53.07,18.80,31.62,16.94,5.16,8.48,0.12,0.84,16.17,4.69,4.63,7.88,0.087,0.139,1020,0.111,0.681,0.296,0.000,0.022,130205,67374,9,0.184,0.271,0.032,2626553,0.124,0.150,0.038,650.26
20000,3560,4.261,0.181,9.85,287645,80613,407,205719,1201,5230,6194394.5,466122.7,0.011,0.179,0.215,0.406,0.189,376,58.46,13.74,35.73,14.28,5.68,9.50,0.13,0.84,16.92,4.03,5.11,8.57,0.090,0.150,616,0.147,0.711,0.271,0.000,0.018,87094,43517,7,0.287,0.126,0.069,1743798,0.091,0.150,0.039,655.19
30000,4171,3.673,0.159,9.86,291932,79944,465,209178,1734,4443,6078412.0,434315.5,0.010,0.187,0.223,0.382,0.198,420,49.93,19.65,30.78,17.48,3.31,7.73,0.24,1.38,15.59,4.24,2.90,6.87,0.054,0.124,773,0.088,0.778,0.194,0.000,0.027,90574,46211,7,0.175,0.233,0.124,3370018,0.085,0.136,0.024,655.26
40000,3885,3.896,0.162,9.09,346210,78567,565,265879,1485,3448,6010476.5,509461.2,0.014,0.153,0.226,0.425,0.182,456,53.78,18.85,34.26,17.36,3.70,8.06,0.33,1.79,15.49,3.56,3.29,7.16,0.058,0.127,475,0.137,0.742,0.239,0.000,0.020,116019,70097,6,0.178,0.134,0.124,4153937,0.085,0.133,0.021,655.24
50000,3784,4.005,0.164,9.40,326131,74479,816,249874,1063,2437,6121226.0,487921.5,0.016,0.160,0.244,0.394,0.185,518,53.33,20.00,32.41,17.92,5.59,10.07,0.12,1.15,15.20,4.09,5.09,9.13,0.088,0.157,365,0.193,0.732,0.248,0.000,0.020,99332,57995,7,0.226,0.000,0.030,2151323,0.106,0.133,0.022,655.31
60000,3669,4.051,0.163,10.31,292737,84055,796,206498,1503,2372,6305300.0,399821.9,0.017,0.136,0.353,0.355,0.138,592,56.40,16.92,33.55,16.33,5.90,10.20,0.34,1.22,16.62,3.24,5.35,9.26,0.093,0.160,413,0.226,0.721,0.261,0.000,0.017,85330,46865,6,0.312,0.000,0.230,2893201,0.102,0.134,0.022,655.32
70000,3413,4.528,0.171,9.44,252812,82060,670,169249,1089,2646,6369945.0,372628.9,0.017,0.143,0.352,0.353,0.134,636,63.75,3.40,44.73,8.95,2.65,7.47,0.20,1.73,16.17,3.07,2.49,7.06,0.042,0.117,286,0.190,0.916,0.077,0.000,0.007,69799,36551,5,0.551,0.009,0.097,8118088,0.090,0.135,0.024,655.29
80000,3927,4.011,0.167,9.94,226046,77464,1438,143233,3397,3532,6249276.0,253381.1,0.009,0.275,0.220,0.224,0.271,696,54.55,20.71,36.12,18.86,3.27,8.09,0.24,1.24,14.91,4.83,3.01,7.52,0.054,0.133,400,0.105,0.832,0.135,0.000,0.033,81026,48738,5,0.302,0.222,0.163,4876381,0.085,0.133,0.022,655.33
90000,3881,4.007,0.158,10.54,223816,82122,1641,137851,2248,6035,6170060.0,254472.2,0.011,0.235,0.289,0.266,0.199,623,54.51,19.58,35.10,18.42,4.02,8.72,0.10,0.69,15.30,4.73,3.63,8.03,0.069,0.145,515,0.113,0.785,0.197,0.000,0.019,80514,48389,6,0.302,0.118,0.060,4509094,0.083,0.127,0.017,655.34
100000,3824,4.029,0.161,10.58,282219,75538,1584,203630,1524,13311,6148280.5,393799.4,0.013,0.183,0.294,0.325,0.186,528,53.10,19.99,31.44,19.19,6.38,10.11,0.04,0.41,15.23,3.62,5.39,9.33,0.129,0.184,492,0.164,0.748,0.226,0.000,0.025,80954,41359,6,0.280,0.208,0.027,1470452,0.091,0.129,0.018,655.34
