step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,216,4.135,0.087,11.00,22734,14162,0,8634,96,606,383425.0,26019.0,0.021,0.157,0.140,0.314,0.367,5302,62.12,3.98,35.87,8.12,3.66,7.37,1.19,2.23,21.41,2.40,3.31,6.52,0.057,0.115,55,0.176,0.866,0.120,0.000,0.014,12565,7875,2,0.310,0.394,0.292,294654,0.162,0.155,0.032,37.97
20000,210,4.335,0.082,11.08,16342,11948,0,4398,2,284,400262.6,14716.8,0.006,0.146,0.164,0.319,0.365,6883,61.90,2.59,34.79,8.54,4.74,8.65,0.68,1.57,21.69,2.99,4.34,7.85,0.074,0.135,47,0.219,0.862,0.124,0.000,0.014,9277,4366,4,0.276,0.000,0.176,510370,0.227,0.145,0.026,40.03
30000,224,4.212,0.078,11.34,16389,12434,1,3939,1,168,401795.7,13136.2,0.005,0.162,0.187,0.299,0.346,6118,60.58,4.20,36.76,6.49,2.12,6.06,0.44,1.19,21.26,3.53,2.02,5.76,0.033,0.095,62,0.223,0.906,0.080,0.000,0.013,9328,3800,4,0.518,0.049,0.138,469665,0.191,0.136,0.025,40.20
40000,194,4.601,0.118,11.21,16035,11341,1,4721,2,246,395856.2,16361.6,0.006,0.151,0.184,0.308,0.353,6471,62.10,6.39,41.48,10.58,3.31,7.54,0.07,0.62,17.24,3.43,3.16,7.15,0.052,0.119,57,0.119,0.892,0.103,0.000,0.005,9145,4182,2,0.397,0.464,0.021,284416,0.128,0.216,0.076,39.61
50000,211,4.452,0.083,11.65,15909,12485,0,3400,7,239,387829.4,11305.3,0.042,0.210,0.160,0.260,0.328,6539,63.15,2.21,40.63,6.46,0.83,1.98,0.00,0.00,21.69,5.60,0.83,1.98,0.013,0.032,67,0.152,0.981,0.019,0.000,0.000,9719,4865,2,0.607,0.090,0.000,37069,0.157,0.153,0.029,38.83
60000,217,4.439,0.072,11.53,16620,15349,0,1265,0,86,401522.2,4250.1,0.022,0.272,0.133,0.259,0.314,5863,63.12,2.85,37.28,6.22,0.77,3.03,0.08,0.85,24.99,5.44,0.69,2.78,0.013,0.052,75,0.115,0.968,0.023,0.000,0.009,9887,4557,3,0.765,0.023,0.014,49085,0.153,0.128,0.020,40.19
70000,219,4.134,0.073,10.80,17268,15438,0,1816,12,86,402524.5,5438.8,0.018,0.270,0.118,0.260,0.334,6367,63.16,6.05,32.74,6.20,1.42,2.92,1.16,2.31,27.84,5.74,1.30,2.42,0.023,0.046,81,0.110,0.909,0.064,0.000,0.027,10205,3489,3,0.315,0.479,0.233,190707,0.170,0.140,0.026,40.28
80000,217,4.294,0.075,10.52,16504,14475,0,2031,0,170,403164.1,6827.3,0.024,0.275,0.121,0.260,0.320,6574,63.72,1.01,34.58,4.69,2.29,4.33,1.47,2.69,25.40,6.17,2.29,4.33,0.036,0.068,55,0.212,0.843,0.124,0.000,0.032,9894,4618,3,0.507,0.078,0.272,329589,0.281,0.134,0.023,40.35
90000,213,4.431,0.070,10.47,15130,13300,1,1833,0,180,403810.0,6194.1,0.027,0.261,0.126,0.258,0.328,7496,63.65,1.49,30.80,6.93,3.46,5.78,2.88,3.98,26.51,4.12,3.43,5.74,0.054,0.090,38,0.249,0.845,0.131,0.000,0.023,8846,3480,2,0.512,0.000,0.390,597258,0.263,0.126,0.017,40.40
100000,166,4.848,0.145,9.77,17494,12076,0,5464,1,317,393735.8,19901.0,0.037,0.295,0.142,0.239,0.286,6483,64.00,0.00,33.46,11.61,14.37,11.73,0.00,0.00,16.17,1.70,13.77,11.24,0.224,0.183,14,0.596,0.759,0.229,0.000,0.012,10387,5136,1,0.602,0.398,0.000,241304,0.306,0.242,0.094,39.47
