step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat,lineage
100000,57,39,0,1,17,0,0.000,978,5.03,223.75,0.00,55
100000,57,39,0,1,17,0,0.000,587,6.68,128.71,0.00,55
100000,57,39,0,1,17,0,0.000,512,7.67,113.61,0.00,55
100000,64,41,0,3,20,0,0.000,505,5.76,113.78,0.00,55
100000,64,21,18,0,25,18,0.281,502,0.54,131.38,3.14,54
100000,64,21,18,0,25,18,0.281,469,6.46,120.07,6.66,54
100000,64,21,18,0,25,18,0.281,420,7.46,118.98,9.99,54
100000,57,39,0,1,17,0,0.000,396,4.00,82.24,0.00,55
100000,64,21,18,0,25,18,0.281,381,6.37,89.64,10.68,54
100000,64,21,18,0,25,18,0.281,360,5.59,99.62,14.00,54
100000,64,21,18,0,25,18,0.281,330,5.75,84.51,4.33,54
100000,64,21,18,0,25,18,0.281,329,0.64,77.70,10.36,54
100000,57,39,0,1,17,0,0.000,323,0.74,53.33,0.00,55
100000,57,39,0,1,17,0,0.000,307,3.10,55.26,0.00,55
100000,64,21,18,0,25,18,0.281,304,4.05,90.23,3.43,54
100000,57,39,0,1,17,0,0.000,302,2.84,69.43,0.00,55
100000,64,21,18,0,25,18,0.281,293,4.24,73.44,10.18,54
100000,64,21,18,0,25,18,0.281,290,2.08,76.62,3.22,54
100000,57,39,0,1,17,0,0.000,278,6.62,61.76,0.00,55
100000,57,39,0,1,17,0,0.000,271,6.66,60.18,0.00,55
100000,64,21,18,0,25,18,0.281,259,4.08,67.22,9.96,54
100000,64,21,18,0,25,18,0.281,252,4.84,67.33,7.32,54
100000,64,21,18,0,25,18,0.281,251,6.34,69.12,3.25,54
100000,57,39,0,1,17,0,0.000,244,3.65,52.67,0.00,55
100000,64,21,18,0,25,18,0.281,244,7.57,62.31,0.00,54
100000,64,21,18,0,25,18,0.281,232,6.74,60.88,3.34,54
100000,64,21,18,0,25,18,0.281,232,3.38,56.37,10.18,54
100000,64,21,18,0,25,18,0.281,228,6.13,62.83,3.87,54
100000,64,21,18,0,25,18,0.281,222,0.94,53.08,6.81,54
100000,64,21,18,0,25,18,0.281,221,1.55,54.14,2.85,54
100000,64,21,18,0,25,18,0.281,220,2.00,57.96,6.86,54
100000,64,21,18,0,25,18,0.281,217,4.39,60.17,3.65,54
100000,64,21,18,0,25,18,0.281,209,2.10,52.82,5.96,54
100000,64,21,18,0,25,18,0.281,207,5.46,57.19,0.00,54
100000,64,21,18,0,25,18,0.281,206,5.81,49.00,0.00,54
100000,64,21,18,0,25,18,0.281,202,6.51,48.67,0.00,54
100000,64,21,18,0,25,18,0.281,201,0.01,48.87,6.70,54
100000,64,21,18,0,25,18,0.281,194,1.98,50.97,6.30,54
100000,57,39,0,1,17,0,0.000,192,0.61,33.15,0.00,55
100000,64,21,18,0,25,18,0.281,188,6.76,51.86,13.45,54
100000,64,21,18,0,25,18,0.281,181,4.46,45.24,7.10,54
100000,64,21,18,0,25,18,0.281,180,4.02,51.53,3.33,54
100000,64,21,18,0,25,18,0.281,177,2.68,45.14,3.39,54
100000,64,21,18,0,25,18,0.281,168,2.93,44.27,4.08,54
100000,64,21,18,0,25,18,0.281,167,4.56,36.25,3.40,54
100000,64,21,18,0,25,18,0.281,161,6.09,39.92,12.86,54
100000,64,21,18,0,25,18,0.281,159,4.41,46.02,6.63,54
100000,64,21,18,0,25,18,0.281,158,4.20,41.55,0.00,54
100000,57,39,0,1,17,0,0.000,156,0.71,27.30,0.00,55
100000,64,21,18,0,25,18,0.281,154,4.32,36.29,0.00,54
100000,64,21,18,0,25,18,0.281,153,8.02,41.16,3.38,54
100000,57,39,0,1,17,0,0.000,144,0.20,28.69,0.00,55
100000,64,21,18,0,25,18,0.281,138,1.49,25.78,0.00,54
100000,59,37,0,1,21,0,0.000,137,6.04,38.30,0.00,55
100000,64,21,18,0,25,18,0.281,135,4.11,28.82,3.44,54
100000,57,39,0,1,17,0,0.000,135,1.83,28.29,0.00,55
100000,57,39,0,1,17,0,0.000,131,0.91,27.04,0.00,55
100000,64,21,18,0,25,18,0.281,130,4.41,40.98,3.39,54
100000,64,21,18,0,25,18,0.281,130,3.97,33.80,10.20,54
100000,64,21,18,0,25,18,0.281,130,6.48,32.95,0.00,54
100000,64,21,18,0,25,18,0.281,121,5.58,39.24,0.00,54
100000,64,21,18,0,25,18,0.281,121,4.35,35.26,1.73,54
100000,64,21,18,0,25,18,0.281,114,1.74,29.47,0.00,54
100000,59,37,0,1,21,0,0.000,113,5.13,24.89,0.00,55
100000,64,21,18,0,25,18,0.281,112,4.20,31.02,0.00,54
100000,57,39,0,1,17,0,0.000,111,3.15,25.84,0.00,55
100000,64,21,18,0,25,18,0.281,108,4.02,27.56,3.40,54
100000,64,21,18,0,25,18,0.281,108,5.81,32.27,0.00,54
100000,57,39,0,1,17,0,0.000,106,3.72,21.37,0.00,55
100000,64,21,18,0,25,18,0.281,106,2.69,25.21,0.00,54
100000,64,21,18,0,25,18,0.281,106,1.42,26.49,0.00,54
100000,64,21,18,0,25,18,0.281,103,7.18,29.07,12.72,54
100000,64,21,18,0,25,18,0.281,101,8.02,29.19,0.00,54
100000,57,39,0,1,17,0,0.000,100,6.63,19.48,0.00,55
100000,64,21,18,0,25,18,0.281,97,6.58,31.50,0.00,54
100000,57,39,0,1,17,0,0.000,96,5.01,17.15,0.00,55
100000,64,21,18,0,25,18,0.281,95,2.87,19.18,0.00,54
100000,64,21,18,0,25,18,0.281,95,8.40,24.63,0.00,54
100000,59,37,0,1,21,0,0.000,95,6.74,19.59,0.00,55
100000,64,21,18,0,25,18,0.281,91,6.67,27.57,6.88,54
100000,57,39,0,1,17,0,0.000,89,1.17,20.16,0.00,55
100000,57,39,0,1,17,0,0.000,86,3.52,17.91,0.00,55
100000,64,21,18,0,25,18,0.281,86,4.74,22.83,0.00,54
100000,64,21,18,0,25,18,0.281,82,1.64,15.50,3.40,54
100000,57,39,0,1,17,0,0.000,82,4.42,22.10,0.00,55
100000,64,21,18,0,25,18,0.281,79,0.90,18.05,0.00,54
100000,60,44,0,0,16,0,0.000,78,0.20,10.02,0.00,54
100000,64,21,18,0,25,18,0.281,76,4.84,20.52,0.00,54
100000,64,21,18,0,25,18,0.281,72,3.30,13.68,0.00,54
100000,64,21,18,0,25,18,0.281,72,4.88,19.78,0.00,54
100000,64,21,18,0,25,18,0.281,70,4.21,18.91,0.00,54
100000,64,21,18,0,25,18,0.281,69,3.21,19.15,14.61,54
100000,57,39,0,1,17,0,0.000,68,3.48,11.08,0.00,55
100000,57,39,0,1,17,0,0.000,67,3.25,10.78,0.00,55
100000,64,21,18,0,25,18,0.281,67,4.89,15.20,0.00,54
100000,59,37,0,1,21,0,0.000,65,0.48,7.94,0.00,55
100000,64,21,18,0,25,18,0.281,64,0.78,14.90,3.11,54
100000,57,39,0,1,17,0,0.000,63,3.20,9.87,0.00,55
100000,64,21,18,0,25,18,0.281,61,0.34,8.97,0.00,54
100000,64,21,18,0,25,18,0.281,60,6.41,23.04,0.00,54
100000,57,39,0,1,17,0,0.000,59,4.21,14.03,0.00,55
100000,64,21,18,0,25,18,0.281,59,6.12,19.20,3.41,54
100000,64,21,18,0,25,18,0.281,59,3.07,11.48,0.00,54
100000,57,39,0,1,17,0,0.000,58,3.43,9.49,0.00,55
100000,64,21,18,0,25,18,0.281,57,5.17,12.94,0.00,54
100000,57,39,0,1,17,0,0.000,54,6.93,15.92,0.00,55
100000,57,39,0,1,17,0,0.000,53,4.57,13.52,0.00,55
100000,64,21,18,0,25,18,0.281,53,7.15,18.21,0.00,54
100000,57,39,0,1,17,0,0.000,53,5.97,14.97,0.00,55
100000,64,21,18,0,25,18,0.281,52,3.05,9.69,0.00,54
100000,57,39,0,1,17,0,0.000,43,0.58,4.01,0.00,55
100000,64,21,18,0,25,18,0.281,42,1.89,6.77,0.00,54
100000,57,39,0,1,17,0,0.000,42,2.47,5.50,0.00,55
100000,64,21,18,0,25,18,0.281,41,4.52,8.78,0.00,54
100000,64,21,18,0,25,18,0.281,40,1.09,9.37,0.00,54
100000,64,21,18,0,25,18,0.281,39,0.33,4.31,0.00,54
100000,64,21,18,0,25,18,0.281,39,5.67,13.56,0.00,54
100000,64,21,18,0,25,18,0.281,39,3.40,7.42,0.00,54
100000,64,21,18,0,25,18,0.281,38,0.88,4.51,0.00,54
100000,64,21,18,0,25,18,0.281,38,6.90,10.64,0.00,54
100000,64,21,18,0,25,18,0.281,38,0.15,2.93,0.00,54
100000,64,21,18,0,25,18,0.281,35,5.66,11.12,6.50,54
100000,64,21,18,0,25,18,0.281,35,0.69,3.74,0.00,54
100000,64,21,18,0,25,18,0.281,34,2.45,5.10,0.00,54
100000,64,21,18,0,25,18,0.281,33,2.61,9.36,0.00,54
100000,57,39,0,1,17,0,0.000,31,6.42,7.84,0.00,55
100000,50,42,6,0,2,6,0.120,30,0.86,0.50,0.00,55
100000,64,21,18,0,25,18,0.281,30,7.42,10.53,3.03,54
100000,64,21,18,0,25,18,0.281,30,6.09,7.96,0.00,54
100000,64,21,18,0,25,18,0.281,29,4.98,7.76,3.12,54
100000,64,21,18,0,25,18,0.281,28,5.17,11.13,0.00,54
100000,64,21,18,0,25,18,0.281,27,4.18,5.60,0.00,54
100000,57,39,0,1,17,0,0.000,27,3.89,8.19,0.00,55
100000,64,21,18,0,25,18,0.281,24,5.17,8.37,0.00,54
100000,64,21,18,0,25,18,0.281,23,5.23,6.07,0.00,54
100000,64,21,18,0,25,18,0.281,23,4.03,4.64,0.00,54
100000,64,21,18,0,25,18,0.281,23,7.71,8.23,0.00,54
100000,64,21,18,0,25,18,0.281,22,5.03,5.36,0.00,54
100000,57,39,0,1,17,0,0.000,22,5.54,5.41,0.00,55
100000,64,21,18,0,25,18,0.281,22,3.96,4.45,0.00,54
100000,64,21,18,0,25,18,0.281,21,5.59,5.60,0.00,54
100000,64,21,18,0,25,18,0.281,20,1.57,1.42,0.00,54
100000,57,39,0,1,17,0,0.000,20,0.50,0.00,0.00,55
100000,57,39,0,1,17,0,0.000,20,0.46,0.03,0.00,55
100000,64,21,18,0,25,18,0.281,19,3.87,3.85,0.00,54
100000,64,21,18,0,25,18,0.281,17,4.39,3.59,0.00,54
100000,64,21,18,0,25,18,0.281,17,6.65,6.10,0.00,54
