step,measure,value,count
50000,hamming,2,113
50000,hamming,3,8
50000,hamming,4,96
50000,hamming,5,19
50000,hamming,6,89
50000,hamming,7,21
50000,hamming,8,71
50000,hamming,9,35
50000,hamming,10,64
50000,hamming,11,51
50000,hamming,12,54
50000,hamming,13,41
50000,hamming,14,61
50000,hamming,15,34
50000,hamming,16,77
50000,hamming,17,42
50000,hamming,18,109
50000,hamming,19,73
50000,hamming,20,118
50000,hamming,21,79
50000,hamming,22,122
50000,hamming,23,90
50000,hamming,24,117
50000,hamming,25,113
50000,hamming,26,121
50000,hamming,27,134
50000,hamming,28,156
50000,hamming,29,156
50000,hamming,30,160
50000,hamming,31,150
50000,hamming,32,194
50000,hamming,33,201
50000,hamming,34,242
50000,hamming,35,235
50000,hamming,36,275
50000,hamming,37,276
50000,hamming,38,260
50000,hamming,39,310
50000,hamming,40,260
50000,hamming,41,288
50000,hamming,42,228
50000,hamming,43,239
50000,hamming,44,210
50000,hamming,45,231
50000,hamming,46,214
50000,hamming,47,207
50000,hamming,48,211
50000,hamming,49,207
50000,hamming,50,159
50000,hamming,51,185
50000,hamming,52,124
50000,hamming,53,150
50000,hamming,54,83
50000,hamming,55,100
50000,hamming,56,54
50000,hamming,57,99
50000,hamming,58,57
50000,hamming,59,84
50000,hamming,60,48
50000,hamming,61,52
50000,hamming,62,44
50000,hamming,63,44
50000,hamming,64,27
50000,hamming,65,32
50000,hamming,66,36
50000,hamming,67,43
50000,hamming,68,36
50000,hamming,69,48
50000,hamming,70,50
50000,hamming,71,79
50000,hamming,72,65
50000,hamming,73,102
50000,hamming,74,73
50000,hamming,75,106
50000,hamming,76,82
50000,hamming,77,100
50000,hamming,78,73
50000,hamming,79,82
50000,hamming,80,77
50000,hamming,81,83
50000,hamming,82,74
50000,hamming,83,97
50000,hamming,84,108
50000,hamming,85,121
50000,hamming,86,124
50000,hamming,87,109
50000,hamming,88,81
50000,hamming,89,87
50000,hamming,90,57
50000,hamming,91,56
50000,hamming,92,39
50000,hamming,93,36
50000,hamming,94,29
50000,hamming,95,18
50000,hamming,96,10
50000,hamming,97,8
50000,hamming,98,5
50000,hamming,99,2
50000,hamming,100,1
50000,hamming,168,2
50000,hamming,169,3
50000,hamming,170,6
50000,hamming,171,17
50000,hamming,172,30
50000,hamming,173,46
50000,hamming,174,66
50000,hamming,175,80
50000,hamming,176,79
50000,hamming,177,85
50000,hamming,178,102
50000,hamming,179,114
50000,hamming,180,146
50000,hamming,181,125
50000,hamming,182,170
50000,hamming,183,156
50000,hamming,184,156
50000,hamming,185,148
50000,hamming,186,160
50000,hamming,187,152
50000,hamming,188,165
50000,hamming,189,208
50000,hamming,190,202
50000,hamming,191,210
50000,hamming,192,244
50000,hamming,193,226
50000,hamming,194,272
50000,hamming,195,323
50000,hamming,196,372
50000,hamming,197,472
50000,hamming,198,409
50000,hamming,199,472
50000,hamming,200,466
50000,hamming,201,499
50000,hamming,202,457
50000,hamming,203,440
50000,hamming,204,467
50000,hamming,205,451
50000,hamming,206,409
50000,hamming,207,393
50000,hamming,208,321
50000,hamming,209,287
50000,hamming,210,223
50000,hamming,211,206
50000,hamming,212,167
50000,hamming,213,136
50000,hamming,214,107
50000,hamming,215,101
50000,hamming,216,91
50000,hamming,217,114
50000,hamming,218,148
50000,hamming,219,157
50000,hamming,220,162
50000,hamming,221,193
50000,hamming,222,221
50000,hamming,223,257
50000,hamming,224,265
50000,hamming,225,288
50000,hamming,226,321
50000,hamming,227,338
50000,hamming,228,369
50000,hamming,229,385
50000,hamming,230,345
50000,hamming,231,253
50000,hamming,232,233
50000,hamming,233,127
50000,hamming,234,108
50000,hamming,235,51
50000,hamming,236,28
50000,hamming,237,16
50000,hamming,238,6
50000,genes,0,644
50000,genes,1,139
50000,genes,2,1326
50000,genes,3,327
50000,genes,4,1485
50000,genes,5,518
50000,genes,6,1671
50000,genes,7,596
50000,genes,8,1086
50000,genes,9,310
50000,genes,10,413
50000,genes,11,803
50000,genes,12,208
50000,genes,13,557
50000,genes,14,298
50000,genes,15,1853
50000,genes,16,3341
50000,genes,17,1944
50000,genes,18,3125
50000,genes,19,3709
50000,genes,20,786
50000,genes,21,248
50000,genes,22,37
50000,genes,23,1
50000,body,0,701
50000,body,1,229
50000,body,2,187
50000,body,3,384
50000,body,4,668
50000,body,5,688
50000,body,6,374
50000,body,7,596
50000,body,8,712
50000,body,9,648
50000,body,10,490
50000,body,11,384
50000,body,12,440
50000,body,13,434
50000,body,14,523
50000,body,15,550
50000,body,16,427
50000,body,17,358
50000,body,18,514
50000,body,19,644
50000,body,20,1152
50000,body,21,1329
50000,body,22,813
50000,body,23,809
50000,body,24,557
50000,body,25,446
50000,body,26,915
50000,body,27,956
50000,body,28,692
50000,body,29,660
50000,body,30,598
50000,body,31,726
50000,body,32,956
50000,body,33,277
50000,body,34,498
50000,body,35,248
50000,body,36,153
50000,body,37,234
50000,body,38,99
50000,body,39,125
50000,body,40,57
50000,body,41,129
50000,body,42,425
50000,body,43,230
50000,body,44,293
50000,body,45,222
50000,body,46,487
50000,body,47,328
50000,body,48,763
50000,body,49,216
50000,body,50,19
50000,body,51,4
50000,body,52,32
50000,body,53,2
50000,body,54,16
50000,body,55,3
50000,body,56,2
50000,body,58,1
