step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
7000,7,82,41.0,0.7,0.7,21.5,0.4,29
8000,7,77,39.5,0.3,0.0,24.2,0.2,20
9000,7,182,35.0,0.9,0.8,27.0,0.3,74
9000,4,8,27.0,17.0,0.0,20.0,17.0,1
10000,7,189,34.6,1.5,0.1,27.5,0.6,69
10000,4,14,28.0,17.9,0.0,18.1,17.9,2
11000,7,177,33.3,1.3,0.2,29.1,0.6,71
11000,4,14,30.8,15.4,0.0,17.8,15.4,4
12000,7,190,24.9,1.7,0.1,25.7,0.8,77
13000,7,98,18.0,0.2,0.1,19.9,0.0,45
14000,7,218,18.0,0.2,0.1,18.6,0.0,97
15000,7,71,22.0,0.4,0.3,17.7,0.0,29
16000,7,52,22.5,0.5,0.7,15.5,0.1,31
17000,16,116,26.3,5.1,3.4,26.4,2.3,53
17000,7,97,19.2,0.6,0.3,18.1,0.0,43
18000,16,162,24.7,3.4,3.8,22.6,2.2,67
18000,7,36,20.9,0.6,0.1,16.4,0.1,13
19000,16,180,22.6,2.6,3.4,20.4,1.4,82
19000,7,36,24.5,0.6,0.1,16.0,0.3,19
20000,16,128,34.3,8.4,0.0,18.3,8.2,55
24000,27,103,18.9,0.1,0.0,42.5,0.0,36
25000,27,152,18.3,0.4,0.0,37.8,0.0,61
26000,27,126,13.2,0.2,0.0,14.2,0.0,36
27000,27,197,12.9,0.2,0.2,15.6,0.2,76
28000,27,25,26.4,13.9,6.9,15.7,12.7,4
29000,33,192,30.2,2.0,1.3,30.2,0.4,70
29000,27,15,27.6,5.0,0.3,20.6,1.5,6
30000,33,194,26.4,1.1,2.7,32.2,0.2,75
30000,27,14,19.6,9.8,0.0,23.4,1.9,6
31000,33,222,26.3,1.2,3.8,27.4,0.9,70
32000,33,220,31.5,2.7,2.2,25.9,2.0,78
33000,33,111,35.7,0.1,0.0,27.4,0.1,27
34000,33,100,36.2,0.2,0.1,26.2,0.1,35
35000,33,102,34.9,0.3,0.9,26.2,0.2,40
36000,33,116,32.9,0.5,2.5,25.2,0.3,38
37000,33,125,33.8,0.7,2.0,24.6,0.4,53
37000,36,53,32.3,4.1,0.2,27.0,0.7,16
37000,37,15,29.5,18.3,0.0,16.3,15.5,2
38000,33,136,32.4,1.6,2.7,25.2,0.7,44
38000,36,59,34.3,4.5,0.2,24.9,0.8,25
38000,37,8,31.8,14.2,0.0,16.9,12.4,4
39000,33,121,33.6,1.3,1.9,23.6,0.8,36
39000,36,55,33.9,4.1,0.0,25.5,0.5,25
39000,37,13,30.2,18.7,0.0,15.2,15.9,2
40000,33,102,32.6,1.4,3.1,25.1,0.4,41
40000,36,32,34.5,4.6,0.0,24.9,0.7,12
40000,37,8,29.0,19.0,0.0,16.0,16.0,1
41000,33,102,34.1,1.1,2.1,23.0,0.8,36
41000,36,51,32.6,5.5,0.1,25.4,2.1,15
41000,37,18,29.4,18.6,0.0,15.9,15.7,2
42000,33,79,33.2,1.1,2.8,23.5,0.7,32
42000,36,67,32.4,5.8,0.0,25.6,2.8,21
43000,36,113,32.4,4.3,1.2,24.8,2.5,39
43000,33,36,33.2,0.8,0.4,22.1,0.4,13
44000,36,124,28.3,3.6,1.3,22.9,2.1,53
44000,33,67,31.8,3.0,2.6,22.7,1.7,22
44000,41,42,25.0,0.0,0.2,27.0,0.0,9
45000,36,121,29.3,2.6,3.2,22.0,1.8,48
45000,41,89,20.3,0.6,0.0,25.3,0.0,37
45000,33,22,33.2,1.0,0.1,20.0,0.8,7
46000,36,144,27.1,1.9,4.9,21.8,1.7,55
46000,41,46,24.8,0.3,0.0,24.6,0.3,18
46000,33,15,34.3,0.6,0.0,20.1,0.6,3
47000,36,162,24.2,1.6,2.9,23.1,1.3,65
47000,41,74,19.5,0.4,0.4,28.4,0.3,34
47000,33,11,26.4,0.4,1.6,24.7,0.4,6
48000,36,120,34.7,7.8,0.8,18.2,7.6,56
48000,33,60,34.0,0.3,0.1,21.2,0.2,15
48000,41,21,31.9,0.0,0.0,20.4,0.0,15
49000,36,100,35.4,1.2,1.7,20.5,1.2,40
49000,33,78,34.1,1.0,0.1,20.3,0.7,28
49000,41,29,31.0,0.0,0.0,22.5,0.0,9
50000,36,107,34.4,1.9,1.7,20.7,1.6,40
50000,33,66,33.9,0.5,0.1,19.7,0.5,24
50000,41,36,32.1,0.0,0.0,21.9,0.0,12
51000,36,109,33.8,1.7,1.6,21.0,1.6,44
51000,33,79,32.9,0.5,1.0,19.2,0.5,28
51000,41,24,33.9,0.0,0.0,21.9,0.0,10
52000,36,119,33.8,1.4,1.6,21.3,1.4,42
52000,33,65,34.5,0.8,0.5,18.2,0.6,18
52000,41,21,31.2,0.0,0.0,25.8,0.0,13
53000,36,119,34.1,1.4,1.9,19.5,1.1,40
53000,33,105,34.4,0.6,0.3,18.0,0.6,33
53000,48,13,32.0,15.8,0.0,16.2,15.8,2
54000,36,128,34.3,1.0,1.8,19.9,1.0,42
54000,33,91,33.9,0.7,0.4,18.9,0.7,28
54000,48,11,32.0,16.0,0.0,16.0,16.0,1
55000,36,132,33.9,1.4,1.3,20.6,1.0,57
55000,33,84,34.8,0.9,0.4,19.0,0.8,34
56000,33,143,28.2,1.1,0.5,23.0,0.7,53
56000,36,111,31.3,1.7,2.5,20.3,1.0,56
57000,33,254,17.6,2.5,0.1,17.4,0.2,89
