step,event,lineage,other,size
5000,birth,1,0,63
8000,split,4,1,84
16000,split,13,4,6
17000,extinct,13,0,6
18000,split,15,13,169
18000,extinct,4,0,19
21000,split,17,15,8
22000,split,18,15,32
22000,extinct,17,0,8
23000,split,20,15,52
23000,extinct,15,0,5
25000,split,23,15,162
25000,extinct,1,0,33
26000,extinct,18,0,10
26000,extinct,20,0,27
31000,split,38,23,28
32000,split,42,38,36
33000,extinct,23,0,5
34000,extinct,42,0,71
35000,split,46,42,48
39000,split,55,38,350
48000,split,60,38,57
48000,split,61,55,45
52000,extinct,61,0,85
56000,split,66,55,23
57000,extinct,55,0,31
59000,split,72,66,107
59000,split,71,38,10
59000,extinct,66,0,12
61000,split,74,66,6
61000,extinct,46,0,10
61000,extinct,71,0,15
62000,extinct,74,0,6
63000,extinct,38,0,79
64000,split,80,46,85
64000,extinct,72,0,33
66000,split,76,72,11
69000,extinct,76,0,33
70000,split,83,60,6
71000,split,84,80,62
72000,extinct,83,0,6
76000,extinct,84,0,25
77000,extinct,60,0,83
78000,split,86,84,154
87000,split,89,86,6
88000,extinct,89,0,6
89000,extinct,80,0,13
91000,split,91,86,85
96000,split,95,86,12
96000,split,96,86,84
98000,extinct,95,0,16
111000,split,104,86,67
116000,extinct,91,0,6
118000,extinct,86,0,7
121000,split,109,104,19
122000,extinct,96,0,20
125000,extinct,109,0,5
127000,split,111,104,266
129000,extinct,104,0,17
133000,split,117,115,186
139000,split,124,117,258
139000,extinct,117,0,28
143000,split,129,124,25
144000,split,130,124,40
146000,split,134,124,62
147000,extinct,130,0,17
148000,extinct,129,0,55
149000,split,140,134,11
153000,extinct,140,0,8
158000,extinct,134,0,11
167000,split,153,124,21
169000,extinct,153,0,10
172000,split,157,124,40
173000,extinct,124,0,82
192000,extinct,157,0,15
197000,split,175,111,84
202000,extinct,175,0,13
207000,split,179,111,68
209000,extinct,179,0,80
218000,split,193,111,182
224000,split,200,111,25
228000,split,204,193,15
230000,extinct,193,0,169
230000,extinct,200,0,12
233000,extinct,204,0,57
237000,split,210,111,28
238000,split,212,111,14
240000,extinct,210,0,8
241000,extinct,212,0,10
243000,split,215,212,278
244000,extinct,111,0,10
256000,extinct,215,0,9
257000,split,220,215,176
257000,split,219,215,85
260000,split,221,219,28
262000,split,222,220,38
266000,split,226,220,63
266000,extinct,219,0,8
268000,extinct,226,0,63
270000,extinct,221,0,20
273000,extinct,222,0,12
276000,split,227,220,59
281000,split,231,220,51
285000,extinct,227,0,5
295000,split,237,231,54
295000,extinct,220,0,54
298000,extinct,231,0,100
301000,split,242,240,87
309000,split,246,237,34
311000,extinct,242,0,10
315000,split,249,237,21
317000,extinct,249,0,14
318000,extinct,246,0,16
322000,split,253,237,176
334000,split,256,253,112
355000,split,264,256,93
358000,extinct,256,0,27
359000,extinct,253,0,7
370000,split,268,264,10
371000,split,269,268,81
372000,extinct,268,0,10
420000,extinct,269,0,42
437000,extinct,237,0,26
441000,split,274,264,85
442000,extinct,264,0,9
443000,split,278,264,46
451000,split,282,274,20
454000,merge,282,274,10
471000,split,284,274,13
473000,extinct,278,0,26
479000,split,287,284,8
479000,extinct,284,0,5
480000,split,288,274,200
480000,extinct,287,0,8
488000,split,289,288,13
547000,split,294,274,26
553000,extinct,294,0,9
564000,extinct,289,0,19
576000,split,301,274,9
580000,extinct,301,0,6
585000,split,304,288,22
587000,extinct,288,0,26
589000,extinct,304,0,6
590000,split,311,304,30
598000,split,315,274,116
605000,extinct,311,0,8
627000,split,326,315,41
629000,split,327,315,68
634000,extinct,315,0,5
640000,split,329,327,61
647000,extinct,327,0,18
669000,extinct,329,0,75
683000,split,333,326,58
684000,extinct,274,0,19
757000,extinct,333,0,36
758000,split,346,333,153
