step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,1,715,40.3,1.4,0.0,21.4,1.0,78,130,30.59,0.49
5000,4,19,23.2,24.5,0.0,16.3,18.4,2,169,30.79,16.38
6000,1,398,39.9,1.4,0.0,22.3,1.2,63,115,27.36,0.35
6000,4,35,26.0,22.9,0.0,15.1,16.8,6,67,9.85,12.32
7000,1,130,42.0,0.0,0.0,21.5,0.0,22,95,22.75,0.00
7000,4,27,24.5,22.1,0.0,17.1,17.1,6,101,15.63,17.51
8000,1,163,41.9,0.1,0.0,21.5,0.1,23,87,21.79,0.02
8000,4,85,25.0,20.0,0.1,18.5,19.3,7,90,15.64,12.81
9000,2,563,39.4,0.5,1.0,22.8,0.4,150,147,34.22,0.28
9000,1,225,32.5,0.0,0.0,25.5,0.0,36,122,27.44,0.00
9000,4,46,25.2,19.8,0.0,19.0,18.0,7,73,10.72,12.76
9000,5,11,0.0,0.0,0.0,6.5,0.0,2,106,3.82,0.00
10000,2,676,37.4,0.5,1.0,21.8,0.4,151,172,40.14,0.37
10000,1,144,34.0,0.2,0.0,21.2,0.0,28,135,29.50,0.00
10000,4,50,26.7,18.8,0.0,18.5,18.8,4,127,21.89,10.99
10000,5,28,0.1,0.0,0.0,5.4,0.0,5,120,3.43,0.00
11000,2,658,36.3,0.6,1.1,22.4,0.4,147,177,40.59,0.13
11000,1,130,39.7,0.0,0.0,22.6,0.0,22,151,33.28,0.00
11000,4,55,26.1,19.5,0.0,18.4,19.5,3,107,18.75,11.91
11000,5,6,0.0,0.0,0.0,3.7,0.0,2,212,4.87,0.00
12000,2,681,34.0,0.5,1.3,21.5,0.3,178,145,32.64,0.16
12000,1,145,37.8,0.2,0.0,20.7,0.0,25,140,30.28,0.00
12000,4,75,26.8,18.5,0.0,18.7,17.6,11,70,10.26,9.23
13000,2,574,39.2,0.6,1.1,22.2,0.4,144,167,38.95,0.09
13000,1,221,36.6,0.0,0.0,21.1,0.0,27,163,34.68,0.00
13000,4,59,21.4,21.9,0.0,20.7,18.3,7,90,15.96,12.32
14000,2,615,39.1,0.3,1.7,22.6,0.3,160,152,35.18,0.09
14000,1,212,34.0,0.0,0.0,20.3,0.0,35,144,29.58,0.00
14000,4,30,20.7,20.0,0.0,23.3,16.8,5,99,18.97,8.07
15000,2,389,36.3,0.3,2.3,25.0,0.3,106,128,30.22,0.11
15000,1,166,35.4,0.0,0.0,18.5,0.0,28,140,27.80,0.00
15000,4,49,21.3,21.2,0.0,21.4,18.0,6,78,13.73,10.33
16000,2,320,40.4,0.2,0.4,22.8,0.1,65,171,39.81,0.00
16000,1,246,25.0,0.0,0.0,20.5,0.0,42,107,20.36,0.00
16000,4,32,22.6,20.4,0.0,21.0,17.7,4,113,19.10,10.56
17000,2,709,38.0,2.2,1.0,22.7,2.1,149,160,37.38,0.77
17000,1,82,21.8,0.1,0.0,22.4,0.0,23,91,16.80,0.00
17000,4,26,22.3,20.3,0.0,21.4,19.2,4,54,8.33,9.58
18000,2,536,36.2,1.8,1.6,24.1,1.7,156,184,41.96,0.52
18000,1,327,30.7,0.0,0.0,17.8,0.0,45,119,21.90,0.00
19000,2,387,30.8,5.7,1.0,26.3,5.4,115,140,32.85,1.67
19000,1,376,30.7,0.0,0.0,19.4,0.0,47,142,26.55,0.00
20000,2,430,29.3,6.2,0.4,27.9,5.9,99,142,33.60,2.15
20000,1,406,30.0,0.0,0.0,17.9,0.0,75,144,25.44,0.00
