step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat,lineage
100000,64,48,0,0,16,0,0.000,2756,4.36,639.41,0.00,11
100000,64,48,0,0,16,0,0.000,2280,7.39,517.15,0.00,11
100000,64,48,0,0,16,0,0.000,1989,5.98,480.98,0.00,51
100000,64,48,0,0,16,0,0.000,1794,6.53,401.82,0.00,51
100000,64,48,0,0,16,0,0.000,1775,5.25,451.70,0.00,51
100000,64,48,0,0,16,0,0.000,1735,5.93,398.35,0.00,11
100000,64,48,0,0,16,0,0.000,1725,4.02,398.58,0.00,51
100000,64,48,0,0,16,0,0.000,1608,8.35,376.34,0.00,51
100000,64,48,0,0,16,0,0.000,1574,2.49,380.82,0.00,51
100000,64,48,0,0,16,0,0.000,1519,7.38,370.93,0.00,51
100000,64,48,0,0,16,0,0.000,1504,6.45,345.94,0.00,51
100000,64,48,0,0,16,0,0.000,1409,5.75,318.56,0.00,11
100000,64,48,0,0,16,0,0.000,1407,4.23,329.39,0.00,51
100000,64,48,0,0,16,0,0.000,1375,1.20,303.27,0.00,11
100000,64,48,0,0,16,0,0.000,1340,1.47,284.08,0.00,51
100000,64,48,0,0,16,0,0.000,1327,7.22,304.42,0.00,11
100000,64,48,0,0,16,0,0.000,1295,4.35,312.19,0.00,51
100000,64,48,0,0,16,0,0.000,1293,3.33,319.21,0.00,51
100000,64,48,0,0,16,0,0.000,1228,5.89,267.04,0.00,11
100000,64,49,0,0,15,0,0.000,1199,4.57,268.53,0.00,51
100000,64,48,0,0,16,0,0.000,1176,6.26,295.67,0.00,51
100000,64,48,0,0,16,0,0.000,1158,3.90,234.69,0.00,51
100000,64,48,0,0,16,0,0.000,1146,3.94,262.03,0.00,11
100000,64,48,0,0,16,0,0.000,1140,2.35,280.47,0.00,11
100000,64,48,0,0,16,0,0.000,1129,4.20,246.43,0.00,11
100000,64,48,0,0,16,0,0.000,1100,5.86,284.61,0.00,51
100000,64,48,0,0,16,0,0.000,1089,5.79,282.63,0.00,51
100000,64,48,0,0,16,0,0.000,1073,4.28,248.21,0.00,51
100000,64,48,0,0,16,0,0.000,1068,5.43,235.85,0.00,51
100000,64,48,0,0,16,0,0.000,1055,5.21,245.90,0.00,11
100000,64,48,0,0,16,0,0.000,1034,7.15,243.70,0.00,11
100000,64,48,0,0,16,0,0.000,1008,5.71,216.16,0.00,51
100000,64,48,0,0,16,0,0.000,973,5.41,230.02,0.00,51
100000,64,48,0,0,16,0,0.000,972,7.77,240.95,0.00,51
100000,64,48,0,0,16,0,0.000,967,6.69,221.80,0.00,51
100000,64,48,0,0,16,0,0.000,949,5.60,204.77,0.00,51
100000,64,48,0,0,16,0,0.000,941,7.11,234.26,0.00,51
100000,64,48,0,0,16,0,0.000,939,6.98,212.69,0.00,11
100000,64,48,0,0,16,0,0.000,913,2.02,219.48,0.00,51
100000,64,48,0,0,16,0,0.000,909,2.32,210.69,0.00,51
100000,64,48,0,0,16,0,0.000,901,7.90,197.81,0.00,11
100000,64,49,0,0,15,0,0.000,895,6.77,199.64,0.00,11
100000,64,49,0,0,15,0,0.000,890,7.77,208.21,0.00,51
100000,64,48,0,0,16,0,0.000,882,7.90,215.22,0.00,51
100000,64,48,0,0,16,0,0.000,873,5.96,190.49,0.00,51
100000,64,48,0,0,16,0,0.000,867,5.68,189.07,0.00,51
100000,64,48,0,0,16,0,0.000,867,5.19,180.04,0.00,51
100000,64,48,0,0,16,0,0.000,861,4.90,208.16,0.00,51
100000,64,48,0,0,16,0,0.000,859,4.98,220.76,0.00,51
100000,64,48,0,0,16,0,0.000,856,5.18,216.13,0.00,51
100000,64,48,0,0,16,0,0.000,856,5.62,182.67,0.00,51
100000,64,48,0,0,16,0,0.000,855,6.57,200.31,0.00,51
100000,64,48,0,0,16,0,0.000,851,5.72,194.41,0.00,11
100000,64,48,0,0,16,0,0.000,848,5.06,206.00,0.00,51
100000,64,49,0,0,15,0,0.000,845,7.74,186.85,0.00,51
100000,64,48,0,0,16,0,0.000,839,7.81,211.23,0.00,51
100000,64,48,0,0,16,0,0.000,835,7.81,197.77,0.00,11
100000,64,48,0,0,16,0,0.000,833,6.59,196.13,0.00,51
100000,64,48,0,0,16,0,0.000,831,5.95,195.16,0.00,51
100000,64,24,24,0,16,24,0.375,831,6.51,202.41,77.22,49
100000,64,48,0,0,16,0,0.000,829,3.64,179.76,0.00,11
100000,64,48,0,0,16,0,0.000,826,8.10,170.89,0.00,11
100000,64,48,0,0,16,0,0.000,821,7.78,182.30,0.00,11
100000,64,48,0,0,16,0,0.000,811,4.99,198.83,0.00,11
100000,64,48,0,0,16,0,0.000,808,4.56,193.54,0.00,11
100000,64,48,0,0,16,0,0.000,794,4.49,199.28,0.00,51
100000,64,48,0,0,16,0,0.000,790,6.36,170.62,0.00,11
100000,64,48,0,0,16,0,0.000,786,7.68,167.06,0.00,11
100000,64,48,0,0,16,0,0.000,786,7.18,187.74,0.00,51
100000,64,48,0,0,16,0,0.000,771,5.91,166.49,0.00,51
100000,64,48,0,0,16,0,0.000,769,3.87,164.22,0.00,51
100000,64,48,0,0,16,0,0.000,765,1.93,169.95,0.00,51
100000,64,48,0,0,16,0,0.000,761,7.51,178.92,0.00,51
100000,64,48,0,0,16,0,0.000,760,5.22,176.51,0.00,51
100000,64,24,24,0,16,24,0.375,757,1.80,172.00,61.77,49
100000,64,48,0,0,16,0,0.000,756,6.55,164.34,0.00,51
100000,64,48,0,0,16,0,0.000,747,2.92,154.75,0.00,11
100000,64,48,0,0,16,0,0.000,742,2.52,178.86,0.00,51
100000,64,24,24,0,16,24,0.375,737,6.89,172.68,20.49,49
100000,64,48,0,0,16,0,0.000,731,7.22,168.63,0.00,11
100000,64,48,0,0,16,0,0.000,725,7.27,154.98,0.00,51
100000,64,48,0,0,16,0,0.000,723,6.64,175.04,0.00,51
100000,64,48,0,0,16,0,0.000,714,5.52,163.76,0.00,11
100000,64,48,0,0,16,0,0.000,711,8.15,165.70,0.00,51
100000,64,48,0,0,16,0,0.000,711,4.19,157.62,0.00,11
100000,64,48,0,0,16,0,0.000,708,3.97,161.15,0.00,51
100000,64,24,24,0,16,24,0.375,702,4.20,157.33,52.02,49
100000,64,48,0,0,16,0,0.000,702,1.33,157.34,0.00,51
100000,64,48,0,0,16,0,0.000,688,4.26,161.83,0.00,51
100000,64,48,0,0,16,0,0.000,688,5.81,159.11,0.00,51
100000,64,48,0,0,16,0,0.000,687,3.55,148.09,0.00,51
100000,64,48,0,0,16,0,0.000,678,6.83,145.50,0.00,11
100000,64,24,24,0,16,24,0.375,668,7.73,153.43,26.95,49
100000,64,48,0,0,16,0,0.000,667,8.10,148.88,0.00,51
100000,64,48,0,0,16,0,0.000,665,5.61,154.43,0.00,51
100000,64,48,0,0,16,0,0.000,662,6.23,158.70,0.00,51
100000,64,48,0,0,16,0,0.000,658,7.00,145.98,0.00,51
100000,64,48,0,0,16,0,0.000,656,6.47,153.56,0.00,51
100000,64,48,0,0,16,0,0.000,655,3.81,137.99,0.00,11
100000,64,48,0,0,16,0,0.000,655,4.49,142.97,0.00,51
100000,64,48,0,0,16,0,0.000,655,6.93,149.66,0.00,51
100000,64,48,0,0,16,0,0.000,654,4.06,146.54,0.00,51
100000,64,48,0,0,16,0,0.000,648,3.51,140.61,0.00,11
100000,64,48,0,0,16,0,0.000,646,7.62,165.42,0.00,51
100000,64,48,0,0,16,0,0.000,645,6.30,138.67,0.00,11
100000,64,48,0,0,16,0,0.000,645,5.18,154.45,0.00,11
100000,64,48,0,0,16,0,0.000,642,5.15,153.82,0.00,51
100000,64,48,0,0,16,0,0.000,640,5.91,149.96,0.00,51
100000,64,48,0,0,16,0,0.000,639,4.44,127.15,0.00,51
100000,64,48,0,0,16,0,0.000,628,3.61,149.46,0.00,51
100000,64,49,0,0,15,0,0.000,628,5.53,151.49,0.00,51
100000,64,48,0,0,16,0,0.000,623,4.87,149.91,0.00,51
100000,64,48,0,0,16,0,0.000,621,5.18,128.63,0.00,11
100000,64,48,0,0,16,0,0.000,618,4.52,148.55,0.00,51
100000,64,48,0,0,16,0,0.000,617,3.29,147.09,0.00,11
100000,64,48,0,0,16,0,0.000,612,7.88,125.39,0.00,11
100000,64,48,0,0,16,0,0.000,609,5.59,126.72,0.00,11
100000,64,48,0,0,16,0,0.000,605,5.30,146.86,0.00,51
100000,64,48,0,0,16,0,0.000,600,4.92,145.52,0.00,51
100000,64,48,0,0,16,0,0.000,600,5.45,120.57,0.00,51
100000,64,50,0,0,14,0,0.000,585,6.70,119.02,0.00,51
100000,64,48,0,0,16,0,0.000,582,8.14,141.04,0.00,51
100000,64,48,0,0,16,0,0.000,580,4.44,115.76,0.00,51
100000,64,48,0,0,16,0,0.000,578,5.99,138.15,0.00,51
100000,64,48,0,0,16,0,0.000,578,7.79,139.92,0.00,51
100000,64,48,0,0,16,0,0.000,578,6.46,134.32,0.00,51
100000,64,48,0,0,16,0,0.000,573,7.56,130.25,0.00,51
100000,64,48,0,0,16,0,0.000,565,6.85,123.83,0.00,11
100000,64,48,0,0,16,0,0.000,560,7.21,123.16,0.00,51
100000,64,48,0,0,16,0,0.000,558,2.76,122.55,0.00,11
100000,64,48,0,0,16,0,0.000,554,6.96,130.28,0.00,51
100000,64,48,0,0,16,0,0.000,553,6.84,138.39,0.00,51
100000,64,48,0,0,16,0,0.000,550,4.86,127.32,0.00,11
100000,64,24,24,0,16,24,0.375,550,1.53,124.24,44.70,49
100000,64,24,24,0,16,24,0.375,550,7.48,126.43,27.33,49
100000,64,24,24,0,16,24,0.375,547,5.54,122.99,32.81,49
100000,64,48,0,0,16,0,0.000,545,4.33,108.99,0.00,11
100000,64,48,0,0,16,0,0.000,544,7.42,133.08,0.00,51
100000,64,48,0,0,16,0,0.000,542,4.92,134.31,0.00,11
100000,64,48,0,0,16,0,0.000,540,3.68,103.11,0.00,11
100000,64,48,0,0,16,0,0.000,537,7.42,119.02,0.00,51
100000,64,48,0,0,16,0,0.000,537,5.14,108.25,0.00,11
100000,64,24,24,0,16,24,0.375,537,6.30,124.88,82.33,49
100000,64,48,0,0,16,0,0.000,536,5.93,134.23,0.00,51
100000,64,48,0,0,16,0,0.000,534,4.24,127.90,0.00,51
