step,event,lineage,other,size
5000,birth,1,0,391
17000,split,3,1,157
20000,split,5,1,45
27000,split,9,3,94
30000,extinct,1,0,5
31000,split,12,1,21
31000,extinct,5,0,6
33000,extinct,12,0,5
406000,split,46,3,63
414000,extinct,46,0,137
447000,extinct,9,0,30
449000,split,67,3,28
451000,merge,67,70,38
453000,split,69,3,31
454000,extinct,69,0,31
455000,split,70,3,635
456000,split,73,3,104
459000,extinct,3,0,7
459000,extinct,73,0,25
469000,split,84,70,330
475000,split,85,70,40
477000,split,86,70,39
481000,merge,70,84,175
481000,merge,85,84,70
485000,split,88,86,55
486000,split,89,84,90
486000,split,90,84,85
489000,extinct,88,0,38
490000,merge,89,84,164
490000,extinct,90,0,11
495000,split,97,84,82
497000,split,99,84,133
498000,split,101,99,9
499000,extinct,101,0,9
504000,split,104,97,179
504000,split,105,99,53
506000,merge,104,97,171
510000,merge,105,99,49
511000,merge,84,97,255
515000,split,110,99,11
518000,split,112,97,307
520000,extinct,110,0,5
524000,merge,97,112,41
530000,split,117,112,388
536000,split,120,117,74
538000,split,121,117,103
538000,split,122,120,28
538000,extinct,86,0,27
546000,split,123,121,15
547000,merge,122,120,24
549000,merge,123,120,8
557000,extinct,121,0,21
558000,extinct,117,0,264
561000,split,126,99,180
568000,split,128,120,116
569000,split,130,126,19
569000,extinct,126,0,6
571000,extinct,130,0,8
579000,merge,128,112,118
584000,split,131,112,111
589000,merge,131,120,130
594000,split,134,120,82
614000,extinct,99,0,14
638000,split,139,120,127
638000,extinct,120,0,111
662000,split,151,134,51
683000,extinct,151,0,21
718000,split,159,139,50
721000,split,161,139,124
721000,extinct,139,0,44
723000,extinct,159,0,18
726000,merge,134,112,111
731000,split,164,112,89
752000,split,170,161,73
753000,merge,170,161,73
760000,split,173,161,161
765000,merge,164,112,131
771000,split,175,112,113
772000,extinct,161,0,7
792000,split,181,173,6
793000,extinct,181,0,6
803000,split,184,112,35
804000,merge,175,112,147
809000,split,186,112,113
811000,merge,186,112,133
815000,extinct,184,0,9
824000,split,191,173,117
832000,split,194,112,99
847000,extinct,191,0,15
849000,split,200,173,136
852000,merge,194,112,99
856000,split,207,112,103
870000,extinct,200,0,6
884000,split,218,173,14
895000,extinct,218,0,11
949000,split,225,112,81
951000,merge,225,112,88
956000,split,227,112,133
959000,merge,227,112,128
968000,split,231,173,161
970000,split,232,207,33
973000,extinct,232,0,8
980000,merge,231,173,153
981000,split,237,112,94
982000,extinct,173,0,323
984000,extinct,237,0,13
985000,split,239,173,550
997000,split,241,239,152
