step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat,lineage
100000,64,21,21,0,22,21,0.328,2511,3.26,468.40,100.36,146
100000,64,21,21,0,22,21,0.328,2309,2.42,338.77,192.79,146
100000,64,42,0,0,22,0,0.000,1939,5.48,484.39,0.00,202
100000,64,42,0,0,22,0,0.000,1543,5.74,466.24,0.00,231
100000,64,42,0,1,21,0,0.000,1384,4.68,387.33,0.00,231
100000,64,42,0,0,22,0,0.000,1307,6.03,303.89,0.00,202
100000,64,43,0,0,21,0,0.000,1290,6.57,339.42,0.00,202
100000,64,21,21,0,22,21,0.328,1280,7.64,221.84,74.09,146
100000,64,42,0,0,22,0,0.000,1242,6.06,291.81,0.00,202
100000,64,43,0,0,21,0,0.000,1224,4.85,284.87,0.00,231
100000,64,42,0,0,22,0,0.000,1183,4.63,264.62,0.00,202
100000,64,21,21,0,22,21,0.328,1153,3.91,212.67,67.81,146
100000,64,43,0,0,21,0,0.000,1121,5.84,281.53,0.00,202
100000,64,45,0,0,19,0,0.000,1121,6.19,236.05,0.00,202
100000,64,43,0,0,21,0,0.000,1068,7.72,275.29,0.00,231
100000,64,42,0,1,21,0,0.000,1064,7.30,312.22,0.00,231
100000,64,21,21,0,22,21,0.328,1008,7.83,155.77,102.48,146
100000,64,42,0,0,22,0,0.000,1001,7.18,233.82,0.00,202
100000,64,45,0,0,19,0,0.000,977,8.28,222.98,0.00,202
100000,64,42,0,0,22,0,0.000,964,4.52,199.41,0.00,231
100000,64,42,0,0,22,0,0.000,935,5.97,257.22,0.00,231
100000,64,42,0,0,22,0,0.000,932,6.06,228.41,0.00,202
100000,64,43,0,0,21,0,0.000,927,5.92,217.36,0.00,202
100000,64,43,0,0,21,0,0.000,906,8.13,270.27,0.00,231
100000,64,42,0,0,22,0,0.000,890,4.23,212.08,0.00,202
100000,64,44,0,0,20,0,0.000,884,4.99,233.70,0.00,231
100000,64,42,0,1,21,0,0.000,880,7.63,235.30,0.00,231
100000,64,42,0,0,22,0,0.000,866,5.78,209.22,0.00,231
100000,64,42,0,0,22,0,0.000,861,5.47,193.73,0.00,202
100000,64,42,0,0,22,0,0.000,861,4.39,185.86,0.00,202
100000,64,21,21,0,22,21,0.328,836,3.78,136.62,76.70,146
100000,64,21,21,0,22,21,0.328,817,5.25,127.39,59.45,146
100000,63,43,0,1,19,0,0.000,799,7.39,224.06,0.00,231
100000,64,42,0,0,22,0,0.000,788,7.10,178.63,0.00,231
100000,32,6,8,0,18,5,0.250,787,1.60,74.22,46.10,310
100000,64,42,0,1,21,0,0.000,764,4.13,217.41,0.00,231
100000,64,42,0,1,21,0,0.000,753,3.09,184.49,0.00,231
100000,64,21,21,0,22,21,0.328,753,3.28,132.77,37.29,146
100000,64,21,21,0,22,21,0.328,750,3.73,142.02,34.29,146
100000,64,42,0,0,22,0,0.000,747,7.29,196.77,0.00,231
100000,64,42,0,0,22,0,0.000,739,4.22,213.88,0.00,231
100000,64,42,0,0,22,0,0.000,732,5.68,200.79,0.00,231
100000,64,21,21,0,22,21,0.328,705,2.47,114.20,60.80,146
100000,64,42,0,0,22,0,0.000,698,3.86,141.66,0.00,231
100000,3,0,0,0,3,0,0.000,693,1.33,30.73,0.00,246
100000,64,42,0,0,22,0,0.000,690,7.66,228.50,0.00,231
100000,64,19,0,0,45,0,0.000,677,5.75,155.33,0.00,231
100000,64,43,0,0,21,0,0.000,674,4.04,166.70,0.00,231
100000,64,47,0,0,17,0,0.000,670,7.93,148.12,0.00,231
100000,64,42,0,0,22,0,0.000,658,8.12,155.56,0.00,202
100000,64,44,0,0,20,0,0.000,655,4.93,134.26,0.00,202
100000,64,42,0,0,22,0,0.000,652,4.09,170.28,0.00,231
100000,64,42,0,0,22,0,0.000,650,6.64,180.99,0.00,202
100000,64,42,0,0,22,0,0.000,646,7.70,147.98,0.00,202
100000,64,42,0,0,22,0,0.000,644,4.47,165.78,0.00,202
100000,64,42,0,0,22,0,0.000,637,2.78,128.95,0.00,231
100000,64,21,21,0,22,21,0.328,636,3.58,110.25,32.44,146
100000,64,42,0,0,22,0,0.000,632,4.88,189.61,0.00,231
100000,64,44,0,0,20,0,0.000,621,5.23,149.02,0.00,231
100000,64,42,0,1,21,0,0.000,621,6.96,172.16,0.00,231
100000,64,42,0,0,22,0,0.000,604,4.67,141.99,0.00,202
100000,64,42,0,0,22,0,0.000,590,5.79,143.78,0.00,231
100000,64,43,0,0,21,0,0.000,590,4.44,147.68,0.00,202
100000,64,43,0,0,21,0,0.000,586,5.26,151.11,0.00,231
