step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,1,320,37.9,0.0,0.4,25.4,0.0,84,112,27.50,0.00
5000,2,185,32.8,1.0,0.4,29.6,0.9,66,87,21.64,0.20
5000,3,37,34.1,9.1,0.3,18.5,8.2,10,136,29.67,2.68
6000,2,267,28.8,2.4,0.5,32.3,1.9,75,93,23.16,0.59
6000,1,216,34.7,0.0,0.8,26.0,0.0,63,128,29.85,0.00
6000,13,14,29.9,10.4,0.0,23.7,8.5,4,208,39.93,8.69
6000,3,10,34.2,7.2,0.0,20.2,7.2,2,206,39.97,6.26
7000,2,177,30.9,4.6,0.1,28.4,3.8,42,114,27.87,0.97
7000,1,169,35.3,0.0,0.4,27.2,0.0,46,129,30.87,0.00
7000,13,16,28.9,10.4,0.0,24.6,7.9,7,228,47.51,7.11
8000,15,342,36.2,0.0,0.0,27.7,0.0,141,208,46.28,0.00
8000,1,187,33.2,0.0,0.2,27.9,0.0,60,146,33.24,0.00
8000,2,95,31.9,0.2,0.0,31.9,0.2,22,113,28.01,0.03
9000,15,300,33.9,0.0,0.0,29.6,0.0,119,208,46.54,0.00
9000,1,230,32.7,0.0,0.3,30.4,0.0,75,114,28.45,0.00
9000,2,66,31.2,0.9,0.0,31.9,0.5,16,103,25.31,0.00
10000,15,260,33.2,0.0,0.0,30.6,0.0,114,126,31.35,0.00
10000,1,132,33.0,0.0,0.0,27.7,0.0,46,118,27.46,0.00
10000,23,85,36.4,0.0,0.0,25.9,0.0,33,202,47.28,0.00
10000,2,49,31.5,0.4,0.0,32.1,0.4,17,117,28.00,0.06
11000,23,450,1.7,0.0,0.1,8.1,0.0,144,103,4.15,0.00
11000,1,261,27.9,0.0,0.0,26.9,0.0,90,125,28.14,0.00
11000,15,128,34.6,0.0,0.0,29.4,0.0,53,204,46.77,0.00
11000,2,46,29.5,1.9,0.0,32.6,1.2,13,116,27.18,1.20
12000,1,394,26.3,0.0,0.0,24.9,0.0,166,127,25.25,0.00
12000,15,178,34.9,0.0,0.0,29.1,0.0,56,190,45.23,0.00
12000,2,33,30.5,1.8,0.0,31.7,1.8,9,102,24.71,0.97
12000,26,20,30.4,11.5,0.0,22.1,11.4,3,74,16.58,3.13
12000,23,15,1.7,0.0,0.0,5.1,0.0,7,125,5.76,0.00
13000,1,348,29.0,0.0,0.1,23.0,0.0,135,155,30.39,0.00
13000,23,236,3.4,0.0,0.0,7.4,0.0,93,109,4.97,0.00
13000,15,187,36.9,0.0,0.0,27.1,0.0,65,184,42.51,0.00
13000,26,53,27.1,13.2,0.0,23.8,9.3,12,82,14.74,7.20
13000,28,47,36.4,0.0,0.0,26.9,0.0,22,230,50.01,0.00
14000,1,337,28.6,0.0,0.0,24.7,0.0,118,138,28.11,0.00
14000,15,143,35.0,0.0,0.0,28.7,0.0,56,206,48.03,0.00
14000,28,132,33.9,0.0,0.0,29.9,0.0,41,189,41.80,0.00
14000,35,86,31.1,0.0,0.0,32.1,0.0,26,338,72.35,0.00
14000,26,29,30.5,12.1,0.0,21.4,12.0,7,106,19.88,7.45
14000,23,20,0.4,0.0,0.0,3.2,0.0,6,134,3.13,0.00
15000,1,258,31.2,0.0,0.1,23.4,0.0,88,156,32.02,0.00
15000,28,175,36.0,0.0,0.0,27.8,0.0,55,161,36.17,0.00
15000,42,144,28.5,3.6,0.1,31.8,2.8,34,124,30.34,0.81
15000,26,81,31.0,12.1,0.0,20.9,11.3,25,117,23.07,6.91
15000,15,72,37.3,0.0,0.0,26.7,0.0,29,227,53.06,0.00
15000,35,71,31.4,0.0,0.0,32.3,0.0,20,365,78.44,0.00
15000,23,32,1.1,0.0,0.0,3.7,0.0,11,141,3.25,0.00
15000,41,9,34.1,0.0,0.0,29.9,0.0,3,380,101.58,0.00
16000,1,317,29.8,0.0,0.1,20.3,0.0,112,188,34.76,0.00
16000,28,209,34.2,0.0,0.0,29.7,0.0,66,220,48.87,0.00
16000,42,131,29.2,4.5,0.0,30.2,3.9,37,115,25.86,2.79
16000,35,43,31.4,0.0,0.0,32.0,0.0,15,337,72.52,0.00
16000,26,36,31.3,12.5,0.0,20.2,11.2,13,96,17.92,7.55
16000,23,25,0.2,0.0,0.0,24.1,0.0,19,52,4.91,0.00
16000,47,22,27.0,0.0,0.0,35.9,0.0,6,497,105.52,0.00
16000,15,16,32.9,0.0,0.0,31.1,0.0,6,184,42.82,0.00
17000,1,240,26.3,0.0,0.1,20.4,0.0,84,189,33.59,0.00
17000,28,237,34.4,0.0,0.0,29.0,0.0,60,215,46.78,0.00
17000,42,112,30.2,5.9,0.0,27.9,5.0,35,106,24.00,2.33
17000,47,55,27.5,0.0,0.0,32.9,0.0,16,221,47.83,0.00
17000,35,25,30.1,0.0,0.0,33.6,0.0,8,344,75.05,0.00
17000,15,17,34.8,0.0,0.0,28.4,0.0,8,222,52.52,0.00
17000,52,15,35.4,0.0,0.0,27.0,0.0,5,208,43.28,0.00
17000,23,11,0.0,0.0,0.0,7.8,0.0,4,79,3.32,0.00
17000,26,5,34.8,12.8,0.0,16.4,9.6,4,156,27.83,8.91
18000,28,227,33.6,0.0,0.0,30.2,0.0,68,200,43.71,0.00
18000,1,152,27.1,0.0,0.1,20.5,0.0,64,239,40.97,0.00
18000,42,120,29.6,7.0,0.0,27.4,6.1,33,98,22.70,3.05
18000,47,63,28.5,0.0,0.0,32.0,0.0,25,318,66.90,0.00
18000,35,7,33.3,0.0,0.0,30.7,0.0,4,266,58.22,0.00
18000,15,6,34.8,0.0,0.0,29.2,0.0,3,292,65.96,0.00
19000,28,288,35.0,0.0,0.0,28.9,0.0,77,199,44.01,0.00
19000,1,135,25.6,0.0,0.0,21.0,0.0,63,91,17.76,0.00
19000,42,98,30.2,6.4,0.0,27.4,5.8,30,85,20.90,2.47
19000,47,28,28.2,0.0,0.0,32.6,0.0,13,324,69.62,0.00
19000,35,14,32.2,0.0,0.0,31.2,0.0,6,277,57.56,0.00
20000,56,554,23.0,0.0,0.2,21.1,0.0,236,148,26.00,0.03
20000,28,303,34.3,0.0,0.0,29.3,0.0,111,249,53.63,0.00
20000,42,63,30.8,6.5,0.0,26.8,6.3,16,90,21.02,2.73
20000,1,60,25.1,0.0,0.1,22.0,0.0,29,141,26.06,0.00
20000,47,30,29.8,0.0,0.0,33.2,0.0,16,301,64.24,0.00
20000,35,12,32.2,0.0,0.0,31.8,0.0,5,333,74.05,0.00
21000,56,543,25.7,0.0,0.2,19.6,0.0,161,152,27.84,0.00
21000,28,293,34.4,0.0,0.0,29.5,0.0,100,308,65.94,0.00
21000,42,65,30.8,11.6,0.0,21.6,9.6,21,83,18.37,4.59
21000,47,29,32.6,0.0,0.0,27.3,0.0,10,247,50.18,0.00
21000,1,15,22.5,0.0,0.0,20.5,0.0,7,137,23.72,0.00
21000,35,11,33.5,0.0,0.0,30.5,0.0,5,547,116.58,0.00
22000,28,416,30.1,0.0,0.0,28.4,0.0,135,220,47.56,0.00
22000,56,252,27.5,0.0,0.0,19.2,0.0,103,145,26.55,0.00
22000,42,99,28.1,13.9,0.1,21.8,11.3,23,61,11.70,6.43
22000,47,16,30.6,0.0,0.0,31.2,0.0,5,491,100.40,0.00
22000,35,15,34.9,0.0,0.0,29.1,0.0,7,318,67.33,0.00
23000,28,468,35.3,0.0,0.0,28.2,0.0,137,195,43.52,0.00
23000,56,177,32.7,0.0,0.2,21.9,0.0,59,137,28.42,0.00
23000,42,56,32.4,14.4,0.0,17.2,14.1,9,79,16.58,7.09
23000,47,30,34.1,0.0,0.0,27.5,0.0,13,261,53.53,0.00
23000,35,28,35.5,0.0,0.0,28.5,0.0,12,389,81.50,0.00
24000,28,362,35.0,0.0,0.0,28.2,0.0,110,213,46.64,0.00
24000,56,154,28.1,0.0,0.1,19.1,0.0,54,180,32.07,0.00
24000,47,47,28.9,0.0,0.0,32.9,0.0,18,247,51.25,0.00
24000,42,28,32.9,14.1,0.2,16.8,14.1,7,72,14.75,6.82
24000,35,14,34.5,0.0,0.0,29.5,0.0,5,374,79.06,0.00
25000,28,351,35.4,0.0,0.0,28.2,0.0,104,203,45.26,0.00
