step,event,lineage,other,size
5000,birth,1,0,744
7000,split,3,1,5
8000,extinct,3,0,5
12000,split,5,1,225
12000,split,6,1,12
14000,split,7,5,18
14000,split,8,1,124
15000,extinct,7,0,18
17000,split,9,1,5
18000,extinct,1,0,17
18000,extinct,9,0,5
19000,split,12,1,194
20000,extinct,6,0,29
24000,split,16,12,119
25000,split,18,8,136
25000,split,19,12,160
28000,split,23,18,76
29000,split,24,18,6
29000,split,25,19,23
30000,extinct,5,0,11
30000,merge,8,18,41
30000,extinct,24,0,6
31000,extinct,25,0,19
32000,extinct,23,0,15
34000,split,30,19,62
35000,extinct,12,0,16
36000,extinct,30,0,62
38000,split,37,19,84
45000,extinct,18,0,12
49000,split,49,19,303
52000,split,55,19,92
52000,extinct,19,0,21
55000,split,59,37,62
57000,extinct,49,0,55
57000,extinct,59,0,62
59000,split,64,49,26
59000,extinct,55,0,41
68000,split,77,37,116
70000,extinct,64,0,13
84000,split,99,37,213
85000,split,100,77,12
85000,split,101,99,50
88000,split,102,99,11
89000,extinct,102,0,11
90000,split,104,37,69
91000,split,105,37,37
91000,extinct,100,0,9
92000,merge,101,99,53
93000,extinct,104,0,19
94000,extinct,37,0,46
94000,extinct,105,0,37
95000,split,113,101,112
97000,split,110,105,11
97000,split,114,99,74
99000,extinct,110,0,17
102000,extinct,113,0,12
104000,split,120,99,92
110000,split,127,120,141
111000,extinct,114,0,7
111000,extinct,120,0,74
117000,extinct,99,0,13
124000,split,141,77,187
127000,extinct,127,0,35
129000,split,148,77,179
130000,split,150,77,25
132000,split,156,77,14
132000,extinct,150,0,8
133000,extinct,16,0,18
135000,split,161,148,122
135000,extinct,156,0,10
138000,split,163,77,114
140000,extinct,148,0,6
153000,split,180,161,90
154000,split,182,77,15
155000,extinct,182,0,15
158000,split,186,182,39
158000,extinct,161,0,24
162000,extinct,186,0,12
166000,split,189,141,41
169000,extinct,180,0,14
170000,split,191,141,5
172000,extinct,191,0,5
177000,split,193,77,69
178000,extinct,189,0,5
183000,extinct,193,0,10
185000,extinct,163,0,26
203000,split,199,77,72
207000,split,203,77,104
211000,split,210,141,50
217000,split,214,77,9
221000,split,216,199,252
221000,extinct,203,0,44
223000,extinct,141,0,30
223000,extinct,210,0,36
226000,split,217,199,169
226000,split,218,141,8
230000,split,225,199,16
233000,extinct,77,0,7
233000,extinct,225,0,7
234000,extinct,218,0,5
241000,split,232,199,19
241000,split,233,199,37
276000,split,239,214,13
285000,split,243,214,37
288000,split,245,199,100
288000,merge,243,214,28
290000,merge,245,199,84
295000,split,248,214,34
297000,split,250,214,48
300000,split,252,199,25
306000,merge,252,199,18
312000,split,254,199,11
312000,extinct,232,0,9
317000,extinct,250,0,11
317000,merge,254,199,37
321000,split,256,248,19
322000,merge,248,256,38
333000,split,260,256,9
334000,merge,260,256,9
340000,split,263,216,23
347000,merge,214,256,63
348000,extinct,216,0,18
351000,split,268,256,44
357000,split,272,256,19
358000,merge,272,256,19
372000,split,278,199,6
373000,extinct,278,0,6
385000,split,282,256,60
394000,extinct,263,0,7
397000,merge,282,256,93
406000,split,284,256,59
421000,merge,284,256,60
426000,split,286,256,50
427000,merge,286,256,50
432000,split,287,256,64
434000,split,288,256,68
435000,extinct,268,0,9
435000,merge,288,256,68
444000,split,290,256,7
448000,extinct,290,0,10
449000,extinct,287,0,8
488000,split,294,239,51
489000,merge,294,239,51
533000,split,299,256,47
533000,split,300,233,5
533000,extinct,199,0,7
536000,merge,299,256,26
537000,extinct,300,0,6
623000,split,304,256,16
628000,extinct,304,0,8
630000,split,305,239,16
636000,merge,305,239,7
641000,split,309,256,35
643000,split,311,217,9
644000,split,310,309,8
644000,merge,311,217,9
646000,extinct,310,0,5
707000,split,320,309,12
710000,extinct,256,0,11
712000,extinct,320,0,8
744000,split,328,309,11
748000,extinct,328,0,5
772000,split,332,309,47
787000,extinct,332,0,5
828000,split,336,239,69
830000,merge,336,239,71
848000,extinct,309,0,7
907000,split,342,233,114
923000,split,346,342,17
925000,merge,346,342,19
937000,split,348,239,29
939000,extinct,342,0,17
952000,extinct,348,0,7
