step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,842,4.449,0.070,8.61,83736,61319,0,23082,21,3493,1486560.1,80170.1,0.166,0.236,0.308,0.170,0.120,2938,63.76,2.09,38.56,6.97,2.30,6.79,0.02,0.45,22.87,4.62,1.80,5.46,0.036,0.106,122,0.215,0.911,0.065,0.000,0.024,53023,28165,1,0.550,0.450,0.004,138550,0.239,0.169,0.040,147.18,23267,29,3.47,0.844,0.029,2487,1769,0,0.000
20000,887,4.409,0.068,9.79,71983,53513,0,18423,2,2082,1535235.9,67408.4,0.223,0.224,0.275,0.158,0.119,2584,63.96,0.45,37.74,5.79,3.27,5.67,0.20,1.00,22.75,4.57,3.05,4.81,0.051,0.089,234,0.099,0.900,0.081,0.000,0.019,48356,15493,3,0.616,0.061,0.069,163571,0.171,0.165,0.038,153.63,25001,38,3.66,0.789,0.005,1002,94,0,0.000
30000,884,4.467,0.071,10.46,65379,48279,0,17100,3,1503,1574672.2,61160.6,0.185,0.261,0.293,0.129,0.131,2227,63.80,1.93,40.24,6.32,2.45,6.78,0.38,1.50,20.74,2.98,2.38,6.61,0.038,0.106,77,0.243,0.923,0.066,0.000,0.011,42291,11833,6,0.570,0.052,0.202,1470954,0.104,0.156,0.034,157.13,22852,28,3.58,0.876,0.009,5658,12976,0,0.000
40000,752,4.434,0.117,11.48,70915,53388,0,17648,11,508,1580989.5,60366.0,0.216,0.243,0.267,0.122,0.153,1846,63.02,5.23,35.70,11.60,6.36,9.62,0.81,2.16,20.15,6.39,6.29,9.58,0.100,0.150,135,0.205,0.797,0.181,0.000,0.023,41447,14288,4,0.295,0.000,0.431,1695506,0.101,0.223,0.076,158.66,25740,23,3.42,0.870,0.068,6344,16545,0,0.000
50000,860,4.367,0.093,12.57,95445,52284,0,42259,794,976,1521491.8,107493.9,0.092,0.314,0.314,0.104,0.176,1404,60.93,12.33,38.53,12.64,4.19,8.64,0.34,1.33,17.86,4.03,4.10,8.44,0.065,0.135,115,0.178,0.843,0.135,0.000,0.022,49222,20723,4,0.509,0.234,0.221,2458269,0.091,0.194,0.058,153.22,37034,29,2.54,0.824,0.016,13395,38567,0,0.000
60000,886,4.254,0.099,11.51,90151,54964,0,33869,1292,647,1528822.8,87398.2,0.119,0.284,0.289,0.121,0.187,1560,59.02,15.79,37.75,13.57,3.15,7.62,0.20,1.30,17.92,4.58,3.08,7.46,0.050,0.120,115,0.326,0.896,0.089,0.000,0.015,48335,19608,3,0.590,0.208,0.114,1531941,0.071,0.185,0.053,155.15,33448,29,2.58,0.826,0.023,7980,29150,0,0.000
70000,829,4.678,0.096,11.52,86499,56789,0,29246,521,590,1538022.9,82097.6,0.148,0.299,0.222,0.130,0.201,1640,63.85,1.41,40.51,8.67,3.94,8.39,0.44,2.60,18.96,4.17,3.92,8.37,0.062,0.131,116,0.174,0.875,0.099,0.000,0.027,47411,19171,3,0.498,0.018,0.197,1508836,0.075,0.179,0.049,155.95,32102,38,2.81,0.784,0.013,7921,24041,0,0.000
80000,797,4.676,0.101,12.17,74496,55645,0,18881,2,473,1535061.0,67856.9,0.115,0.229,0.210,0.162,0.284,1717,63.66,1.94,39.49,9.74,4.54,8.70,0.43,2.06,19.20,5.45,4.48,8.62,0.071,0.136,120,0.179,0.846,0.125,0.000,0.029,39318,14196,3,0.295,0.252,0.216,1427728,0.076,0.184,0.052,155.07,28308,16,3.59,0.911,0.031,6556,18393,0,0.000
90000,834,4.434,0.107,12.01,76633,56782,0,19810,4,544,1536748.9,71339.0,0.110,0.213,0.195,0.157,0.325,1486,63.91,0.94,41.57,8.38,2.91,7.35,0.21,1.08,19.22,4.66,2.81,7.15,0.046,0.115,126,0.107,0.908,0.067,0.000,0.025,40100,15477,7,0.321,0.132,0.132,1228110,0.083,0.198,0.061,155.35,30738,25,3.60,0.856,0.007,6837,18213,0,0.000
100000,902,4.208,0.097,11.37,78715,53520,1,24737,389,599,1548474.0,73985.2,0.170,0.246,0.162,0.168,0.254,1554,58.53,15.63,35.72,15.25,3.60,8.13,0.56,2.69,18.65,5.66,3.24,7.57,0.058,0.129,178,0.123,0.882,0.106,0.000,0.011,43061,21234,5,0.410,0.064,0.151,1274897,0.101,0.181,0.051,157.28,30876,44,2.99,0.779,0.035,7664,20218,0,0.000
