step,event,lineage,other,size
5000,birth,1,0,410
5000,birth,2,0,565
5000,birth,3,0,1003
5000,birth,4,0,74
7000,split,8,2,100
7000,split,9,1,40
8000,split,12,1,170
8000,split,14,1,5
8000,split,15,2,46
9000,extinct,14,0,5
10000,split,20,9,7
11000,split,22,3,413
11000,extinct,9,0,13
12000,split,27,22,97
12000,extinct,20,0,7
13000,split,29,1,51
15000,split,34,2,173
16000,split,35,1,189
17000,extinct,15,0,9
18000,split,43,3,24
18000,extinct,29,0,36
19000,split,49,3,46
20000,split,53,3,190
22000,extinct,1,0,6
22000,extinct,8,0,9
22000,extinct,49,0,17
23000,split,62,53,33
25000,split,65,27,26
27000,split,75,53,14
28000,split,78,2,277
29000,split,82,35,247
29000,split,83,27,28
29000,split,84,34,16
30000,split,86,2,25
30000,split,87,35,20
31000,split,88,62,20
31000,extinct,65,0,8
31000,extinct,83,0,5
32000,split,92,35,131
33000,split,94,35,19
33000,extinct,2,0,56
33000,extinct,62,0,13
33000,extinct,88,0,7
33000,merge,92,82,131
34000,split,100,88,19
34000,extinct,43,0,12
34000,extinct,87,0,40
34000,extinct,94,0,19
35000,extinct,86,0,18
38000,split,106,82,160
38000,split,107,53,42
38000,extinct,84,0,21
39000,split,109,78,46
40000,extinct,34,0,6
40000,extinct,75,0,6
44000,merge,22,133,43
44000,extinct,100,0,17
45000,split,122,35,62
45000,split,123,118,63
46000,split,125,27,18
47000,split,129,27,68
47000,extinct,109,0,9
48000,split,133,4,475
49000,merge,133,4,475
50000,split,138,78,40
51000,split,140,123,73
51000,split,141,138,29
51000,extinct,125,0,5
52000,split,145,106,25
53000,extinct,122,0,14
54000,split,150,4,456
54000,split,151,27,12
55000,extinct,138,0,37
55000,merge,150,3,456
55000,merge,151,27,12
56000,extinct,129,0,6
56000,extinct,141,0,7
57000,split,155,53,29
58000,split,156,78,42
58000,extinct,140,0,40
60000,split,160,3,465
60000,split,163,27,23
62000,extinct,156,0,13
65000,split,169,53,16
66000,split,172,123,48
66000,extinct,12,0,8
67000,split,175,4,7
68000,extinct,163,0,9
71000,extinct,175,0,7
73000,extinct,155,0,8
73000,extinct,169,0,8
74000,split,181,78,26
76000,extinct,35,0,5
78000,split,192,78,28
79000,split,197,145,7
79000,extinct,145,0,10
79000,extinct,160,0,17
80000,split,189,145,21
81000,split,186,106,13
81000,split,200,160,120
82000,extinct,197,0,7
85000,merge,53,3,26
85000,extinct,172,0,6
86000,split,206,123,7
87000,split,210,3,5
87000,extinct,206,0,7
89000,split,213,27,31
89000,split,214,3,5
89000,extinct,210,0,5
90000,merge,213,27,31
91000,extinct,214,0,5
92000,split,221,3,22
92000,extinct,181,0,8
93000,extinct,189,0,14
96000,split,226,123,30
96000,split,228,3,5
96000,extinct,186,0,5
96000,merge,192,78,26
97000,split,229,3,30
97000,split,230,27,319
98000,split,234,3,64
101000,split,239,78,13
101000,split,240,27,7
101000,merge,234,3,137
102000,split,236,226,18
102000,merge,228,3,15
103000,extinct,27,0,13
103000,extinct,240,0,7
104000,split,249,78,20
104000,split,250,27,8
105000,split,252,3,27
105000,merge,249,78,20
106000,extinct,250,0,5
107000,split,258,3,18
107000,extinct,229,0,18
108000,split,262,3,26
109000,split,263,3,32
109000,merge,252,3,69
110000,split,268,3,367
110000,split,269,3,16
110000,merge,263,3,32
111000,split,270,230,338
111000,split,271,82,11
111000,merge,258,3,10
112000,split,273,200,110
112000,extinct,239,0,8
113000,merge,200,273,56
113000,merge,268,3,233
114000,split,276,3,39
114000,split,277,3,37
114000,split,278,3,20
114000,split,279,78,18
114000,extinct,269,0,10
115000,split,283,123,41
115000,split,284,4,9
115000,split,286,270,12
115000,extinct,226,0,21
116000,extinct,221,0,12
116000,extinct,276,0,5
116000,extinct,278,0,10
116000,extinct,284,0,9
117000,extinct,277,0,22
117000,merge,283,123,25
118000,split,294,287,42
118000,extinct,4,0,18
121000,split,287,270,7
122000,extinct,294,0,5
123000,extinct,262,0,8
123000,extinct,271,0,5
123000,extinct,286,0,14
124000,split,308,123,7
124000,extinct,270,0,16
124000,merge,273,3,464
128000,extinct,287,0,21
128000,merge,308,123,5
129000,split,320,3,8
130000,split,323,3,693
131000,extinct,320,0,6
133000,split,328,123,34
134000,extinct,106,0,10
134000,extinct,323,0,70
135000,split,330,327,82
135000,split,331,327,18
136000,split,335,106,58
140000,merge,331,349,58
142000,split,344,3,6
144000,split,348,3,7
144000,extinct,330,0,44
144000,extinct,344,0,6
146000,split,355,82,54
146000,extinct,78,0,7
148000,split,359,107,21
150000,split,363,236,52
151000,split,365,107,31
151000,extinct,236,0,10
151000,extinct,335,0,6
152000,split,366,355,27
152000,extinct,348,0,5
152000,extinct,359,0,25
153000,extinct,355,0,9
154000,split,367,3,1203
157000,split,371,3,427
158000,extinct,3,0,5
158000,extinct,365,0,7
160000,split,377,367,535
160000,split,380,107,67
161000,merge,377,367,535
163000,split,378,82,48
165000,split,388,279,6
166000,split,389,367,30
168000,extinct,230,0,6
169000,split,391,388,8
169000,merge,389,367,536
171000,extinct,391,0,8
172000,split,401,378,12
173000,split,402,82,69
173000,extinct,378,0,7
174000,extinct,380,0,17
175000,extinct,401,0,12
176000,split,408,371,34
180000,extinct,388,0,15
181000,split,420,363,32
181000,extinct,408,0,6
182000,split,423,367,561
182000,split,424,107,7
184000,split,418,371,36
186000,split,430,107,15
187000,extinct,328,0,9
188000,merge,424,107,6
189000,extinct,430,0,7
190000,split,436,366,88
191000,extinct,418,0,9
193000,extinct,366,0,17
195000,split,444,107,29
196000,split,447,371,8
196000,split,448,107,23
196000,merge,367,423,676
197000,split,450,436,28
197000,split,451,433,22
198000,extinct,363,0,13
198000,extinct,444,0,5
198000,merge,447,423,9
199000,merge,448,107,53
200000,split,453,107,9
200000,extinct,450,0,9
201000,merge,371,423,349
203000,extinct,82,0,32
207000,split,463,423,360
207000,split,464,107,19
208000,split,466,123,23
208000,merge,464,107,19
209000,split,469,107,56
209000,extinct,466,0,23
212000,split,472,466,19
213000,split,473,436,36
214000,merge,453,107,8
214000,merge,463,423,454
219000,split,480,423,432
220000,extinct,420,0,16
223000,split,483,420,37
227000,extinct,472,0,15
229000,split,489,483,12
230000,split,490,423,449
231000,split,494,451,27
231000,extinct,483,0,17
231000,extinct,489,0,12
233000,merge,494,451,15
235000,split,500,123,7
237000,extinct,500,0,10
238000,split,504,451,10
251000,split,513,436,10
251000,extinct,451,0,17
255000,split,517,469,57
255000,split,518,469,5
256000,split,522,402,59
256000,extinct,518,0,5
257000,merge,522,402,59
260000,extinct,513,0,15
261000,split,528,279,8
263000,split,530,504,11
264000,extinct,504,0,8
266000,merge,528,279,7
267000,extinct,530,0,14
274000,split,541,436,57
274000,extinct,517,0,12
282000,extinct,541,0,20
290000,split,563,123,95
291000,extinct,480,0,6
294000,split,573,469,19
295000,merge,573,469,19
299000,split,579,107,35
299000,split,581,469,34
301000,extinct,469,0,30
302000,extinct,581,0,9
303000,extinct,436,0,10
303000,extinct,579,0,13
316000,split,600,123,111
316000,split,601,563,74
322000,extinct,563,0,12
322000,merge,600,123,16
323000,split,615,123,182
329000,split,624,123,102
330000,split,626,473,47
332000,split,630,624,28
335000,split,636,279,41
335000,extinct,626,0,6
339000,split,639,279,27
341000,merge,639,279,15
345000,split,643,615,8
345000,extinct,630,0,6
347000,split,648,107,115
347000,split,650,643,76
348000,merge,636,279,71
349000,extinct,601,0,20
350000,split,653,402,72
350000,extinct,615,0,11
350000,extinct,643,0,27
