step,event,lineage,other,size
5000,birth,1,0,942
5000,birth,2,0,365
5000,birth,3,0,840
5000,birth,4,0,21
6000,split,12,1,80
6000,split,13,2,188
6000,split,14,2,199
7000,split,18,1,102
8000,split,22,1,82
9000,split,26,1,217
9000,extinct,4,0,9
10000,split,28,12,9
11000,split,35,1,191
12000,split,39,1,50
12000,split,40,26,72
12000,extinct,22,0,7
13000,split,42,1,68
13000,split,44,35,39
13000,split,45,1,24
13000,split,47,22,99
13000,extinct,1,0,9
14000,split,53,26,16
15000,split,56,35,107
15000,extinct,45,0,24
16000,extinct,28,0,7
17000,split,61,26,21
18000,extinct,61,0,21
19000,split,66,26,172
19000,extinct,44,0,14
20000,split,68,12,51
20000,extinct,14,0,10
21000,split,71,40,11
21000,extinct,42,0,17
22000,split,75,18,133
22000,split,76,18,37
22000,split,77,13,8
23000,split,82,2,40
23000,split,83,12,82
24000,split,86,2,45
24000,extinct,12,0,5
25000,split,78,13,10
25000,split,88,40,159
25000,extinct,68,0,11
26000,extinct,77,0,7
28000,extinct,26,0,13
28000,extinct,56,0,29
29000,split,102,40,5
29000,split,103,13,23
29000,split,104,13,33
29000,split,105,88,90
30000,split,109,66,33
31000,split,112,76,21
31000,extinct,66,0,7
33000,split,121,71,74
34000,split,123,83,12
34000,extinct,53,0,24
34000,extinct,71,0,10
34000,extinct,112,0,21
36000,extinct,13,0,18
37000,split,128,83,9
37000,extinct,102,0,20
38000,extinct,76,0,10
38000,extinct,104,0,14
39000,split,135,88,15
39000,extinct,78,0,12
41000,extinct,82,0,7
43000,split,142,3,7
45000,extinct,123,0,45
46000,split,147,40,25
46000,extinct,142,0,6
47000,split,149,40,217
47000,merge,147,40,25
48000,split,150,47,21
48000,extinct,18,0,10
48000,extinct,105,0,5
50000,extinct,135,0,8
50000,extinct,150,0,7
53000,split,163,40,35
55000,split,167,75,14
56000,split,169,109,52
56000,extinct,167,0,14
57000,split,171,40,35
58000,split,165,109,18
59000,split,158,40,13
59000,split,177,109,17
59000,split,178,39,19
59000,extinct,128,0,10
60000,split,179,109,36
60000,merge,163,40,37
61000,extinct,39,0,16
64000,split,188,149,120
64000,extinct,121,0,16
64000,extinct,178,0,10
65000,extinct,158,0,7
65000,extinct,171,0,23
66000,split,192,188,72
69000,extinct,177,0,6
70000,extinct,109,0,5
