step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat
5000,1,942,7.4,0.0,0.1,0.0,7.3,0.0,1.02,17.7,127,331,21.48,0.00
5000,3,840,5.9,0.0,0.0,0.5,5.4,0.0,1.00,18.8,88,770,52.71,0.00
5000,2,365,9.0,0.1,0.1,0.2,8.6,0.0,1.07,16.9,89,211,15.45,0.00
5000,4,21,5.9,0.0,0.0,0.0,5.9,0.0,1.00,20.1,7,351,20.98,0.00
6000,3,1047,5.8,0.0,0.0,0.5,5.2,0.0,1.01,19.2,98,758,51.28,0.00
6000,1,727,7.7,0.1,0.1,0.1,7.3,0.0,1.04,17.8,114,324,20.37,0.00
6000,2,411,8.7,0.0,0.1,0.3,8.4,0.0,1.01,17.2,98,231,16.04,0.00
6000,14,199,4.3,0.0,0.1,0.1,4.1,0.0,1.00,22.1,34,875,53.63,0.00
6000,13,188,9.6,0.1,0.5,0.2,8.8,0.0,1.05,15.5,47,362,29.60,0.00
6000,12,80,7.2,0.1,0.0,0.0,7.1,0.0,1.06,16.5,24,548,35.31,0.00
6000,4,32,7.3,0.0,0.0,0.0,7.3,0.0,1.00,17.8,7,368,25.90,0.00
7000,3,1102,5.9,0.1,0.0,0.5,5.3,0.0,1.02,19.2,90,883,60.14,0.00
7000,1,607,7.9,0.1,0.2,0.0,7.6,0.0,1.02,17.4,99,322,20.98,0.01
7000,2,415,7.5,0.1,0.1,0.1,7.3,0.0,1.06,18.6,87,251,16.99,0.00
7000,14,205,4.9,0.1,0.1,0.1,4.6,0.0,1.02,21.7,39,866,51.40,0.00
7000,13,202,8.6,0.1,0.2,0.1,8.2,0.0,1.03,16.8,51,379,30.09,0.00
7000,18,102,9.0,0.2,0.0,0.8,8.1,0.0,1.06,15.5,26,244,16.51,0.00
7000,12,46,8.5,0.0,0.2,0.0,8.2,0.0,1.01,14.3,18,452,32.61,0.00
7000,4,12,9.8,0.0,0.0,0.0,9.8,0.0,1.00,14.7,5,428,33.87,0.00
8000,3,1319,5.6,0.0,0.0,0.5,5.1,0.0,1.00,19.4,112,833,56.55,0.00
8000,1,312,7.0,0.0,0.1,0.1,6.8,0.0,1.00,18.7,48,448,28.23,0.00
8000,2,236,8.2,0.0,0.0,0.2,8.0,0.0,1.02,18.2,71,349,23.35,0.00
8000,14,191,4.6,0.0,0.0,0.1,4.5,0.0,1.00,21.9,26,787,48.23,0.00
8000,18,157,8.6,0.0,0.0,0.2,8.3,0.0,1.01,15.8,33,202,14.09,0.00
8000,13,145,8.7,0.1,0.3,0.2,8.2,0.0,1.02,16.7,40,635,50.49,0.00
8000,22,82,8.3,0.0,0.0,0.0,8.3,0.0,1.00,17.4,25,271,17.79,0.00
8000,12,49,8.7,0.0,0.0,0.1,8.6,0.0,1.00,13.7,16,419,31.08,0.00
8000,4,9,9.1,0.0,0.0,0.0,9.1,0.0,1.00,15.3,2,427,35.09,0.00
9000,3,1544,5.9,0.0,0.0,0.6,5.2,0.0,1.02,19.0,163,730,51.04,0.00
9000,26,217,8.9,0.2,0.0,0.1,8.6,0.0,1.10,17.3,44,284,19.28,0.00
9000,2,197,7.3,0.1,0.0,0.0,7.2,0.0,1.04,19.0,48,320,20.59,0.00
9000,18,194,9.3,0.1,0.0,0.4,8.8,0.0,1.03,15.5,41,249,17.68,0.00
9000,14,163,5.5,0.0,0.0,0.2,5.3,0.0,1.00,20.8,23,887,57.26,0.00
9000,13,121,8.2,0.2,0.3,0.2,7.5,0.0,1.05,17.1,41,550,40.89,0.00
9000,1,98,6.7,0.0,0.0,0.0,6.6,0.0,1.00,19.4,19,359,22.97,0.00
9000,12,73,8.9,0.1,0.0,0.0,8.8,0.0,1.04,13.6,19,310,24.72,0.00
9000,22,26,7.7,0.0,0.0,0.0,7.7,0.0,1.00,17.5,8,366,25.13,0.00
10000,3,1544,6.0,0.0,0.0,0.7,5.2,0.0,1.01,19.0,159,800,58.57,0.00
10000,18,300,9.2,0.2,0.0,0.4,8.6,0.0,1.06,15.8,50,221,15.93,0.00
10000,26,225,8.5,0.1,0.1,0.1,8.2,0.0,1.04,17.5,40,273,18.83,0.02
10000,2,210,6.6,0.0,0.0,0.1,6.5,0.0,1.00,19.9,31,299,19.46,0.00
10000,14,157,6.1,0.0,0.0,0.3,5.8,0.0,1.01,20.1,28,713,49.53,0.00
10000,13,93,8.0,0.3,0.3,0.5,6.9,0.0,1.07,17.6,39,491,36.42,0.00
10000,22,48,7.6,0.0,0.0,0.0,7.6,0.0,1.00,17.6,13,281,18.73,0.00
10000,12,31,8.8,0.0,0.0,0.0,8.8,0.0,1.00,14.3,18,665,50.36,0.00
10000,1,25,6.8,0.0,0.0,0.1,6.7,0.0,1.00,19.2,7,493,29.91,0.00
10000,28,9,6.2,0.0,0.0,0.0,6.2,0.0,1.00,19.6,2,664,50.02,0.00
11000,3,1533,5.6,0.0,0.0,0.7,4.9,0.0,1.02,19.4,156,765,54.40,0.00
11000,18,379,9.4,0.1,0.0,0.6,8.7,0.0,1.01,15.6,65,243,17.49,0.00
11000,26,201,8.0,0.2,0.0,0.2,7.6,0.0,1.05,18.1,39,238,16.15,0.00
11000,35,191,5.6,0.0,0.1,0.0,5.5,0.0,1.00,20.4,37,585,41.62,0.00
11000,2,173,7.4,0.2,0.0,0.3,7.0,0.0,1.07,19.7,34,294,19.14,0.00
