step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,3014,1.409,0.036,11.88,260672,243755,671,10,14692,9139,1619789.6,849.3,0.435,0.186,0.161,0.114,0.105,478,7.54,4.31,0.07,0.69,0.09,0.90,0.11,0.91,7.27,4.00,0.00,0.08,0.008,0.060,514,0.139,0.873,0.002,0.000,0.125,240913,180066,9,0.444,0.082,0.047,947157,0.133,0.097,0.009,159.89,106581,357,0.093,0.100,0.000,3605862,1.03,18.98,0.000,0.003,0.001
20000,3254,1.362,0.031,11.24,319520,294303,2541,23,22413,1011,1613836.1,177.3,0.647,0.137,0.113,0.056,0.047,366,6.70,4.57,0.04,0.59,0.04,0.44,0.15,1.42,6.47,4.21,0.00,0.00,0.004,0.044,422,0.172,0.765,0.000,0.000,0.235,305707,266935,14,0.599,0.094,0.029,992579,0.098,0.091,0.007,161.83,131195,898,0.175,0.304,0.000,2031696,1.02,20.37,0.000,0.001,0.000
30000,3277,1.348,0.031,11.36,379425,348425,3591,16,27370,831,1600668.2,151.7,0.765,0.096,0.085,0.029,0.025,327,6.40,4.19,0.06,0.78,0.05,0.63,0.14,1.43,6.15,3.69,0.00,0.00,0.004,0.048,472,0.155,0.764,0.001,0.000,0.236,368269,343461,12,0.586,0.096,0.027,820927,0.114,0.100,0.010,162.17,154164,527,0.183,0.562,0.000,954257,1.03,20.57,0.000,0.007,0.000
40000,3324,1.369,0.029,11.93,351046,322657,3687,28,24627,1734,1602567.8,246.2,0.739,0.110,0.101,0.028,0.022,353,6.26,4.07,0.09,0.92,0.06,0.85,0.14,1.32,5.97,3.51,0.00,0.06,0.005,0.053,511,0.122,0.808,0.003,0.000,0.189,340355,313423,13,0.351,0.215,0.033,846641,0.108,0.085,0.006,162.01,143857,795,0.142,0.321,0.000,946437,1.04,20.63,0.000,0.012,0.002
50000,3354,1.377,0.033,11.56,344319,315401,3847,11,25030,700,1616575.9,92.2,0.727,0.111,0.103,0.032,0.027,346,5.90,3.93,0.06,0.91,0.05,0.83,0.11,1.41,5.68,3.37,0.00,0.04,0.005,0.061,452,0.130,0.811,0.001,0.000,0.188,333959,305918,17,0.537,0.090,0.024,1073706,0.097,0.095,0.008,161.94,138569,790,0.132,0.364,0.000,1066489,1.03,21.07,0.000,0.004,0.001
60000,3342,1.359,0.022,11.11,330642,301328,3753,9,25564,665,1592037.6,121.7,0.711,0.118,0.106,0.035,0.029,378,6.13,3.97,0.03,0.52,0.03,0.51,0.12,1.26,5.95,3.60,0.00,0.07,0.003,0.043,411,0.138,0.802,0.000,0.000,0.198,319243,287127,18,0.460,0.177,0.018,654917,0.113,0.075,0.004,162.00,133188,331,0.183,0.778,0.000,1180407,1.01,20.89,0.000,0.002,0.000
70000,3338,1.412,0.027,12.35,306196,278457,3453,0,24290,534,1605170.0,99.2,0.647,0.132,0.118,0.058,0.044,399,5.98,4.04,0.06,0.74,0.02,0.39,0.15,1.50,5.75,3.44,0.00,0.02,0.002,0.043,434,0.188,0.863,0.001,0.000,0.136,292651,256673,17,0.293,0.022,0.030,691948,0.124,0.076,0.005,162.19,127392,0,0.186,0.000,0.000,1185363,1.02,20.93,0.001,0.003,0.001
80000,3421,1.350,0.026,12.59,289705,262509,3142,12,23959,478,1598526.2,107.8,0.616,0.136,0.123,0.069,0.056,423,5.63,3.47,0.06,0.82,0.05,0.86,0.08,0.88,5.44,2.88,0.00,0.08,0.005,0.058,369,0.148,0.877,0.000,0.000,0.123,275356,238640,17,0.118,0.179,0.020,754622,0.135,0.068,0.003,162.23,115943,488,0.225,0.333,0.000,1389710,1.02,21.24,0.000,0.006,0.001
90000,3368,1.354,0.026,12.94,273423,247117,2838,11,23510,734,1564241.8,116.3,0.570,0.154,0.141,0.075,0.060,389,5.77,3.68,0.05,0.70,0.06,0.84,0.15,1.13,5.50,3.11,0.01,0.16,0.006,0.056,434,0.141,0.894,0.001,0.000,0.105,257362,215817,16,0.150,0.049,0.033,961034,0.126,0.068,0.003,162.08,116945,365,0.158,0.455,0.000,1530771,1.02,21.07,0.000,0.004,0.002
100000,3338,1.383,0.027,12.77,278802,251708,3119,8,23997,650,1578186.8,109.8,0.584,0.148,0.132,0.073,0.064,373,5.97,3.80,0.05,0.67,0.10,0.95,0.16,1.19,5.65,3.27,0.00,0.11,0.009,0.069,496,0.141,0.871,0.001,0.000,0.128,263248,224143,20,0.290,0.083,0.055,1191466,0.125,0.083,0.006,162.08,118943,1033,0.169,0.125,0.000,1338125,1.02,20.65,0.000,0.011,0.002
110000,3325,1.364,0.028,12.70,273353,247823,3270,5,22268,387,1565314.2,68.0,0.590,0.150,0.134,0.066,0.061,394,5.92,3.60,0.04,0.68,0.12,1.54,0.19,1.38,5.58,2.79,0.00,0.03,0.008,0.066,458,0.116,0.883,0.000,0.000,0.116,258046,219435,20,0.110,0.062,0.059,1601733,0.124,0.073,0.004,161.99,113813,955,0.176,0.000,0.000,1326493,1.02,20.59,0.000,0.010,0.001
120000,3285,1.401,0.029,12.56,274426,250199,3109,2,21156,473,1585307.9,82.9,0.583,0.151,0.127,0.070,0.070,383,6.02,3.85,0.04,0.59,0.10,0.91,0.16,1.14,5.73,3.29,0.00,0.11,0.008,0.062,477,0.129,0.877,0.001,0.000,0.121,257651,218060,18,0.130,0.063,0.049,1367413,0.132,0.079,0.005,162.24,111740,1220,0.175,0.000,0.000,1153224,1.01,20.65,0.000,0.011,0.002
130000,3321,1.392,0.026,12.93,268907,246080,2929,3,19859,641,1555086.0,100.1,0.579,0.161,0.136,0.062,0.062,384,5.97,3.86,0.05,0.66,0.15,0.98,0.13,1.12,5.65,3.36,0.00,0.02,0.016,0.085,462,0.092,0.871,0.000,0.000,0.129,253722,212784,19,0.125,0.080,0.035,1250220,0.142,0.075,0.005,162.15,109950,260,0.156,0.333,0.000,1487595,1.02,20.67,0.000,0.007,0.001
140000,3370,1.374,0.029,12.99,264264,240535,3133,3,20544,354,1545657.4,44.3,0.571,0.162,0.136,0.066,0.065,389,5.82,3.61,0.07,0.81,0.17,1.25,0.10,0.81,5.48,3.09,0.00,0.04,0.017,0.082,461,0.070,0.891,0.000,0.000,0.109,248716,207967,22,0.128,0.062,0.035,1165237,0.136,0.076,0.005,162.22,109651,916,0.125,0.667,0.000,1335076,1.03,20.85,0.000,0.002,0.001
150000,3357,1.336,0.027,13.10,258672,236143,2771,8,19763,642,1566858.8,115.3,0.533,0.174,0.147,0.072,0.075,347,5.84,3.30,0.07,0.66,0.14,1.06,0.06,0.65,5.57,2.87,0.00,0.03,0.014,0.081,407,0.094,0.895,0.000,0.000,0.105,243053,196676,20,0.153,0.080,0.019,1000354,0.151,0.071,0.004,162.36,110938,195,0.180,0.250,0.000,1551819,1.03,20.64,0.000,0.003,0.001
160000,3343,1.378,0.025,13.48,263086,240936,2868,8,19288,675,1563749.5,109.5,0.549,0.169,0.145,0.068,0.070,368,5.79,3.50,0.08,0.83,0.08,0.80,0.08,0.91,5.55,2.98,0.01,0.13,0.006,0.059,385,0.124,0.876,0.001,0.000,0.123,249887,202494,16,0.138,0.072,0.020,815537,0.144,0.072,0.004,162.50,112092,274,0.162,0.250,0.000,1737503,1.03,20.77,0.000,0.005,0.003
170000,3393,1.337,0.020,13.39,295318,270290,3358,1,21619,430,1555782.4,57.4,0.656,0.128,0.111,0.054,0.052,338,5.88,3.81,0.11,0.97,0.05,0.68,0.10,0.94,5.62,3.43,0.00,0.06,0.004,0.050,431,0.100,0.789,0.002,0.001,0.208,284275,246809,15,0.279,0.067,0.024,575792,0.140,0.066,0.003,162.44,124776,1,0.133,1.000,0.001,1263654,1.05,20.70,0.000,0.006,0.001
180000,3363,1.335,0.019,13.78,326167,297787,3881,13,24516,898,1579219.1,166.2,0.697,0.120,0.103,0.039,0.041,305,5.80,3.25,0.11,1.03,0.07,0.89,0.09,1.16,5.53,2.69,0.00,0.10,0.006,0.061,379,0.075,0.823,0.001,0.000,0.175,315692,281093,14,0.322,0.104,0.014,691911,0.133,0.060,0.002,162.54,140095,848,0.185,0.231,0.000,1193761,1.05,20.65,0.000,0.010,0.003
190000,3407,1.331,0.020,13.81,310366,279870,3764,6,26682,750,1584727.0,113.8,0.651,0.140,0.117,0.045,0.047,308,5.74,3.53,0.08,0.68,0.07,0.86,0.12,1.01,5.46,3.05,0.00,0.12,0.005,0.050,416,0.107,0.886,0.001,0.000,0.113,300551,259121,15,0.297,0.021,0.028,565438,0.154,0.065,0.003,162.67,135504,590,0.152,0.333,0.000,1541656,1.03,20.57,0.000,0.007,0.001
200000,3340,1.368,0.020,13.81,307457,278604,3835,2,25083,686,1578571.2,103.4,0.680,0.129,0.110,0.040,0.041,320,5.92,3.64,0.05,0.54,0.06,0.65,0.16,1.71,5.65,3.14,0.00,0.11,0.005,0.051,448,0.069,0.847,0.001,0.000,0.152,299099,260285,15,0.284,0.048,0.023,624684,0.128,0.067,0.004,162.61,125447,1203,0.151,0.500,0.000,1640359,1.02,20.45,0.000,0.006,0.001
