step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,6,6,0,0,0,6,0,1.00,20,0.000,2993,2.47,255.02,0.00,131
100000,9,9,0,0,0,9,0,1.00,12,0.000,2991,2.24,216.70,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2988,1.39,176.37,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2985,2.25,217.42,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2984,2.25,235.82,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2982,2.04,183.14,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2972,1.78,171.46,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2961,1.21,188.00,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2958,1.71,155.56,0.00,51
100000,6,6,0,0,0,6,0,1.00,20,0.000,2949,2.23,178.52,0.00,55
100000,20,20,0,0,0,20,0,1.00,6,0.000,2945,2.04,269.28,0.00,131
100000,5,5,0,0,0,5,0,1.00,22,0.000,2933,2.31,198.93,0.00,179
100000,6,6,0,0,0,6,0,1.00,20,0.000,2922,1.57,210.80,0.00,80
100000,7,7,0,0,4,3,0,1.00,18,0.000,2914,2.11,170.30,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2911,1.28,161.87,0.00,51
100000,3,3,0,0,0,3,0,1.00,24,0.000,2910,1.24,168.45,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2909,2.22,164.16,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2903,1.59,170.57,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2902,1.16,189.81,0.00,221
100000,5,5,0,0,0,5,0,1.00,22,0.000,2898,0.89,149.48,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2897,0.36,147.14,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2892,1.75,170.70,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2881,2.40,245.40,0.00,12
100000,15,15,0,0,0,15,0,1.00,8,0.000,2880,1.89,242.17,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2879,2.26,155.95,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2860,1.84,167.10,0.00,49
100000,15,15,0,0,0,15,0,1.00,8,0.000,2860,1.81,255.23,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2859,1.65,185.04,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2856,2.29,136.79,0.00,154
100000,18,18,0,0,0,18,0,1.00,10,0.000,2855,1.99,251.52,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2853,1.73,171.12,0.00,80
100000,6,6,0,0,2,4,0,1.00,20,0.000,2852,2.56,218.80,0.00,55
100000,6,6,0,0,1,5,0,1.00,20,0.000,2850,1.91,239.44,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2844,2.23,125.84,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2836,1.90,177.37,0.00,80
