step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,4,10,0,1,0,3,0,1.00,22,0.250,2758,1.37,297.15,0.00,2
100000,7,10,0,1,0,6,0,1.00,16,0.143,2654,1.17,303.03,0.00,2
100000,53,64,42,8,0,3,3,11.88,0,0.151,2589,5.19,228.43,436.17,43
100000,50,64,41,8,0,1,4,10.19,0,0.160,2466,2.64,56.38,673.63,81
100000,54,64,42,8,0,4,3,11.09,0,0.148,2033,3.35,175.17,328.01,43
100000,8,10,0,2,0,6,0,1.00,14,0.250,1957,2.45,214.30,0.00,2
100000,64,64,0,0,0,64,0,1.00,0,0.000,1570,7.96,1608.14,0.00,98
100000,60,64,45,14,0,1,4,12.62,0,0.233,1477,5.15,62.36,340.53,43
100000,35,49,1,16,0,18,1,1.13,2,0.457,1236,2.87,482.03,0.25,2
100000,61,64,45,14,0,2,4,12.09,0,0.230,1214,3.86,56.86,267.35,43
100000,63,64,48,14,0,1,4,13.47,0,0.222,1204,7.59,23.26,339.67,81
100000,11,64,8,0,0,3,0,4.12,16,0.000,1191,0.55,107.92,6.56,43
100000,54,64,44,10,0,0,4,13.50,0,0.185,1129,5.23,43.04,257.92,34
100000,8,64,4,0,0,4,0,2.57,18,0.000,1053,2.15,99.02,3.01,43
100000,7,64,3,0,0,4,0,2.25,20,0.000,1006,2.00,115.40,6.65,43
100000,62,64,45,14,0,3,4,11.56,0,0.226,999,3.11,65.64,232.02,43
100000,54,64,42,8,0,4,3,11.62,0,0.148,981,3.96,87.75,129.38,43
100000,55,64,42,8,0,5,3,11.34,0,0.145,978,5.65,107.56,137.38,43
100000,64,64,0,0,0,64,0,1.00,0,0.000,977,7.90,639.12,0.00,2
100000,63,64,48,14,0,1,4,13.47,0,0.222,975,7.22,21.12,278.37,81
100000,5,41,2,0,0,3,0,1.67,20,0.000,966,1.93,103.10,0.52,2
100000,55,64,42,8,0,5,3,11.09,0,0.145,961,2.84,97.56,114.66,43
100000,12,64,6,2,0,4,1,3.25,16,0.167,960,1.16,96.77,0.16,2
100000,36,36,0,0,0,36,0,1.00,0,0.000,930,2.84,630.46,0.00,2
100000,55,64,42,8,0,5,3,11.34,0,0.145,929,5.58,115.51,103.65,43
100000,3,32,0,0,0,3,0,1.00,24,0.000,928,0.80,73.28,0.00,2
100000,8,64,4,0,0,4,0,2.57,18,0.000,908,0.68,89.44,5.84,43
100000,48,62,4,34,0,10,1,1.17,2,0.708,868,3.20,169.87,0.00,2
100000,36,36,0,0,0,36,0,1.00,0,0.000,853,4.79,529.19,0.00,2
100000,56,64,45,10,0,1,4,12.81,0,0.179,850,2.75,28.90,222.15,34
100000,62,64,45,14,0,3,4,11.56,0,0.226,831,4.16,47.09,175.27,43
100000,55,64,44,10,0,1,4,12.53,0,0.182,813,2.16,38.03,177.46,34
100000,34,36,0,0,0,34,0,1.00,0,0.000,793,2.05,498.71,0.00,2
100000,56,64,42,8,0,6,3,11.09,0,0.143,782,4.01,91.20,141.35,43
100000,57,64,44,8,0,5,3,11.47,0,0.140,781,7.12,78.12,157.62,43
100000,54,64,42,8,0,4,3,11.09,0,0.148,769,5.97,84.63,139.61,43
100000,54,64,42,8,0,4,3,11.09,0,0.148,755,6.86,72.98,121.48,43
100000,11,64,8,0,0,3,0,3.78,14,0.000,726,3.02,60.77,6.56,43
100000,4,59,2,0,0,2,0,2.60,22,0.000,711,0.24,45.16,3.72,43
100000,26,26,0,13,0,13,0,1.00,2,0.500,707,3.07,155.09,0.00,2
100000,16,64,10,0,0,6,0,4.30,12,0.000,696,2.41,83.82,2.92,43
100000,13,64,8,0,0,5,0,3.50,14,0.000,694,1.93,79.01,2.88,43
100000,62,64,45,14,0,3,4,11.56,0,0.226,686,5.09,47.87,159.76,43
100000,13,13,0,0,0,13,0,1.00,10,0.000,679,1.43,161.46,0.00,2
100000,9,64,4,0,0,5,0,2.38,16,0.000,679,2.73,71.64,4.32,43
100000,35,36,0,0,0,35,0,1.00,0,0.000,674,3.01,382.31,0.00,2
100000,13,64,8,0,0,5,0,3.78,14,0.000,665,1.36,66.85,2.46,43
100000,7,64,2,0,0,5,0,2.14,18,0.000,665,1.73,74.80,2.13,43
100000,2,56,0,0,0,2,0,1.00,26,0.000,660,1.95,35.03,0.00,43
100000,9,64,4,0,0,5,0,2.38,16,0.000,659,0.43,77.78,4.04,43
100000,60,64,45,14,0,1,4,12.53,0,0.233,654,4.46,34.41,157.38,43
100000,61,64,45,14,0,2,4,11.56,0,0.230,652,4.40,41.82,154.22,43
