step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat
5000,1,1732,10.2,0.1,0.6,0.3,9.1,0.0,1.04,17.8,478,485,62.91,0.00
5000,3,370,15.0,0.1,0.2,1.6,13.1,0.0,1.03,11.0,97,431,73.94,0.00
5000,4,66,23.8,2.9,0.2,0.8,19.9,0.1,1.86,7.2,36,417,103.66,0.02
5000,2,54,15.4,0.3,0.4,0.1,14.6,0.1,1.08,15.4,20,282,28.33,0.00
5000,5,12,14.3,0.0,0.0,1.2,13.2,0.0,1.00,11.5,4,348,64.90,0.00
6000,1,1947,10.3,0.1,0.6,0.3,9.3,0.0,1.06,17.7,547,486,62.62,0.00
6000,3,151,14.4,0.0,0.3,1.5,12.5,0.0,1.00,11.4,58,614,105.55,0.00
6000,4,66,23.5,3.0,0.2,0.3,20.1,0.1,1.63,7.5,32,424,99.33,0.04
6000,2,33,15.3,0.4,2.1,0.0,12.8,0.1,1.13,15.3,13,166,20.95,0.03
6000,5,5,10.0,0.0,0.0,0.0,10.0,0.0,1.00,14.4,3,634,102.74,0.00
7000,1,2036,9.8,0.3,0.5,0.3,8.9,0.0,1.09,18.0,543,435,56.16,0.00
7000,2,72,13.8,0.9,1.5,0.0,11.5,0.1,1.23,16.4,26,206,18.33,0.01
7000,3,50,10.9,0.7,0.8,0.7,8.8,0.2,1.17,14.1,16,627,96.82,0.00
7000,4,8,21.2,2.9,0.0,2.2,16.1,0.0,1.61,9.0,5,1131,252.81,0.03
8000,1,1997,10.0,0.1,0.4,0.2,9.2,0.0,1.04,17.7,579,494,65.31,0.00
8000,18,272,10.6,0.0,0.1,0.6,9.8,0.0,1.00,17.9,76,345,45.61,0.00
8000,3,44,11.1,0.0,0.1,0.0,11.0,0.0,1.00,13.7,12,619,84.57,0.00
8000,22,24,21.7,0.0,0.0,4.5,17.1,0.0,1.00,11.6,13,87,11.07,0.00
9000,1,2108,9.8,0.2,0.3,0.3,9.0,0.0,1.07,17.9,526,548,71.76,0.00
9000,18,385,12.9,0.0,0.2,0.6,12.1,0.0,1.00,16.5,105,368,57.08,0.00
9000,24,81,13.8,0.3,0.7,2.6,10.3,0.0,1.09,14.7,46,394,56.56,0.00
9000,25,17,9.1,0.0,1.1,0.4,7.6,0.0,1.00,18.0,7,486,55.04,0.00
9000,22,6,9.5,0.0,2.7,0.0,6.8,0.0,1.00,18.3,3,106,7.85,0.00
10000,1,1855,10.0,0.1,0.3,0.2,9.4,0.0,1.05,17.9,456,483,61.27,0.00
10000,18,497,11.9,0.0,0.1,1.1,10.7,0.0,1.00,17.2,127,262,31.33,0.00
10000,24,278,9.8,0.2,0.6,0.7,8.3,0.0,1.05,18.0,114,365,42.63,0.00
10000,27,25,9.0,0.6,1.4,0.2,6.8,0.0,1.24,18.7,8,488,35.87,0.02
10000,25,23,6.0,0.2,0.0,0.0,5.9,0.0,1.05,21.2,11,485,49.76,0.00
10000,22,10,7.8,0.0,0.0,0.0,7.8,0.0,1.00,19.6,4,170,12.65,0.00
11000,1,1871,10.1,0.2,0.3,0.3,9.3,0.0,1.07,17.8,457,487,64.64,0.00
11000,18,525,13.1,0.1,0.2,1.6,11.2,0.0,1.02,16.4,157,343,47.02,0.00
11000,27,79,6.6,0.1,0.8,0.2,5.6,0.0,1.05,21.0,26,281,17.69,0.00
11000,24,74,7.6,0.0,0.3,0.2,7.1,0.0,1.00,19.7,24,593,60.18,0.00
11000,22,57,12.1,0.0,0.1,0.1,11.9,0.0,1.00,16.6,28,252,19.58,0.00
11000,25,25,5.8,0.0,0.4,0.0,5.4,0.0,1.00,21.1,11,937,93.06,0.00
11000,32,25,7.9,0.7,0.0,0.0,7.2,0.0,1.27,17.1,10,379,57.14,0.00
12000,1,1859,9.3,0.1,0.3,0.2,8.6,0.0,1.03,18.2,397,497,62.81,0.00
12000,18,476,13.5,0.0,0.1,1.5,11.9,0.0,1.00,16.1,153,375,53.85,0.00
12000,27,103,6.7,0.1,0.3,0.3,5.9,0.0,1.05,21.2,27,314,19.84,0.00
12000,24,57,7.1,0.3,0.9,0.0,5.9,0.0,1.12,20.9,18,850,84.20,0.00
12000,22,23,9.1,0.0,0.1,0.2,8.7,0.0,1.00,19.0,8,192,14.00,0.00
12000,32,18,6.8,0.0,0.0,0.0,6.8,0.0,1.00,18.7,6,381,43.10,0.00
12000,25,10,14.4,0.0,9.6,0.0,4.8,0.0,1.00,18.0,6,1378,114.78,0.00
13000,1,2200,9.0,0.2,0.2,0.3,8.3,0.0,1.07,18.5,462,457,52.33,0.00
13000,18,444,14.4,0.0,0.1,2.0,12.3,0.0,1.00,15.9,150,388,56.27,0.00
13000,27,101,8.1,0.1,0.6,0.2,7.1,0.0,1.05,20.3,29,394,26.24,0.00
13000,24,19,4.5,0.0,0.1,0.0,4.5,0.0,1.00,23.3,6,1119,98.32,0.00
13000,32,15,7.7,0.0,1.7,0.0,6.0,0.0,1.00,18.5,4,739,83.99,0.00
13000,25,5,11.0,0.0,0.0,0.0,11.0,0.0,1.00,16.0,1,228,26.93,0.00
14000,1,2158,8.2,0.1,0.3,0.2,7.6,0.0,1.05,19.1,420,537,61.25,0.00
14000,18,640,12.9,0.1,0.0,0.8,12.0,0.0,1.02,16.7,168,314,42.03,0.00
14000,27,118,7.2,0.0,0.2,0.3,6.7,0.0,1.00,20.4,30,233,16.78,0.00
14000,32,12,6.8,0.8,0.2,0.0,5.9,0.1,1.33,18.2,6,756,76.26,0.01
15000,1,1818,8.7,0.2,0.3,0.1,8.1,0.0,1.06,18.8,400,543,62.99,0.00
15000,18,687,13.7,0.0,0.0,1.4,12.3,0.0,1.01,16.1,217,314,41.11,0.00
15000,27,174,8.2,0.0,0.2,0.9,7.1,0.0,1.00,19.6,51,296,21.74,0.00
15000,32,30,8.0,1.3,0.5,0.0,6.2,0.0,1.61,16.7,9,418,41.79,0.01
16000,1,2197,7.6,0.1,0.3,0.2,7.1,0.0,1.04,19.3,376,489,49.81,0.00
16000,18,600,11.9,0.0,0.0,1.1,10.8,0.0,1.01,17.1,179,411,56.14,0.00
16000,27,107,8.5,0.1,0.4,0.7,7.3,0.0,1.03,19.4,41,444,32.24,0.00
16000,32,12,7.3,1.2,0.0,0.0,6.2,0.0,1.54,17.0,5,916,104.75,0.04
17000,1,2024,8.0,0.2,0.3,0.2,7.3,0.0,1.06,18.9,343,499,52.78,0.00
17000,18,406,12.6,0.0,0.0,1.3,11.2,0.0,1.00,16.7,144,524,76.59,0.00
17000,27,111,8.4,0.0,0.3,0.7,7.3,0.0,1.02,19.6,34,318,21.98,0.00
17000,32,19,8.5,2.6,0.0,0.0,5.8,0.0,2.25,14.6,6,766,86.25,0.04
18000,1,1881,7.8,0.1,0.3,0.2,7.3,0.0,1.03,19.0,321,605,62.66,0.00
18000,18,508,12.0,0.0,0.0,1.0,11.0,0.0,1.01,17.1,188,474,72.26,0.00
18000,27,37,8.0,0.0,0.4,0.5,7.1,0.0,1.00,20.2,15,542,34.80,0.00
18000,32,16,7.4,2.1,0.0,0.0,5.2,0.0,2.00,17.8,7,424,37.46,0.00
19000,1,2163,7.7,0.2,0.2,0.2,7.2,0.0,1.05,18.9,350,460,48.75,0.00
19000,18,253,11.4,0.0,0.0,1.2,10.1,0.0,1.02,17.5,99,558,77.54,0.00
19000,27,42,6.2,0.0,0.0,0.2,6.0,0.0,1.00,21.0,9,324,19.02,0.00
19000,47,25,7.3,0.0,0.0,0.0,7.3,0.0,1.00,20.4,7,299,17.74,0.00
20000,1,2376,7.9,0.1,0.3,0.2,7.4,0.0,1.05,18.7,450,508,55.39,0.00
20000,18,298,9.7,0.1,0.0,0.7,8.9,0.0,1.05,18.8,94,373,44.29,0.00
20000,27,78,8.7,0.0,0.0,0.8,7.9,0.0,1.00,19.3,27,307,20.44,0.00
21000,1,1864,8.1,0.1,0.2,0.2,7.6,0.0,1.03,18.2,311,500,55.17,0.00
21000,18,164,11.3,0.0,0.1,0.3,10.8,0.0,1.02,17.4,59,427,61.50,0.00
21000,50,107,8.4,0.0,0.0,0.0,8.4,0.0,1.00,19.1,29,184,13.48,0.00
21000,27,60,11.0,0.1,0.0,0.2,10.8,0.0,1.02,17.8,18,173,13.51,0.00
22000,1,2001,8.0,0.1,0.2,0.3,7.4,0.0,1.04,18.5,344,481,51.85,0.00
22000,18,214,11.8,0.1,0.1,0.5,11.2,0.0,1.03,17.2,68,603,87.55,0.00
22000,50,174,7.9,0.0,0.0,0.0,7.9,0.0,1.00,19.5,43,197,13.93,0.00
22000,27,23,10.4,0.0,0.0,0.2,10.2,0.0,1.00,17.8,10,266,26.27,0.00
23000,1,2342,8.2,0.1,0.3,0.3,7.5,0.0,1.04,18.5,417,447,48.90,0.00
