step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,6,6,0,0,0,6,0,1.00,22,0.000,2988,2.09,202.95,0.00,29,8,8
100000,58,64,42,14,0,2,4,10.91,0,0.241,2978,4.10,168.92,705.87,198,0,1
100000,5,5,0,0,0,5,0,1.00,20,0.000,2972,2.27,212.54,0.00,147,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2961,1.63,239.50,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2957,1.98,180.77,0.00,147,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2947,0.49,163.53,0.00,147,8,8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2935,1.53,197.55,0.00,147,8,8
100000,57,63,41,13,0,3,4,9.56,0,0.228,2932,7.38,296.53,660.53,191,1,1
100000,5,5,0,0,0,5,0,1.00,20,0.000,2931,2.35,193.31,0.00,147,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2926,1.68,186.74,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2917,1.10,195.35,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2911,2.00,245.57,0.00,204,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2888,1.17,228.35,0.00,147,8,8
100000,2,2,0,0,0,2,0,1.00,26,0.000,2862,1.66,114.12,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2861,1.10,162.31,0.00,241,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2853,1.21,195.64,0.00,146,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2850,1.18,149.25,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2849,2.05,154.45,0.00,101,8,8
100000,8,9,0,0,0,8,0,1.00,18,0.000,2841,1.00,244.76,0.00,147,8,8
100000,15,15,0,0,0,15,0,1.00,12,0.000,2838,0.94,201.37,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2814,1.25,141.76,0.00,147,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2814,1.24,195.63,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2810,1.75,239.75,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2810,1.27,242.09,0.00,204,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2808,1.08,134.38,0.00,101,8,8
100000,4,7,0,0,0,4,0,1.00,22,0.000,2807,2.15,168.06,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2806,1.32,266.30,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2794,1.99,235.11,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2771,1.70,218.02,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2768,1.26,173.67,0.00,147,8,8
100000,8,8,0,0,0,8,0,1.00,16,0.000,2743,2.18,263.73,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2738,0.81,192.43,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2734,1.36,150.38,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2732,1.95,140.90,0.00,147,8,8
100000,3,4,0,0,0,3,0,1.00,24,0.000,2727,2.02,148.62,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2715,2.55,222.39,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2702,2.38,214.80,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2696,2.32,170.53,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2693,0.78,176.01,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2690,0.37,164.88,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2685,1.19,160.15,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2679,1.89,159.73,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2677,0.81,195.98,0.00,204,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2672,2.33,159.16,0.00,147,8,8
100000,2,8,0,0,0,2,0,1.00,26,0.000,2670,1.72,168.09,0.00,60,1,1
100000,5,5,0,0,0,5,0,1.00,20,0.000,2661,1.84,194.25,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2656,2.33,184.69,0.00,241,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2654,1.88,191.26,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2653,2.00,149.22,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2653,1.55,148.69,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2652,2.19,196.04,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2649,1.34,187.86,0.00,204,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2647,2.01,196.99,0.00,29,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2633,1.75,174.05,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2621,1.78,143.41,0.00,29,8,8
