step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone
5000,3,313,22.5,0.0,1.7,0.2,20.6,0.0,1.01,9.5,123,89,23.05,0.00,0,305,8
5000,5,203,63.7,4.0,1.6,4.3,53.8,0.2,1.77,0.0,64,75,51.51,0.02,4,199,0
5000,2,143,10.7,0.1,0.0,0.0,10.6,0.0,1.02,17.5,53,211,15.60,0.00,141,0,2
5000,7,41,11.8,0.0,1.2,0.2,10.3,0.0,1.00,16.6,12,340,30.46,0.00,39,0,2
6000,17,840,10.2,0.1,0.0,0.2,9.7,0.0,1.05,17.7,172,165,13.30,0.00,779,0,61
6000,5,219,63.7,14.5,1.3,7.3,40.6,0.3,4.07,0.0,91,68,45.30,0.02,0,213,6
6000,3,205,19.9,0.1,1.4,0.0,18.4,0.1,1.03,7.8,110,64,15.01,0.01,0,204,1
6000,2,113,10.4,0.0,0.0,0.1,10.3,0.0,1.00,17.8,34,262,19.00,0.00,110,0,3
6000,20,92,16.3,0.0,0.3,1.0,15.1,0.0,1.00,12.5,43,228,54.30,0.00,0,87,5
6000,18,41,7.7,0.0,0.0,0.0,7.7,0.0,1.00,17.5,18,189,12.51,0.00,38,0,3
6000,7,26,8.2,0.0,0.3,0.0,7.9,0.0,1.00,19.1,7,524,42.24,0.00,23,0,3
7000,17,938,9.6,0.2,0.0,0.1,9.3,0.0,1.06,18.2,159,174,13.89,0.00,829,17,92
7000,22,139,9.8,0.3,0.1,1.0,8.4,0.0,1.06,16.9,28,199,14.96,0.00,126,1,12
7000,5,136,62.9,10.4,0.5,3.7,48.4,0.1,3.00,0.0,51,131,88.56,0.07,0,130,6
7000,2,94,9.9,0.0,0.0,0.1,9.7,0.0,1.00,18.4,27,283,19.11,0.00,94,0,0
7000,3,64,24.2,0.0,3.1,0.0,21.1,0.0,1.00,6.4,36,131,41.23,0.00,0,63,1
7000,7,33,8.4,0.0,0.6,0.1,7.7,0.0,1.00,18.1,12,375,26.37,0.00,32,0,1
7000,20,30,9.5,0.0,0.1,0.0,9.3,0.0,1.00,18.3,15,144,16.51,0.00,0,28,2
7000,18,27,6.4,0.0,0.0,0.0,6.4,0.0,1.00,20.2,7,222,13.37,0.00,25,0,2
8000,17,873,12.4,0.0,0.0,0.1,12.3,0.0,1.02,16.8,194,165,15.78,0.00,713,101,59
8000,3,499,19.2,0.0,1.8,0.0,17.4,0.0,1.01,9.9,203,83,20.79,0.00,0,483,16
8000,2,135,9.4,0.0,0.0,0.3,9.1,0.0,1.01,18.7,47,273,17.97,0.00,133,2,0
8000,22,132,10.3,0.0,0.0,0.9,9.3,0.0,1.00,16.9,31,207,16.48,0.00,126,2,4
8000,7,36,9.2,0.0,0.5,0.0,8.7,0.0,1.00,17.3,7,512,36.21,0.00,33,2,1
8000,18,9,5.4,0.0,0.0,0.0,5.4,0.0,1.00,21.1,4,299,17.01,0.00,9,0,0
9000,17,1083,11.0,0.3,0.1,0.4,10.2,0.0,1.10,17.0,247,169,15.18,0.02,813,176,94
9000,3,465,20.7,0.0,0.6,0.0,20.1,0.0,1.01,10.4,160,70,17.41,0.00,0,455,10
9000,2,131,8.5,0.0,0.0,0.1,8.5,0.0,1.00,19.0,43,339,21.89,0.00,127,0,4
9000,22,125,9.2,0.0,0.1,0.3,8.7,0.0,1.00,17.5,21,240,18.19,0.00,114,0,11
9000,7,37,8.7,0.0,0.6,0.0,8.1,0.0,1.00,17.6,5,595,41.76,0.00,30,6,1
9000,18,5,5.0,0.0,0.0,0.0,5.0,0.0,1.00,22.0,1,282,15.15,0.00,5,0,0
10000,17,1435,13.0,0.2,0.2,0.5,12.2,0.0,1.06,15.7,338,173,16.41,0.02,915,429,91
10000,3,470,18.6,0.0,1.0,0.0,17.6,0.0,1.00,11.4,159,76,15.60,0.00,0,463,7
10000,2,142,9.4,0.0,0.0,0.0,9.4,0.0,1.00,18.5,51,298,19.28,0.00,140,0,2
