step,event,lineage,other,size
5000,birth,1,0,1440
5000,birth,3,0,187
5000,birth,4,0,162
5000,birth,7,0,124
8000,split,21,4,11
9000,extinct,21,0,11
13000,merge,3,1,56
14000,split,30,1,129
14000,split,32,1,72
15000,split,34,1,307
15000,split,35,1,260
16000,split,36,34,27
16000,split,37,34,34
17000,split,39,1,267
17000,split,41,36,25
18000,split,44,1,20
18000,extinct,36,0,6
19000,extinct,41,0,8
20000,extinct,7,0,118
20000,merge,30,1,173
20000,merge,44,1,22
21000,merge,35,1,355
21000,extinct,37,0,12
22000,extinct,4,0,14
22000,extinct,34,0,15
25000,split,57,39,335
25000,split,58,1,58
25000,split,59,1,106
25000,split,60,1,84
26000,split,55,4,25
26000,split,62,1,372
26000,merge,39,57,144
26000,merge,59,32,106
30000,merge,60,62,149
31000,split,69,57,305
31000,split,70,32,54
31000,split,71,58,112
35000,split,78,62,65
35000,merge,57,69,71
37000,split,80,62,311
37000,split,83,32,86
38000,split,84,62,163
38000,extinct,55,0,26
38000,merge,58,71,12
39000,split,81,32,63
39000,merge,80,62,316
40000,split,91,69,165
41000,extinct,69,0,22
44000,split,95,62,344
44000,split,96,62,265
44000,split,97,62,81
46000,split,101,1,40
49000,split,103,83,20
49000,extinct,101,0,10
52000,extinct,103,0,5
53000,merge,97,62,63
54000,split,107,84,89
56000,extinct,107,0,27
57000,extinct,78,0,6
58000,split,111,62,490
58000,split,112,62,24
58000,split,113,81,34
58000,extinct,83,0,15
62000,extinct,95,0,5
62000,merge,96,111,89
63000,split,121,62,538
65000,merge,81,113,48
66000,split,125,84,136
67000,split,126,111,208
68000,extinct,70,0,6
70000,split,130,113,68
70000,split,131,1,24
70000,extinct,62,0,21
71000,extinct,125,0,65
73000,split,134,125,51
74000,extinct,32,0,24
74000,extinct,126,0,10
75000,split,136,134,10
75000,extinct,91,0,8
76000,extinct,131,0,22
77000,split,132,62,11
77000,extinct,112,0,22
78000,extinct,136,0,7
81000,extinct,132,0,6
85000,extinct,121,0,121
86000,split,146,111,11
86000,split,147,121,573
90000,split,152,111,443
93000,split,154,111,73
95000,merge,154,111,187
97000,split,156,84,153
97000,split,157,84,56
100000,split,168,152,5
101000,extinct,168,0,5
102000,split,158,84,12
102000,extinct,146,0,9
103000,split,174,84,73
105000,split,178,152,18
106000,split,180,152,8
107000,split,182,113,632
108000,extinct,1,0,10
111000,split,191,152,24
112000,extinct,191,0,24
113000,extinct,180,0,9
114000,split,198,113,92
119000,extinct,158,0,7
120000,extinct,178,0,9
121000,split,209,182,16
122000,extinct,209,0,16
123000,split,214,111,10
123000,merge,130,113,47
125000,split,216,152,20
127000,extinct,216,0,5
128000,split,220,113,121
128000,split,222,157,66
128000,split,223,71,13
128000,extinct,214,0,10
131000,split,228,152,306
132000,extinct,223,0,6
137000,split,235,228,164
142000,split,242,111,195
143000,extinct,156,0,19
144000,merge,111,242,156
145000,extinct,220,0,6
150000,extinct,235,0,6
151000,split,256,242,50
151000,split,259,228,21
152000,split,260,242,253
153000,extinct,228,0,10
