step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
10000,8281,1.652,0.021,10.01,1011920,990416,739,497,18173,325125,5304799.5,29677.4,0.473,0.111,0.115,0.136,0.166,140,17.78,20.32,1.22,5.02,0.33,2.04,0.20,1.94,16.03,18.75,0.05,0.38,0.013,0.065,1851,0.070,0.738,0.030,0.000,0.232,961798,804485,21,0.334,0.263,0.028,6431503,0.092,0.116,0.000,649.59,388751,355,0.091,0.390,0.003,31462605,1.32,14.93,0.118,0.128,0.022,4,8,64,64,4462,51,4.16,0.0040,0.015,215
20000,9173,1.558,0.018,9.89,1139200,1105551,3559,1891,27307,421221,4673517.5,40900.7,0.630,0.070,0.068,0.108,0.124,125,14.57,16.80,1.39,5.91,0.68,3.74,0.44,2.88,12.06,14.76,0.10,0.61,0.020,0.090,2107,0.039,0.711,0.048,0.003,0.238,1106755,999295,37,0.587,0.124,0.057,4436695,0.057,0.131,0.000,653.16,432899,425,0.097,0.255,0.027,33715634,1.42,16.01,0.054,0.156,0.032,4,7,45,64,4567,65,0.59,0.0042,0.015,217
30000,9337,1.550,0.017,10.05,1182954,1135289,4958,13539,29004,3591996,4436001.0,252157.0,0.659,0.077,0.077,0.084,0.103,118,14.28,16.06,1.28,6.11,0.57,3.00,0.32,2.38,12.11,13.46,0.07,0.50,0.020,0.088,1819,0.054,0.720,0.029,0.002,0.248,1149267,1057300,33,0.336,0.237,0.052,4522608,0.064,0.103,0.000,639.71,437902,76,0.070,0.633,0.011,71337969,1.36,16.16,0.041,0.079,0.023,4,7,38,64,4949,54,14.04,0.0039,0.014,284
40000,9371,1.561,0.017,9.87,1212134,1170052,5127,7387,29534,2430411,4524846.5,174837.1,0.653,0.081,0.080,0.083,0.104,114,14.14,16.25,1.48,6.65,0.46,3.29,0.29,2.42,11.91,13.76,0.08,0.55,0.014,0.081,1559,0.043,0.708,0.029,0.002,0.261,1178067,1083990,40,0.338,0.128,0.045,4705947,0.066,0.094,0.000,647.26,449639,109,0.072,0.579,0.009,66188776,1.44,16.20,0.041,0.062,0.023,4,7,41,64,4840,57,6.49,0.0041,0.014,237
50000,9512,1.522,0.020,9.73,1196676,1144887,5334,10306,36008,2265766,4483212.5,171588.0,0.637,0.086,0.084,0.086,0.106,110,13.65,15.93,1.56,6.94,0.32,1.91,0.30,2.30,11.46,13.13,0.08,0.52,0.011,0.061,1536,0.076,0.732,0.036,0.003,0.230,1161855,1066773,43,0.336,0.157,0.042,3773237,0.062,0.128,0.000,644.17,419163,66,0.076,0.693,0.009,49880548,1.44,16.62,0.036,0.066,0.027,3,6,40,64,4950,57,9.58,0.0041,0.014,272
60000,9679,1.496,0.018,9.70,1224782,1184461,5257,1881,33016,2963777,4498746.5,187383.9,0.628,0.084,0.083,0.091,0.114,124,13.14,14.82,1.38,6.40,0.38,2.49,0.37,2.41,11.02,12.05,0.07,0.47,0.012,0.070,1672,0.055,0.738,0.026,0.006,0.230,1187875,1089461,42,0.284,0.155,0.056,4022585,0.071,0.091,0.000,651.24,417113,136,0.063,0.502,0.015,54977864,1.37,16.69,0.023,0.093,0.023,3,6,36,64,4969,52,2.52,0.0042,0.007,281
70000,9286,1.523,0.020,10.21,1227736,1178005,4610,13445,32069,4551981,4439474.0,310069.2,0.613,0.087,0.085,0.097,0.118,119,13.08,14.10,1.62,7.08,0.50,2.60,0.27,2.32,10.68,11.19,0.12,0.67,0.017,0.084,1872,0.060,0.730,0.042,0.001,0.228,1191413,1090168,39,0.356,0.054,0.041,5067814,0.094,0.133,0.000,642.96,430946,96,0.068,0.616,0.019,61391518,1.47,16.17,0.019,0.102,0.036,4,7,32,64,4820,60,10.80,0.0045,0.009,267
80000,9612,1.540,0.018,10.32,1192395,1151208,4519,6998,29344,4945408,4511116.0,306635.7,0.602,0.093,0.091,0.096,0.118,116,13.25,14.65,2.19,8.05,0.54,2.90,0.16,1.48,10.35,10.52,0.12,0.67,0.018,0.080,2048,0.074,0.715,0.062,0.004,0.218,1153201,1056909,39,0.353,0.224,0.037,3991659,0.101,0.099,0.000,647.94,424262,138,0.062,0.594,0.020,69296230,1.60,16.38,0.023,0.180,0.038,3,7,36,64,4937,56,5.82,0.0045,0.007,266
90000,9552,1.541,0.019,9.92,1204779,1165047,4970,4407,30415,4545076,4495509.5,271520.3,0.628,0.086,0.086,0.089,0.112,121,13.58,15.19,2.37,8.74,0.40,2.41,0.17,1.41,10.63,10.82,0.09,0.59,0.015,0.077,1979,0.077,0.716,0.052,0.004,0.229,1166531,1072526,43,0.408,0.094,0.039,3821335,0.096,0.118,0.000,649.97,393815,239,0.060,0.516,0.017,63016463,1.67,16.42,0.029,0.155,0.028,3,7,37,64,4822,53,3.78,0.0044,0.011,278
100000,9503,1.548,0.016,10.30,1227985,1189056,4742,5461,28775,5102525,4520129.0,312896.1,0.627,0.090,0.088,0.086,0.108,100,13.63,14.58,1.96,7.48,0.51,2.73,0.21,1.75,10.95,11.11,0.10,0.62,0.020,0.088,1923,0.117,0.700,0.054,0.003,0.243,1188790,1089282,43,0.381,0.090,0.040,3334365,0.089,0.090,0.000,650.39,414127,215,0.061,0.447,0.016,71300789,1.53,16.00,0.023,0.124,0.030,3,7,34,64,4613,56,3.36,0.0043,0.002,247
110000,9200,1.580,0.015,10.48,1211179,1173749,4757,4771,28205,5215210,4487904.0,302661.5,0.635,0.082,0.082,0.091,0.109,108,14.27,16.80,2.09,7.57,0.48,2.60,0.20,1.46,11.51,13.66,0.13,0.71,0.016,0.077,1753,0.099,0.714,0.057,0.003,0.225,1176190,1079700,42,0.331,0.147,0.036,4142380,0.077,0.102,0.000,651.12,424279,170,0.058,0.509,0.018,68216179,1.55,16.36,0.033,0.111,0.034,4,6,43,64,4878,52,2.63,0.0042,0.004,236
120000,9408,1.542,0.019,10.34,1176099,1137654,5316,2815,30106,5289305,4390788.5,298593.5,0.628,0.094,0.092,0.085,0.101,116,13.16,15.07,1.74,7.09,0.58,3.30,0.17,1.55,10.67,11.69,0.12,0.65,0.021,0.092,1958,0.111,0.730,0.050,0.005,0.215,1140559,1053262,40,0.384,0.060,0.027,3473496,0.056,0.115,0.000,650.16,407143,132,0.056,0.550,0.019,79167502,1.45,16.68,0.026,0.130,0.037,3,6,35,64,4811,54,3.59,0.0044,0.004,272
130000,9082,1.577,0.018,10.41,1179225,1139207,3671,8952,27721,4916188,4664748.5,317316.9,0.570,0.106,0.102,0.100,0.122,112,14.38,16.28,1.74,7.20,0.52,2.55,0.44,3.00,11.69,13.23,0.10,0.59,0.017,0.076,1801,0.075,0.740,0.040,0.002,0.217,1136677,1021425,31,0.394,0.182,0.051,3453100,0.083,0.117,0.000,649.24,424785,191,0.065,0.336,0.017,67428295,1.47,16.11,0.045,0.095,0.030,4,7,39,64,4786,51,4.52,0.0044,0.008,312
140000,9264,1.559,0.016,9.76,1177047,1144573,4114,2747,25431,4615469,4622651.0,271046.5,0.558,0.107,0.101,0.105,0.128,123,13.92,15.62,1.76,7.12,0.59,3.07,0.43,2.73,11.14,11.84,0.10,0.61,0.018,0.084,1813,0.090,0.742,0.040,0.004,0.214,1134572,1017549,39,0.499,0.067,0.059,4052494,0.074,0.084,0.000,650.82,400976,100,0.059,0.608,0.017,73399972,1.47,16.19,0.041,0.108,0.028,4,6,35,64,4781,54,2.94,0.0045,0.003,363
