step,event,lineage,other,size
5000,birth,1,0,668
5000,birth,2,0,16
5000,birth,4,0,20
5000,birth,7,0,10
5000,birth,8,0,41
5000,birth,12,0,151
6000,birth,16,0,6
8000,split,18,1,44
8000,split,19,1,66
8000,split,20,1,12
10000,extinct,16,0,6
12000,extinct,20,0,8
13000,split,22,1,192
13000,extinct,4,0,5
15000,merge,22,1,191
17000,extinct,12,0,5
17000,extinct,19,0,17
18000,extinct,18,0,10
19000,extinct,8,0,18
20000,split,27,1,215
21000,merge,2,1,14
21000,merge,27,1,215
30000,split,33,1,241
32000,split,35,1,28
35000,split,37,1,288
35000,extinct,35,0,6
36000,split,38,35,51
37000,split,39,1,11
38000,split,41,1,147
38000,split,42,33,5
38000,split,43,1,17
39000,split,44,1,58
39000,merge,43,1,17
41000,extinct,33,0,10
41000,extinct,42,0,5
42000,extinct,7,0,6
43000,extinct,39,0,5
85000,split,68,37,56
86000,split,69,1,33
88000,merge,69,1,30
93000,split,73,1,39
95000,split,74,1,46
96000,split,77,1,5
96000,extinct,68,0,6
97000,merge,74,1,58
98000,extinct,73,0,10
98000,extinct,77,0,8
102000,split,80,1,91
111000,extinct,41,0,36
116000,split,84,37,13
119000,extinct,84,0,6
125000,extinct,44,0,26
130000,split,88,37,12
132000,merge,88,37,18
137000,split,90,37,25
137000,split,91,37,20
141000,extinct,91,0,20
152000,extinct,38,0,20
154000,split,93,37,16
158000,extinct,93,0,7
160000,split,100,80,13
187000,split,102,80,105
189000,split,103,102,59
191000,extinct,80,0,15
196000,extinct,100,0,10
196000,extinct,103,0,52
200000,split,104,37,7
201000,extinct,104,0,7
206000,split,106,37,13
217000,split,108,1,33
218000,merge,108,1,33
228000,split,112,37,23
230000,merge,112,37,21
235000,split,119,1,9
237000,split,122,37,31
240000,extinct,119,0,6
243000,split,124,37,18
246000,extinct,122,0,9
258000,split,131,37,78
258000,merge,102,1,275
259000,split,133,37,220
264000,merge,133,37,280
269000,split,138,37,355
270000,extinct,106,0,15
275000,merge,138,37,288
292000,split,144,37,7
295000,split,145,37,8
295000,extinct,144,0,7
296000,split,146,145,5
299000,extinct,146,0,7
300000,split,147,37,7
302000,extinct,145,0,5
303000,extinct,147,0,6
327000,split,150,37,8
328000,extinct,150,0,8
336000,extinct,1,0,17
347000,split,154,37,253
347000,split,155,37,48
350000,merge,154,37,296
355000,split,159,37,246
356000,split,160,37,73
357000,merge,160,37,73
358000,split,162,131,39
359000,extinct,155,0,6
364000,extinct,37,0,284
365000,extinct,131,0,12
366000,split,166,159,6
368000,split,168,159,369
370000,extinct,166,0,6
376000,extinct,162,0,6
377000,extinct,124,0,16
383000,extinct,159,0,8
386000,split,174,168,127
387000,merge,174,90,127
392000,split,178,90,63
393000,split,180,168,309
398000,split,182,168,6
399000,extinct,182,0,6
404000,split,183,180,5
405000,extinct,183,0,5
406000,split,184,168,12
406000,extinct,178,0,47
418000,extinct,184,0,7
419000,split,188,168,38
424000,merge,90,180,363
436000,split,192,168,46
437000,split,194,180,327
438000,split,195,168,23
440000,split,198,168,13
445000,extinct,195,0,8
445000,extinct,198,0,5
449000,extinct,192,0,24
458000,merge,194,180,319
462000,split,200,168,31
468000,split,202,180,39
473000,extinct,202,0,8
489000,split,213,168,282
489000,extinct,200,0,11
493000,split,216,168,24
495000,extinct,180,0,24
497000,split,220,168,48
498000,merge,213,168,386
503000,extinct,216,0,7
504000,split,223,168,256
511000,split,225,168,335
511000,extinct,223,0,265
515000,extinct,220,0,13
527000,merge,168,225,412
531000,extinct,188,0,31
540000,split,239,225,599
553000,merge,225,239,318
563000,split,247,239,117
570000,split,252,239,523
578000,split,259,252,34
580000,split,261,252,81
580000,extinct,247,0,7
581000,merge,239,252,403
582000,merge,261,252,81
588000,split,265,252,457
590000,split,267,252,25
600000,split,270,265,12
604000,split,272,252,8
606000,extinct,259,0,6
606000,merge,272,252,8
609000,split,273,267,37
609000,split,274,252,9
611000,split,276,252,17
612000,merge,276,252,17
617000,extinct,274,0,10
620000,split,280,265,41
621000,extinct,270,0,6
623000,merge,280,265,60
628000,split,285,265,58
629000,split,287,285,18
634000,split,283,252,15
638000,extinct,283,0,15
640000,split,295,252,14
640000,extinct,265,0,25
643000,extinct,287,0,6
646000,split,301,252,94
650000,split,303,285,326
650000,extinct,295,0,7
653000,split,305,252,29
653000,merge,301,252,155
665000,extinct,305,0,6
667000,split,310,303,12
668000,split,311,252,9
668000,merge,303,310,6
669000,merge,311,252,9
670000,extinct,310,0,25
674000,split,313,252,21
676000,extinct,273,0,9
678000,split,314,273,40
680000,split,315,252,150
681000,merge,315,252,150
685000,extinct,313,0,6
687000,split,317,252,8
691000,extinct,314,0,43
693000,split,322,314,61
696000,split,325,285,31
697000,split,328,252,5
697000,extinct,317,0,6
697000,merge,325,285,31
700000,extinct,328,0,5
706000,split,334,252,167
713000,merge,334,252,190
717000,split,338,285,27
717000,split,339,252,6
720000,extinct,339,0,6
721000,split,341,252,167
721000,extinct,338,0,17
734000,extinct,322,0,28
744000,split,348,346,13
745000,split,350,267,53
753000,split,357,252,308
753000,split,358,341,154
753000,merge,341,252,172
758000,split,360,252,84
759000,split,362,252,9
759000,extinct,267,0,13
761000,split,364,285,29
761000,merge,360,358,123
762000,merge,362,252,11
767000,extinct,348,0,9
768000,split,369,350,54
769000,split,370,358,82
770000,extinct,364,0,10
772000,extinct,285,0,5
772000,extinct,369,0,52
774000,split,372,252,22
779000,extinct,370,0,12
780000,split,376,252,22
781000,extinct,372,0,15
782000,merge,376,252,34
786000,split,378,350,62
786000,split,379,358,8
789000,split,386,382,18
791000,split,387,252,22
793000,extinct,350,0,12
793000,extinct,378,0,10
793000,extinct,386,0,6
795000,split,389,378,65
796000,extinct,379,0,8
803000,split,394,389,23
807000,extinct,394,0,15
820000,extinct,389,0,8
822000,split,404,389,65
827000,extinct,404,0,18
828000,split,405,358,10
828000,split,406,404,68
830000,extinct,405,0,10
839000,split,410,252,6
849000,extinct,406,0,9
851000,split,413,406,43
852000,split,414,252,43
852000,split,415,358,13
853000,merge,414,252,43
863000,split,416,252,25
866000,extinct,415,0,13
871000,split,417,358,21
873000,extinct,417,0,21
882000,extinct,416,0,14
886000,extinct,413,0,27
887000,split,426,252,93
905000,split,433,252,10
905000,extinct,358,0,5
906000,merge,387,357,55
912000,split,438,410,18
915000,split,439,357,66
917000,split,436,252,14
917000,extinct,438,0,8
920000,split,441,252,24
923000,merge,439,357,54
928000,extinct,436,0,5
947000,split,447,410,86
948000,extinct,441,0,15
949000,merge,410,447,56
956000,split,451,357,21
962000,extinct,426,0,9
964000,split,455,252,10
969000,merge,451,357,21
972000,extinct,447,0,13
976000,merge,433,357,247
981000,split,458,357,156
981000,split,459,357,10
982000,extinct,459,0,10
984000,extinct,455,0,22
985000,split,460,252,16
1000000,extinct,460,0,5
