step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,long,wide
5000,1,370,8.2,0.0,0.1,0.0,8.0,0.0,1.00,17.1,40,844,76.75,0.00,368,0,2,0.0,1.00,1.00,1.00,1.91,0.84,0.04
5000,5,97,8.9,0.0,0.1,0.1,8.7,0.0,1.00,16.2,20,507,39.55,0.00,90,4,3,0.0,1.00,1.00,1.00,2.04,1.00,0.04
5000,4,92,8.7,0.0,0.0,0.1,8.6,0.0,1.00,14.8,35,772,71.81,0.00,92,0,0,0.0,1.00,1.00,1.00,2.49,0.73,0.67
5000,6,37,9.2,0.0,0.0,0.0,9.2,0.0,1.00,17.7,6,1407,126.15,0.00,37,0,0,0.0,1.00,1.00,1.00,2.86,0.62,0.62
5000,7,35,64.0,3.9,0.7,27.7,31.7,0.0,1.23,0.0,12,856,440.69,0.00,0,31,4,0.2,1.25,1.48,1.10,4.00,1.00,1.00
5000,3,8,44.1,0.8,0.0,0.0,43.4,0.0,1.22,3.8,2,1883,496.64,0.00,8,0,0,0.0,1.19,1.19,1.31,3.25,0.62,1.00
5000,11,7,29.3,2.4,0.0,0.3,26.6,0.0,1.16,9.1,4,1520,298.74,0.00,7,0,0,0.0,1.32,1.00,1.16,2.43,0.43,0.57
5000,10,6,43.8,0.0,0.0,22.2,21.7,0.0,1.00,2.7,5,1978,450.40,0.00,6,0,0,0.0,1.00,1.00,1.00,3.17,1.00,0.83
6000,1,609,6.9,0.0,0.0,0.0,6.9,0.0,1.01,18.8,62,1185,102.60,0.00,575,32,2,0.0,1.02,1.02,1.01,1.54,0.45,0.08
6000,4,112,8.4,0.1,0.0,0.3,8.0,0.0,1.03,15.4,42,1078,91.30,0.00,112,0,0,0.0,1.04,1.01,1.03,2.41,0.72,0.65
6000,5,90,10.8,0.0,0.7,0.0,10.1,0.0,1.00,15.1,25,592,42.35,0.00,85,0,5,0.0,1.00,1.00,1.00,2.09,0.98,0.11
6000,7,33,63.3,3.8,0.3,27.8,31.3,0.0,1.45,0.2,13,902,475.34,0.00,0,29,4,0.0,1.68,1.49,1.31,4.00,1.00,1.00
6000,6,29,8.9,0.0,0.7,0.0,8.3,0.0,1.00,17.9,6,876,67.01,0.00,29,0,0,0.0,1.00,1.00,1.00,2.38,0.48,0.48
6000,3,8,44.1,0.8,0.0,0.0,43.4,0.0,1.22,3.8,2,2883,749.60,0.00,8,0,0,0.0,1.19,1.19,1.31,3.25,0.62,1.00
6000,11,7,29.3,2.4,0.0,0.3,26.6,0.0,1.16,9.1,4,2520,483.17,0.00,7,0,0,0.0,1.32,1.00,1.16,2.43,0.43,0.57
6000,10,6,43.8,0.0,0.0,22.2,21.7,0.0,1.00,2.7,5,2978,680.64,0.00,6,0,0,0.0,1.00,1.00,1.00,3.17,1.00,0.83
7000,1,611,6.0,0.1,0.0,0.0,5.9,0.0,1.03,19.6,55,1094,86.05,0.00,544,59,8,0.0,1.02,1.02,1.04,1.43,0.40,0.03
7000,22,216,11.9,0.0,0.3,0.0,11.6,0.0,1.00,14.1,60,197,15.13,0.00,206,2,8,0.0,1.00,1.00,1.00,2.05,0.97,0.08
7000,4,129,6.3,0.0,0.0,0.0,6.2,0.0,1.02,18.3,36,1147,85.03,0.00,129,0,0,0.0,1.03,1.01,1.02,1.98,0.51,0.46
7000,5,53,9.1,0.0,0.0,0.0,9.1,0.0,1.00,16.4,17,1002,73.87,0.00,53,0,0,0.0,1.00,1.00,1.00,2.02,0.98,0.04
7000,7,34,63.4,3.2,0.6,30.6,28.9,0.1,1.50,0.1,17,685,302.19,0.02,0,31,3,0.1,1.77,1.51,1.37,4.00,1.00,1.00
7000,11,10,16.0,0.7,0.0,0.1,15.2,0.0,1.05,14.4,2,1097,124.71,0.00,10,0,0,0.0,1.08,1.00,1.06,1.30,0.10,0.10
8000,1,676,5.6,0.0,0.0,0.0,5.6,0.0,1.00,20.1,57,1200,94.55,0.00,553,107,16,0.0,1.00,1.00,1.00,1.35,0.34,0.02
8000,22,286,11.1,0.0,0.6,0.1,10.3,0.0,1.00,15.1,69,270,20.86,0.00,264,7,15,0.0,1.00,1.00,1.00,2.07,0.94,0.09
8000,4,108,5.2,0.0,0.0,0.0,5.1,0.0,1.00,19.9,24,1013,72.00,0.00,108,0,0,0.0,1.01,1.00,1.00,1.67,0.28,0.39
8000,23,58,6.4,0.1,0.0,0.0,6.3,0.0,1.05,21.2,14,1222,95.23,0.00,58,0,0,0.0,1.08,1.00,1.06,1.00,0.00,0.00
8000,5,55,8.9,0.0,0.1,0.0,8.8,0.0,1.00,16.3,17,1071,83.25,0.00,51,0,4,0.0,1.00,1.00,1.00,2.04,0.98,0.05
