step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,4935,1.715,0.243,8.80,144315,113433,4575,51,27545,24764,2704918.2,1829.3,0.175,0.354,0.229,0.242,494,6.27,4.36,0.04,0.72,0.04,0.77,0.08,0.67,6.11,4.03,0.00,0.00,0.003,0.039,485,0.064,0.991,0.000,0.000,0.009,773714,741483,26,0.159,0.085,0.033,3265417,0.150,1.204,0.027,337.32,224454,87,0.074,0.725,0.000,12662847,1.01,19.46,0.000,0.000,0.000,3,5,10,64,7576,0.116,316.43,0.0090,0.012,87,0.873,0.000,0.752,0.816,1.54,0.072,0.447,0.00,0.001,1.01,1.02,1.02
20000,4980,1.689,0.271,9.09,134898,87698,8079,1,39075,141,2273173.8,14.7,0.121,0.421,0.173,0.285,403,5.46,4.64,0.04,0.52,0.03,0.62,0.06,1.03,5.33,4.25,0.00,0.04,0.002,0.032,354,0.066,0.989,0.000,0.000,0.011,832939,801694,30,0.303,0.040,0.012,1054387,0.120,1.309,0.031,330.50,271516,222,0.104,0.000,0.000,18095584,1.01,20.58,0.002,0.000,0.000,3,5,8,64,7238,0.110,323.25,0.0086,0.011,108,0.889,0.000,0.805,0.839,1.45,0.059,0.375,0.00,0.001,1.01,1.02,1.02
30000,5237,1.676,0.243,8.97,141595,93160,8558,7,39613,371,2260405.5,46.0,0.092,0.445,0.148,0.315,397,5.39,3.65,0.06,0.90,0.09,1.53,0.05,0.72,5.18,2.79,0.00,0.10,0.004,0.045,372,0.092,0.988,0.000,0.000,0.012,844814,811784,19,0.394,0.048,0.017,732210,0.144,1.220,0.027,331.19,270438,341,0.124,0.286,0.000,18903360,1.02,20.43,0.001,0.001,0.000,3,5,8,64,7799,0.119,322.57,0.0083,0.005,129,0.892,0.000,0.794,0.833,1.49,0.055,0.417,0.00,0.001,1.02,1.03,1.03
40000,5146,1.650,0.255,9.10,134560,90177,8271,10,36193,333,2196669.5,52.9,0.081,0.437,0.158,0.325,391,5.02,2.71,0.05,0.95,0.04,0.45,0.07,0.59,4.86,2.22,0.00,0.00,0.004,0.044,341,0.119,0.991,0.000,0.000,0.009,813648,783201,24,0.465,0.046,0.025,1014981,0.109,1.270,0.029,327.94,262734,181,0.159,0.400,0.000,18958631,1.01,20.75,0.000,0.000,0.000,3,4,8,64,7634,0.116,325.82,0.0088,0.012,93,0.888,0.000,0.781,0.835,1.48,0.038,0.438,0.00,0.002,1.01,1.01,1.02
50000,5410,1.637,0.238,8.94,136914,90110,8259,9,38272,229,2195465.2,21.9,0.094,0.430,0.144,0.331,358,4.97,2.90,0.02,0.32,0.09,1.24,0.04,0.62,4.82,2.42,0.00,0.00,0.007,0.056,355,0.184,0.991,0.000,0.000,0.009,811840,784012,23,0.515,0.085,0.012,844674,0.114,1.213,0.027,326.94,269360,685,0.096,0.333,0.000,18305206,1.01,20.94,0.000,0.001,0.000,3,4,7,64,8110,0.124,326.82,0.0084,0.007,119,0.881,0.000,0.763,0.832,1.50,0.033,0.464,0.00,0.001,1.01,1.01,1.02
60000,5179,1.636,0.271,8.93,136240,88317,8079,20,40055,372,2170222.0,63.7,0.104,0.416,0.156,0.324,386,4.79,2.59,0.03,0.55,0.07,0.67,0.04,0.38,4.65,2.32,0.00,0.01,0.007,0.055,340,0.274,0.991,0.000,0.000,0.009,807522,786262,24,0.549,0.034,0.015,874830,0.103,1.322,0.031,328.13,257738,424,0.171,0.350,0.000,17352786,1.01,21.12,0.000,0.001,0.000,3,4,7,38,8063,0.123,325.63,0.0090,0.015,119,0.872,0.000,0.743,0.832,1.56,0.023,0.533,0.00,0.002,1.01,1.01,1.02
70000,5289,1.629,0.251,8.84,133948,87774,8026,8,38030,395,2188832.0,70.9,0.081,0.421,0.156,0.342,393,4.86,3.04,0.04,0.57,0.12,1.14,0.06,0.87,4.64,2.28,0.00,0.10,0.011,0.073,341,0.282,0.986,0.000,0.000,0.013,815782,796978,21,0.556,0.055,0.019,813743,0.106,1.263,0.029,325.58,259258,569,0.179,0.000,0.000,17192554,1.01,21.04,0.001,0.002,0.001,3,4,7,64,8086,0.123,328.17,0.0089,0.007,117,0.877,0.000,0.760,0.836,1.53,0.012,0.516,0.01,0.002,1.01,1.01,1.02
80000,5422,1.623,0.253,8.86,133966,90454,7997,10,35372,363,2179194.8,57.9,0.078,0.414,0.158,0.350,395,4.66,2.19,0.01,0.33,0.10,0.86,0.03,0.33,4.52,1.93,0.00,0.00,0.011,0.072,291,0.295,0.989,0.000,0.000,0.011,805244,788987,15,0.541,0.053,0.013,754844,0.121,1.271,0.029,324.31,253649,611,0.160,0.200,0.000,16573001,1.01,21.27,0.000,0.000,0.000,3,4,7,37,8305,0.127,329.44,0.0089,0.007,102,0.860,0.000,0.748,0.834,1.53,0.010,0.521,0.00,0.001,1.00,1.01,1.01
90000,5223,1.618,0.271,8.69,134775,89110,8149,11,37704,437,2176576.5,77.4,0.075,0.418,0.152,0.355,393,4.61,2.45,0.02,0.29,0.10,0.93,0.02,0.31,4.47,2.07,0.00,0.04,0.009,0.064,262,0.310,0.989,0.000,0.000,0.011,804610,791068,14,0.657,0.026,0.011,728419,0.128,1.314,0.032,324.64,256879,982,0.177,0.182,0.000,17301815,1.01,21.37,0.000,0.002,0.000,3,4,6,39,7946,0.121,329.11,0.0093,0.009,113,0.869,0.000,0.755,0.833,1.52,0.009,0.512,0.00,0.002,1.00,1.01,1.02
100000,5225,1.615,0.252,8.44,142075,91550,8327,13,42183,419,2196571.0,67.2,0.057,0.429,0.162,0.352,369,4.62,2.84,0.01,0.27,0.12,1.27,0.03,0.58,4.46,2.28,0.00,0.08,0.010,0.068,268,0.276,0.988,0.000,0.000,0.012,830178,818796,11,0.740,0.053,0.012,689713,0.094,1.272,0.029,325.57,259653,487,0.160,0.385,0.000,17565225,1.01,21.39,0.000,0.001,0.000,3,4,6,64,7727,0.118,328.18,0.0094,0.000,143,0.867,0.000,0.751,0.829,1.48,0.018,0.459,0.00,0.001,1.01,1.01,1.01
