step,event,lineage,other,size
5000,birth,2,0,72
5000,birth,3,0,174
5000,birth,4,0,93
5000,birth,5,0,66
5000,birth,6,0,10
5000,birth,7,0,171
5000,birth,8,0,71
5000,birth,10,0,26
5000,birth,11,0,8
5000,birth,12,0,14
5000,birth,17,0,29
5000,birth,21,0,5
7000,birth,9,0,15
7000,extinct,6,0,10
8000,extinct,12,0,7
8000,extinct,21,0,5
9000,extinct,11,0,5
10000,extinct,10,0,10
19000,split,35,5,37
23000,split,39,3,31
24000,merge,39,3,31
25000,split,43,8,34
26000,split,44,39,12
26000,extinct,17,0,13
28000,extinct,44,0,7
29000,split,46,3,13
31000,extinct,46,0,13
32000,extinct,3,0,5
35000,extinct,5,0,6
38000,split,51,8,19
39000,extinct,8,0,11
39000,extinct,9,0,8
39000,extinct,35,0,17
39000,merge,51,7,19
53000,extinct,7,0,13
128000,extinct,43,0,36
162000,split,61,2,17
184000,extinct,4,0,42
265000,split,67,2,85
267000,extinct,61,0,18
384000,extinct,67,0,91
409000,split,71,2,139
419000,split,72,2,17
425000,extinct,72,0,11
437000,split,74,2,110
458000,extinct,74,0,10
467000,split,78,2,100
518000,extinct,78,0,5
532000,extinct,71,0,10
631000,split,86,2,119
651000,split,87,2,94
663000,merge,87,2,131
668000,split,90,2,110
743000,extinct,86,0,6
752000,split,94,90,95
755000,extinct,94,0,28
761000,split,95,90,60
769000,split,99,95,7
770000,extinct,99,0,7
807000,extinct,95,0,12
808000,split,103,95,109
887000,extinct,103,0,7
900000,split,116,2,92
905000,split,117,116,92
905000,extinct,116,0,58
983000,split,121,90,87
989000,extinct,121,0,63
