step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,1,1984,13.6,0.3,0.1,0.6,12.6,0.0,1.10,14.5,303,647,82.28,0.00,1838,136,10,0.0,1.10,1.09,1.10,3.66,5.81,3.90
5000,2,496,10.3,0.2,0.1,0.0,9.9,0.0,1.07,14.2,57,708,75.55,0.00,491,0,5,0.0,1.06,1.16,1.06,3.20,5.86,3.10
5000,3,398,13.2,0.2,0.5,0.0,12.4,0.0,1.06,16.1,123,592,65.08,0.00,396,0,2,0.0,1.08,1.07,1.05,3.20,4.14,3.86
5000,7,184,11.8,0.4,0.0,0.0,11.4,0.0,1.14,13.7,58,995,125.76,0.00,184,0,0,0.0,1.04,1.14,1.24,3.27,3.76,5.79
5000,4,106,5.7,0.0,0.4,0.1,5.2,0.0,1.00,21.5,33,165,16.38,0.00,0,95,11,0.0,1.00,1.00,1.00,1.96,3.03,2.29
5000,16,72,11.3,0.2,0.0,0.1,11.1,0.0,1.07,17.4,24,821,91.22,0.00,72,0,0,0.0,1.02,1.07,1.13,2.86,3.08,4.32
5000,8,69,20.5,0.2,0.8,0.2,19.4,0.0,1.05,12.1,23,1238,185.83,0.00,69,0,0,0.0,1.01,1.08,1.06,3.81,5.14,4.80
5000,25,60,10.4,0.1,0.2,0.2,9.8,0.0,1.04,18.2,27,409,66.14,0.00,0,45,15,0.0,1.07,1.04,1.03,2.28,3.68,3.23
5000,10,52,5.1,0.2,0.3,0.2,4.4,0.0,1.07,20.6,13,776,57.35,0.00,19,33,0,0.0,1.11,1.11,1.04,2.04,4.38,1.50
5000,20,41,12.8,0.1,0.0,0.4,12.3,0.0,1.08,15.7,21,1082,167.08,0.00,41,0,0,0.0,1.08,1.07,1.08,2.95,4.27,3.95
5000,6,26,9.9,0.3,0.0,0.0,9.6,0.0,1.05,15.3,7,884,96.92,0.01,26,0,0,0.0,1.09,1.00,1.05,2.92,4.31,4.04
5000,39,24,36.4,2.0,0.0,0.2,34.1,0.0,1.29,0.5,14,294,40.23,0.00,24,0,0,0.0,1.17,1.17,1.41,6.92,8.00,7.75
5000,19,18,20.0,0.6,0.0,1.7,17.7,0.0,1.09,11.0,10,862,143.91,0.00,18,0,0,0.0,1.19,1.00,1.09,4.61,4.50,6.00
5000,14,12,24.4,0.4,1.8,1.7,20.5,0.0,1.07,9.2,5,1869,560.42,0.00,12,0,0,0.0,1.00,1.14,1.06,4.25,5.83,5.58
5000,12,10,64.0,0.0,0.0,2.2,61.8,0.0,1.00,0.0,2,2094,852.55,0.00,10,0,0,0.0,1.00,1.00,1.00,8.10,8.00,8.00
5000,15,7,64.0,0.0,0.0,15.1,48.9,0.0,1.00,0.0,3,2016,562.17,0.00,7,0,0,0.0,1.00,1.00,1.00,5.14,8.00,8.00
5000,24,6,64.0,13.7,0.0,3.3,47.0,0.0,2.38,0.0,2,1326,720.71,0.07,6,0,0,0.0,1.00,3.79,2.35,8.00,8.00,8.00
5000,41,5,57.0,0.0,0.0,2.4,54.6,0.0,1.00,0.0,2,1966,1012.64,0.00,5,0,0,0.0,1.00,1.00,1.00,4.00,8.00,8.00
6000,1,2428,12.6,0.2,0.1,0.5,11.8,0.0,1.06,15.1,386,731,95.16,0.00,2036,341,51,0.0,1.06,1.05,1.07,3.46,5.44,3.88
6000,3,588,11.5,0.2,0.4,0.0,10.8,0.0,1.09,17.0,157,649,73.05,0.00,585,0,3,0.0,1.11,1.10,1.09,3.03,3.98,3.58
6000,2,493,9.5,0.3,0.2,0.0,9.0,0.0,1.12,14.8,61,504,46.29,0.00,488,0,5,0.0,1.08,1.23,1.10,3.09,5.71,2.98
6000,7,178,10.9,0.4,0.0,0.0,10.5,0.0,1.17,14.8,57,1262,157.45,0.00,178,0,0,0.0,1.09,1.17,1.23,3.13,3.58,5.42
6000,10,96,4.9,0.0,0.6,0.2,4.1,0.0,1.00,20.4,15,297,22.56,0.00,11,78,7,0.0,1.00,1.00,1.00,2.04,4.71,1.07
6000,25,95,8.4,0.0,0.1,0.0,8.2,0.0,1.00,19.7,24,293,41.17,0.00,0,74,21,0.0,1.00,1.00,1.00,2.42,3.66,2.51
6000,4,78,7.3,0.1,0.7,0.0,6.5,0.0,1.02,20.1,29,274,30.11,0.00,0,58,20,0.0,1.03,1.01,1.02,2.22,3.12,2.85
6000,16,77,10.5,0.0,0.1,0.0,10.4,0.0,1.00,17.9,25,988,111.72,0.00,77,0,0,0.0,1.00,1.00,1.00,2.48,2.91,4.17
6000,8,45,20.5,0.0,1.2,0.0,19.3,0.0,1.00,11.9,19,1775,243.03,0.00,45,0,0,0.0,1.00,1.00,1.00,3.73,5.13,4.93
6000,39,39,32.7,3.1,0.0,0.1,29.5,0.0,1.23,2.9,22,317,50.38,0.00,37,0,2,0.0,1.12,1.11,1.34,6.72,7.85,6.79
6000,20,33,14.8,0.0,0.0,0.7,14.1,0.0,1.00,14.0,18,1433,222.26,0.00,33,0,0,0.0,1.00,1.00,1.00,2.94,4.52,4.48
6000,6,26,9.1,0.0,0.0,0.0,9.1,0.0,1.00,15.8,6,854,72.19,0.00,26,0,0,0.0,1.00,1.00,1.00,2.88,3.96,4.27
6000,19,16,20.4,0.4,0.0,1.8,18.3,0.0,1.05,10.5,10,1652,301.40,0.00,16,0,0,0.0,1.11,1.00,1.05,5.06,4.69,6.06
6000,14,14,21.6,0.4,1.6,1.4,18.3,0.0,1.06,11.0,6,2476,664.54,0.00,14,0,0,0.0,1.00,1.12,1.05,3.64,5.43,5.07
6000,12,8,64.0,0.0,0.0,2.8,61.2,0.0,1.00,0.0,2,2965,1238.41,0.00,8,0,0,0.0,1.00,1.00,1.00,7.88,8.00,8.00
6000,41,5,57.0,0.0,0.0,2.4,54.6,0.0,1.00,0.0,2,2966,1340.54,0.00,5,0,0,0.0,1.00,1.00,1.00,4.00,8.00,8.00
7000,1,2517,12.3,0.1,0.1,0.3,11.9,0.0,1.04,14.8,377,642,71.38,0.00,2371,111,35,0.0,1.04,1.05,1.05,3.50,5.48,3.85
7000,3,709,11.2,0.2,0.2,0.0,10.8,0.0,1.07,17.3,146,644,69.26,0.00,708,0,1,0.0,1.09,1.08,1.06,3.03,3.92,3.56
7000,2,530,9.2,0.1,0.0,0.0,9.0,0.0,1.05,15.0,42,609,56.82,0.00,527,0,3,0.0,1.02,1.10,1.05,3.01,5.57,2.97
7000,7,163,9.8,0.2,0.0,0.0,9.6,0.0,1.07,16.1,52,834,89.95,0.00,163,0,0,0.0,1.04,1.05,1.13,2.98,3.21,5.19
7000,10,103,5.0,0.0,0.4,0.2,4.4,0.0,1.00,20.5,16,434,37.86,0.00,25,78,0,0.0,1.00,1.00,1.00,1.99,4.63,1.14
7000,25,102,6.1,0.0,0.2,0.3,5.6,0.0,1.02,20.8,24,346,34.96,0.00,0,85,17,0.0,1.02,1.02,1.01,2.36,3.50,2.13
7000,16,70,10.9,0.0,0.0,0.0,10.9,0.0,1.00,17.9,25,932,105.47,0.00,70,0,0,0.0,1.00,1.00,1.00,2.54,3.04,4.00
7000,4,66,9.5,0.0,3.5,0.0,6.0,0.0,1.00,16.8,29,273,32.99,0.00,0,51,15,0.0,1.00,1.00,1.00,2.79,4.30,3.33
7000,39,39,24.0,1.0,0.0,0.0,23.0,0.0,1.12,5.3,17,208,20.95,0.00,39,0,0,0.0,1.12,1.06,1.15,5.77,8.00,5.74
7000,19,26,8.2,0.0,0.0,1.7,6.6,0.0,1.00,19.2,6,609,55.83,0.00,26,0,0,0.0,1.00,1.00,1.00,2.54,2.81,3.62
7000,6,19,8.4,0.0,0.0,0.0,8.4,0.0,1.00,16.6,9,871,70.09,0.00,19,0,0,0.0,1.00,1.00,1.00,2.58,4.00,4.05
7000,8,17,20.9,0.5,0.4,0.0,20.1,0.0,1.19,12.0,12,1097,134.32,0.00,17,0,0,0.0,1.26,1.26,1.12,4.24,4.88,5.12
7000,20,12,18.4,0.1,0.0,0.8,17.5,0.0,1.01,11.2,7,477,54.98,0.00,12,0,0,0.0,1.03,1.00,1.00,4.00,5.58,4.83
7000,14,12,21.7,0.0,0.0,2.6,19.1,0.0,1.00,10.7,6,598,91.63,0.00,12,0,0,0.0,1.00,1.00,1.00,4.00,5.83,5.00
8000,1,3520,11.4,0.1,0.1,0.1,11.1,0.0,1.04,15.7,512,731,81.26,0.00,3253,228,39,0.0,1.04,1.04,1.04,3.34,5.00,3.80
8000,2,564,9.5,0.2,0.2,0.0,9.1,0.0,1.10,14.7,66,569,52.79,0.00,561,0,3,0.0,1.08,1.15,1.09,3.00,5.65,3.05
8000,10,126,4.5,0.0,0.3,0.0,4.2,0.0,1.00,21.2,15,381,30.60,0.00,13,108,5,0.0,1.00,1.00,1.00,1.85,4.37,1.04
8000,7,117,9.3,0.1,0.0,0.1,9.1,0.0,1.04,16.2,44,1022,110.08,0.00,117,0,0,0.0,1.01,1.03,1.08,2.99,2.97,5.28
8000,25,88,7.6,0.0,0.5,0.3,6.8,0.0,1.01,19.1,29,386,46.78,0.00,0,69,19,0.0,1.03,1.01,1.01,2.44,3.93,2.55
8000,39,87,20.9,0.4,0.0,0.0,20.6,0.0,1.09,5.1,27,374,39.65,0.00,86,0,1,0.0,1.08,1.07,1.11,5.95,8.00,6.29
8000,16,69,10.9,0.0,0.0,0.0,10.9,0.0,1.00,17.9,22,971,92.86,0.00,69,0,0,0.0,1.00,1.00,1.00,2.33,3.07,3.97
8000,4,51,7.0,0.0,0.8,0.0,6.2,0.0,1.00,20.1,24,325,50.78,0.00,0,44,7,0.0,1.00,1.00,1.00,1.98,3.14,2.96
8000,19,20,8.8,0.0,0.0,2.3,6.4,0.0,1.00,18.7,9,1093,107.93,0.00,20,0,0,0.0,1.00,1.00,1.00,2.45,2.85,3.80
8000,8,10,16.9,0.0,0.0,0.0,16.9,0.0,1.00,13.8,7,1230,121.63,0.00,10,0,0,0.0,1.00,1.00,1.00,3.20,4.50,4.60
