step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,5053,1.737,0.441,7.84,254613,233125,2976,7,19451,5887,3480838.5,389.6,0.231,0.180,0.255,0.334,196,10.97,7.74,0.24,1.58,0.16,1.29,0.08,0.82,10.49,7.02,0.00,0.10,0.011,0.074,1053,0.046,0.901,0.001,0.000,0.098,746040,710199,25,0.412,0.093,0.021,3211499,0.136,1.545,0.050,372.76,224121,174,0.066,0.714,0.000,6824374,1.06,15.53,0.003,0.002,0.001,4,9,19,64,55443,0.053,280.99,0.0066,0.016,61,0.799,0.000,0.768,0.668,3.22,3.63,4.96,0.00,0.003,1.08,1.05,1.07
20000,5510,1.630,0.388,8.19,409565,368018,5362,0,35728,131,3066264.8,14.7,0.195,0.097,0.322,0.386,160,9.59,5.97,0.12,1.18,0.09,0.95,0.06,0.71,9.32,5.49,0.00,0.05,0.007,0.065,987,0.023,0.884,0.000,0.000,0.116,900167,859210,25,0.261,0.146,0.017,945415,0.106,1.452,0.044,383.47,278485,0,0.113,0.000,0.000,4769408,1.03,16.21,0.003,0.000,0.000,4,8,16,64,52829,0.050,270.28,0.0060,0.008,95,0.673,0.000,0.842,0.556,3.12,3.30,5.26,0.00,0.001,1.02,1.05,1.04
30000,5508,1.616,0.353,8.02,446949,399956,5783,1,41211,59,3031546.8,4.5,0.194,0.090,0.305,0.410,159,9.46,5.81,0.04,0.49,0.09,0.67,0.06,0.58,9.28,5.68,0.00,0.00,0.010,0.075,938,0.025,0.880,0.000,0.000,0.120,939084,899329,17,0.284,0.157,0.018,775466,0.106,1.396,0.040,382.74,287853,62,0.075,0.000,0.000,4292926,1.01,16.24,0.003,0.000,0.000,4,8,15,64,52132,0.050,271.01,0.0059,0.018,108,0.638,0.000,0.848,0.535,3.31,3.46,5.76,0.00,0.000,1.01,1.02,1.01
40000,5586,1.580,0.325,7.65,473514,423358,6026,1,44051,39,3024756.2,1.9,0.207,0.079,0.277,0.438,154,8.58,5.39,0.04,0.55,0.09,0.66,0.04,0.47,8.41,5.27,0.00,0.00,0.011,0.077,824,0.050,0.877,0.000,0.000,0.123,990817,953146,13,0.381,0.053,0.012,1029264,0.096,1.335,0.037,384.18,291579,15,0.049,1.000,0.000,4069374,1.01,16.82,0.002,0.000,0.000,4,8,14,64,47934,0.046,269.58,0.0064,0.008,121,0.669,0.000,0.874,0.531,3.22,3.36,5.82,0.00,0.001,1.01,1.02,1.02
50000,5643,1.552,0.311,7.31,494993,440210,6656,0,48070,21,2977243.5,1.7,0.235,0.079,0.207,0.479,158,8.36,5.28,0.06,0.72,0.10,0.94,0.04,0.66,8.16,5.03,0.00,0.01,0.012,0.082,739,0.083,0.873,0.000,0.000,0.127,1035901,1000659,11,0.724,0.034,0.008,693549,0.120,1.307,0.035,383.30,277909,0,0.080,0.000,0.000,4094949,1.02,16.85,0.001,0.000,0.000,4,7,13,64,47176,0.045,270.46,0.0065,0.007,145,0.672,0.000,0.872,0.530,3.31,3.53,6.11,0.00,0.000,1.02,1.02,1.02
60000,5606,1.542,0.280,7.34,459609,408511,6440,0,44695,33,3112673.0,3.4,0.197,0.097,0.281,0.424,162,8.06,4.22,0.04,0.51,0.03,0.31,0.05,0.51,7.95,4.14,0.00,0.00,0.004,0.046,639,0.112,0.886,0.000,0.000,0.114,1059875,1026078,10,0.376,0.115,0.015,646217,0.112,1.232,0.031,382.30,264405,0,0.104,0.000,0.000,5380117,1.01,16.76,0.000,0.000,0.000,4,7,13,43,45188,0.043,271.46,0.0070,0.017,83,0.729,0.000,0.848,0.573,3.57,4.37,6.45,0.00,0.000,1.01,1.02,1.02
70000,5782,1.501,0.243,7.03,490554,440039,6669,0,43670,80,3007322.8,11.1,0.172,0.103,0.361,0.364,150,7.30,3.52,0.03,0.52,0.03,0.44,0.02,0.41,7.22,3.42,0.00,0.00,0.004,0.046,577,0.183,0.894,0.000,0.000,0.106,1094688,1068376,17,0.247,0.094,0.007,535669,0.137,1.141,0.027,382.53,275491,0,0.139,0.000,0.000,6605378,1.01,17.50,0.000,0.000,0.000,4,7,12,45,42216,0.040,271.23,0.0072,0.009,129,0.767,0.000,0.831,0.557,3.56,4.84,6.36,0.00,0.000,1.01,1.02,1.01
80000,5984,1.488,0.234,7.17,520700,467626,7562,0,45310,35,2964939.5,3.2,0.204,0.087,0.346,0.362,143,7.14,3.77,0.05,0.74,0.03,0.40,0.02,0.36,7.03,3.60,0.00,0.00,0.004,0.048,626,0.170,0.877,0.000,0.000,0.123,1140112,1114381,14,0.281,0.142,0.008,424830,0.102,1.115,0.025,382.92,283810,0,0.092,0.000,0.000,5714270,1.02,17.71,0.000,0.000,0.000,3,7,11,48,42735,0.041,270.83,0.0070,0.007,149,0.769,0.000,0.809,0.548,3.59,4.89,6.38,0.00,0.000,1.01,1.02,1.02
90000,6161,1.473,0.217,7.54,535997,485140,8048,0,42632,6,2864832.8,0.6,0.214,0.094,0.315,0.377,137,7.09,3.63,0.04,0.50,0.03,0.38,0.03,0.52,6.99,3.53,0.00,0.00,0.004,0.052,629,0.110,0.881,0.000,0.000,0.119,1121713,1099382,11,0.199,0.449,0.010,594530,0.096,1.071,0.023,383.01,302802,0,0.102,0.000,0.000,6698050,1.01,17.92,0.000,0.000,0.000,3,7,12,49,43692,0.042,270.75,0.0066,0.014,120,0.789,0.000,0.806,0.527,3.65,5.09,6.38,0.00,0.000,1.02,1.02,1.01
100000,6095,1.482,0.204,7.94,542369,496711,7656,0,38068,23,2927170.8,2.8,0.205,0.097,0.316,0.382,128,7.10,3.62,0.05,0.49,0.04,0.42,0.05,0.58,6.96,3.52,0.00,0.00,0.006,0.061,653,0.079,0.878,0.000,0.000,0.122,1103883,1082288,20,0.194,0.009,0.015,984751,0.087,1.034,0.021,382.32,313354,0,0.120,0.000,0.000,6630271,1.02,18.25,0.000,0.000,0.000,3,7,11,64,43254,0.041,271.44,0.0069,0.005,137,0.782,0.000,0.812,0.514,3.77,5.05,6.36,0.00,0.000,1.02,1.02,1.02
