step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
100000,10,10,0,0,0,10,0,1.00,16,0.000,3000,1.97,389.31,0.00,193,8,8,0,1.00,1.00,1.00,4,4,4
100000,4,4,0,0,0,4,0,1.00,24,0.000,2994,1.24,228.78,0.00,1,2,2,0,1.00,1.00,1.00,4,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2992,2.24,165.82,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2992,1.80,214.87,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,21,21,0,0,0,21,0,1.00,8,0.000,2989,3.38,350.90,0.00,193,8,8,0,1.00,1.00,1.00,4,8,4
100000,6,6,0,0,0,6,0,1.00,20,0.000,2987,2.13,284.29,0.00,1,8,8,0,1.00,1.00,1.00,3,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2987,1.71,332.97,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,10,10,0,0,0,10,0,1.00,16,0.000,2985,2.01,457.21,0.00,1,8,8,0,1.00,1.00,1.00,8,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2984,1.22,235.88,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2983,1.60,215.31,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2979,1.83,392.20,0.00,1,2,2,0,1.00,1.00,1.00,5,2,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2970,1.70,326.96,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2970,1.99,236.59,0.00,1,8,8,0,1.00,1.00,1.00,5,3,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2967,1.91,266.52,0.00,1,8,8,0,1.00,1.00,1.00,5,3,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2962,1.78,180.44,0.00,1,8,8,0,1.00,1.00,1.00,2,3,2
100000,3,3,0,0,0,3,0,1.00,24,0.000,2960,1.57,173.26,0.00,1,8,8,0,1.00,1.00,1.00,1,2,2
100000,7,7,0,0,0,7,0,1.00,18,0.000,2960,2.45,341.14,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2960,2.06,168.58,0.00,1,8,8,0,1.00,1.00,1.00,2,2,2
100000,7,7,0,0,0,7,0,1.00,18,0.000,2959,2.22,328.31,0.00,1,8,8,0,1.00,1.00,1.00,6,8,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2956,2.07,394.53,0.00,1,8,8,0,1.00,1.00,1.00,5,3,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2955,1.95,277.60,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2954,1.69,305.71,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2953,1.14,156.50,0.00,1,8,8,0,1.00,1.00,1.00,2,2,2
100000,3,3,0,0,0,3,0,1.00,24,0.000,2950,1.68,173.95,0.00,333,2,2,0,1.00,1.00,1.00,1,2,2
100000,16,16,0,2,0,14,0,1.00,4,0.125,2946,3.46,372.00,0.00,211,8,8,0,1.00,1.00,1.00,6,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2944,2.21,264.14,0.00,193,8,8,0,1.00,1.00,1.00,3,3,2
100000,4,4,0,0,0,4,0,1.00,24,0.000,2944,1.76,187.12,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,8,8,0,0,0,8,0,1.00,18,0.000,2943,2.49,210.57,0.00,211,8,8,0,1.00,1.00,1.00,2,8,3
100000,4,4,0,0,0,4,0,1.00,22,0.000,2942,2.32,199.81,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2941,1.45,246.18,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,10,10,0,0,0,10,0,1.00,16,0.000,2939,2.44,280.90,0.00,193,8,8,0,1.00,1.00,1.00,4,4,4
100000,4,4,0,0,0,4,0,1.00,22,0.000,2938,2.04,220.12,0.00,1,8,8,0,1.00,1.00,1.00,3,8,2
100000,7,7,0,0,0,7,0,1.00,18,0.000,2937,2.04,242.63,0.00,1,8,8,0,1.00,1.00,1.00,3,2,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2935,1.37,165.62,0.00,1,8,8,0,1.00,1.00,1.00,1,2,2
100000,7,7,0,0,0,7,0,1.00,18,0.000,2933,2.52,326.95,0.00,1,8,8,0,1.00,1.00,1.00,5,2,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2933,2.52,280.04,0.00,211,8,8,0,1.00,1.00,1.00,3,8,3
100000,13,13,0,0,0,13,0,1.00,12,0.000,2931,1.35,204.87,0.00,321,8,8,0,1.00,1.00,1.00,4,4,6
100000,4,4,0,0,0,4,0,1.00,24,0.000,2930,1.92,169.80,0.00,1,8,8,0,1.00,1.00,1.00,4,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2927,1.66,170.19,0.00,1,2,2,0,1.00,1.00,1.00,1,2,2
100000,5,5,1,0,0,4,0,1.50,20,0.000,2925,2.24,209.94,0.00,1,8,8,0,1.00,1.67,1.67,3,3,8
