step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
100000,9,9,0,0,0,9,0,1.00,12,0.000,2996,2.71,325.85,0.00,171,8,8,0,1.00,1.00,1.00,3,2,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2975,2.47,458.43,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2958,2.55,420.02,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2956,2.14,421.76,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2940,2.10,235.28,0.00,139,8,8,0,1.00,1.00,1.00,2,3,2
100000,14,14,0,0,0,14,0,1.00,10,0.000,2934,3.23,519.85,0.00,89,8,8,0,1.00,1.00,1.00,3,4,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2931,2.08,182.06,0.00,89,8,8,0,1.00,1.00,1.00,3,2,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2926,2.01,200.67,0.00,89,8,8,0,1.00,1.00,1.00,3,2,8
100000,15,15,0,0,0,15,0,1.00,10,0.000,2924,2.70,323.22,0.00,89,8,8,0,1.00,1.00,1.00,5,3,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2921,2.63,378.60,0.00,171,8,8,0,1.00,1.00,1.00,3,2,8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2920,2.71,410.80,0.00,164,8,8,0,1.00,1.00,1.00,3,8,2
100000,8,8,0,0,0,8,0,1.00,18,0.000,2919,1.86,296.41,0.00,148,8,8,0,1.00,1.00,1.00,3,3,4
100000,11,11,0,0,0,11,0,1.00,14,0.000,2906,1.42,324.49,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,24,24,0,0,0,24,0,1.00,0,0.000,2903,4.36,601.81,0.00,89,8,8,0,1.00,1.00,1.00,6,8,8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2894,2.14,328.58,0.00,171,8,8,0,1.00,1.00,1.00,3,2,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2885,2.64,359.20,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2870,2.24,385.71,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2857,1.39,279.91,0.00,164,8,8,0,1.00,1.00,1.00,3,4,3
100000,15,15,0,0,0,15,0,1.00,12,0.000,2848,2.83,540.50,0.00,89,8,8,0,1.00,1.00,1.00,4,6,4
100000,21,21,0,0,0,21,0,1.00,10,0.000,2847,3.24,533.37,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,2846,2.53,240.57,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,15,15,0,1,0,14,0,1.00,8,0.067,2841,3.35,514.81,0.00,89,8,8,0,1.00,1.00,1.00,5,8,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,2831,1.81,228.14,0.00,110,8,8,0,1.00,1.00,1.00,3,2,6
