step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,17,233,5.9,0.1,0.0,0.1,5.7,0.0,1.05,20.8,39,417,42.32,0.00,0,230,3,0.0,1.06,1.04,1.05,2.00,3.42,2.27
5000,2,196,7.5,0.0,0.0,0.1,7.5,0.0,1.00,21.0,30,558,85.23,0.00,2,185,9,0.0,1.00,1.00,1.00,2.34,4.58,2.36
5000,8,167,12.1,0.2,0.0,0.2,11.7,0.0,1.04,13.6,33,826,87.55,0.00,167,0,0,0.0,1.05,1.08,1.04,5.02,7.90,6.10
5000,6,104,7.6,0.2,0.3,0.4,6.7,0.0,1.04,19.7,18,944,81.80,0.00,104,0,0,0.0,1.08,1.03,1.02,2.22,2.98,3.17
5000,1,89,63.7,1.7,0.0,4.4,57.6,0.0,1.18,0.0,15,359,106.71,0.00,84,0,5,0.0,1.00,1.29,1.21,8.06,8.00,7.99
5000,3,80,18.2,1.0,0.0,1.7,15.4,0.0,1.32,7.7,41,846,113.42,0.00,80,0,0,0.0,1.42,1.39,1.24,5.09,7.12,5.56
5000,11,49,22.4,0.4,0.6,2.7,18.6,0.0,1.13,12.0,20,1053,187.11,0.00,49,0,0,0.0,1.00,1.21,1.16,3.53,5.73,4.24
5000,5,45,16.8,0.0,0.0,0.6,16.2,0.0,1.00,12.8,17,640,80.11,0.00,45,0,0,0.0,1.00,1.00,1.00,4.00,7.44,3.56
5000,12,23,17.8,0.0,1.1,0.0,16.7,0.0,1.00,7.7,12,794,95.66,0.00,23,0,0,0.0,1.00,1.00,1.00,4.43,6.30,5.87
5000,19,22,24.9,0.0,0.8,0.2,23.8,0.0,1.00,8.8,9,820,153.04,0.00,22,0,0,0.0,1.00,1.00,1.00,5.00,4.73,7.91
5000,13,15,64.0,0.0,4.2,4.3,55.5,0.0,1.00,0.0,9,1359,497.42,0.00,15,0,0,0.0,1.00,1.00,1.00,9.00,8.00,8.00
5000,4,11,64.0,8.5,0.0,0.0,55.5,0.0,1.70,0.0,3,1742,772.52,0.00,11,0,0,0.0,3.81,1.00,1.00,8.45,8.00,8.00
5000,15,6,33.0,0.0,0.0,15.7,17.3,0.0,1.00,6.0,2,1984,367.22,0.00,6,0,0,0.0,1.00,1.00,1.00,5.17,8.00,5.00
6000,17,269,5.6,0.0,0.0,0.2,5.4,0.0,1.01,21.1,46,466,49.10,0.00,0,265,4,0.0,1.00,1.00,1.01,2.14,3.60,2.12
6000,2,209,7.7,0.0,0.1,0.0,7.7,0.0,1.00,20.7,39,792,128.76,0.00,6,201,2,0.0,1.00,1.00,1.00,2.35,4.68,2.36
6000,22,112,12.6,0.0,0.1,0.2,12.2,0.0,1.04,16.6,47,797,72.90,0.00,112,0,0,0.0,1.04,1.04,1.04,2.93,4.03,3.84
6000,6,108,7.4,0.4,0.2,0.4,6.4,0.0,1.10,19.8,21,1306,116.49,0.00,108,0,0,0.0,1.14,1.08,1.09,2.16,2.96,3.18
6000,3,99,17.0,1.0,0.2,1.6,14.2,0.0,1.27,8.1,47,1041,148.72,0.00,99,0,0,0.0,1.25,1.37,1.23,4.79,6.88,5.74
6000,8,89,16.0,0.8,0.1,0.1,15.0,0.0,1.21,11.3,20,636,59.63,0.00,89,0,0,0.0,1.30,1.22,1.16,5.64,7.78,6.03
6000,1,89,64.0,1.4,1.7,3.6,57.4,0.0,1.13,0.0,22,621,172.10,0.00,89,0,0,0.0,1.00,1.21,1.16,8.21,8.00,8.00
6000,5,45,18.4,0.0,0.0,0.7,17.8,0.0,1.00,11.7,18,1367,218.38,0.00,45,0,0,0.0,1.00,1.00,1.00,4.40,7.69,3.84
6000,11,30,24.4,0.5,1.1,3.4,19.5,0.0,1.15,11.3,16,1404,253.53,0.00,30,0,0,0.0,1.00,1.24,1.19,3.87,5.97,4.40
6000,13,13,64.0,0.0,1.3,9.5,53.2,0.0,1.00,0.0,7,1972,659.41,0.00,13,0,0,0.0,1.00,1.00,1.00,9.00,8.00,8.00
6000,19,13,22.2,0.0,0.6,0.5,21.0,0.0,1.00,11.8,7,862,217.23,0.00,13,0,0,0.0,1.00,1.00,1.00,4.69,3.77,7.46
6000,4,9,64.0,8.6,0.0,0.0,55.4,0.0,1.70,0.0,2,2900,1255.66,0.00,9,0,0,0.0,3.82,1.00,1.00,8.00,8.00,8.00
6000,20,8,18.9,0.1,0.0,0.0,18.8,0.0,1.02,6.2,3,855,102.21,0.00,8,0,0,0.0,1.03,1.00,1.03,4.62,4.88,8.00
6000,12,7,10.9,0.0,0.1,0.0,10.7,0.0,1.00,14.3,3,1039,91.67,0.00,7,0,0,0.0,1.00,1.00,1.00,3.14,4.71,4.14
6000,15,6,32.0,0.0,0.0,18.0,14.0,0.0,1.00,6.0,1,2466,432.42,0.00,6,0,0,0.0,1.00,1.00,1.00,4.83,8.00,5.00
7000,2,348,4.7,0.0,0.0,0.0,4.6,0.0,1.01,22.4,49,562,46.74,0.00,6,339,3,0.0,1.01,1.00,1.01,2.11,4.34,2.22
7000,17,262,5.6,0.0,0.0,0.2,5.4,0.0,1.01,20.9,53,593,64.91,0.00,0,256,6,0.0,1.00,1.01,1.00,2.20,3.89,2.16
7000,22,189,11.4,0.1,0.1,0.4,10.8,0.0,1.04,17.4,60,681,67.63,0.00,189,0,0,0.0,1.05,1.03,1.04,2.85,3.80,3.58
7000,6,147,6.1,0.1,0.1,0.1,5.8,0.0,1.07,20.1,25,764,57.48,0.00,147,0,0,0.0,1.08,1.06,1.06,2.20,2.88,3.07
7000,8,128,14.2,0.4,0.1,0.1,13.7,0.0,1.10,12.4,26,538,64.82,0.00,128,0,0,0.0,1.14,1.15,1.07,5.07,7.48,5.84
7000,1,87,64.0,0.0,0.1,6.7,57.2,0.0,1.00,0.0,16,611,189.53,0.00,85,0,2,0.0,1.00,1.00,1.00,8.31,8.00,8.00
7000,3,74,14.0,0.1,0.1,1.0,12.7,0.0,1.11,11.7,40,882,121.80,0.00,74,0,0,0.0,1.15,1.15,1.08,4.04,6.82,4.42
7000,5,50,13.6,0.0,0.0,0.3,13.3,0.0,1.00,14.1,20,1112,147.96,0.00,50,0,0,0.0,1.00,1.00,1.00,3.68,7.14,3.28
7000,11,42,19.0,0.8,0.0,0.5,17.7,0.0,1.23,13.3,14,862,112.81,0.01,42,0,0,0.0,1.00,1.39,1.28,3.43,5.45,3.88
7000,20,14,15.0,0.0,0.0,0.1,14.9,0.0,1.00,9.7,8,970,92.25,0.00,14,0,0,0.0,1.00,1.00,1.00,3.36,5.29,5.86
7000,19,10,29.1,1.3,0.0,1.4,26.4,0.0,1.29,7.2,4,37,7.79,0.00,10,0,0,0.0,1.41,1.00,1.40,5.40,4.40,8.00
7000,13,8,63.0,0.0,0.9,3.0,59.1,0.0,1.00,0.0,4,536,121.15,0.00,8,0,0,0.0,1.00,1.00,1.00,7.50,8.00,8.00
8000,2,330,4.6,0.1,0.0,0.0,4.5,0.0,1.02,22.6,41,741,58.10,0.00,3,324,3,0.0,1.03,1.02,1.02,2.10,4.73,2.17
8000,17,224,5.9,0.0,0.0,0.1,5.8,0.0,1.02,20.3,41,606,59.96,0.00,0,222,2,0.0,1.02,1.02,1.02,2.39,4.44,2.17
