step,event,lineage,other,size
5000,birth,1,0,237
5000,birth,2,0,400
5000,birth,3,0,190
5000,birth,4,0,246
5000,birth,6,0,18
5000,birth,11,0,9
5000,birth,16,0,12
5000,birth,17,0,92
5000,birth,18,0,6
7000,split,26,3,24
8000,extinct,11,0,5
8000,extinct,16,0,12
9000,extinct,18,0,6
10000,extinct,26,0,18
11000,split,27,17,28
14000,split,32,2,57
17000,split,34,17,38
18000,split,35,32,39
20000,extinct,27,0,24
21000,extinct,3,0,9
22000,extinct,34,0,9
24000,split,42,4,80
26000,split,39,34,10
27000,extinct,17,0,43
31000,merge,32,49,7
34000,extinct,39,0,10
35000,split,49,2,52
38000,split,54,49,13
38000,extinct,49,0,37
39000,split,56,35,7
39000,extinct,42,0,56
40000,extinct,56,0,7
42000,extinct,54,0,8
51000,extinct,35,0,432
53000,split,63,2,405
55000,merge,4,2,311
56000,extinct,6,0,8
58000,split,66,63,180
59000,merge,63,2,463
60000,split,74,2,17
60000,split,75,2,28
61000,extinct,66,0,43
62000,merge,75,2,10
63000,merge,74,2,8
64000,split,81,2,18
66000,split,83,2,253
68000,split,86,2,24
69000,split,88,1,125
70000,extinct,86,0,11
71000,split,85,81,64
73000,split,89,81,22
73000,extinct,1,0,18
74000,split,90,2,408
76000,split,92,81,16
77000,merge,83,2,73
78000,merge,85,2,79
80000,extinct,89,0,9
82000,split,96,2,11
82000,extinct,88,0,18
83000,extinct,90,0,5
84000,extinct,81,0,6
84000,extinct,96,0,11
88000,split,105,2,230
89000,split,106,2,230
93000,extinct,92,0,7
129000,extinct,105,0,6
138000,split,111,2,224
198000,extinct,106,0,24
204000,split,118,111,14
210000,split,119,111,22
217000,split,125,111,45
217000,split,126,111,10
219000,extinct,126,0,10
220000,split,124,111,5
220000,extinct,111,0,10
222000,extinct,118,0,25
223000,extinct,119,0,20
223000,extinct,124,0,5
223000,extinct,125,0,9
271000,split,134,2,239
306000,split,136,134,90
307000,split,137,134,52
307000,extinct,134,0,12
310000,extinct,136,0,15
310000,extinct,137,0,8
332000,split,144,2,91
335000,extinct,144,0,23
348000,split,149,2,160
352000,merge,149,2,290
363000,split,154,2,313
369000,merge,154,2,327
375000,split,155,2,317
394000,merge,155,2,298
406000,split,158,2,304
407000,merge,158,2,304
412000,split,160,2,399
452000,merge,160,2,274
457000,split,165,2,234
458000,split,166,2,11
464000,merge,166,2,11
504000,split,169,165,61
506000,extinct,165,0,6
507000,split,172,169,223
507000,split,173,165,10
509000,extinct,169,0,23
509000,extinct,173,0,22
527000,extinct,172,0,16
529000,split,174,172,277
564000,split,177,174,135
571000,extinct,174,0,7
585000,split,180,2,171
592000,extinct,177,0,6
603000,extinct,180,0,31
757000,split,188,2,21
788000,extinct,188,0,5
932000,split,206,2,26
936000,extinct,206,0,26
971000,split,207,2,304
977000,merge,207,2,331
982000,split,210,2,327
