step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
10000,1993,1.788,0.380,8.85,74074,62897,1261,3,9416,1451,1580793.1,100.0,0.129,0.504,0.088,0.279,407,10.09,7.85,0.06,0.68,0.09,1.08,0.10,0.94,9.83,7.40,0.00,0.00,0.005,0.051,453,0.101,0.937,0.000,0.000,0.063,311464,292224,10,0.267,0.002,0.025,1312418,0.115,1.395,0.042,151.03,87118,11,0.069,1.000,0.000,7534245,1.02,17.71,0.001,0.001,0.000,3,8,20,64,20113,0.077,12.17,0.0081,0.017,3,0.887,0.000,0.837,0.767,2.69,3.32,3.92,0.00,0.001,1.02,1.02,1.02,0.887,0.00081
20000,2229,1.733,0.334,9.96,124949,102773,2396,0,19544,26,1536507.2,4.3,0.056,0.591,0.078,0.275,287,9.19,6.43,0.03,0.77,0.05,0.55,0.08,1.01,9.03,6.16,0.00,0.00,0.004,0.049,459,0.057,0.930,0.000,0.000,0.070,385487,345340,11,0.516,0.113,0.013,430080,0.082,1.331,0.038,159.19,126021,0,0.164,0.000,0.000,14108043,1.01,17.46,0.000,0.000,0.000,3,8,17,64,20488,0.078,4.01,0.0076,0.001,11,0.893,0.000,0.899,0.682,2.63,2.83,4.49,0.00,0.000,1.01,1.01,1.01,0.893,0.00077
30000,2072,1.712,0.255,10.49,132961,110210,2226,0,20682,32,1544329.4,1.7,0.040,0.556,0.100,0.304,257,9.21,6.77,0.01,0.18,0.02,0.25,0.05,0.51,9.13,6.69,0.00,0.00,0.002,0.030,417,0.049,0.927,0.000,0.000,0.073,406666,369669,10,0.570,0.111,0.015,402252,0.077,1.147,0.028,159.10,139566,0,0.052,0.000,0.000,14029145,1.01,17.13,0.000,0.000,0.000,3,8,17,58,19074,0.073,4.10,0.0082,0.000,5,0.892,0.000,0.906,0.678,2.70,2.81,4.80,0.00,0.000,1.01,1.01,1.01,0.892,0.00070
40000,2254,1.660,0.210,10.19,138579,114102,2320,1,21974,31,1520237.1,4.1,0.038,0.491,0.104,0.366,252,8.63,6.51,0.03,0.55,0.04,0.44,0.06,0.62,8.52,6.41,0.00,0.00,0.004,0.055,465,0.058,0.923,0.000,0.000,0.077,416577,380493,10,0.238,0.355,0.016,374311,0.084,1.029,0.022,159.17,149113,3,0.133,1.000,0.000,12369406,1.01,17.56,0.000,0.000,0.000,2,7,16,51,19458,0.074,4.03,0.0079,0.000,1,0.887,0.000,0.916,0.673,2.66,2.90,4.56,0.00,0.000,1.01,1.01,1.01,0.887,0.00058
50000,2258,1.644,0.190,10.36,140139,114038,2314,0,23783,13,1524248.4,1.5,0.012,0.477,0.118,0.394,246,8.60,6.14,0.01,0.33,0.03,0.36,0.06,0.73,8.49,6.02,0.00,0.00,0.004,0.045,442,0.066,0.928,0.000,0.000,0.072,413035,379622,15,0.229,0.080,0.017,357562,0.084,0.971,0.019,159.35,150325,0,0.115,0.000,0.000,11900439,1.00,17.50,0.000,0.000,0.000,2,7,17,58,19410,0.074,3.85,0.0080,0.000,4,0.887,0.000,0.922,0.666,2.72,3.04,4.53,0.00,0.000,1.00,1.01,1.00,0.887,0.00057
60000,2088,1.693,0.137,10.11,129655,105481,2002,0,22342,2,1547185.6,0.0,0.004,0.490,0.084,0.422,253,9.23,6.00,0.02,0.41,0.05,0.42,0.03,0.38,9.13,5.92,0.00,0.00,0.005,0.054,440,0.057,0.917,0.000,0.000,0.083,417127,386171,10,0.259,0.032,0.012,244200,0.073,0.760,0.012,159.46,148101,0,0.000,0.000,0.000,11739638,1.01,17.16,0.000,0.000,0.000,3,8,16,49,19274,0.074,3.74,0.0081,0.000,3,0.890,0.000,0.901,0.694,2.75,2.91,4.95,0.00,0.000,1.01,1.01,1.01,0.890,0.00061
70000,2113,1.694,0.119,9.62,140926,115959,2273,0,22669,3,1543413.8,0.1,0.006,0.476,0.056,0.462,258,9.25,5.99,0.04,0.43,0.08,0.63,0.03,0.42,9.09,5.91,0.00,0.00,0.007,0.058,398,0.067,0.913,0.000,0.000,0.087,419199,388830,6,0.251,0.133,0.012,179075,0.079,0.705,0.010,159.29,144258,0,0.032,0.000,0.000,12236297,1.02,16.85,0.000,0.000,0.000,3,8,16,64,19549,0.075,3.91,0.0080,0.000,4,0.904,0.000,0.912,0.669,2.83,2.82,5.35,0.00,0.000,1.02,1.02,1.02,0.904,0.00054
80000,2268,1.633,0.098,9.72,146020,121078,2335,0,22452,3,1532805.9,0.2,0.007,0.352,0.085,0.555,264,8.19,5.50,0.02,0.29,0.06,0.50,0.05,0.56,8.06,5.37,0.00,0.00,0.007,0.064,365,0.072,0.904,0.000,0.000,0.096,427361,406639,5,0.275,0.028,0.021,490466,0.060,0.635,0.007,159.52,144407,0,0.057,0.000,0.000,9496753,1.01,17.84,0.000,0.000,0.000,2,8,14,61,18581,0.071,3.68,0.0084,0.000,11,0.878,0.000,0.930,0.664,2.71,2.68,4.93,0.00,0.000,1.01,1.01,1.02,0.878,0.00047
90000,2330,1.617,0.104,10.39,157154,131189,2428,0,23475,3,1534025.4,0.4,0.005,0.259,0.093,0.643,250,8.21,5.58,0.06,0.80,0.10,0.73,0.08,0.79,7.99,5.24,0.00,0.00,0.008,0.060,398,0.046,0.913,0.000,0.000,0.087,419773,394476,8,0.235,0.126,0.021,432689,0.062,0.628,0.007,159.62,153951,0,0.122,0.000,0.000,6489595,1.02,17.91,0.000,0.000,0.000,3,7,15,46,19137,0.073,3.58,0.0082,0.000,13,0.843,0.000,0.939,0.631,2.69,2.79,4.77,0.00,0.001,1.01,1.03,1.02,0.843,0.00044
100000,2283,1.607,0.091,10.94,156885,132662,2516,0,21754,9,1526378.4,1.2,0.005,0.267,0.084,0.644,235,8.06,5.42,0.05,0.59,0.13,0.88,0.08,0.73,7.79,5.20,0.00,0.00,0.016,0.097,435,0.074,0.912,0.000,0.000,0.088,423306,397510,9,0.248,0.026,0.022,455333,0.084,0.607,0.007,159.37,157384,0,0.137,0.000,0.000,6697550,1.03,17.92,0.000,0.000,0.000,3,7,14,63,18400,0.070,3.83,0.0086,0.000,6,0.841,0.000,0.938,0.635,2.69,2.72,4.87,0.00,0.000,1.02,1.03,1.03,0.841,0.00045
