step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,1,807,11.4,0.2,0.0,0.0,11.2,0.0,1.06,14.6,138,454,39.16,0.00,775,26,6,0.0,1.02,1.08,1.07,3.47,4.30,4.71
5000,2,96,5.1,0.0,0.0,0.0,5.1,0.0,1.00,21.7,11,273,21.34,0.00,2,87,7,0.0,1.00,1.00,1.00,1.98,2.17,3.00
5000,4,52,17.0,0.9,0.0,0.0,16.1,0.0,1.26,11.1,20,778,106.25,0.00,52,0,0,0.0,1.30,1.11,1.35,4.69,6.35,6.25
5000,3,39,11.2,0.1,0.0,0.0,11.1,0.0,1.03,14.5,12,329,43.40,0.00,18,21,0,0.0,1.04,1.04,1.02,3.49,5.38,3.74
6000,1,834,11.2,0.1,0.0,0.0,11.1,0.0,1.04,14.5,170,516,43.66,0.00,809,22,3,0.0,1.01,1.05,1.05,3.40,4.29,4.88
6000,2,88,5.3,0.0,0.0,0.0,5.2,0.0,1.02,21.8,12,286,23.73,0.00,0,81,7,0.0,1.02,1.02,1.03,1.91,2.15,3.03
6000,4,54,12.3,0.6,0.0,0.0,11.7,0.0,1.18,13.8,19,859,93.50,0.00,54,0,0,0.0,1.20,1.08,1.29,3.98,6.33,5.63
6000,3,51,6.4,0.1,0.0,0.0,6.3,0.0,1.07,19.8,15,272,37.84,0.00,10,41,0,0.0,1.11,1.11,1.04,2.24,3.90,2.20
7000,1,866,11.2,0.1,0.0,0.0,11.0,0.0,1.04,14.5,183,531,44.33,0.00,827,24,15,0.0,1.02,1.06,1.04,3.46,4.25,4.95
7000,2,93,5.1,0.2,0.0,0.0,4.8,0.0,1.11,21.8,11,471,38.07,0.00,0,89,4,0.0,1.16,1.16,1.09,2.11,2.24,2.88
7000,3,60,4.4,0.1,0.0,0.0,4.3,0.0,1.02,22.1,10,250,18.71,0.00,3,55,2,0.0,1.04,1.04,1.01,1.83,3.38,1.88
7000,4,50,11.4,0.4,0.0,0.0,11.1,0.0,1.13,14.3,17,719,65.42,0.00,50,0,0,0.0,1.13,1.08,1.20,3.92,6.32,5.64
8000,1,891,10.8,0.0,0.1,0.0,10.7,0.0,1.02,14.9,166,559,45.21,0.00,858,32,1,0.0,1.01,1.02,1.02,3.44,4.28,4.80
8000,2,64,8.8,0.2,0.0,0.0,8.5,0.0,1.15,19.4,17,151,17.60,0.00,0,54,10,0.0,1.14,1.14,1.17,2.72,2.38,3.91
8000,3,59,4.9,0.2,0.0,0.1,4.6,0.0,1.07,21.3,13,314,24.98,0.00,9,48,2,0.0,1.12,1.12,1.04,2.19,3.83,2.76
8000,4,46,10.4,0.2,0.0,0.0,10.2,0.0,1.05,14.8,10,871,77.52,0.00,46,0,0,0.0,1.06,1.03,1.08,3.70,6.43,5.65
9000,1,932,10.7,0.1,0.0,0.0,10.5,0.0,1.03,14.8,139,544,43.58,0.00,877,46,9,0.0,1.02,1.04,1.03,3.39,4.16,5.01
9000,2,38,12.6,0.0,0.1,0.0,12.5,0.0,1.00,15.5,12,198,30.88,0.00,0,30,8,0.0,1.00,1.00,1.00,3.45,2.97,5.45
9000,4,35,10.0,0.0,0.0,0.0,10.0,0.0,1.01,15.3,9,1103,84.08,0.00,35,0,0,0.0,1.01,1.01,1.01,3.54,6.46,5.17
9000,3,35,4.7,0.4,0.0,0.0,4.3,0.0,1.12,21.7,6,274,25.27,0.00,3,27,5,0.0,1.22,1.22,1.06,1.77,3.26,1.97
10000,1,737,10.8,0.0,0.0,0.0,10.8,0.0,1.02,14.4,108,579,45.55,0.00,735,0,2,0.0,1.01,1.02,1.01,3.47,3.54,5.52
10000,2,61,9.5,0.0,0.0,0.0,9.4,0.0,1.05,17.5,18,230,32.80,0.00,0,53,8,0.0,1.03,1.04,1.09,2.69,2.51,5.16
10000,4,34,8.2,0.4,0.0,0.0,7.9,0.0,1.23,16.3,9,664,47.29,0.00,34,0,0,0.0,1.20,1.20,1.26,3.35,7.00,6.03
10000,3,10,7.2,0.8,0.0,0.0,6.4,0.0,1.30,17.4,3,372,31.37,0.00,2,8,0,0.0,1.53,1.53,1.16,2.50,4.60,2.70
11000,1,387,11.6,0.1,0.0,0.0,11.4,0.0,1.04,15.2,49,632,49.25,0.00,387,0,0,0.0,1.01,1.06,1.04,3.44,4.23,4.20
11000,2,59,10.8,0.5,0.0,0.0,10.3,0.0,1.06,17.0,15,343,52.98,0.00,0,51,8,0.0,1.00,1.15,1.03,2.97,2.76,4.73
11000,4,45,8.7,0.3,0.0,0.0,8.4,0.0,1.21,15.9,18,552,44.97,0.00,45,0,0,0.0,1.23,1.22,1.20,3.56,6.44,6.13
11000,3,19,7.3,0.9,0.0,0.0,6.4,0.0,1.33,17.2,4,534,52.33,0.00,1,18,0,0.0,1.57,1.54,1.19,2.42,4.68,2.74
