step,event,lineage,other,size
5000,birth,1,0,227
5000,birth,4,0,104
5000,birth,7,0,75
5000,birth,8,0,6
5000,birth,11,0,49
7000,split,15,1,125
7000,split,16,1,14
10000,extinct,8,0,6
13000,birth,19,0,11
16000,split,21,20,36
16000,extinct,19,0,6
17000,extinct,16,0,5
21000,split,25,1,41
22000,split,26,15,147
24000,extinct,21,0,5
25000,merge,26,15,181
30000,split,29,15,129
30000,extinct,4,0,6
32000,split,35,1,8
34000,split,36,7,32
35000,extinct,7,0,31
36000,extinct,1,0,9
37000,extinct,35,0,7
38000,extinct,25,0,17
39000,extinct,29,0,29
52000,extinct,36,0,31
54000,split,45,36,64
57000,split,46,36,77
58000,extinct,45,0,5
60000,extinct,46,0,6
63000,split,51,50,97
68000,split,54,51,67
68000,extinct,51,0,7
73000,extinct,54,0,30
74000,split,59,54,84
127000,extinct,59,0,38
151000,split,79,11,80
152000,extinct,11,0,32
197000,extinct,79,0,10
240000,split,81,15,98
258000,split,84,15,59
259000,merge,84,15,59
265000,split,86,15,75
268000,split,87,81,81
268000,extinct,81,0,17
284000,extinct,86,0,54
286000,split,91,86,95
306000,extinct,87,0,7
359000,extinct,91,0,8
429000,split,98,15,74
430000,merge,98,15,74
438000,split,100,15,75
440000,split,101,15,103
462000,extinct,101,0,42
486000,extinct,100,0,10
526000,split,103,15,70
527000,merge,103,15,70
532000,split,104,15,59
534000,merge,104,15,58
540000,split,105,15,34
569000,split,111,15,43
573000,extinct,111,0,16
603000,extinct,105,0,5
681000,split,117,15,72
682000,merge,117,15,72
687000,split,118,15,77
700000,extinct,118,0,16
837000,split,122,15,97
844000,merge,122,15,79
887000,split,129,15,80
891000,merge,129,15,104
896000,split,130,15,66
898000,split,131,130,60
900000,merge,131,15,28
916000,split,134,15,71
918000,merge,134,15,87
930000,merge,130,15,78
938000,split,140,15,66
940000,merge,140,15,79
949000,split,142,15,127
950000,merge,142,15,127
957000,split,144,15,147
971000,merge,144,15,101
996000,split,154,15,54
