step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,3,358,8.5,0.0,0.0,0.2,8.2,0.0,1.00,18.2,54,347,20.27,0.00,358,0,0,0.0,1.00,1.00,1.00,2.65,3.15,3.74
5000,2,118,9.8,0.0,0.1,0.3,9.4,0.0,1.02,17.0,24,269,17.11,0.00,118,0,0,0.0,1.02,1.03,1.02,2.64,3.22,4.30
6000,3,320,8.7,0.0,0.0,0.1,8.6,0.0,1.00,18.3,48,309,18.80,0.00,320,0,0,0.0,1.00,1.00,1.00,2.66,3.06,3.78
6000,2,83,10.1,0.0,0.2,0.3,9.7,0.0,1.00,16.4,28,323,20.28,0.00,83,0,0,0.0,1.00,1.00,1.00,2.60,3.45,4.36
6000,7,36,9.8,0.0,0.0,0.3,9.4,0.0,1.00,17.0,9,280,17.08,0.00,36,0,0,0.0,1.00,1.00,1.00,2.69,3.25,4.25
6000,6,11,12.4,0.0,0.0,0.0,12.4,0.0,1.00,13.3,6,57,5.41,0.00,0,6,5,0.0,1.00,1.00,1.00,3.00,5.45,3.91
7000,3,163,9.1,0.1,0.0,0.2,8.7,0.0,1.05,18.2,37,357,21.78,0.00,157,1,5,0.0,1.04,1.06,1.05,2.47,3.07,3.85
7000,2,92,9.2,0.0,0.0,0.3,8.9,0.0,1.00,18.0,24,268,16.52,0.00,91,1,0,0.0,1.00,1.00,1.00,2.58,3.33,3.68
7000,7,42,10.2,0.0,0.3,0.0,9.8,0.0,1.00,16.7,13,281,17.64,0.00,42,0,0,0.0,1.00,1.00,1.00,2.93,3.00,4.71
7000,10,6,8.0,0.0,0.0,0.0,8.0,0.0,1.00,18.7,4,261,14.54,0.00,6,0,0,0.0,1.00,1.00,1.00,2.50,3.17,3.50
8000,7,118,10.1,0.0,0.2,0.3,9.6,0.0,1.00,16.9,29,207,13.43,0.00,100,16,2,0.0,1.00,1.00,1.00,2.63,3.03,4.55
8000,3,104,8.1,0.1,0.0,0.0,8.0,0.0,1.03,18.8,13,428,25.20,0.00,104,0,0,0.0,1.00,1.08,1.03,2.35,3.09,3.52
8000,2,89,9.1,0.0,0.0,0.2,8.9,0.0,1.00,18.0,19,348,21.66,0.00,89,0,0,0.0,1.00,1.00,1.00,2.42,3.22,3.76
9000,7,120,9.7,0.0,0.1,0.3,9.4,0.0,1.00,16.9,24,263,16.47,0.00,117,3,0,0.0,1.00,1.00,1.00,2.79,3.03,4.51
9000,3,71,8.1,0.0,0.0,0.4,7.6,0.0,1.00,19.2,17,284,16.55,0.00,71,0,0,0.0,1.00,1.00,1.00,2.46,3.11,3.28
9000,2,27,9.2,0.0,0.2,0.5,8.5,0.0,1.00,18.2,11,364,22.49,0.00,27,0,0,0.0,1.00,1.00,1.00,2.37,3.33,3.67
10000,7,133,9.7,0.0,0.2,0.2,9.4,0.0,1.00,16.9,30,313,18.81,0.00,131,2,0,0.0,1.00,1.00,1.00,2.77,2.98,4.55
10000,3,87,8.5,0.0,0.1,0.3,8.1,0.0,1.02,18.9,15,320,19.54,0.00,81,6,0,0.0,1.03,1.02,1.02,2.49,3.15,3.38
10000,2,25,9.0,0.0,0.0,0.0,9.0,0.0,1.00,18.5,9,328,19.74,0.00,25,0,0,0.0,1.00,1.00,1.00,2.16,3.08,3.68
11000,30,252,8.9,0.0,0.0,0.2,8.7,0.0,1.00,18.1,34,373,22.05,0.00,251,0,1,0.0,1.00,1.00,1.00,2.52,3.21,3.73
11000,7,127,9.6,0.0,0.2,0.2,9.2,0.0,1.00,17.1,37,327,20.20,0.00,126,1,0,0.0,1.00,1.00,1.00,2.69,2.99,4.48
11000,3,86,8.1,0.0,0.1,0.4,7.6,0.0,1.00,19.7,13,401,23.07,0.00,81,5,0,0.0,1.00,1.00,1.00,2.40,3.01,3.15
11000,2,5,9.8,0.0,0.0,0.0,9.8,0.0,1.00,17.2,3,186,11.32,0.00,5,0,0,0.0,1.00,1.00,1.00,2.80,3.20,4.20
12000,30,262,8.9,0.0,0.0,0.1,8.8,0.0,1.00,18.1,32,405,24.18,0.00,261,0,1,0.0,1.00,1.00,1.00,2.68,3.19,3.75
12000,37,142,8.4,0.2,0.0,0.1,8.0,0.0,1.12,18.8,39,245,14.61,0.00,115,11,16,0.0,1.09,1.11,1.17,2.65,2.61,4.06
12000,3,79,8.3,0.1,0.0,0.4,7.8,0.0,1.02,19.5,13,381,21.64,0.00,79,0,0,0.0,1.02,1.02,1.01,2.44,3.04,3.22
12000,7,54,10.4,0.0,0.1,0.1,10.2,0.0,1.00,16.3,13,240,15.54,0.00,43,11,0,0.0,1.00,1.00,1.00,2.80,2.96,4.89
12000,2,6,10.2,0.0,0.0,0.5,9.7,0.0,1.00,17.0,3,78,5.13,0.00,6,0,0,0.0,1.00,1.00,1.00,2.83,3.00,4.50
13000,30,239,9.0,0.0,0.0,0.1,8.9,0.0,1.00,18.0,20,387,23.21,0.00,239,0,0,0.0,1.00,1.00,1.00,2.75,3.12,3.88
13000,37,161,7.9,0.2,0.0,0.1,7.7,0.0,1.07,19.1,28,291,16.90,0.00,151,9,1,0.0,1.07,1.07,1.08,2.33,2.55,3.91
13000,7,36,13.4,0.0,0.0,0.0,13.3,0.0,1.00,14.8,22,208,16.16,0.00,25,11,0,0.0,1.00,1.00,1.00,3.17,3.53,5.06
13000,3,23,9.3,0.0,0.0,0.6,8.7,0.0,1.00,18.3,8,256,14.77,0.00,22,0,1,0.0,1.00,1.00,1.00,2.43,3.22,3.61
14000,30,242,9.3,0.0,0.0,0.2,9.2,0.0,1.00,17.7,33,364,22.19,0.00,241,0,1,0.0,1.00,1.00,1.00,2.69,3.19,3.98
14000,37,95,8.1,0.0,0.0,0.0,8.1,0.0,1.00,18.7,17,331,19.26,0.00,95,0,0,0.0,1.00,1.00,1.00,2.56,2.65,3.98
14000,3,43,8.7,0.0,0.0,0.7,8.0,0.0,1.00,18.8,9,239,14.83,0.00,43,0,0,0.0,1.00,1.00,1.00,2.35,3.23,3.35
14000,7,26,14.0,0.0,0.5,0.1,13.5,0.0,1.00,15.5,11,86,7.77,0.00,7,19,0,0.0,1.00,1.00,1.00,2.85,3.96,4.27
15000,30,276,9.3,0.0,0.0,0.1,9.2,0.0,1.00,17.7,24,367,22.32,0.00,273,0,3,0.0,1.00,1.00,1.00,2.70,3.18,3.99
15000,37,96,8.3,0.2,0.0,0.0,8.1,0.0,1.07,18.4,17,406,24.25,0.00,96,0,0,0.0,1.05,1.05,1.09,2.45,2.80,3.98
15000,3,37,8.3,0.0,0.0,0.0,8.2,0.0,1.00,19.5,6,351,21.28,0.00,37,0,0,0.0,1.00,1.00,1.00,2.24,3.08,3.16
15000,7,28,12.2,0.0,0.0,0.0,12.1,0.0,1.00,16.4,11,68,7.11,0.00,0,21,7,0.0,1.00,1.00,1.00,2.39,3.61,4.21
15000,42,15,16.9,0.0,0.0,0.0,16.9,0.0,1.00,11.5,10,81,8.20,0.00,0,11,4,0.0,1.00,1.00,1.00,4.07,5.87,4.40
16000,30,271,9.4,0.0,0.0,0.2,9.2,0.0,1.00,17.8,41,379,22.85,0.00,271,0,0,0.0,1.00,1.00,1.00,2.72,3.14,3.94
16000,37,121,8.7,0.0,0.0,0.0,8.7,0.0,1.00,18.2,20,358,21.87,0.00,119,0,2,0.0,1.00,1.00,1.00,2.54,2.84,4.07
16000,3,46,8.5,0.0,0.0,0.3,8.2,0.0,1.00,19.3,8,324,19.50,0.00,46,0,0,0.0,1.00,1.00,1.00,2.24,3.15,3.22
16000,46,25,10.3,0.0,0.0,1.2,9.1,0.0,1.00,17.0,4,207,12.51,0.00,25,0,0,0.0,1.00,1.00,1.00,2.48,3.52,4.00
16000,7,17,21.1,1.9,1.3,0.2,17.6,0.0,1.94,9.8,11,100,13.30,0.00,0,13,4,0.0,1.75,1.93,2.06,3.76,4.47,6.65
16000,42,17,11.6,0.0,0.0,0.1,11.5,0.0,1.00,16.8,11,102,7.64,0.00,0,14,3,0.0,1.00,1.00,1.00,2.41,3.94,3.65
16000,48,14,12.1,0.0,0.0,0.1,12.1,0.0,1.00,14.0,6,308,21.25,0.00,14,0,0,0.0,1.00,1.00,1.00,3.07,3.86,5.14
17000,30,266,9.3,0.0,0.0,0.2,9.0,0.0,1.00,17.9,33,398,24.34,0.00,266,0,0,0.0,1.00,1.00,1.00,2.75,3.15,3.92
17000,37,94,8.6,0.0,0.0,0.1,8.4,0.0,1.00,18.1,19,401,23.52,0.00,91,0,3,0.0,1.00,1.00,1.00,2.68,2.73,4.22
17000,3,48,8.2,0.0,0.1,0.2,7.9,0.0,1.00,19.5,10,355,20.77,0.00,47,0,1,0.0,1.00,1.00,1.00,2.35,3.06,3.21
17000,46,38,9.1,0.0,0.2,0.0,8.9,0.0,1.00,17.7,7,378,22.49,0.00,38,0,0,0.0,1.00,1.00,1.00,2.71,3.21,3.95
17000,49,33,9.7,0.0,0.0,0.1,9.5,0.0,1.00,17.3,12,358,21.40,0.00,32,0,1,0.0,1.00,1.00,1.00,2.48,3.27,4.15
17000,42,30,11.9,0.0,0.0,0.1,11.8,0.0,1.01,17.4,6,74,7.05,0.00,0,23,7,0.0,1.02,1.02,1.01,2.93,4.10,3.20
17000,7,19,9.8,0.4,0.4,0.8,8.2,0.0,1.11,16.7,11,103,8.01,0.01,0,18,1,0.0,1.04,1.15,1.13,2.95,2.89,4.74
18000,30,270,9.1,0.0,0.0,0.1,9.0,0.0,1.00,18.1,30,443,26.78,0.00,269,0,1,0.0,1.00,1.00,1.00,2.75,3.11,3.84
18000,37,76,8.5,0.0,0.0,0.0,8.4,0.0,1.02,18.1,17,346,19.95,0.00,76,0,0,0.0,1.00,1.02,1.02,2.64,2.91,4.07
18000,46,57,8.9,0.0,0.0,0.0,8.9,0.0,1.00,17.9,9,407,24.24,0.00,57,0,0,0.0,1.00,1.00,1.00,2.54,3.12,3.91
18000,53,43,13.2,0.1,0.0,0.2,12.9,0.0,1.03,13.3,18,316,21.16,0.00,43,0,0,0.0,1.02,1.02,1.04,3.47,3.91,5.47
18000,3,21,8.6,0.0,0.0,0.5,8.1,0.0,1.00,19.0,7,378,21.90,0.00,21,0,0,0.0,1.00,1.00,1.00,2.19,3.14,3.38
18000,42,18,12.5,0.0,0.0,2.8,9.7,0.0,1.00,15.9,10,80,7.04,0.00,0,17,1,0.0,1.00,1.00,1.00,2.56,4.33,3.72
18000,49,16,9.1,0.0,0.0,0.1,8.9,0.0,1.00,17.5,4,253,15.11,0.00,16,0,0,0.0,1.00,1.00,1.00,3.00,3.00,4.25
18000,7,11,11.1,0.0,0.0,0.0,11.1,0.0,1.00,18.5,5,109,10.84,0.00,0,10,1,0.0,1.00,1.00,1.00,2.09,2.64,4.09
19000,30,281,9.2,0.0,0.0,0.2,9.0,0.0,1.00,18.0,32,424,25.75,0.00,281,0,0,0.0,1.00,1.00,1.00,2.74,3.12,3.88
19000,46,90,9.5,0.0,0.2,0.1,9.3,0.0,1.00,17.0,15,325,20.29,0.00,90,0,0,0.0,1.00,1.00,1.00,2.52,3.50,3.98
19000,37,43,7.7,0.0,0.0,0.0,7.7,0.0,1.00,18.9,11,384,22.73,0.00,42,0,1,0.0,1.00,1.00,1.00,2.60,2.72,3.84
19000,49,24,9.9,0.0,0.1,0.1,9.6,0.0,1.00,16.7,8,323,20.07,0.00,24,0,0,0.0,1.00,1.00,1.00,2.79,3.00,4.92
