step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,1,125,10.2,0.1,0.1,0.5,9.5,0.0,1.02,15.2,43,153,9.10,1.19,121,2,2,0.0,1.01,1.03,1.02,3.00,3.66,4.75
6000,18,228,9.5,0.1,0.0,0.1,9.4,0.0,1.02,17.5,48,173,9.88,1.18,227,0,1,0.0,1.00,1.02,1.02,2.56,2.77,4.50
6000,1,42,11.7,0.0,0.0,1.1,10.6,0.0,1.00,14.2,17,158,9.27,0.95,41,1,0,0.0,1.00,1.00,1.00,3.55,3.88,5.00
7000,18,225,9.3,0.1,0.0,0.2,9.1,0.0,1.03,18.0,47,192,10.88,1.23,225,0,0,0.0,1.03,1.03,1.04,2.58,3.12,3.88
7000,1,15,8.3,0.0,0.0,0.0,8.3,0.0,1.00,17.6,6,203,10.74,1.03,9,6,0,0.0,1.00,1.00,1.00,2.47,3.53,3.67
8000,24,346,7.7,0.0,0.0,0.0,7.7,0.0,1.00,18.2,41,320,16.84,1.03,345,1,0,0.0,1.00,1.00,1.00,2.23,3.84,3.04
8000,18,233,9.3,0.0,0.0,0.1,9.2,0.0,1.00,18.5,47,205,11.18,1.31,233,0,0,0.0,1.00,1.00,1.00,2.59,3.41,3.34
9000,24,356,7.6,0.0,0.0,0.0,7.6,0.0,1.01,18.2,52,309,15.72,1.07,347,6,3,0.0,1.01,1.01,1.01,2.20,3.86,3.03
9000,18,241,8.9,0.0,0.0,0.1,8.8,0.0,1.01,18.8,54,205,11.00,1.36,241,0,0,0.0,1.00,1.01,1.01,2.39,3.33,3.30
9000,27,10,7.3,0.0,0.0,0.0,7.3,0.0,1.00,18.8,2,157,8.39,1.07,10,0,0,0.0,1.00,1.00,1.00,2.80,3.50,3.10
10000,24,396,7.3,0.0,0.0,0.0,7.2,0.0,1.00,18.6,42,317,16.13,1.13,376,17,3,0.0,1.00,1.00,1.00,2.19,3.87,2.84
10000,18,223,8.5,0.0,0.0,0.0,8.5,0.0,1.02,19.3,38,259,14.09,1.49,223,0,0,0.0,1.02,1.02,1.02,2.36,3.23,3.14
10000,27,21,7.9,0.0,0.0,0.7,7.2,0.0,1.00,17.5,6,264,14.53,1.19,21,0,0,0.0,1.00,1.00,1.00,2.57,3.24,4.00
10000,33,9,8.0,0.0,0.0,0.0,8.0,0.0,1.00,18.0,3,194,11.54,2.12,5,4,0,0.0,1.00,1.00,1.00,2.44,4.00,3.00
11000,24,553,7.8,0.0,0.1,0.0,7.8,0.0,1.00,18.2,69,300,15.54,1.27,463,47,43,0.0,1.00,1.00,1.00,2.16,3.97,2.96
11000,18,193,8.1,0.1,0.0,0.0,8.0,0.0,1.02,19.4,29,255,13.44,1.33,192,0,1,0.0,1.01,1.03,1.02,2.33,3.31,3.02
11000,27,17,8.3,0.0,0.0,0.0,8.3,0.0,1.00,17.8,5,143,8.41,0.60,16,0,1,0.0,1.00,1.00,1.00,2.71,3.06,4.06
12000,24,596,7.6,0.0,0.0,0.0,7.5,0.0,1.03,18.3,59,327,16.89,1.08,557,33,6,0.0,1.03,1.03,1.03,2.20,3.95,2.89
12000,18,68,9.2,0.4,0.0,0.0,8.8,0.0,1.21,18.4,13,250,12.91,1.26,67,0,1,0.0,1.19,1.19,1.23,2.25,3.63,3.16
12000,27,8,6.0,0.0,0.0,0.0,6.0,0.0,1.00,20.0,1,210,11.56,0.78,8,0,0,0.0,1.00,1.00,1.00,2.25,3.00,3.00
