step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
10000,588,1.348,0.640,5.05,70835,69386,0,4,2362,1409,411991.3,235900.5,0.096,0.403,0.334,0.167,634,7.42,5.16,0.07,0.98,0.00,0.00,0.03,0.78,7.31,4.73,0.00,0.00,0.000,0.000,45,0.335,0.158,0.830,0.003,0.009,91747,76969,1,0.908,0.092,0.002,398883,0.145,2.348,0.028,28.22,32587,148,167.424,0.250,0.014,1749292,1.02,19.12,0.000,0.000,0.000,5,6,10,52,4363,0.017,8.54,0.0096,0.000,12,0.507,0.000,0.464,0.350,2.20,3.02,3.43,0.00,0.000,1.01,1.02,1.03,0.507,0.00254,126.68,24.5237,8836.08
20000,695,1.288,0.555,5.06,28290,26203,8,0,1972,3,304063.0,33329.1,0.005,0.253,0.495,0.248,1091,7.47,4.08,0.05,0.53,0.03,0.68,0.05,0.84,7.35,3.59,0.00,0.00,0.000,0.012,37,0.760,0.155,0.835,0.000,0.010,20048,19885,1,1.000,0.000,0.007,29653,0.149,2.197,0.023,30.48,5097,0,11109.707,0.000,0.019,546901,1.01,19.60,0.000,0.000,0.000,6,7,7,56,5192,0.020,4.66,0.0060,0.013,13,0.310,0.000,0.312,0.045,2.22,3.07,3.17,0.00,0.000,1.01,1.01,1.01,0.310,0.00133,128.30,3.2180,7663.87
30000,624,1.359,0.495,5.69,30200,27895,5,0,2371,1,313206.1,36056.7,0.007,0.257,0.477,0.259,1058,8.50,5.06,0.07,0.48,0.00,0.04,0.12,2.45,8.31,4.41,0.00,0.04,0.000,0.010,79,0.652,0.149,0.833,0.003,0.014,21255,21066,1,1.000,0.000,0.005,29224,0.162,2.126,0.021,31.41,5668,0,36056.695,0.000,0.037,513344,1.02,18.08,0.000,0.000,0.002,7,7,12,59,5303,0.020,6.20,0.0060,0.000,14,0.286,0.000,0.319,0.046,2.44,3.02,3.98,0.00,0.002,1.01,1.03,1.03,0.286,0.00170,125.83,3.5325,6902.26
40000,688,1.413,0.280,5.91,31484,28712,11,3,2694,101,334007.6,44660.3,0.004,0.262,0.480,0.254,922,8.38,5.49,0.04,0.36,0.03,0.76,0.00,0.11,8.31,5.37,0.00,0.00,0.001,0.030,76,0.587,0.137,0.858,0.004,0.001,21110,19775,2,0.987,0.000,0.001,26059,0.156,1.564,0.012,33.52,7922,122,442.181,0.000,0.016,456006,1.01,18.16,0.000,0.000,0.000,6,7,10,46,5768,0.022,8.38,0.0058,0.001,7,0.237,0.000,0.311,0.059,2.48,2.81,4.15,0.00,0.000,1.00,1.02,1.02,0.237,0.00180,121.53,4.1325,3566.51
50000,770,1.326,0.243,6.16,33075,30070,3,0,2920,23,353652.1,43113.9,0.004,0.262,0.497,0.237,868,7.38,3.41,0.12,1.46,0.00,0.04,0.01,0.11,7.25,3.05,0.00,0.00,0.000,0.003,74,0.568,0.149,0.832,0.006,0.012,21395,19435,2,0.962,0.000,0.003,25857,0.168,1.412,0.010,35.56,8974,0,1874.518,0.000,0.023,417534,1.06,18.94,0.000,0.000,0.000,5,7,8,49,5681,0.022,5.91,0.0063,0.008,15,0.204,0.000,0.300,0.057,2.31,2.72,3.85,0.00,0.000,1.04,1.05,1.08,0.204,0.00167,121.97,4.2654,3079.37
60000,752,1.289,0.270,6.32,31641,28819,5,0,2835,16,352026.5,38876.9,0.007,0.277,0.491,0.225,897,7.24,3.98,0.06,0.94,0.00,0.07,0.00,0.00,7.18,3.92,0.00,0.00,0.000,0.003,73,0.430,0.156,0.839,0.000,0.005,20404,17930,1,1.000,0.000,0.000,23303,0.170,1.509,0.015,35.41,8591,0,2429.808,0.000,0.016,445715,1.03,18.99,0.000,0.000,0.000,5,7,8,46,5445,0.021,9.54,0.0065,0.000,16,0.203,0.000,0.292,0.053,2.32,2.61,3.96,0.00,0.000,1.02,1.03,1.03,0.203,0.00164,118.48,3.8717,2893.10
70000,698,1.339,0.315,6.18,28553,26187,14,0,2406,6,342637.4,31358.3,0.003,0.276,0.485,0.236,941,7.50,4.05,0.14,1.74,0.00,0.00,0.00,0.00,7.37,3.56,0.00,0.00,0.000,0.000,59,0.501,0.116,0.874,0.000,0.010,16869,14459,1,0.842,0.158,0.000,13748,0.181,1.605,0.020,34.51,7259,0,5226.384,0.000,0.010,366708,1.05,19.07,0.001,0.000,0.000,5,7,10,64,5238,0.020,41.80,0.0067,0.011,2,0.175,0.000,0.286,0.032,2.28,2.77,3.76,0.00,0.000,1.05,1.08,1.05,0.175,0.00179,87.12,3.1244,2767.10
80000,730,1.281,0.511,6.25,28480,26083,3,0,2362,1,342257.8,30838.6,0.004,0.278,0.478,0.240,933,7.06,3.46,0.09,0.87,0.00,0.00,0.00,0.00,6.97,3.12,0.00,0.00,0.000,0.000,59,0.567,0.152,0.836,0.000,0.012,16834,14677,1,0.859,0.141,0.000,14895,0.177,1.970,0.046,34.71,7353,0,30838.641,0.000,0.011,349828,1.04,19.39,0.000,0.000,0.000,5,7,7,54,5153,0.020,41.42,0.0067,0.001,4,0.165,0.000,0.284,0.030,2.25,2.61,3.74,0.00,0.000,1.02,1.04,1.08,0.165,0.00172,87.31,3.0733,2644.76
90000,726,1.295,0.254,6.42,31414,28685,9,0,2724,3,353783.5,42133.1,0.008,0.278,0.477,0.238,894,7.53,3.90,0.04,0.49,0.01,0.15,0.02,0.47,7.45,3.71,0.00,0.00,0.000,0.007,65,0.410,0.149,0.836,0.007,0.008,21197,18773,1,0.815,0.185,0.004,16045,0.167,1.411,0.014,35.06,8958,0,14044.376,0.000,0.017,404867,1.01,18.71,0.000,0.000,0.000,6,7,9,46,5466,0.021,25.91,0.0065,0.000,14,0.183,0.000,0.279,0.077,2.33,2.60,4.09,0.00,0.000,1.01,1.02,1.02,0.183,0.00180,102.47,4.2209,2693.58
100000,805,1.284,0.190,6.63,29532,26912,9,0,2532,9,346168.3,35883.9,0.006,0.283,0.482,0.229,900,8.52,5.87,0.05,0.51,0.12,1.14,0.00,0.07,8.36,5.60,0.00,0.00,0.006,0.063,90,0.419,0.140,0.831,0.014,0.015,18560,16431,1,0.998,0.002,0.001,14518,0.171,1.225,0.008,34.67,8025,0,3987.096,0.000,0.056,372144,1.02,18.03,0.000,0.001,0.000,6,7,14,57,6861,0.026,40.85,0.0051,0.000,86,0.171,0.000,0.282,0.055,2.47,2.77,4.32,0.00,0.001,1.02,1.03,1.02,0.171,0.00162,87.93,3.5209,2000.68
