step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
100000,8,8,0,0,0,8,0,1.00,20,0.000,2380,1.18,146.95,9.67,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,2280,2.06,119.05,8.97,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,6,6,0,0,0,6,0,1.00,20,0.000,2236,1.29,112.17,4.47,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,2226,0.01,135.98,6.49,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1964,2.48,100.75,5.88,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1881,0.32,112.33,4.02,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1880,1.81,102.70,12.21,8,8,8,0,1.00,1.00,1.00,3,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1864,1.97,100.51,8.04,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,11,11,0,0,0,11,0,1.00,16,0.000,1844,1.72,139.47,4.02,8,8,8,0,1.00,1.00,1.00,2,4,4
100000,8,8,0,0,0,8,0,1.00,20,0.000,1811,2.33,103.67,6.41,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1788,1.70,102.31,6.10,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1787,1.29,94.95,4.99,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1771,2.65,96.69,5.63,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1600,0.74,89.00,3.43,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1600,1.23,89.28,6.63,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1585,0.92,94.21,7.48,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,9,9,0,0,0,9,0,1.00,18,0.000,1531,0.51,89.47,7.03,8,8,8,0,1.00,1.00,1.00,3,3,4
100000,10,10,0,0,0,10,0,1.00,16,0.000,1490,0.62,97.63,4.24,8,8,8,0,1.00,1.00,1.00,2,4,4
100000,8,8,0,0,0,8,0,1.00,20,0.000,1471,0.35,75.90,6.64,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1435,1.28,77.75,3.03,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1406,2.53,84.43,4.01,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1387,2.17,76.27,2.74,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1385,1.00,72.04,6.92,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1374,2.35,80.54,5.12,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1363,0.86,70.57,6.69,8,8,8,0,1.00,1.00,1.00,3,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1338,1.89,76.24,7.65,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1307,1.78,71.95,3.92,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1300,2.59,74.79,4.26,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1299,0.67,73.41,5.37,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1279,1.50,63.64,5.05,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1273,0.70,61.62,5.31,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1231,0.48,68.77,4.39,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1223,0.14,60.26,4.91,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,18,0.000,1213,2.02,66.45,5.82,8,8,8,0,1.00,1.00,1.00,1,3,4
100000,8,8,0,0,0,8,0,1.00,20,0.000,1182,1.78,69.83,5.78,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1167,1.89,55.03,3.31,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1165,2.62,61.40,3.55,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,18,0.000,1162,1.48,72.26,2.66,8,8,8,0,1.00,1.00,1.00,2,3,4
100000,8,8,0,0,0,8,0,1.00,20,0.000,1140,2.31,65.57,4.02,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1129,2.30,55.53,5.51,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1121,0.57,60.20,3.26,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1118,2.70,60.24,4.32,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1105,0.73,55.01,3.27,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1080,2.31,61.11,3.95,8,8,8,0,1.00,1.00,1.00,1,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1034,0.53,50.47,3.54,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,1027,1.72,62.40,3.94,8,8,8,0,1.00,1.00,1.00,4,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1023,2.60,52.14,2.64,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1018,2.63,60.51,2.17,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,7,7,0,0,0,7,0,1.00,20,0.000,1013,0.34,62.72,2.08,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,987,2.68,52.22,4.46,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,969,1.86,61.26,5.78,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,965,1.07,54.88,2.81,8,8,8,0,1.00,1.00,1.00,2,3,3
100000,8,8,0,0,0,8,0,1.00,20,0.000,960,0.87,56.00,3.99,8,8,8,0,1.00,1.00,1.00,4,3,3
