step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,5,355,16.9,0.1,0.1,0.4,16.4,0.0,1.02,10.0,95,106,9.50,1.08,249,105,1,0.0,1.02,1.03,1.03,4.00,4.67,6.49
5000,1,157,12.1,0.1,0.1,0.0,11.8,0.0,1.08,13.1,42,103,7.46,1.09,72,81,4,0.0,1.10,1.10,1.06,3.55,5.33,4.39
6000,1,309,13.1,0.0,0.0,0.0,13.0,0.0,1.02,13.0,66,117,8.59,0.88,139,156,14,0.0,1.01,1.01,1.03,3.44,5.08,4.58
6000,5,243,16.0,0.0,0.0,0.3,15.7,0.0,1.00,10.7,68,120,9.91,1.15,194,46,3,0.0,1.00,1.01,1.00,3.96,4.58,6.24
7000,1,441,11.7,0.0,0.0,0.0,11.6,0.0,1.00,14.0,87,119,8.58,0.71,194,239,8,0.0,1.00,1.00,1.00,3.18,4.51,4.65
7000,5,131,15.8,0.1,0.0,0.2,15.5,0.0,1.01,10.6,38,145,10.86,0.79,131,0,0,0.0,1.00,1.02,1.01,3.76,4.76,6.02
8000,1,649,10.4,0.1,0.0,0.0,10.2,0.0,1.02,15.1,90,154,9.93,0.76,328,266,55,0.0,1.02,1.03,1.03,2.74,4.40,4.12
8000,5,71,12.5,0.0,0.0,0.1,12.4,0.0,1.00,13.8,15,145,10.34,0.63,71,0,0,0.0,1.00,1.00,1.00,3.04,4.25,5.08
9000,1,743,9.7,0.0,0.0,0.0,9.6,0.0,1.01,15.5,109,208,12.51,0.82,407,280,56,0.0,1.01,1.02,1.01,2.79,4.39,3.89
9000,5,12,15.8,0.0,0.0,0.7,15.1,0.0,1.00,9.5,3,318,24.42,0.59,12,0,0,0.0,1.00,1.00,1.00,3.58,4.67,6.58
10000,1,713,9.4,0.1,0.0,0.0,9.3,0.0,1.02,15.8,83,245,14.55,0.58,421,271,21,0.0,1.02,1.03,1.02,2.63,4.34,3.79
11000,1,719,8.6,0.0,0.0,0.0,8.6,0.0,1.01,16.5,80,286,16.49,0.48,413,301,5,0.0,1.01,1.02,1.02,2.59,4.09,3.71
12000,1,750,8.5,0.0,0.0,0.0,8.5,0.0,1.02,16.6,73,326,18.39,0.41,440,308,2,0.0,1.02,1.02,1.03,2.52,4.03,3.73
13000,1,754,8.5,0.0,0.0,0.0,8.5,0.0,1.01,16.6,64,340,19.49,0.47,417,328,9,0.0,1.01,1.02,1.01,2.48,3.91,3.79
14000,1,779,8.2,0.0,0.0,0.0,8.2,0.0,1.01,17.0,62,323,18.45,0.46,450,327,2,0.0,1.01,1.01,1.01,2.35,3.91,3.63
15000,1,853,8.0,0.0,0.0,0.0,8.0,0.0,1.02,17.0,53,399,22.41,0.53,549,303,1,0.0,1.02,1.02,1.02,2.27,3.88,3.68
16000,1,884,7.9,0.0,0.0,0.0,7.9,0.0,1.01,16.9,51,459,25.72,0.64,570,308,6,0.0,1.01,1.01,1.01,2.14,3.97,3.58
17000,1,871,7.7,0.0,0.0,0.0,7.7,0.0,1.01,17.0,45,499,27.71,0.65,590,278,3,0.0,1.01,1.02,1.01,2.10,3.99,3.52
18000,1,844,8.0,0.1,0.0,0.0,7.9,0.0,1.04,16.6,56,521,29.00,0.74,575,264,5,0.0,1.04,1.04,1.04,2.22,4.05,3.66
19000,1,825,7.9,0.0,0.0,0.0,7.8,0.0,1.02,16.8,51,501,28.06,0.79,528,293,4,0.0,1.02,1.02,1.02,2.18,4.01,3.62
20000,1,878,8.1,0.1,0.0,0.0,8.1,0.0,1.03,16.6,51,509,28.54,0.77,586,290,2,0.0,1.03,1.04,1.03,2.20,4.01,3.70
21000,1,851,8.0,0.0,0.0,0.0,8.0,0.0,1.01,16.6,52,496,27.73,0.80,548,301,2,0.0,1.01,1.01,1.03,2.18,4.02,3.73
22000,1,872,8.2,0.1,0.0,0.0,8.1,0.0,1.03,16.5,48,460,25.87,0.75,597,272,3,0.0,1.02,1.03,1.03,2.16,3.99,3.80
23000,1,902,8.2,0.1,0.0,0.0,8.2,0.0,1.03,16.4,55,499,28.26,0.81,592,307,3,0.0,1.03,1.04,1.02,2.19,4.01,3.84
24000,1,923,8.3,0.1,0.0,0.0,8.2,0.0,1.04,16.3,56,448,25.54,0.75,588,333,2,0.0,1.04,1.04,1.04,2.17,4.05,3.84
25000,1,877,8.1,0.1,0.0,0.0,8.0,0.0,1.03,16.4,48,473,26.73,0.76,583,291,3,0.0,1.02,1.03,1.03,2.14,4.03,3.81
26000,1,926,8.1,0.1,0.0,0.0,8.0,0.0,1.03,16.4,50,482,27.31,0.80,603,319,4,0.0,1.02,1.03,1.03,2.06,4.00,3.80
27000,1,940,7.9,0.1,0.0,0.0,7.8,0.0,1.04,16.6,45,509,28.75,0.85,615,320,5,0.0,1.04,1.05,1.04,2.08,3.96,3.77
28000,1,886,8.2,0.0,0.0,0.0,8.1,0.0,1.01,16.4,43,438,24.81,0.77,576,309,1,0.0,1.01,1.02,1.01,2.07,3.99,3.82
29000,1,925,8.3,0.0,0.0,0.0,8.2,0.0,1.01,16.3,50,466,26.80,0.81,594,323,8,0.0,1.01,1.02,1.01,2.02,3.98,3.90
30000,1,943,8.3,0.1,0.0,0.0,8.2,0.0,1.04,16.3,59,435,25.08,0.83,615,324,4,0.0,1.03,1.05,1.05,2.07,3.97,3.89
31000,1,925,8.3,0.1,0.0,0.0,8.2,0.0,1.05,16.4,59,459,26.59,0.88,612,312,1,0.0,1.05,1.06,1.04,2.00,3.98,3.87
32000,1,1000,8.2,0.0,0.0,0.0,8.1,0.0,1.02,16.6,54,439,25.02,0.81,680,319,1,0.0,1.04,1.04,1.02,2.07,3.89,3.83
33000,1,978,8.3,0.1,0.0,0.0,8.2,0.0,1.03,16.4,53,483,27.59,0.86,661,313,4,0.0,1.02,1.04,1.03,2.08,3.91,3.87
34000,1,978,8.2,0.0,0.0,0.0,8.2,0.0,1.01,16.5,47,449,25.76,0.81,680,296,2,0.0,1.01,1.01,1.01,1.96,3.92,3.83
35000,1,963,8.4,0.1,0.0,0.0,8.3,0.0,1.02,16.4,56,483,27.88,0.88,667,295,1,0.0,1.01,1.02,1.02,2.02,3.91,3.91
36000,1,972,8.4,0.1,0.0,0.0,8.3,0.0,1.04,16.3,57,491,28.26,0.91,647,324,1,0.0,1.04,1.06,1.04,2.03,3.93,3.91
37000,1,1006,8.3,0.0,0.0,0.0,8.3,0.0,1.01,16.6,50,499,28.52,0.88,702,298,6,0.0,1.01,1.01,1.01,2.07,3.84,3.89
38000,1,985,8.4,0.1,0.0,0.0,8.3,0.0,1.02,16.4,56,480,27.24,0.82,685,298,2,0.0,1.02,1.03,1.02,2.12,3.84,3.95
39000,1,979,8.4,0.0,0.0,0.0,8.3,0.0,1.01,16.5,59,468,26.22,0.71,679,297,3,0.0,1.00,1.01,1.01,2.24,3.79,4.00
40000,1,1010,8.4,0.1,0.0,0.0,8.3,0.0,1.04,16.5,67,444,24.90,0.65,687,317,6,0.0,1.05,1.06,1.03,2.18,3.83,3.95
41000,1,1007,8.4,0.1,0.0,0.0,8.3,0.0,1.04,16.5,59,455,25.84,0.71,702,298,7,0.0,1.06,1.06,1.03,2.16,3.82,3.93
