step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,1,1940,6.8,0.0,0.0,0.0,6.7,0.0,1.01,17.3,96,724,38.38,0.35,1940,0,0,0.0,1.01,1.02,1.02,2.51,1.52,5.89
5000,3,68,8.9,0.0,0.0,0.0,8.8,0.0,1.01,13.5,15,664,39.14,0.35,68,0,0,0.0,1.01,1.01,1.00,3.06,1.54,7.88
6000,1,2173,6.6,0.0,0.0,0.0,6.5,0.0,1.01,17.5,78,849,43.52,0.35,2173,0,0,0.0,1.01,1.01,1.01,2.46,1.36,5.94
6000,3,28,8.0,0.0,0.0,0.0,8.0,0.0,1.00,14.2,4,759,41.14,0.36,28,0,0,0.0,1.00,1.00,1.00,2.89,1.07,8.00
7000,1,1398,6.4,0.0,0.0,0.0,6.4,0.0,1.01,17.6,49,886,44.65,0.39,1398,0,0,0.0,1.00,1.01,1.01,2.42,1.30,5.90
7000,3,12,7.5,0.0,0.0,0.0,7.5,0.0,1.00,15.0,3,917,48.15,0.37,12,0,0,0.0,1.00,1.00,1.00,2.83,1.00,7.67
8000,1,1322,6.5,0.1,0.0,0.0,6.4,0.0,1.02,17.7,56,861,43.17,0.39,1322,0,0,0.0,1.01,1.02,1.02,2.40,1.35,5.82
8000,3,5,7.6,0.0,0.0,0.0,7.6,0.0,1.00,14.8,2,772,38.25,0.54,5,0,0,0.0,1.00,1.00,1.00,3.00,1.00,8.00
9000,1,1163,6.6,0.0,0.0,0.0,6.5,0.0,1.01,17.5,53,925,46.45,0.43,1163,0,0,0.0,1.00,1.01,1.01,2.41,1.39,5.88
10000,1,1010,6.8,0.0,0.0,0.0,6.8,0.0,1.01,17.4,51,913,45.98,0.43,1010,0,0,0.0,1.00,1.01,1.03,2.43,1.45,5.85
11000,10,1328,7.5,0.0,0.0,0.0,7.5,0.0,1.01,16.4,43,893,47.39,0.43,1328,0,0,0.0,1.01,1.01,1.01,2.76,1.83,6.00
11000,1,806,6.9,0.0,0.0,0.0,6.8,0.0,1.01,17.2,44,888,44.98,0.39,806,0,0,0.0,1.00,1.01,1.02,2.45,1.51,5.91
12000,10,1442,7.7,0.0,0.0,0.0,7.6,0.0,1.01,16.3,49,932,49.79,0.44,1442,0,0,0.0,1.00,1.02,1.02,2.85,1.89,5.98
12000,1,669,7.0,0.0,0.0,0.0,6.9,0.0,1.02,17.1,30,923,47.07,0.42,669,0,0,0.0,1.01,1.01,1.02,2.50,1.49,5.98
13000,10,1562,7.7,0.0,0.0,0.0,7.6,0.0,1.01,16.3,49,932,49.94,0.47,1562,0,0,0.0,1.01,1.01,1.01,2.83,1.94,5.94
13000,1,516,7.3,0.1,0.0,0.0,7.2,0.0,1.01,16.9,34,934,48.05,0.44,516,0,0,0.0,1.00,1.02,1.01,2.56,1.58,5.98
14000,10,1668,7.8,0.0,0.0,0.0,7.8,0.0,1.01,16.1,51,941,50.53,0.47,1668,0,0,0.0,1.00,1.01,1.01,2.83,2.00,5.93
14000,1,391,7.4,0.1,0.0,0.0,7.3,0.0,1.03,16.7,30,939,48.58,0.44,391,0,0,0.0,1.02,1.03,1.03,2.57,1.69,5.95
15000,10,1800,7.9,0.0,0.1,0.0,7.8,0.0,1.01,16.1,58,938,50.44,0.45,1800,0,0,0.0,1.01,1.02,1.01,2.84,2.01,5.95
15000,1,266,7.3,0.0,0.0,0.0,7.3,0.0,1.00,16.9,23,997,51.40,0.49,266,0,0,0.0,1.00,1.00,1.00,2.53,1.76,5.80
16000,10,1871,7.8,0.0,0.0,0.0,7.8,0.0,1.01,16.1,60,954,51.33,0.46,1871,0,0,0.0,1.00,1.01,1.01,2.87,2.04,5.95
16000,1,184,7.7,0.0,0.1,0.0,7.6,0.0,1.01,16.6,18,948,49.24,0.46,184,0,0,0.0,1.01,1.02,1.02,2.64,1.76,5.93
17000,10,1909,8.0,0.0,0.0,0.0,7.9,0.0,1.01,16.0,66,997,53.64,0.46,1909,0,0,0.0,1.01,1.01,1.01,2.88,2.08,5.96
17000,1,88,7.5,0.0,0.0,0.0,7.5,0.0,1.00,17.3,9,933,48.65,0.47,88,0,0,0.0,1.00,1.00,1.00,2.45,2.00,5.33
18000,10,1957,7.9,0.0,0.0,0.0,7.8,0.0,1.01,16.0,57,959,51.63,0.47,1957,0,0,0.0,1.00,1.01,1.01,2.91,2.06,5.95
18000,1,65,7.8,0.0,0.0,0.0,7.8,0.0,1.00,17.0,5,924,47.99,0.58,65,0,0,0.0,1.00,1.00,1.00,2.52,2.02,5.49
19000,10,1974,7.9,0.0,0.0,0.0,7.8,0.0,1.01,16.0,56,986,52.95,0.47,1974,0,0,0.0,1.01,1.01,1.01,2.91,2.06,5.94
19000,1,55,7.7,0.0,0.0,0.0,7.7,0.0,1.00,16.9,5,863,45.35,0.45,55,0,0,0.0,1.00,1.00,1.00,2.80,1.98,5.56
20000,10,1973,7.8,0.0,0.0,0.0,7.8,0.0,1.01,16.1,49,1017,54.48,0.47,1973,0,0,0.0,1.00,1.01,1.01,2.87,2.05,5.91
