step,measure,value,count
50000,hamming,1,1
50000,hamming,2,124
50000,hamming,3,8
50000,hamming,4,91
50000,hamming,5,17
50000,hamming,6,78
50000,hamming,7,18
50000,hamming,8,82
50000,hamming,9,24
50000,hamming,10,85
50000,hamming,11,32
50000,hamming,12,94
50000,hamming,13,50
50000,hamming,14,98
50000,hamming,15,71
50000,hamming,16,134
50000,hamming,17,91
50000,hamming,18,180
50000,hamming,19,143
50000,hamming,20,181
50000,hamming,21,198
50000,hamming,22,246
50000,hamming,23,271
50000,hamming,24,326
50000,hamming,25,328
50000,hamming,26,417
50000,hamming,27,368
50000,hamming,28,455
50000,hamming,29,398
50000,hamming,30,382
50000,hamming,31,377
50000,hamming,32,322
50000,hamming,33,352
50000,hamming,34,267
50000,hamming,35,283
50000,hamming,36,221
50000,hamming,37,212
50000,hamming,38,191
50000,hamming,39,168
50000,hamming,40,153
50000,hamming,41,128
50000,hamming,42,139
50000,hamming,43,116
50000,hamming,44,115
50000,hamming,45,130
50000,hamming,46,106
50000,hamming,47,123
50000,hamming,48,87
50000,hamming,49,110
50000,hamming,50,70
50000,hamming,51,79
50000,hamming,52,70
50000,hamming,53,77
50000,hamming,54,82
50000,hamming,55,77
50000,hamming,56,97
50000,hamming,57,89
50000,hamming,58,134
50000,hamming,59,134
50000,hamming,60,153
50000,hamming,61,169
50000,hamming,62,160
50000,hamming,63,185
50000,hamming,64,156
50000,hamming,65,233
50000,hamming,66,184
50000,hamming,67,248
50000,hamming,68,191
50000,hamming,69,210
50000,hamming,70,190
50000,hamming,71,188
50000,hamming,72,168
50000,hamming,73,136
50000,hamming,74,129
50000,hamming,75,97
50000,hamming,76,87
50000,hamming,77,53
50000,hamming,78,36
50000,hamming,79,30
50000,hamming,80,12
50000,hamming,81,12
50000,hamming,82,7
50000,hamming,83,7
50000,hamming,84,5
50000,hamming,85,4
50000,hamming,86,4
50000,hamming,87,4
50000,hamming,88,1
50000,hamming,89,2
50000,hamming,91,1
50000,hamming,98,1
50000,hamming,99,1
50000,hamming,100,1
50000,hamming,101,2
50000,hamming,102,2
50000,hamming,103,6
50000,hamming,104,1
50000,hamming,105,6
50000,hamming,106,1
50000,hamming,107,7
50000,hamming,108,3
50000,hamming,109,4
50000,hamming,110,1
50000,hamming,111,7
50000,hamming,112,8
50000,hamming,113,14
50000,hamming,114,11
50000,hamming,115,16
50000,hamming,116,23
50000,hamming,117,12
50000,hamming,118,19
50000,hamming,119,7
50000,hamming,120,15
50000,hamming,121,9
50000,hamming,122,17
50000,hamming,123,25
50000,hamming,124,24
50000,hamming,125,28
50000,hamming,126,29
50000,hamming,127,24
50000,hamming,128,23
50000,hamming,129,29
50000,hamming,130,36
50000,hamming,131,32
50000,hamming,132,41
50000,hamming,133,49
50000,hamming,134,46
50000,hamming,135,63
50000,hamming,136,63
50000,hamming,137,79
50000,hamming,138,95
50000,hamming,139,94
50000,hamming,140,123
50000,hamming,141,128
50000,hamming,142,168
50000,hamming,143,141
50000,hamming,144,193
50000,hamming,145,143
50000,hamming,146,193
50000,hamming,147,158
50000,hamming,148,167
50000,hamming,149,161
50000,hamming,150,150
50000,hamming,151,169
50000,hamming,152,137
50000,hamming,153,119
50000,hamming,154,114
50000,hamming,155,90
50000,hamming,156,107
50000,hamming,157,89
50000,hamming,158,75
50000,hamming,159,73
50000,hamming,160,68
50000,hamming,161,70
50000,hamming,162,47
50000,hamming,163,38
50000,hamming,164,23
50000,hamming,165,18
50000,hamming,166,5
50000,hamming,167,5
50000,hamming,168,4
50000,hamming,169,1
50000,hamming,181,2
50000,hamming,182,4
50000,hamming,183,12
50000,hamming,184,14
50000,hamming,185,36
50000,hamming,186,30
50000,hamming,187,77
50000,hamming,188,72
50000,hamming,189,92
50000,hamming,190,132
50000,hamming,191,133
50000,hamming,192,191
50000,hamming,193,195
50000,hamming,194,225
50000,hamming,195,275
50000,hamming,196,288
50000,hamming,197,280
50000,hamming,198,284
50000,hamming,199,262
50000,hamming,200,244
50000,hamming,201,158
50000,hamming,202,160
50000,hamming,203,137
50000,hamming,204,107
50000,hamming,205,93
50000,hamming,206,101
50000,hamming,207,159
50000,hamming,208,169
50000,hamming,209,214
50000,hamming,210,283
50000,hamming,211,339
50000,hamming,212,381
50000,hamming,213,499
50000,hamming,214,596
50000,hamming,215,639
50000,hamming,216,723
50000,hamming,217,838
50000,hamming,218,958
50000,hamming,219,954
50000,hamming,220,979
50000,hamming,221,895
50000,hamming,222,807
50000,hamming,223,767
50000,hamming,224,606
50000,hamming,225,522
50000,hamming,226,384
50000,hamming,227,330
50000,hamming,228,270
50000,hamming,229,241
50000,hamming,230,147
50000,hamming,231,123
50000,hamming,232,82
50000,hamming,233,45
50000,hamming,234,40
50000,hamming,235,26
50000,hamming,236,7
50000,hamming,237,7
50000,hamming,238,3
50000,hamming,239,2
50000,hamming,240,1
50000,genes,0,5367
50000,genes,1,1020
50000,genes,2,2330
50000,genes,3,770
50000,genes,4,729
50000,genes,5,382
50000,genes,6,419
50000,genes,7,537
50000,genes,8,1769
50000,genes,9,1053
50000,genes,10,1568
50000,genes,11,445
50000,genes,12,387
50000,genes,13,407
50000,genes,14,282
50000,genes,15,1833
50000,genes,16,11862
50000,genes,17,1913
50000,genes,18,80
50000,body,0,6473
50000,body,1,1346
50000,body,2,1269
50000,body,3,1000
50000,body,4,1733
50000,body,5,807
50000,body,6,608
50000,body,7,1472
50000,body,8,825
50000,body,9,1301
50000,body,10,1343
50000,body,11,6898
50000,body,12,1914
50000,body,13,1155
50000,body,14,517
50000,body,15,1753
50000,body,16,192
50000,body,17,302
50000,body,18,1750
50000,body,19,221
50000,body,20,16
50000,body,21,1
50000,body,29,12
50000,body,30,115
50000,body,31,15
50000,body,32,11
50000,body,33,96
50000,body,34,6
50000,body,35,1
50000,body,37,1
100000,hamming,2,90
100000,hamming,3,4
100000,hamming,4,99
100000,hamming,5,13
100000,hamming,6,95
100000,hamming,7,22
100000,hamming,8,92
100000,hamming,9,21
100000,hamming,10,89
100000,hamming,11,8
100000,hamming,12,85
100000,hamming,13,14
100000,hamming,14,84
100000,hamming,15,30
100000,hamming,16,63
100000,hamming,17,33
100000,hamming,18,44
100000,hamming,19,35
100000,hamming,20,43
100000,hamming,21,40
100000,hamming,22,38
100000,hamming,23,36
100000,hamming,24,48
100000,hamming,25,52
100000,hamming,26,55
100000,hamming,27,67
100000,hamming,28,65
100000,hamming,29,88
100000,hamming,30,63
100000,hamming,31,83
100000,hamming,32,45
100000,hamming,33,52
100000,hamming,34,29
100000,hamming,35,30
100000,hamming,36,20
100000,hamming,37,15
100000,hamming,38,12
100000,hamming,39,16
100000,hamming,40,11
100000,hamming,41,13
100000,hamming,42,11
100000,hamming,43,10
100000,hamming,44,9
100000,hamming,45,16
100000,hamming,46,18
100000,hamming,47,26
100000,hamming,48,32
100000,hamming,49,37
100000,hamming,50,44
100000,hamming,51,56
100000,hamming,52,52
100000,hamming,53,69
100000,hamming,54,52
100000,hamming,55,99
100000,hamming,56,76
100000,hamming,57,135
100000,hamming,58,70
100000,hamming,59,149
100000,hamming,60,93
100000,hamming,61,139
100000,hamming,62,95
100000,hamming,63,119
100000,hamming,64,101
100000,hamming,65,128
100000,hamming,66,104
100000,hamming,67,120
100000,hamming,68,99
100000,hamming,69,106
100000,hamming,70,71
100000,hamming,71,62
100000,hamming,72,30
100000,hamming,73,19
100000,hamming,74,17
100000,hamming,75,13
100000,hamming,76,17
100000,hamming,77,13
100000,hamming,78,18
100000,hamming,79,12
100000,hamming,80,19
100000,hamming,81,18
100000,hamming,82,12
100000,hamming,83,10
100000,hamming,84,12
100000,hamming,85,13
100000,hamming,86,12
100000,hamming,87,14
100000,hamming,88,14
100000,hamming,89,8
100000,hamming,90,12
100000,hamming,91,6
100000,hamming,92,4
100000,hamming,93,8
100000,hamming,94,7
100000,hamming,95,9
100000,hamming,96,13
100000,hamming,97,11
100000,hamming,98,14
100000,hamming,99,20
100000,hamming,100,21
100000,hamming,101,19
100000,hamming,102,29
100000,hamming,103,19
100000,hamming,104,16
100000,hamming,105,12
100000,hamming,106,8
100000,hamming,107,6
100000,hamming,108,4
100000,hamming,109,6
100000,hamming,110,9
100000,hamming,111,8
100000,hamming,112,15
100000,hamming,113,20
100000,hamming,114,36
100000,hamming,115,28
100000,hamming,116,37
100000,hamming,117,31
100000,hamming,118,29
100000,hamming,119,15
100000,hamming,120,11
100000,hamming,121,8
100000,hamming,122,4
100000,hamming,123,5
100000,hamming,124,4
100000,hamming,125,8
100000,hamming,126,10
100000,hamming,127,13
100000,hamming,128,20
100000,hamming,129,32
100000,hamming,130,48
100000,hamming,131,59
100000,hamming,132,58
100000,hamming,133,74
100000,hamming,134,71
100000,hamming,135,89
100000,hamming,136,86
100000,hamming,137,97
100000,hamming,138,102
100000,hamming,139,112
100000,hamming,140,118
100000,hamming,141,131
100000,hamming,142,111
100000,hamming,143,121
100000,hamming,144,106
100000,hamming,145,110
100000,hamming,146,95
100000,hamming,147,76
100000,hamming,148,65
100000,hamming,149,55
100000,hamming,150,36
100000,hamming,151,46
100000,hamming,152,35
100000,hamming,153,42
100000,hamming,154,38
100000,hamming,155,36
100000,hamming,156,30
100000,hamming,157,22
100000,hamming,158,16
100000,hamming,159,10
100000,hamming,160,4
100000,hamming,161,2
100000,hamming,162,1
100000,hamming,280,1
100000,hamming,281,2
100000,hamming,282,8
100000,hamming,283,22
100000,hamming,284,21
100000,hamming,285,29
100000,hamming,286,52
100000,hamming,287,55
100000,hamming,288,66
100000,hamming,289,104
100000,hamming,290,204
100000,hamming,291,232
100000,hamming,292,277
100000,hamming,293,400
100000,hamming,294,446
100000,hamming,295,419
100000,hamming,296,388
100000,hamming,297,313
100000,hamming,298,271
100000,hamming,299,208
100000,hamming,300,167
100000,hamming,301,138
100000,hamming,302,149
100000,hamming,303,171
100000,hamming,304,167
100000,hamming,305,166
100000,hamming,306,182
100000,hamming,307,138
100000,hamming,308,146
100000,hamming,309,155
100000,hamming,310,147
100000,hamming,311,119
100000,hamming,312,101
100000,hamming,313,112
100000,hamming,314,70
100000,hamming,315,50
100000,hamming,316,43
100000,hamming,317,34
100000,hamming,318,25
100000,hamming,319,17
100000,hamming,320,15
100000,hamming,321,15
100000,hamming,322,17
100000,hamming,323,9
100000,hamming,324,7
100000,hamming,325,2
100000,genes,0,653
100000,genes,1,386
100000,genes,2,1080
100000,genes,3,508
100000,genes,4,988
100000,genes,5,505
100000,genes,6,510
100000,genes,7,254
100000,genes,8,660
100000,genes,9,82
100000,genes,10,677
100000,genes,11,25
100000,genes,12,360
100000,genes,13,216
100000,genes,14,99
100000,genes,15,181
100000,genes,16,2815
100000,genes,17,2576
100000,genes,18,280
100000,genes,19,25
100000,body,0,1812
100000,body,1,1644
100000,body,2,1643
100000,body,3,673
100000,body,4,302
100000,body,5,235
100000,body,6,159
100000,body,7,131
100000,body,8,355
100000,body,9,1147
100000,body,10,1018
100000,body,11,2073
100000,body,12,693
100000,body,13,159
100000,body,14,212
100000,body,15,23
100000,body,16,18
100000,body,17,11
100000,body,18,41
100000,body,19,43
100000,body,20,89
100000,body,21,60
100000,body,22,19
100000,body,23,2
100000,body,26,34
100000,body,27,27
100000,body,28,26
100000,body,29,50
100000,body,30,15
100000,body,31,4
100000,body,32,3
100000,body,34,2
100000,body,36,4
100000,body,37,21
100000,body,38,41
100000,body,39,54
100000,body,40,28
100000,body,41,4
100000,body,42,3
100000,body,43,1
100000,body,44,1
150000,hamming,2,71
150000,hamming,3,2
150000,hamming,4,73
150000,hamming,5,6
150000,hamming,6,61
150000,hamming,7,11
150000,hamming,8,76
150000,hamming,9,18
150000,hamming,10,78
150000,hamming,11,29
150000,hamming,12,57
150000,hamming,13,35
150000,hamming,14,37
150000,hamming,15,25
150000,hamming,16,36
150000,hamming,17,27
150000,hamming,18,42
150000,hamming,19,31
150000,hamming,20,31
150000,hamming,21,42
150000,hamming,22,52
150000,hamming,23,38
150000,hamming,24,63
150000,hamming,25,39
150000,hamming,26,58
150000,hamming,27,52
150000,hamming,28,48
150000,hamming,29,59
150000,hamming,30,40
150000,hamming,31,71
150000,hamming,32,48
150000,hamming,33,55
150000,hamming,34,52
150000,hamming,35,40
150000,hamming,36,58
150000,hamming,37,50
150000,hamming,38,56
150000,hamming,39,45
150000,hamming,40,44
150000,hamming,41,28
150000,hamming,42,38
150000,hamming,43,38
150000,hamming,44,33
150000,hamming,45,53
150000,hamming,46,29
150000,hamming,47,47
150000,hamming,48,37
150000,hamming,49,54
150000,hamming,50,54
150000,hamming,51,96
150000,hamming,52,94
150000,hamming,53,109
150000,hamming,54,106
150000,hamming,55,107
150000,hamming,56,111
150000,hamming,57,126
150000,hamming,58,141
150000,hamming,59,124
150000,hamming,60,150
150000,hamming,61,138
150000,hamming,62,156
150000,hamming,63,158
150000,hamming,64,157
150000,hamming,65,180
150000,hamming,66,196
150000,hamming,67,162
150000,hamming,68,228
150000,hamming,69,168
150000,hamming,70,216
150000,hamming,71,221
150000,hamming,72,223
150000,hamming,73,236
150000,hamming,74,267
150000,hamming,75,278
150000,hamming,76,366
150000,hamming,77,314
150000,hamming,78,382
150000,hamming,79,310
150000,hamming,80,338
150000,hamming,81,286
150000,hamming,82,314
150000,hamming,83,322
150000,hamming,84,285
150000,hamming,85,347
150000,hamming,86,274
150000,hamming,87,324
150000,hamming,88,273
150000,hamming,89,292
150000,hamming,90,309
150000,hamming,91,296
150000,hamming,92,287
150000,hamming,93,289
150000,hamming,94,256
150000,hamming,95,258
150000,hamming,96,180
150000,hamming,97,180
150000,hamming,98,149
150000,hamming,99,189
150000,hamming,100,137
150000,hamming,101,142
150000,hamming,102,123
150000,hamming,103,110
150000,hamming,104,105
150000,hamming,105,74
150000,hamming,106,71
150000,hamming,107,58
150000,hamming,108,63
150000,hamming,109,71
150000,hamming,110,60
150000,hamming,111,72
150000,hamming,112,43
150000,hamming,113,39
150000,hamming,114,21
150000,hamming,115,13
150000,hamming,116,8
150000,hamming,117,12
150000,hamming,118,3
150000,hamming,119,2
150000,hamming,120,2
150000,hamming,121,1
150000,genes,0,5850
150000,genes,1,467
150000,genes,2,4202
150000,genes,3,295
150000,genes,4,2934
150000,genes,5,208
150000,genes,6,387
150000,genes,7,14
150000,genes,8,8
150000,body,0,6155
150000,body,1,2588
150000,body,2,3304
150000,body,3,862
150000,body,4,258
150000,body,5,339
150000,body,6,410
150000,body,7,236
150000,body,8,4
150000,body,9,29
150000,body,10,5
150000,body,11,4
150000,body,12,1
150000,body,13,2
150000,body,14,25
150000,body,15,129
150000,body,16,4
150000,body,17,9
150000,body,20,1
200000,hamming,2,32
200000,hamming,3,1
200000,hamming,4,21
200000,hamming,5,2
200000,hamming,6,21
200000,hamming,7,6
200000,hamming,8,24
200000,hamming,9,5
200000,hamming,10,31
200000,hamming,11,9
200000,hamming,12,42
200000,hamming,13,17
200000,hamming,14,36
200000,hamming,15,13
200000,hamming,16,53
200000,hamming,17,27
200000,hamming,18,65
200000,hamming,19,27
200000,hamming,20,82
200000,hamming,21,35
200000,hamming,22,71
200000,hamming,23,62
200000,hamming,24,82
200000,hamming,25,91
200000,hamming,26,109
200000,hamming,27,99
200000,hamming,28,130
200000,hamming,29,99
200000,hamming,30,115
200000,hamming,31,104
200000,hamming,32,113
200000,hamming,33,126
200000,hamming,34,102
200000,hamming,35,111
200000,hamming,36,95
200000,hamming,37,131
200000,hamming,38,94
200000,hamming,39,129
200000,hamming,40,83
200000,hamming,41,109
200000,hamming,42,81
200000,hamming,43,98
200000,hamming,44,77
200000,hamming,45,77
200000,hamming,46,62
200000,hamming,47,68
200000,hamming,48,51
200000,hamming,49,66
200000,hamming,50,47
200000,hamming,51,75
200000,hamming,52,45
200000,hamming,53,51
200000,hamming,54,26
200000,hamming,55,39
200000,hamming,56,13
200000,hamming,57,25
200000,hamming,58,14
200000,hamming,59,23
200000,hamming,60,13
200000,hamming,61,23
200000,hamming,62,13
200000,hamming,63,20
200000,hamming,64,9
200000,hamming,65,20
200000,hamming,66,11
200000,hamming,67,21
200000,hamming,68,10
200000,hamming,69,14
200000,hamming,70,4
200000,hamming,71,13
200000,hamming,72,6
200000,hamming,73,6
200000,hamming,74,3
200000,hamming,75,6
200000,hamming,76,4
200000,hamming,77,3
200000,hamming,78,4
200000,hamming,79,2
200000,hamming,80,2
200000,hamming,81,4
200000,hamming,82,2
200000,hamming,83,3
200000,hamming,84,8
200000,hamming,85,4
200000,hamming,86,17
200000,hamming,87,12
200000,hamming,88,23
200000,hamming,89,21
200000,hamming,90,27
200000,hamming,91,28
200000,hamming,92,31
200000,hamming,93,36
200000,hamming,94,34
200000,hamming,95,33
200000,hamming,96,39
200000,hamming,97,38
200000,hamming,98,37
200000,hamming,99,39
200000,hamming,100,36
200000,hamming,101,39
200000,hamming,102,29
200000,hamming,103,34
200000,hamming,104,22
200000,hamming,105,21
200000,hamming,106,17
200000,hamming,107,18
200000,hamming,108,10
200000,hamming,109,11
200000,hamming,110,8
200000,hamming,111,3
200000,hamming,112,3
200000,hamming,113,3
200000,hamming,114,3
200000,hamming,115,1
200000,hamming,116,1
200000,hamming,119,1
200000,hamming,120,2
200000,hamming,126,3
200000,hamming,127,1
200000,hamming,129,1
200000,hamming,130,1
200000,hamming,133,2
200000,hamming,135,4
200000,hamming,138,3
200000,hamming,139,1
200000,hamming,140,3
200000,hamming,142,2
200000,hamming,143,1
200000,hamming,144,1
200000,hamming,185,1
200000,hamming,186,3
200000,hamming,187,8
200000,hamming,188,12
200000,hamming,189,11
200000,hamming,190,6
200000,hamming,191,7
200000,hamming,192,6
200000,hamming,193,3
200000,hamming,194,6
200000,hamming,195,5
200000,hamming,196,4
200000,hamming,197,8
200000,hamming,198,2
200000,hamming,199,3
200000,hamming,200,3
200000,hamming,201,1
200000,hamming,202,1
200000,genes,0,1886
200000,genes,1,382
200000,genes,2,675
200000,genes,3,681
200000,genes,4,632
200000,genes,5,196
200000,genes,6,64
200000,genes,7,15
200000,genes,8,23
200000,genes,9,6
200000,body,0,3037
200000,body,1,637
200000,body,2,140
200000,body,3,471
200000,body,4,32
200000,body,5,235
200000,body,6,5
200000,body,8,3
250000,hamming,2,83
250000,hamming,3,8
250000,hamming,4,88
250000,hamming,5,16
250000,hamming,6,89
250000,hamming,7,19
250000,hamming,8,80
250000,hamming,9,24
250000,hamming,10,80
250000,hamming,11,26
250000,hamming,12,104
250000,hamming,13,15
250000,hamming,14,97
250000,hamming,15,24
250000,hamming,16,75
250000,hamming,17,43
250000,hamming,18,59
250000,hamming,19,43
250000,hamming,20,60
250000,hamming,21,54
250000,hamming,22,71
250000,hamming,23,40
250000,hamming,24,81
250000,hamming,25,43
250000,hamming,26,63
250000,hamming,27,49
250000,hamming,28,56
