step,event,lineage,other,size
5000,birth,1,0,105
5000,birth,2,0,282
8000,extinct,1,0,19
10000,split,14,2,25
10000,split,15,12,212
14000,split,16,14,14
20000,extinct,14,0,5
30000,split,27,15,13
30000,split,28,15,43
33000,extinct,27,0,7
38000,split,38,2,13
39000,split,39,2,23
40000,split,40,28,62
40000,extinct,38,0,13
43000,extinct,28,0,6
44000,split,43,2,10
45000,extinct,40,0,6
46000,extinct,39,0,6
47000,extinct,43,0,5
56000,extinct,16,0,13
60000,split,47,16,10
64000,extinct,47,0,26
77000,extinct,15,0,8
89000,split,51,2,136
110000,split,56,2,12
111000,merge,56,2,12
134000,split,65,2,70
136000,merge,65,2,54
153000,split,69,2,7
156000,extinct,69,0,7
164000,split,71,2,16
167000,extinct,71,0,5
197000,split,80,51,32
201000,split,81,2,36
205000,merge,80,51,59
219000,split,89,2,9
223000,extinct,89,0,8
227000,split,93,2,187
229000,extinct,81,0,7
247000,split,101,2,10
249000,extinct,101,0,10
251000,split,102,2,7
252000,extinct,102,0,7
254000,split,95,2,18
264000,extinct,95,0,5
278000,split,104,2,6
279000,extinct,104,0,6
289000,extinct,93,0,9
339000,split,107,2,21
345000,extinct,107,0,16
400000,merge,2,51,155
405000,split,116,51,250
405000,split,117,51,26
410000,extinct,117,0,9
453000,split,125,51,26
459000,extinct,125,0,8
526000,split,133,51,65
529000,merge,133,51,60
535000,split,134,51,55
540000,merge,134,51,38
545000,split,135,51,10
550000,extinct,135,0,7
562000,extinct,51,0,22
624000,split,141,116,241
631000,merge,141,116,120
639000,split,143,116,116
646000,split,148,116,60
649000,merge,116,143,33
650000,split,150,143,19
650000,split,151,116,22
650000,merge,148,143,26
654000,split,154,143,68
654000,split,155,143,15
655000,merge,150,155,15
656000,extinct,151,0,13
660000,merge,143,154,114
661000,split,156,155,12
665000,split,157,154,105
675000,extinct,156,0,7
680000,extinct,155,0,5
685000,merge,157,154,139
690000,split,163,154,169
695000,split,166,154,14
698000,merge,166,154,13
711000,split,167,154,59
729000,extinct,167,0,7
761000,split,173,154,7
763000,merge,173,154,10
771000,extinct,163,0,5
836000,split,176,154,7
838000,extinct,176,0,7
888000,split,180,154,145
897000,split,183,154,19
900000,extinct,180,0,113
902000,extinct,183,0,8
905000,split,184,154,91
911000,merge,184,154,62
919000,split,186,154,128
919000,split,188,154,9
924000,extinct,154,0,11
924000,extinct,188,0,5
954000,split,189,186,54
965000,merge,186,189,132
976000,split,196,189,145
