step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
6000,7,525,11.4,0.0,0.5,0.2,10.7,0.0,1.00,16.1,132,285,18.72,0.38,507,15,3,0.0,1.00,1.00,1.00,2.85,3.18,4.78
7000,7,611,12.2,0.0,0.4,0.3,11.5,0.0,1.00,15.6,169,271,18.12,0.44,507,24,80,0.0,1.00,1.00,1.00,2.89,3.35,4.89
8000,7,340,10.5,0.0,0.4,0.2,9.9,0.0,1.00,16.9,77,289,18.11,0.37,332,6,2,0.0,1.00,1.00,1.00,2.78,2.89,4.69
9000,7,448,11.2,0.0,0.4,0.2,10.6,0.0,1.00,16.3,98,321,20.84,0.39,436,8,4,0.0,1.00,1.00,1.00,2.79,3.10,4.78
10000,7,232,10.0,0.0,0.5,0.1,9.5,0.0,1.00,17.2,54,329,20.25,0.39,230,0,2,0.0,1.00,1.00,1.00,2.59,2.75,4.63
11000,7,197,10.0,0.0,0.3,0.1,9.6,0.0,1.00,17.3,50,323,20.19,0.38,197,0,0,0.0,1.00,1.00,1.00,2.66,2.77,4.57
12000,7,224,10.4,0.0,0.4,0.1,9.9,0.0,1.00,16.9,60,311,19.72,0.36,223,0,1,0.0,1.00,1.00,1.00,2.70,2.87,4.67
12000,22,28,19.2,0.0,0.4,0.0,18.8,0.0,1.00,9.2,17,269,23.73,0.68,28,0,0,0.0,1.00,1.00,1.00,4.04,3.64,7.79
12000,24,10,23.0,9.1,6.2,0.1,7.6,0.0,3.69,12.4,3,126,12.13,0.52,0,9,1,0.1,1.00,6.56,3.63,3.80,5.30,4.50
13000,7,210,9.6,0.0,0.4,0.1,9.1,0.0,1.00,17.7,50,286,17.69,0.36,207,0,3,0.0,1.00,1.00,1.00,2.56,2.78,4.37
13000,22,43,19.2,0.0,0.3,0.0,18.9,0.0,1.00,9.1,15,226,19.41,0.52,43,0,0,0.0,1.00,1.00,1.00,3.56,3.53,7.91
14000,26,226,11.8,0.0,0.2,0.1,11.5,0.0,1.00,15.0,57,346,22.51,0.44,212,13,1,0.0,1.00,1.00,1.00,3.01,3.48,5.01
14000,7,128,7.8,0.0,0.2,0.0,7.7,0.0,1.00,19.2,23,289,16.85,0.31,128,0,0,0.0,1.00,1.00,1.00,2.49,2.25,4.16
14000,22,26,17.7,0.0,0.2,0.0,17.4,0.0,1.00,10.2,13,205,17.33,0.57,26,0,0,0.0,1.00,1.00,1.00,3.92,3.38,7.62
14000,24,7,25.4,0.0,0.0,0.0,25.4,0.0,1.00,9.4,3,91,11.07,0.27,0,7,0,0.0,1.00,1.00,1.00,4.29,5.86,5.43
15000,26,215,11.6,0.0,0.1,0.0,11.5,0.0,1.01,15.1,42,315,20.15,0.38,215,0,0,0.0,1.01,1.01,1.01,3.07,3.48,4.96
15000,7,149,7.7,0.0,0.3,0.0,7.5,0.0,1.00,19.3,23,322,18.36,0.33,149,0,0,0.0,1.00,1.00,1.00,2.34,2.19,4.15
15000,22,24,16.5,0.2,0.2,0.0,16.2,0.0,1.04,10.3,16,191,15.02,0.37,24,0,0,0.0,1.00,1.05,1.05,4.00,3.29,7.54
15000,24,7,41.6,0.0,0.0,0.0,41.6,0.0,1.00,5.1,5,49,11.24,0.96,0,5,2,0.0,1.00,1.00,1.00,6.00,6.29,7.14
16000,26,203,11.7,0.0,0.2,0.1,11.4,0.0,1.00,15.1,46,351,22.97,0.46,202,0,1,0.0,1.00,1.00,1.00,3.06,3.41,5.02
16000,7,131,7.1,0.0,0.2,0.0,6.9,0.0,1.00,19.7,24,351,19.36,0.32,130,0,1,0.0,1.00,1.00,1.00,2.34,2.05,4.14
16000,23,22,11.6,0.0,0.0,0.0,11.6,0.0,1.00,17.2,9,523,34.32,0.87,22,0,0,0.0,1.00,1.00,1.00,2.32,3.77,3.64
16000,24,9,32.3,1.7,0.0,0.0,30.7,0.0,1.31,6.2,4,120,15.55,0.41,0,8,1,0.0,1.00,1.63,1.31,4.56,6.44,6.44
