step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,451,1.486,0.368,7.11,26967,27470,0,2,540,1416,397435.1,62855.5,0.198,0.483,0.211,0.108,792,10.47,4.66,0.05,0.99,0.12,1.63,0.08,0.80,10.23,4.45,0.00,0.00,0.006,0.068,79,0.302,0.253,0.736,0.002,0.009,39798,35632,2,0.373,0.528,0.016,353730,0.157,1.405,0.041,27.24,15758,18,44.389,1.000,0.004,811416,1.01,15.49,0.000,0.000,0.000,7,9,18,37,4721,0.018,23.52,0.0086,0.009,2,0.401,0.000,0.426,0.456,3.09,3.27,5.00,0.00,0.000,1.00,1.02,1.02,0.401,0.00666,57.08,10.2561,17.02,133439.7,140226.6,55.600,3.9685,36.612
20000,473,1.585,0.346,7.83,19545,18916,8,0,599,5,264772.3,5029.7,0.041,0.348,0.382,0.229,841,11.17,2.73,0.12,1.17,0.04,0.40,0.08,0.47,10.94,2.54,0.00,0.00,0.002,0.022,62,0.264,0.214,0.776,0.000,0.011,9819,8059,4,0.535,0.017,0.047,115637,0.112,1.368,0.038,26.46,6590,0,1005.938,0.000,0.000,262641,1.05,16.55,0.000,0.000,0.000,8,11,13,36,5283,0.020,18.24,0.0051,0.000,3,0.155,0.000,0.327,0.016,2.79,3.78,3.94,0.00,0.000,1.04,1.07,1.05,0.155,0.00306,77.22,0.6144,10.62,133704.8,140226.4,41.527,0.1121,26.371
30000,494,1.508,0.368,7.88,17261,16710,30,0,500,0,265823.6,4581.0,0.017,0.286,0.391,0.306,864,10.64,2.34,0.00,0.04,0.02,0.22,0.02,0.21,10.60,2.35,0.00,0.00,0.002,0.017,75,0.115,0.243,0.743,0.002,0.012,8458,7744,3,0.510,0.000,0.014,71458,0.105,1.429,0.040,26.62,5927,0,4581.024,0.000,0.002,101112,1.00,17.28,0.000,0.000,0.000,9,10,13,22,5257,0.020,18.56,0.0051,0.000,7,0.075,0.000,0.261,0.017,2.68,3.77,3.61,0.00,0.000,1.00,1.00,1.00,0.075,0.00275,75.08,0.5682,10.34,133346.6,140226.3,43.181,0.1101,26.471
40000,536,1.427,0.384,7.93,18907,18243,76,0,546,0,287654.4,5129.9,0.011,0.253,0.399,0.337,827,11.18,3.77,0.01,0.19,0.00,0.00,0.03,0.40,11.14,3.82,0.00,0.00,0.000,0.000,69,0.174,0.246,0.741,0.002,0.011,8883,7195,2,0.468,0.226,0.009,58455,0.128,1.462,0.041,28.74,6799,0,5129.876,0.000,0.002,109655,1.01,17.50,0.000,0.000,0.000,9,11,14,51,5991,0.023,19.47,0.0048,0.000,2,0.083,0.000,0.247,0.018,2.81,3.67,3.58,0.00,0.000,1.01,1.01,1.01,0.083,0.00238,69.32,0.6352,11.97,133052.4,140225.8,45.911,0.1221,28.585
50000,507,1.604,0.497,8.39,18704,18159,35,0,539,0,292972.1,5019.6,0.005,0.219,0.391,0.384,819,11.81,3.06,0.02,0.44,0.01,0.24,0.04,0.52,11.73,3.04,0.00,0.00,0.001,0.016,78,0.284,0.256,0.732,0.000,0.012,8407,7073,3,0.477,0.000,0.020,84679,0.113,1.685,0.055,29.45,6173,0,5019.587,0.000,0.000,72231,1.01,17.24,0.000,0.000,0.000,8,12,15,37,5988,0.023,41.52,0.0049,0.000,2,0.064,0.000,0.224,0.012,2.75,3.79,3.60,0.00,0.000,1.01,1.01,1.01,0.064,0.00232,45.46,0.6075,9.73,131141.3,140225.5,47.016,0.1057,29.150
60000,518,1.579,0.396,8.44,21761,21254,21,0,475,3,313223.6,6767.9,0.007,0.236,0.356,0.402,789,12.13,3.88,0.04,0.84,0.06,0.63,0.03,0.24,12.01,3.88,0.00,0.00,0.003,0.031,78,0.330,0.218,0.763,0.000,0.019,11343,10236,2,0.504,0.000,0.014,92337,0.115,1.496,0.043,31.11,7893,0,2255.970,0.000,0.000,96507,1.02,16.90,0.002,0.000,0.000,9,11,16,64,6284,0.024,23.09,0.0050,0.000,5,0.076,0.000,0.237,0.036,2.91,3.91,3.64,0.00,0.000,1.02,1.01,1.03,0.076,0.00271,76.34,0.8397,13.27,132795.6,140225.2,32.892,0.1626,31.113
70000,477,1.501,0.371,8.63,21491,21017,21,0,494,6,304774.3,5582.4,0.010,0.234,0.350,0.406,811,11.66,3.13,0.08,1.78,0.00,0.06,0.05,0.61,11.53,2.87,0.00,0.00,0.000,0.006,68,0.239,0.229,0.765,0.000,0.006,10108,8937,2,0.526,0.034,0.017,190652,0.078,1.450,0.040,30.39,7796,0,930.395,0.000,0.000,92834,1.03,17.22,0.000,0.000,0.000,9,12,13,39,5564,0.021,17.04,0.0055,0.000,5,0.074,0.000,0.229,0.015,2.70,3.96,3.43,0.00,0.000,1.04,1.04,1.03,0.074,0.00281,80.92,0.6962,22.91,133322.8,140225.1,35.085,0.1370,30.309
80000,397,1.603,0.221,8.94,18580,18175,45,0,440,18,279637.5,5588.7,0.007,0.245,0.328,0.420,899,11.43,2.44,0.01,0.14,0.06,0.84,0.05,0.60,11.32,2.60,0.00,0.00,0.005,0.071,59,0.252,0.232,0.761,0.000,0.008,8550,7475,2,0.514,0.000,0.010,100293,0.112,1.077,0.022,27.70,6884,0,310.485,0.000,0.000,95254,1.00,17.30,0.000,0.000,0.000,8,11,13,27,4539,0.017,20.67,0.0062,0.000,4,0.078,0.000,0.185,0.032,2.72,3.96,3.39,0.00,0.000,1.00,1.01,1.00,0.078,0.00326,58.33,0.7197,11.63,135872.9,140224.9,56.740,0.1621,27.795
90000,334,1.592,0.348,8.54,13290,12817,74,0,462,0,219267.3,3307.2,0.002,0.260,0.315,0.424,1048,10.11,3.01,0.00,0.00,0.04,0.47,0.06,0.93,10.01,2.97,0.00,0.00,0.003,0.036,54,0.135,0.290,0.707,0.000,0.003,4127,3506,3,0.542,0.000,0.009,86023,0.082,1.406,0.037,22.11,4889,0,3307.243,0.000,0.000,33053,1.00,17.95,0.000,0.000,0.000,6,11,13,31,3377,0.013,40.07,0.0066,0.000,0,0.033,0.000,0.130,0.005,2.53,3.79,3.24,0.00,0.000,1.00,1.00,1.00,0.033,0.00318,31.36,0.4356,8.19,133927.9,140224.7,69.902,0.1052,21.808
100000,439,1.391,0.451,8.22,10864,10304,95,0,360,0,186041.9,2352.9,0.001,0.286,0.315,0.398,1179,9.07,4.17,0.01,0.14,0.00,0.05,0.15,1.65,8.91,4.03,0.00,0.00,0.000,0.002,66,0.467,0.194,0.797,0.000,0.009,2969,2575,2,0.636,0.000,0.023,35687,0.129,1.607,0.049,18.75,3691,0,2352.913,0.000,0.000,31770,1.00,18.34,0.000,0.000,0.000,7,7,13,50,3982,0.015,38.07,0.0048,0.000,1,0.032,0.000,0.131,0.002,2.61,3.80,3.06,0.00,0.000,1.00,1.00,1.00,0.032,0.00192,25.73,0.3168,7.09,132137.0,140224.5,80.888,0.0816,18.490
