step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,8,434,10.32,0.05,0.12,0.08,10.07,0.00,1.01,0.000,0.058,303903.7,26960.5,2,3,3.09,1.00,1.02,4.1112,13.61,37317.5,14.3212,26.4827,4802
10000,1,15,14.13,0.00,0.00,0.07,14.07,0.00,1.00,0.000,0.124,6250.8,624.8,1,1,3.00,1.00,1.00,0.0945,1.97,618.2,41.2790,0.7537,98
10000,0,2,15.50,0.00,0.00,0.00,15.50,0.00,1.00,0.000,0.000,88878.6,35291.7,2,2,4.00,1.00,1.00,6.0505,1.43,95504.0,0.0000,0.0000,11484
20000,8,451,11.25,0.10,0.04,0.04,11.08,0.00,1.04,0.000,0.066,252397.7,4401.8,3,0,2.77,1.03,1.06,0.5272,8.36,35828.7,16.6967,25.2206,4802
20000,1,19,9.16,0.68,0.00,0.89,7.58,0.00,1.24,0.000,0.112,11715.2,551.3,1,0,3.16,1.18,1.26,0.0642,0.75,770.8,24.8306,1.2358,98
20000,0,3,11.33,0.00,0.00,1.00,10.33,0.00,1.00,0.000,0.000,1203.0,76.7,2,2,3.67,1.00,1.00,0.0230,1.51,97105.2,0.0000,0.0000,11484
30000,8,475,10.55,0.00,0.03,0.02,10.50,0.00,1.00,0.000,0.065,254734.0,3915.1,2,0,2.67,1.00,1.00,0.4754,8.19,36401.7,18.2552,25.4490,4802
30000,1,12,12.75,0.00,0.00,0.00,12.75,0.00,1.00,0.000,0.108,10458.9,573.4,1,0,2.92,1.00,1.00,0.0665,0.30,563.6,24.9261,1.1683,98
30000,0,7,13.14,0.00,0.00,0.00,13.14,0.00,1.00,0.000,0.000,1235.9,92.6,3,7,2.86,1.00,1.00,0.0263,1.85,96381.3,0.0000,0.0000,11484
40000,8,534,11.17,0.01,0.00,0.03,11.13,0.00,1.01,0.000,0.078,278976.8,4492.2,2,0,2.81,1.01,1.01,0.5394,10.20,40934.8,11.6487,27.7975,4802
40000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,8124.3,517.1,0,0,-0.00,-0.00,-0.00,0.0599,0.00,372.9,34.2625,0.9390,98
40000,0,2,13.50,0.00,0.00,0.00,13.50,0.00,1.00,0.000,0.000,1356.6,120.6,1,2,2.50,1.00,1.00,0.0360,1.77,91744.8,0.0000,0.0000,11484
50000,8,505,11.81,0.02,0.01,0.04,11.73,0.00,1.01,0.000,0.078,293561.7,5008.8,3,0,2.75,1.01,1.01,0.5922,8.38,39189.3,6.8755,29.2309,4802
50000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,573.1,40.1405,0.2156,98
50000,0,2,11.50,0.00,0.00,0.00,11.50,0.00,1.00,0.000,0.000,645.8,10.8,1,2,1.50,1.00,1.00,0.0152,1.35,91378.9,0.0000,0.0000,11484
60000,8,498,12.16,0.04,0.04,0.03,12.05,0.00,1.02,0.000,0.079,302291.4,5371.1,2,0,2.92,1.02,1.01,0.6385,9.31,38350.3,3.6134,30.1143,4802
60000,1,15,11.53,0.00,0.53,0.00,11.00,0.00,1.00,0.000,0.114,9194.4,675.4,1,0,2.47,1.00,1.00,0.0808,0.00,556.2,29.2785,0.9957,98
60000,0,5,10.80,0.00,0.00,0.00,10.80,0.00,1.00,0.000,0.000,2985.4,721.4,1,5,2.80,1.00,1.00,0.1205,3.96,93889.1,0.0000,0.0000,11484
70000,8,459,11.49,0.00,0.00,0.05,11.44,0.00,1.00,0.000,0.069,294604.6,5109.8,2,0,2.66,1.00,1.00,0.6096,15.03,36079.2,6.1738,29.3575,4802
70000,1,13,17.15,3.00,0.00,0.00,14.15,0.00,2.21,0.000,0.130,9716.3,382.3,0,0,3.62,2.42,2.42,0.0449,2.72,502.0,28.9110,1.0354,98
70000,0,5,13.00,0.00,0.00,0.00,13.00,0.00,1.00,0.000,0.000,1603.1,90.5,1,3,3.60,1.00,1.00,0.0417,5.16,96741.6,0.0000,0.0000,11484
80000,8,393,11.45,0.01,0.06,0.05,11.33,0.00,1.00,0.000,0.059,269853.9,4250.4,2,0,2.71,1.00,1.01,0.5180,9.53,35285.3,13.3831,26.9361,4802
80000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,5249.7,323.2,0,0,-0.00,-0.00,-0.00,0.0389,0.00,446.4,43.3572,0.7659,98
80000,0,4,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,5395.3,1015.1,2,4,3.75,1.00,1.00,0.1628,2.11,100141.2,0.0000,0.0000,11484
90000,8,334,10.11,0.00,0.04,0.06,10.01,0.00,1.00,0.000,0.044,219263.0,3287.1,3,0,2.53,1.00,1.00,0.4139,6.13,33204.2,28.3091,21.8949,4802
90000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,515.2,41.5934,0.2128,98
90000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,607.5,20.1,0,0,-0.00,-0.00,-0.00,0.0217,2.06,100208.5,0.0000,0.0000,11484
100000,8,438,9.08,0.01,0.00,0.15,8.91,0.00,1.00,0.000,0.052,185971.5,2340.6,2,0,2.61,1.00,1.00,0.3035,6.03,29518.7,37.2486,18.5806,4802
100000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,488.1,43.6398,0.1705,98
100000,0,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,630.4,12.3,1,1,3.00,1.00,1.00,0.0133,1.06,102130.3,0.0000,0.0000,11484
110000,8,436,10.95,0.01,0.01,0.05,10.89,0.00,1.00,0.000,0.062,263611.0,4163.8,2,0,2.74,1.00,1.00,0.4869,8.19,37658.2,13.9867,26.3054,4802
