step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,3,276,9.2,0.0,0.0,0.0,9.2,0.0,1.00,13.8,16,570,32.92,0.40,268,7,1,0.0,1.00,1.00,1.01,3.63,2.01,8.00,57.8
6000,3,307,9.2,0.0,0.0,0.0,9.2,0.0,1.00,13.5,18,548,31.73,0.42,300,3,4,0.0,1.00,1.00,1.00,3.53,1.88,7.98,56.0
7000,3,314,9.4,0.0,0.0,0.0,9.4,0.0,1.00,13.1,16,556,32.69,0.45,311,3,0,0.0,1.00,1.00,1.00,3.41,1.89,7.96,53.5
8000,3,382,9.4,0.0,0.0,0.0,9.4,0.0,1.00,12.9,20,555,32.66,0.43,381,1,0,0.0,1.00,1.00,1.00,3.50,1.91,7.97,55.1
8000,12,82,11.0,0.0,0.0,0.0,11.0,0.0,1.00,10.6,7,843,51.48,0.59,82,0,0,0.0,1.00,1.00,1.00,3.63,2.68,8.00,52.6
9000,3,432,9.6,0.0,0.0,0.0,9.6,0.0,1.01,12.6,26,520,30.99,0.41,431,1,0,0.0,1.00,1.01,1.01,3.48,1.93,7.91,54.1
9000,12,42,10.7,0.0,0.0,0.0,10.7,0.0,1.00,11.0,7,779,46.67,0.58,42,0,0,0.0,1.00,1.00,1.00,3.57,2.52,8.00,56.5
10000,3,429,9.6,0.0,0.0,0.0,9.6,0.0,1.00,12.4,15,525,31.52,0.46,429,0,0,0.0,1.00,1.00,1.00,3.57,1.90,7.99,53.0
10000,12,23,10.5,0.0,0.0,0.0,10.5,0.0,1.00,11.0,4,793,47.25,0.48,23,0,0,0.0,1.00,1.00,1.00,3.30,2.52,8.00,69.5
11000,3,458,9.7,0.0,0.0,0.0,9.7,0.0,1.00,12.5,31,541,32.72,0.47,454,2,2,0.0,1.00,1.00,1.00,3.48,1.90,7.94,55.3
11000,12,10,10.1,0.0,0.0,0.0,10.1,0.0,1.00,12.0,6,753,44.39,0.48,10,0,0,0.0,1.00,1.00,1.00,3.10,2.50,7.50,58.8
12000,3,460,9.9,0.1,0.0,0.0,9.8,0.0,1.02,12.3,29,519,31.08,0.44,455,5,0,0.0,1.00,1.02,1.03,3.53,1.98,7.97,55.5
12000,12,9,9.3,0.0,0.0,0.0,9.3,0.0,1.00,12.2,3,729,40.41,0.68,9,0,0,0.0,1.00,1.00,1.00,3.22,2.44,7.44,51.8
13000,3,459,9.7,0.0,0.0,0.0,9.7,0.0,1.00,12.3,24,531,31.81,0.47,453,4,2,0.0,1.00,1.00,1.01,3.53,1.95,7.95,54.7
13000,12,7,9.7,0.0,0.0,0.0,9.7,0.0,1.00,12.0,3,972,54.30,0.61,7,0,0,0.0,1.00,1.00,1.00,3.71,2.71,7.29,59.1
14000,3,475,9.7,0.0,0.0,0.0,9.7,0.0,1.01,12.5,27,520,31.16,0.43,471,3,1,0.0,1.00,1.01,1.01,3.44,1.89,7.93,54.7
15000,3,475,9.6,0.0,0.0,0.0,9.6,0.0,1.01,12.6,26,534,31.70,0.45,473,2,0,0.0,1.01,1.01,1.03,3.44,1.88,7.96,54.0
16000,3,480,9.4,0.0,0.0,0.0,9.4,0.0,1.01,12.7,27,471,28.01,0.40,479,0,1,0.0,1.01,1.01,1.01,3.39,1.82,7.92,54.2
