step,event,lineage,other,size
5000,birth,1,0,694
8000,split,15,1,755
9000,split,17,15,19
13000,extinct,17,0,9
24000,split,23,15,42
25000,split,25,15,15
27000,extinct,1,0,13
28000,split,30,15,25
28000,extinct,25,0,15
31000,split,33,15,7
32000,split,34,15,181
35000,extinct,33,0,6
36000,split,37,34,31
43000,extinct,30,0,7
44000,split,41,15,37
45000,merge,41,15,37
46000,split,43,15,6
50000,split,46,15,9
51000,extinct,43,0,6
53000,split,48,15,5
53000,extinct,23,0,6
55000,extinct,37,0,7
59000,split,50,49,106
59000,extinct,48,0,7
62000,extinct,34,0,5
70000,extinct,46,0,11
71000,extinct,50,0,7
105000,split,62,15,19
108000,merge,62,15,13
117000,split,67,15,8
120000,merge,67,15,11
138000,split,75,15,36
150000,split,76,15,6
155000,extinct,76,0,5
157000,merge,75,15,33
170000,split,82,15,41
172000,merge,82,15,31
174000,split,83,15,11
188000,split,86,15,6
192000,extinct,86,0,5
195000,extinct,83,0,8
218000,split,94,15,37
219000,merge,94,15,37
231000,split,101,15,45
235000,merge,101,15,37
240000,split,106,15,28
246000,merge,106,15,55
250000,split,110,15,26
262000,extinct,110,0,5
267000,split,119,15,6
270000,extinct,119,0,6
282000,split,126,15,6
286000,split,127,15,24
286000,merge,126,15,6
289000,merge,127,15,27
294000,split,131,15,18
306000,extinct,131,0,7
333000,split,144,15,28
337000,merge,144,15,12
345000,split,148,15,18
345000,split,149,15,5
348000,split,151,15,7
350000,merge,151,15,7
369000,extinct,149,0,8
379000,extinct,148,0,6
461000,split,174,15,9
463000,split,177,15,6
463000,merge,174,15,8
474000,split,186,15,38
474000,split,187,15,29
476000,extinct,177,0,11
476000,merge,186,15,42
485000,merge,187,15,16
487000,split,199,15,9
490000,split,196,15,8
493000,extinct,196,0,5
494000,split,207,15,7
495000,split,208,15,49
495000,merge,207,15,7
497000,merge,208,15,45
502000,split,212,15,18
502000,split,213,15,13
504000,merge,212,15,16
504000,merge,213,15,13
508000,merge,199,15,7
509000,split,215,15,13
513000,split,217,15,30
514000,split,219,15,7
516000,merge,217,15,28
520000,extinct,219,0,6
521000,split,224,15,19
521000,merge,215,15,27
524000,split,225,15,24
526000,split,226,15,10
528000,merge,224,15,25
529000,merge,226,15,24
534000,split,229,15,46
536000,merge,229,15,46
539000,extinct,225,0,5
542000,split,233,15,11
545000,merge,233,240,8
549000,split,234,15,23
549000,split,240,15,14
549000,split,241,15,9
553000,merge,241,245,5
560000,split,249,15,39
562000,merge,240,15,12
569000,extinct,234,0,10
573000,split,257,15,6
575000,split,258,15,66
576000,extinct,249,0,5
580000,extinct,257,0,6
589000,extinct,258,0,5
600000,split,265,15,25
602000,split,267,15,5
603000,merge,265,15,55
603000,extinct,267,0,5
608000,split,271,15,10
610000,merge,271,15,7
611000,split,273,15,46
612000,merge,273,15,46
614000,split,275,15,48
619000,merge,275,15,45
625000,split,279,15,21
628000,merge,279,15,22
637000,split,285,15,21
637000,split,286,15,14
642000,split,284,15,7
645000,split,290,15,32
651000,merge,290,15,7
652000,merge,286,15,8
659000,extinct,284,0,9
660000,split,303,15,6
663000,merge,303,15,9
664000,extinct,285,0,9
672000,split,311,15,13
682000,split,314,15,30
682000,extinct,311,0,11
695000,extinct,314,0,16
699000,split,327,15,5
700000,split,328,15,13
701000,extinct,327,0,5
722000,extinct,328,0,6
729000,split,356,15,21
732000,merge,356,15,20
737000,split,362,15,16
752000,extinct,362,0,6
792000,split,370,15,17
793000,split,371,15,14
801000,extinct,370,0,7
801000,extinct,371,0,5
829000,split,377,15,6
835000,merge,377,15,6
853000,split,388,15,11
855000,merge,388,15,11
889000,split,406,404,53
891000,split,408,15,240
897000,split,413,15,22
898000,split,416,408,37
899000,extinct,413,0,6
908000,split,422,406,45
913000,merge,422,423,57
920000,merge,408,15,81
925000,merge,416,15,41
927000,split,429,15,41
939000,split,438,15,54
942000,split,440,438,31
943000,extinct,429,0,5
956000,extinct,438,0,10
964000,merge,406,440,16
969000,split,447,440,10
974000,extinct,447,0,6
983000,split,450,15,23
991000,merge,450,15,16
996000,split,451,15,17
1000000,merge,451,15,10
