step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,0,699,8.71,0.04,0.00,0.15,8.51,0.00,1.02,0.000,0.070,418103.2,24763.8,1,45,2.91,1.01,1.01,3.7739,15.68,116880.8,0.0004,36.2047,5462
10000,1,492,8.06,0.00,0.00,0.00,8.06,0.00,1.00,0.000,0.045,360430.3,24281.0,1,48,2.85,1.00,1.00,3.7134,7.04,20393.4,8.2244,30.7016,5461
10000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,132467.8,19547.8,0,0,-0.00,-0.00,-0.00,3.1643,0.00,0.0,40.6417,8.8366,5461
20000,0,704,7.44,0.00,0.00,0.07,7.37,0.00,1.00,0.000,0.060,367425.7,7721.1,1,57,2.97,1.00,1.00,0.8718,7.97,117767.8,0.0000,35.8149,5462
20000,1,451,7.44,0.02,0.00,0.00,7.42,0.00,1.01,0.000,0.038,233211.5,4789.9,1,42,2.83,1.01,1.01,0.5499,4.49,19521.6,19.9253,22.8818,5461
20000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,79.5,1.0,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.5988,0.0064,5461
30000,0,756,6.59,0.00,0.00,0.11,6.48,0.00,1.00,0.000,0.057,363000.7,6804.9,1,70,3.03,1.01,1.01,0.7726,15.04,117793.6,0.0000,35.1888,5462
30000,1,457,6.91,0.03,0.00,0.16,6.72,0.00,1.01,0.000,0.036,222269.5,4297.3,1,60,2.92,1.02,1.02,0.4956,6.59,19473.3,20.6208,21.8758,5461
30000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,34.8,0.5,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6041,0.0034,5461
40000,0,730,6.33,0.05,0.02,0.09,6.15,0.00,1.02,0.000,0.052,359440.1,6428.7,1,62,3.05,1.02,1.02,0.7302,10.53,117834.7,0.0000,34.7965,5462
40000,1,450,6.70,0.00,0.00,0.15,6.55,0.00,1.00,0.000,0.035,222240.6,4087.5,1,53,2.93,1.00,1.00,0.4708,4.34,19514.8,20.5812,21.8846,5461
40000,2,1,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,15.8,1.9,1,0,3.00,1.00,1.00,0.0006,0.00,0.1,54.6069,0.0017,5461
50000,0,739,6.31,0.06,0.00,0.07,6.19,0.00,1.02,0.000,0.053,357661.1,6341.9,1,48,3.06,1.02,1.02,0.7211,8.70,117746.1,0.0000,34.6325,5462
50000,1,452,6.25,0.00,0.01,0.00,6.25,0.00,1.00,0.000,0.032,218779.5,3978.1,1,72,3.09,1.00,1.00,0.4587,5.67,19510.1,20.5877,21.5863,5461
50000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,18.5,0.6,0,0,-0.00,-0.00,-0.00,0.0002,0.00,0.0,54.6069,0.0019,5461
60000,0,754,6.46,0.03,0.03,0.02,6.39,0.00,1.00,0.000,0.055,357232.3,6344.2,1,61,3.04,1.00,1.01,0.7225,7.99,117865.2,0.0000,34.5647,5462
60000,1,468,6.26,0.00,0.00,0.11,6.15,0.00,1.00,0.000,0.034,220210.0,3959.3,1,60,2.97,1.00,1.00,0.4570,5.85,19421.2,20.5476,21.7300,5461
