step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,1,219,17.8,0.0,0.4,1.0,16.3,0.0,1.01,12.0,50,149,13.52,0.55,215,0,4,0.0,1.01,1.01,1.01,3.73,4.32,5.71,27.8
6000,1,213,13.6,0.0,0.2,0.2,13.1,0.0,1.00,14.5,57,185,13.61,0.39,212,0,1,0.0,1.00,1.00,1.00,3.17,4.29,4.45,27.9
7000,1,167,16.8,0.0,0.2,0.0,16.6,0.0,1.00,11.6,36,244,19.45,0.44,167,0,0,0.0,1.00,1.00,1.00,3.86,3.28,6.92,28.1
8000,1,178,17.7,0.0,0.1,0.1,17.6,0.0,1.00,10.4,42,197,16.35,0.45,178,0,0,0.0,1.00,1.00,1.00,4.13,3.44,7.38,26.3
9000,1,187,15.9,0.0,0.0,0.9,15.0,0.0,1.00,11.5,45,226,17.60,0.38,187,0,0,0.0,1.00,1.00,1.00,3.64,3.32,6.91,25.5
10000,1,160,16.5,0.0,0.3,0.1,16.1,0.0,1.00,11.1,42,190,14.75,0.33,160,0,0,0.0,1.00,1.00,1.00,3.92,3.28,7.18,25.5
11000,1,144,15.9,0.0,0.1,0.2,15.6,0.0,1.00,11.4,29,210,17.06,0.47,144,0,0,0.0,1.00,1.00,1.00,3.88,3.13,7.17,25.9
12000,1,131,14.1,0.0,0.1,0.1,13.9,0.0,1.00,12.6,29,238,17.34,0.36,130,0,1,0.0,1.00,1.00,1.00,3.61,3.14,6.58,25.2
13000,1,121,14.7,0.0,0.0,0.0,14.7,0.0,1.00,12.2,27,266,20.11,0.37,121,0,0,0.0,1.00,1.00,1.00,3.69,3.11,6.80,27.0
14000,7,117,14.8,0.0,0.3,1.4,13.1,0.0,1.00,12.1,23,336,21.80,0.47,102,15,0,0.0,1.00,1.00,1.00,3.61,2.41,7.55,28.0
14000,1,75,15.7,0.0,0.0,0.1,15.6,0.0,1.00,12.0,26,273,20.69,0.31,75,0,0,0.0,1.00,1.00,1.00,3.56,3.21,6.95,27.2
15000,7,203,15.3,0.0,0.1,0.0,15.3,0.0,1.00,11.6,40,261,19.21,0.39,183,16,4,0.0,1.00,1.00,1.00,3.50,2.71,7.49,25.8
15000,1,8,8.9,0.0,0.0,0.0,8.9,0.0,1.00,17.5,3,217,13.37,0.25,8,0,0,0.0,1.00,1.00,1.00,2.88,2.75,4.50,30.3
16000,7,210,15.1,0.0,0.0,0.1,14.9,0.0,1.01,11.8,37,231,17.69,0.41,182,21,7,0.0,1.01,1.01,1.02,3.61,2.51,7.63,25.8
17000,7,138,15.2,0.0,0.0,0.6,14.6,0.0,1.00,12.1,26,244,18.24,0.49,117,18,3,0.0,1.00,1.00,1.00,3.34,2.63,7.33,24.4
18000,7,112,15.3,0.0,0.0,0.2,15.1,0.0,1.00,11.6,25,287,21.17,0.59,95,13,4,0.0,1.00,1.00,1.00,3.46,2.45,7.73,25.2
19000,7,98,15.3,0.0,0.0,0.0,15.3,0.0,1.00,11.7,15,260,20.37,0.39,98,0,0,0.0,1.00,1.00,1.00,3.44,2.32,7.86,25.6
20000,7,76,16.5,0.0,0.0,0.0,16.4,0.0,1.00,11.4,11,260,21.26,0.39,76,0,0,0.0,1.00,1.00,1.00,3.88,2.37,7.91,26.0
21000,7,77,14.4,0.0,0.0,0.2,14.2,0.0,1.00,12.1,17,277,19.76,0.31,76,0,1,0.0,1.00,1.00,1.00,3.49,2.19,7.78,26.9
22000,7,78,11.4,0.0,0.0,0.1,11.3,0.0,1.00,14.5,19,230,15.80,0.34,47,22,9,0.0,1.00,1.00,1.00,3.05,2.37,6.42,25.2
23000,7,53,11.9,0.0,0.0,0.2,11.7,0.0,1.00,13.5,14,235,16.87,0.62,38,12,3,0.0,1.00,1.00,1.00,3.15,2.25,6.98,25.9
23000,11,43,7.3,0.0,0.0,0.0,7.3,0.0,1.00,18.0,6,462,24.79,0.50,43,0,0,0.0,1.00,1.00,1.00,2.42,3.02,3.95,27.3
24000,11,59,7.9,0.0,0.0,0.5,7.4,0.0,1.00,17.7,8,415,22.18,0.34,59,0,0,0.0,1.00,1.00,1.00,2.61,3.10,4.07,27.6
24000,7,23,14.3,0.1,0.0,0.0,14.2,0.0,1.01,14.7,7,77,7.15,0.55,0,17,6,0.0,1.00,1.03,1.00,2.96,3.35,5.30,17.6
25000,11,73,7.3,0.1,0.0,0.0,7.2,0.0,1.01,18.0,7,352,19.21,0.32,73,0,0,0.0,1.00,1.02,1.02,2.64,3.08,3.92,24.4
