step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep
10000,25,2.619,0.418,5.52,10387,11636,0,3,228,1365,181542.9,55211.4,0.234,0.382,0.134,0.250,1067,31.68,26.55,0.00,0.00,0.32,1.09,0.00,0.00,31.36,26.18,0.00,0.00,0.005,0.017,5,0.360,0.160,0.760,0.080,0.000,31629,29574,1,0.400,0.600,0.000,276642,0.179,1.486,0.046,5.74,10591,10,40.448,1.000,0.080,412083,1.00,7.92,0.400,0.000,0.000,4,12,64,64,792,0.003,19.18,0.0232,0.000,3,0.684,0.000,0.404,0.690,4.20,4.84,7.20,0.00,0.000,1.00,1.00,1.00,0.685,0.01997,58.52,9.0856,6.49,133295.1,140220.3,80.003,3.5667,15.498,320.613,0.622,0.376
20000,41,1.716,0.562,4.00,1837,1757,0,0,64,29,21592.4,1063.3,0.187,0.333,0.006,0.474,1031,12.85,2.11,0.00,0.00,0.00,0.00,0.00,0.00,12.85,2.11,0.00,0.00,0.000,0.000,4,0.537,0.220,0.780,0.000,0.000,928,921,1,1.000,0.000,0.000,16685,0.150,1.758,0.063,2.40,521,0,36.666,0.000,0.000,39030,1.00,10.20,0.000,0.000,0.000,12,12,14,21,527,0.002,33.17,0.0041,0.000,0,0.360,0.000,0.334,0.075,4.07,3.02,7.88,0.00,0.000,1.00,1.00,1.00,0.360,0.00247,15.91,0.1588,1.66,130924.9,140219.9,111.963,0.0532,2.107,18.377,0.614,0.368
30000,41,1.882,0.588,4.34,2812,2749,0,0,63,2,29199.4,813.3,0.194,0.284,0.005,0.517,1069,15.02,6.26,0.02,0.15,0.00,0.00,0.00,0.00,15.00,6.31,0.00,0.00,0.000,0.000,10,0.610,0.244,0.732,0.000,0.024,1208,1208,1,1.000,0.000,0.000,1052,0.058,1.812,0.066,2.96,551,0,406.651,0.000,0.000,40525,1.05,10.59,0.000,0.000,0.000,9,14,27,27,616,0.002,43.52,0.0047,0.000,0,0.289,0.000,0.407,0.014,3.90,3.32,7.49,0.00,0.000,1.05,1.05,1.05,0.290,0.00318,3.45,0.1060,2.10,130497.0,140219.7,113.511,0.0246,2.896,15.778,0.614,0.367
40000,79,1.660,0.799,4.89,2285,2201,0,0,46,0,32855.2,819.1,0.150,0.220,0.121,0.510,1121,13.68,4.11,0.35,2.47,0.00,0.00,0.00,0.00,13.33,4.00,0.00,0.00,0.000,0.000,12,0.570,0.291,0.696,0.000,0.013,996,993,1,1.000,0.000,0.000,2528,0.149,2.139,0.091,3.63,524,0,819.056,0.000,0.000,20494,1.16,10.61,0.000,0.000,0.000,10,14,14,29,1081,0.004,22.75,0.0031,0.000,0,0.197,0.000,0.278,0.021,3.92,3.29,7.41,0.00,0.000,1.13,1.17,1.17,0.197,0.00191,4.48,0.1062,2.77,126982.7,140219.4,132.581,0.0243,3.256,16.005,0.604,0.357
50000,84,1.698,0.948,5.02,4625,4517,0,0,103,2,50816.8,1500.0,0.179,0.190,0.245,0.385,1160,13.10,4.54,0.27,1.85,0.00,0.00,0.01,0.11,12.81,4.06,0.00,0.00,0.000,0.000,20,0.321,0.190,0.798,0.000,0.012,2607,2597,1,1.000,0.000,0.012,8447,0.129,2.356,0.110,5.33,1069,0,749.987,0.000,0.012,61042,1.08,10.81,0.000,0.000,0.000,8,12,19,30,1100,0.004,53.26,0.0047,0.000,0,0.355,0.000,0.429,0.030,3.87,3.13,7.56,0.00,0.000,1.01,1.10,1.11,0.356,0.00167,10.21,0.1795,2.31,124520.6,140219.2,94.644,0.0296,5.056,29.481,0.597,0.351
60000,243,1.592,0.349,5.37,13264,12648,6,0,451,14,124682.4,9522.7,0.100,0.263,0.182,0.455,956,10.69,4.03,0.20,1.51,0.03,0.45,0.00,0.00,10.46,3.13,0.00,0.00,0.001,0.011,39,0.107,0.144,0.852,0.000,0.004,11593,11150,1,1.000,0.000,0.000,22911,0.141,1.350,0.037,11.48,4386,0,680.194,0.000,0.000,271229,1.05,13.26,0.000,0.000,0.000,7,10,15,42,2598,0.010,23.79,0.0049,0.000,7,0.439,0.000,0.505,0.191,3.48,2.84,6.63,0.01,0.004,1.01,1.07,1.06,0.439,0.00156,46.85,1.2448,6.83,134062.7,140218.6,81.312,0.2917,12.147,57.490,0.624,0.378
70000,255,1.487,0.371,5.75,12905,12534,6,0,353,3,130519.7,3788.6,0.099,0.229,0.281,0.392,907,9.60,3.80,0.00,0.06,0.02,0.26,0.04,0.28,9.54,3.72,0.00,0.00,0.001,0.010,37,0.149,0.224,0.773,0.000,0.004,7655,6806,1,0.886,0.114,0.016,38450,0.134,1.424,0.040,13.09,3689,0,1262.854,0.000,0.000,134489,1.00,15.87,0.000,0.000,0.000,5,10,12,35,2448,0.009,41.53,0.0054,0.004,0,0.229,0.000,0.454,0.035,2.93,2.65,5.46,0.00,0.000,1.00,1.00,1.00,0.229,0.00168,44.27,0.4525,12.04,133719.8,140218.4,64.551,0.0731,12.982,35.097,0.623,0.376
80000,104,1.492,0.571,5.52,11636,11350,9,0,428,6,122904.8,3285.4,0.085,0.228,0.272,0.416,908,8.39,2.58,0.00,0.00,0.00,0.00,0.00,0.00,8.39,2.58,0.00,0.00,0.000,0.000,21,0.163,0.135,0.865,0.000,0.000,6238,5483,1,1.000,0.000,0.000,42557,0.114,1.854,0.065,12.62,3446,0,547.568,0.000,0.000,110598,1.00,17.37,0.000,0.000,0.000,5,7,12,14,873,0.003,41.85,0.0141,0.000,1,0.188,0.000,0.397,0.027,2.80,2.62,4.69,0.00,0.000,1.00,1.00,1.00,0.188,0.00372,41.23,0.3967,4.75,130688.8,140218.0,67.727,0.0689,12.252,34.266,0.615,0.368
90000,265,1.489,0.705,6.18,8224,7706,2,0,355,0,90114.4,2027.2,0.050,0.186,0.295,0.469,996,9.57,4.22,0.06,0.55,0.02,0.19,0.03,0.37,9.47,3.88,0.00,0.00,0.004,0.062,36,0.332,0.200,0.774,0.000,0.026,3958,3213,1,0.630,0.370,0.008,7240,0.204,2.042,0.080,9.24,2578,0,2027.223,0.000,0.000,47220,1.04,14.98,0.000,0.000,0.000,7,10,10,50,2536,0.010,41.08,0.0036,0.000,0,0.140,0.000,0.368,0.012,3.05,2.86,5.65,0.00,0.000,1.05,1.06,1.03,0.140,0.00099,15.41,0.2398,3.52,128214.7,140217.9,97.719,0.0372,8.952,26.817,0.607,0.360
100000,285,1.394,0.791,6.76,13252,12646,10,0,576,0,147471.8,3345.4,0.056,0.152,0.341,0.452,869,8.80,2.62,0.02,0.24,0.01,0.24,0.00,0.00,8.77,2.56,0.00,0.00,0.001,0.011,33,0.260,0.168,0.825,0.000,0.007,6660,5513,2,0.839,0.000,0.000,6697,0.168,2.176,0.089,14.89,3933,0,3345.417,0.000,0.000,61941,1.01,16.23,0.000,0.000,0.000,6,9,11,35,2509,0.010,41.06,0.0059,0.000,4,0.137,0.000,0.369,0.012,2.86,2.98,4.93,0.00,0.000,1.01,1.01,1.01,0.137,0.00133,25.53,0.3916,5.66,126809.4,140217.3,81.956,0.0568,14.695,30.123,0.603,0.357
