step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,8,15,10.13,0.00,0.00,0.00,10.13,0.00,1.00,0.000,0.003,63888.3,13716.1,0,0,3.20,1.00,1.00,2.1513,0.56,3966.7,69.8444,3.7601,2690
10000,1,7,64.00,0.00,0.57,0.00,63.43,0.00,1.00,0.000,0.301,18693.6,2762.7,1,0,5.86,1.00,1.00,0.3623,0.38,470.3,10.1591,1.9751,98
10000,0,3,64.00,0.00,1.33,0.00,62.67,0.00,1.00,0.000,0.001,98805.7,38719.9,1,1,5.33,1.00,1.00,6.5720,5.55,128858.1,0.0000,0.0000,13596
20000,8,41,12.85,0.00,0.00,0.00,12.85,0.00,1.00,0.000,0.009,15971.1,384.0,1,0,4.07,1.00,1.00,0.0559,1.32,9214.0,78.1026,1.7904,3539
20000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,4749.6,534.0,0,0,-0.00,-0.00,-0.00,0.0719,0.00,190.1,33.8603,0.6069,96
20000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,860.0,145.3,0,0,-0.00,-0.00,-0.00,0.0310,0.34,121520.8,0.0000,0.0000,12749
30000,8,41,15.02,0.02,0.00,0.00,15.00,0.00,1.05,0.000,0.011,29006.0,812.8,1,0,3.90,1.05,1.05,0.1047,2.07,9478.0,75.1897,2.9155,3364
30000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.1,38.3216,0.0476,98
30000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,136.4,0.5,0,0,-0.00,-0.00,-0.00,0.0013,0.03,121018.8,0.0000,0.0000,12922
40000,8,79,13.68,0.35,0.00,0.00,13.33,0.00,1.16,0.000,0.014,32662.0,817.3,1,0,3.92,1.13,1.17,0.1051,2.77,20427.6,71.2445,3.5768,4790
40000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,270.2,61.3367,0.0546,98
40000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,142.6,1.7,0,0,-0.00,-0.00,-0.00,0.0011,0.00,106284.9,0.0000,0.0000,11496
50000,8,84,13.10,0.27,0.00,0.01,12.81,0.00,1.08,0.000,0.014,50364.9,1497.8,1,0,3.87,1.01,1.10,0.1781,2.27,14445.0,55.6850,5.2916,4754
50000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,189.8,38.9591,0.0397,97
