step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,2,1003,10.4,0.1,0.0,0.0,10.3,0.0,1.02,12.9,20,760,45.94,0.49,297,369,337,0.0,1.01,1.02,1.02,3.57,1.66,7.97,36.1
5000,1,930,7.9,0.0,0.0,0.0,7.9,0.0,1.00,16.6,71,577,31.58,0.36,377,274,279,0.0,1.00,1.01,1.01,2.71,1.85,5.87,35.1
6000,2,1149,9.7,0.0,0.0,0.0,9.7,0.0,1.00,13.3,27,728,42.92,0.50,338,408,403,0.0,1.00,1.00,1.00,3.33,1.50,7.95,36.4
6000,1,815,7.7,0.0,0.0,0.0,7.7,0.0,1.00,16.5,60,581,30.97,0.35,333,238,244,0.0,1.00,1.00,1.01,2.70,1.75,6.04,35.2
7000,2,1211,9.1,0.0,0.0,0.0,9.1,0.0,1.01,13.6,22,622,35.97,0.48,329,445,437,0.0,1.02,1.02,1.01,3.21,1.34,7.99,37.4
7000,1,754,7.8,0.0,0.0,0.0,7.8,0.0,1.00,16.1,63,580,30.91,0.37,331,198,225,0.0,1.00,1.00,1.00,2.75,1.71,6.25,34.3
8000,2,1269,8.8,0.0,0.0,0.0,8.7,0.0,1.01,13.8,28,559,31.92,0.46,317,492,460,0.0,1.00,1.01,1.03,3.11,1.25,7.95,37.9
8000,1,756,8.0,0.1,0.0,0.0,8.0,0.0,1.02,15.7,66,621,33.39,0.41,351,211,194,0.0,1.00,1.03,1.03,2.82,1.76,6.41,32.7
9000,2,1331,8.6,0.1,0.0,0.0,8.5,0.0,1.01,14.0,28,539,30.26,0.46,320,499,512,0.0,1.00,1.02,1.02,3.02,1.19,7.92,38.7
9000,1,676,8.4,0.1,0.0,0.0,8.4,0.0,1.02,15.0,63,594,32.43,0.43,355,172,149,0.0,1.01,1.02,1.02,2.95,1.78,6.75,30.9
10000,2,1307,8.4,0.1,0.0,0.0,8.3,0.0,1.02,14.1,24,516,28.56,0.45,307,489,511,0.0,1.02,1.02,1.03,2.97,1.12,7.95,39.1
10000,1,700,8.4,0.0,0.0,0.0,8.4,0.0,1.00,14.8,56,569,31.12,0.42,364,187,149,0.0,1.00,1.01,1.01,2.89,1.73,6.88,30.6
11000,2,1316,8.4,0.1,0.0,0.0,8.2,0.0,1.03,14.0,27,483,26.67,0.41,295,472,549,0.0,1.03,1.04,1.03,2.96,1.11,7.96,39.6
11000,1,696,8.5,0.0,0.0,0.0,8.4,0.0,1.00,14.5,57,575,31.72,0.41,390,200,106,0.0,1.00,1.01,1.01,2.95,1.73,7.01,29.0
12000,2,1305,8.3,0.0,0.0,0.0,8.3,0.0,1.01,14.0,27,490,26.91,0.43,258,497,550,0.0,1.00,1.01,1.01,2.97,1.12,7.93,40.4
12000,1,727,8.7,0.0,0.1,0.0,8.6,0.0,1.00,14.3,73,560,30.73,0.40,425,191,111,0.0,1.00,1.01,1.01,3.02,1.76,7.14,28.0
13000,2,1307,8.2,0.0,0.0,0.0,8.2,0.0,1.02,14.0,28,488,26.86,0.44,227,511,569,0.0,1.01,1.02,1.04,2.94,1.09,7.94,40.9
13000,1,725,8.5,0.0,0.0,0.0,8.5,0.0,1.01,14.3,68,575,31.88,0.43,447,180,98,0.0,1.00,1.01,1.02,2.95,1.67,7.24,27.1
14000,2,1264,8.2,0.0,0.0,0.0,8.1,0.0,1.01,14.0,22,496,27.26,0.44,173,513,578,0.0,1.01,1.01,1.01,2.91,1.06,7.95,42.0
14000,1,762,8.5,0.1,0.0,0.0,8.5,0.0,1.02,14.3,70,556,30.85,0.43,503,162,97,0.0,1.00,1.03,1.03,2.96,1.68,7.25,26.5
15000,2,1215,8.3,0.0,0.0,0.0,8.2,0.0,1.01,14.0,21,484,26.62,0.42,171,473,571,0.0,1.00,1.01,1.01,2.94,1.07,7.96,42.1
15000,1,814,8.5,0.0,0.0,0.0,8.5,0.0,1.00,14.3,63,546,30.18,0.43,501,218,95,0.0,1.00,1.00,1.01,3.00,1.65,7.26,26.9
16000,2,1155,8.2,0.0,0.0,0.0,8.2,0.0,1.00,14.0,21,497,27.28,0.43,148,450,557,0.0,1.00,1.00,1.00,2.92,1.06,7.95,42.7
16000,1,856,8.6,0.0,0.0,0.0,8.5,0.0,1.01,14.1,79,576,31.99,0.42,513,234,109,0.0,1.00,1.01,1.01,3.02,1.63,7.39,27.5
17000,2,1102,8.3,0.0,0.0,0.0,8.2,0.0,1.02,14.0,29,478,26.23,0.41,135,416,551,0.0,1.02,1.02,1.02,2.93,1.09,7.96,42.9
17000,1,953,8.6,0.1,0.0,0.0,8.5,0.0,1.02,14.3,87,573,31.64,0.42,551,295,107,0.0,1.00,1.02,1.02,2.96,1.64,7.33,27.7
18000,1,1007,8.5,0.0,0.0,0.0,8.5,0.0,1.01,14.3,79,602,33.11,0.42,564,309,134,0.0,1.00,1.01,1.01,2.96,1.62,7.31,28.4
18000,2,999,8.2,0.0,0.0,0.0,8.2,0.0,1.01,14.0,21,504,27.72,0.43,116,377,506,0.0,1.01,1.01,1.01,2.93,1.08,7.95,43.5
19000,1,1081,8.5,0.0,0.0,0.0,8.4,0.0,1.00,14.3,84,570,31.35,0.42,578,337,166,0.0,1.00,1.01,1.01,2.97,1.62,7.30,29.1
19000,2,953,8.3,0.1,0.0,0.0,8.2,0.0,1.04,14.0,22,497,27.22,0.40,105,350,498,0.0,1.03,1.05,1.05,2.93,1.09,7.95,43.8
20000,1,1149,8.3,0.0,0.0,0.0,8.3,0.0,1.00,14.5,78,577,31.58,0.43,601,365,183,0.0,1.00,1.01,1.01,2.93,1.56,7.26,29.3
20000,2,904,8.3,0.1,0.1,0.0,8.1,0.0,1.03,14.0,22,497,27.17,0.40,92,322,490,0.0,1.00,1.04,1.04,2.92,1.09,7.97,44.3
21000,1,1261,8.2,0.0,0.0,0.0,8.2,0.0,1.01,14.7,110,556,30.32,0.41,610,431,220,0.0,1.00,1.01,1.01,2.97,1.60,7.19,30.2
21000,2,787,8.4,0.1,0.0,0.0,8.2,0.0,1.04,14.0,19,502,27.52,0.41,81,268,438,0.0,1.03,1.05,1.05,2.95,1.10,7.96,44.9
22000,1,1301,8.3,0.1,0.0,0.0,8.2,0.0,1.02,14.6,88,559,30.55,0.40,599,466,236,0.0,1.00,1.02,1.02,2.93,1.60,7.24,30.7
22000,2,753,8.4,0.0,0.0,0.0,8.3,0.0,1.00,14.0,17,531,29.03,0.42,101,223,429,0.0,1.00,1.00,1.00,2.93,1.07,7.97,44.7
23000,1,1306,8.3,0.1,0.0,0.0,8.2,0.0,1.02,14.5,94,595,32.42,0.41,586,473,247,0.0,1.00,1.02,1.03,2.96,1.61,7.24,31.1
