step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,2007,1.489,0.049,6.99,63667,59932,383,1,2827,1961,1139908.2,68585.9,0.016,0.431,0.530,0.022,461,8.37,2.77,0.05,1.49,0.01,0.13,0.00,0.00,8.31,2.40,0.00,0.00,0.001,0.014,79,0.668,0.212,0.784,0.000,0.003,41679,35982,2,0.651,0.000,0.000,314507,0.151,0.098,0.000,103.57,26584,185,34.975,0.000,0.000,1243348,1.02,14.33,0.001,0.001,0.000,7,8,10,64,16800,0.064,0.46,0.0068,0.042,660,0.138,0.000,0.170,0.264,2.94,1.33,7.57,0.00,0.001,1.01,1.02,1.02,0.138,0.00357,57.88,10.4539,27.23,135846.3,140074.4,1.938,3.5917,113.569,391.168,0.886,0.404,103.6,113.559
20000,2055,1.440,0.044,7.40,57307,53762,272,0,3225,45,1048138.1,15883.2,0.000,0.379,0.613,0.007,512,8.29,2.55,0.06,1.33,0.03,0.72,0.00,0.09,8.20,1.77,0.00,0.00,0.001,0.020,98,0.631,0.219,0.778,0.000,0.003,6902,4403,2,0.560,0.000,0.000,21156,0.124,0.061,0.000,104.93,15809,0,352.961,0.000,0.000,689536,1.02,14.29,0.001,0.000,0.000,7,8,10,64,17029,0.065,0.00,0.0062,0.048,675,0.089,0.000,0.146,0.000,2.93,1.35,7.56,0.00,0.002,1.00,1.02,1.02,0.089,0.00287,56.69,1.7963,13.92,135944.5,140074.5,2.217,0.2093,104.732,45.480,0.892,0.400,105.6,104.732
30000,2068,1.427,0.044,7.96,54964,51981,370,0,2600,50,1042229.4,13846.0,0.000,0.353,0.639,0.007,495,8.13,2.06,0.02,0.41,0.01,0.17,0.01,0.20,8.10,1.88,0.00,0.00,0.000,0.011,113,0.350,0.232,0.764,0.000,0.004,6689,3699,2,0.885,0.000,0.002,48446,0.102,0.063,0.000,104.81,17514,0,276.920,0.000,0.000,581611,1.01,14.86,0.000,0.001,0.000,7,8,9,54,16822,0.064,0.00,0.0062,0.050,680,0.080,0.000,0.142,0.000,2.94,1.55,7.20,0.00,0.000,1.00,1.01,1.01,0.080,0.00267,56.89,1.5569,13.40,135968.9,140074.5,2.148,0.1726,104.635,43.800,0.885,0.400,104.8,104.635
40000,2069,1.421,0.042,8.03,53279,50439,472,0,2367,20,1033516.2,12531.5,0.000,0.329,0.661,0.009,482,7.98,1.85,0.02,0.46,0.04,0.59,0.01,0.15,7.91,1.57,0.00,0.00,0.002,0.035,114,0.236,0.223,0.773,0.000,0.004,6316,4111,2,0.991,0.005,0.004,64316,0.108,0.060,0.000,104.28,17236,0,626.574,0.000,0.000,497179,1.01,14.60,0.000,0.000,0.000,7,8,9,43,16514,0.063,0.00,0.0063,0.055,661,0.073,0.000,0.131,0.000,2.96,1.56,7.44,0.00,0.000,1.00,1.01,1.01,0.073,0.00247,57.50,1.4074,16.76,136020.2,140074.5,2.063,0.1537,104.128,45.593,0.878,0.401,103.9,104.128
50000,2024,1.417,0.041,7.98,52911,50028,431,0,2497,6,1028799.2,12255.4,0.000,0.341,0.649,0.010,482,8.03,1.74,0.03,0.65,0.00,0.06,0.00,0.04,7.99,1.62,0.00,0.00,0.000,0.004,102,0.346,0.230,0.766,0.000,0.003,6284,4381,1,1.000,0.000,0.001,52786,0.105,0.060,0.000,103.73,16335,0,2042.561,0.000,0.000,541389,1.01,14.28,0.000,0.000,0.000,7,8,9,30,16244,0.062,0.00,0.0064,0.047,671,0.077,0.000,0.130,0.000,3.01,1.55,7.74,0.00,0.001,1.00,1.01,1.01,0.077,0.00258,57.98,1.3789,17.85,136110.3,140074.5,2.132,0.1530,103.589,43.121,0.885,0.401,102.4,103.589
60000,2037,1.393,0.039,7.84,52096,49191,402,0,2490,5,1026295.2,12103.6,0.000,0.346,0.644,0.010,475,7.89,1.69,0.00,0.09,0.00,0.20,0.00,0.03,7.88,1.64,0.00,0.00,0.000,0.007,79,0.429,0.232,0.766,0.000,0.002,6240,4387,1,1.000,0.000,0.001,47881,0.109,0.056,0.000,103.19,16067,0,2420.723,0.000,0.000,520948,1.00,14.45,0.000,0.000,0.000,6,8,9,29,16063,0.061,0.00,0.0064,0.054,687,0.074,0.000,0.128,0.000,3.01,1.55,7.81,0.00,0.000,1.00,1.00,1.00,0.074,0.00262,58.46,1.3599,15.00,136170.0,140074.5,2.192,0.1496,103.042,41.863,0.881,0.401,102.8,103.042
70000,2085,1.365,0.040,7.58,53802,50624,396,0,2734,0,1024298.4,12088.8,0.000,0.346,0.647,0.006,471,7.43,1.81,0.01,0.24,0.01,0.20,0.01,0.14,7.40,1.69,0.00,0.00,0.001,0.012,86,0.378,0.233,0.765,0.000,0.002,6508,4425,1,1.000,0.000,0.002,57111,0.089,0.058,0.000,102.86,14750,0,12088.757,0.000,0.001,562182,1.00,15.37,0.000,0.000,0.000,6,7,9,29,15486,0.059,0.00,0.0066,0.041,688,0.078,0.000,0.131,0.000,3.01,1.42,7.87,0.00,0.001,1.00,1.00,1.00,0.078,0.00246,58.80,1.3558,13.56,136167.0,140074.5,2.174,0.1468,102.717,41.990,0.883,0.401,102.4,102.717
80000,2225,1.311,0.043,7.19,58109,54413,348,0,3208,0,1024440.9,12193.2,0.000,0.342,0.655,0.003,498,6.46,1.51,0.01,0.41,0.02,0.40,0.01,0.13,6.43,1.30,0.00,0.00,0.001,0.018,65,0.716,0.231,0.764,0.000,0.006,7865,5845,1,1.000,0.000,0.003,55121,0.081,0.073,0.000,102.68,11563,0,12193.234,0.000,0.000,726644,1.00,17.21,0.000,0.000,0.000,6,6,8,30,14384,0.055,0.00,0.0072,0.048,713,0.098,0.000,0.131,0.000,2.89,1.13,7.84,0.00,0.000,1.00,1.00,1.01,0.098,0.00207,59.02,1.3722,17.14,136054.6,140074.5,2.142,0.1521,102.519,42.795,0.903,0.401,104.1,102.519
90000,2199,1.320,0.045,7.06,60897,57068,294,0,3561,0,1025811.8,12146.0,0.000,0.340,0.658,0.002,441,6.32,1.77,0.04,0.71,0.02,0.32,0.00,0.00,6.27,1.29,0.00,0.00,0.001,0.021,63,0.810,0.252,0.745,0.000,0.003,8939,7914,1,1.000,0.000,0.000,39903,0.079,0.083,0.000,102.58,8999,0,12146.009,0.000,0.000,880885,1.01,17.54,0.000,0.000,0.000,6,6,7,38,13894,0.053,0.00,0.0074,0.057,716,0.116,0.000,0.128,0.000,2.89,1.09,7.87,0.00,0.000,1.00,1.01,1.01,0.116,0.00191,59.21,1.3713,22.14,136052.2,140074.5,2.043,0.1558,102.428,44.202,0.890,0.400,102.2,102.429
100000,2223,1.312,0.044,7.02,60736,57141,284,0,3287,4,1026813.6,11736.1,0.000,0.336,0.662,0.002,435,6.23,1.27,0.02,0.34,0.02,0.35,0.01,0.28,6.18,1.04,0.00,0.00,0.001,0.022,58,0.860,0.258,0.739,0.000,0.004,9068,8759,1,1.000,0.000,0.002,32886,0.082,0.069,0.000,102.50,8162,0,2934.023,0.000,0.000,886732,1.00,17.63,0.000,0.000,0.000,6,6,7,23,13842,0.053,0.00,0.0075,0.048,711,0.118,0.000,0.128,0.000,2.89,1.08,7.87,0.00,0.002,1.00,1.00,1.01,0.118,0.00185,59.35,1.3202,10.89,136053.9,140074.4,1.996,0.1474,102.350,44.727,0.884,0.401,102.7,102.350
