step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,616,11.13,0.11,0.01,0.04,10.98,0.00,1.03,0.000,0.078,415829.9,24770.6,1,45,3.28,1.03,1.03,3.7513,7.73,114954.9,0.0000,36.0543,5462,38.8869
10000,1,667,9.83,0.02,0.00,0.17,9.64,0.00,1.00,0.000,0.074,415297.1,25584.8,1,63,3.27,1.00,1.00,3.8109,12.06,20488.0,0.1956,35.8963,5461,38.8798
10000,2,660,8.49,0.00,0.00,0.07,8.41,0.00,1.00,0.000,0.065,407987.0,24796.6,1,38,3.17,1.00,1.00,3.7651,8.70,247.4,1.6010,34.9395,5461,38.8798
20000,0,717,6.47,0.00,0.00,0.00,6.47,0.00,1.00,0.000,0.053,360396.7,6781.9,1,55,3.16,1.00,1.00,0.7680,9.09,115996.5,0.0000,34.9084,5462,33.9670
20000,1,721,6.23,0.01,0.02,0.00,6.20,0.00,1.00,0.000,0.052,354261.9,6813.3,1,56,3.14,1.00,1.00,0.7721,4.67,19643.7,0.3872,34.3591,5461,33.9608
20000,2,664,6.14,0.00,0.02,0.00,6.12,0.00,1.00,0.000,0.047,338248.9,6125.7,1,40,3.15,1.00,1.00,0.6960,10.62,187.4,2.0191,32.8717,5461,33.9608
30000,0,732,6.22,0.00,0.00,0.04,6.18,0.00,1.00,0.000,0.052,353512.0,6263.6,1,53,3.13,1.00,1.00,0.7119,7.48,115960.0,0.0000,34.2174,5462,33.3877
30000,1,732,6.27,0.00,0.00,0.17,6.10,0.00,1.00,0.000,0.052,348417.7,6214.5,1,65,3.16,1.00,1.00,0.7080,6.48,19611.4,0.5216,33.7652,5461,33.3816
30000,2,701,6.52,0.00,0.02,0.29,6.21,0.00,1.00,0.000,0.052,333585.4,6039.2,1,35,3.17,1.00,1.00,0.6866,8.29,191.6,2.3767,32.4296,5461,33.3816
40000,0,731,6.14,0.00,0.00,0.00,6.14,0.00,1.00,0.000,0.051,353508.7,6228.2,1,57,3.10,1.00,1.00,0.7081,8.75,115991.7,0.0000,34.2164,5462,33.3854
