step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,690,8.64,0.06,0.00,0.13,8.45,0.00,1.02,0.000,0.068,404390.5,22119.6,3,59,2.95,1.02,1.02,3.4591,6.09,100555.7,0.0002,34.5852,5462,9.5440
10000,1,695,8.22,0.04,0.00,0.15,8.03,0.00,1.02,0.000,0.066,401844.8,22871.8,3,43,2.87,1.02,1.02,3.4976,3.47,32528.7,0.0666,34.5136,5461,18.9507
10000,2,682,8.07,0.05,0.00,0.02,8.00,0.00,1.01,0.000,0.063,396910.1,22491.2,3,63,2.90,1.01,1.02,3.4204,9.96,2793.9,0.1425,34.1086,5461,28.0822
20000,0,756,7.03,0.12,0.01,0.02,6.88,0.00,1.02,0.000,0.061,370198.5,3638.6,2,71,2.47,1.02,1.02,0.4118,4.34,100653.7,0.0000,36.0530,5462,9.1075
20000,1,764,6.83,0.05,0.00,0.00,6.77,0.00,1.01,0.000,0.060,370300.5,3588.6,2,71,2.45,1.01,1.02,0.4067,5.25,32630.6,0.0489,36.0533,5461,18.0840
20000,2,766,6.66,0.03,0.00,0.03,6.60,0.00,1.01,0.000,0.058,369733.1,3541.8,2,84,2.45,1.01,1.01,0.4000,6.27,2845.0,0.1041,35.9897,5461,26.7979
30000,0,774,6.92,0.10,0.00,0.06,6.76,0.00,1.03,0.000,0.061,374888.0,3435.3,1,75,2.47,1.03,1.03,0.3893,3.14,100566.5,0.0000,36.5357,5462,9.2267
30000,1,762,6.64,0.07,0.00,0.01,6.56,0.00,1.02,0.000,0.058,374672.5,3414.5,1,76,2.40,1.02,1.02,0.3884,5.86,32718.6,0.0399,36.5124,5461,18.3208
30000,2,783,6.76,0.09,0.00,0.01,6.67,0.00,1.03,0.000,0.060,374350.2,3413.6,1,91,2.39,1.02,1.03,0.3893,5.36,2884.8,0.0751,36.4812,5461,27.1488
40000,0,738,7.02,0.07,0.00,0.00,6.94,0.00,1.02,0.000,0.059,375315.6,3405.9,1,69,2.49,1.02,1.03,0.3877,5.63,100555.0,0.0000,36.6055,5462,9.2406
40000,1,760,7.11,0.08,0.03,0.05,6.94,0.00,1.02,0.000,0.062,375199.7,3483.8,1,75,2.51,1.01,1.02,0.3967,8.29,32749.8,0.0387,36.5701,5461,18.3483
40000,2,754,7.07,0.04,0.00,0.01,7.02,0.00,1.01,0.000,0.061,374735.7,3489.3,1,82,2.48,1.01,1.01,0.3969,5.60,2908.0,0.0729,36.5198,5461,27.1895
50000,0,759,7.10,0.07,0.00,0.04,6.98,0.00,1.02,0.000,0.062,375285.2,3477.3,1,73,2.47,1.02,1.02,0.3961,4.86,100582.8,0.0000,36.6045,5462,9.2431
50000,1,762,7.03,0.04,0.00,0.00,6.98,0.00,1.01,0.000,0.061,375024.2,3388.2,1,74,2.46,1.01,1.01,0.3848,2.80,32763.5,0.0372,36.5692,5461,18.3533
50000,2,746,7.04,0.07,0.00,0.00,6.97,0.00,1.03,0.000,0.060,374768.2,3459.3,1,79,2.44,1.02,1.02,0.3932,6.19,2884.7,0.0711,36.5533,5461,27.1969
60000,0,758,7.01,0.08,0.00,0.04,6.89,0.00,1.03,0.000,0.061,375308.8,3443.9,1,83,2.45,1.03,1.03,0.3922,3.74,100622.2,0.0000,36.5995,5462,9.2433
60000,1,774,7.13,0.14,0.00,0.01,6.98,0.00,1.04,0.000,0.063,375077.3,3431.4,1,62,2.46,1.04,1.04,0.3915,5.05,32761.1,0.0376,36.5756,5461,18.3536
60000,2,758,7.04,0.04,0.00,0.00,7.00,0.00,1.01,0.000,0.061,374734.3,3354.7,1,84,2.45,1.01,1.01,0.3812,6.17,2878.1,0.0727,36.5523,5461,27.1974
70000,0,756,7.08,0.08,0.01,0.00,6.99,0.00,1.03,0.000,0.061,375414.3,3501.8,1,76,2.43,1.04,1.04,0.3988,3.70,100582.9,0.0000,36.6083,5462,9.2428
70000,1,745,7.09,0.08,0.00,0.00,7.01,0.00,1.02,0.000,0.061,375142.9,3465.3,1,68,2.46,1.02,1.02,0.3952,6.30,32738.8,0.0388,36.5846,5461,18.3526
70000,2,762,7.15,0.14,0.00,0.01,7.00,0.00,1.04,0.000,0.062,374754.9,3376.6,1,84,2.47,1.03,1.05,0.3836,5.46,2889.2,0.0724,36.5379,5461,27.1959
80000,0,744,7.05,0.04,0.00,0.00,7.01,0.00,1.01,0.000,0.060,375431.6,3385.2,1,54,2.44,1.01,1.01,0.3847,2.98,100581.8,0.0000,36.6197,5462,9.2436
80000,1,764,7.05,0.05,0.00,0.00,7.00,0.00,1.02,0.000,0.062,375080.3,3448.0,1,70,2.48,1.02,1.02,0.3934,6.16,32763.7,0.0383,36.5677,5461,18.3542
80000,2,749,7.04,0.04,0.00,0.00,7.00,0.00,1.01,0.000,0.060,374803.6,3485.0,1,85,2.47,1.01,1.01,0.3969,3.75,2902.4,0.0713,36.5442,5461,27.1982
90000,0,751,7.05,0.05,0.00,0.00,6.99,0.00,1.02,0.000,0.061,375410.7,3504.3,1,71,2.42,1.02,1.02,0.3992,3.50,100592.6,0.0000,36.6155,5462,9.2442
90000,1,760,7.01,0.06,0.01,0.01,6.93,0.00,1.02,0.000,0.061,375084.5,3477.0,1,73,2.47,1.01,1.02,0.3966,5.30,32743.3,0.0381,36.5756,5461,18.3554
