step,event,lineage,other,size
5000,birth,1,0,1609
5000,birth,2,0,107
6000,split,6,1,118
11000,split,11,1,20
13000,split,16,1,122
14000,split,17,16,191
17000,extinct,6,0,8
22000,extinct,2,0,10
23000,extinct,17,0,8
25000,extinct,16,0,11
27000,extinct,11,0,10
41000,split,26,1,47
42000,split,27,1,8
48000,extinct,27,0,5
53000,extinct,26,0,10
61000,split,38,1,27
68000,split,39,1,184
72000,merge,39,1,162
76000,extinct,38,0,8
83000,split,42,1,216
85000,merge,42,1,207
98000,split,45,1,155
111000,merge,45,1,174
116000,split,46,1,159
123000,merge,46,1,155
128000,split,47,1,162
136000,merge,47,1,245
146000,split,49,1,778
149000,merge,1,49,940
154000,split,50,49,540
161000,merge,50,49,358
166000,split,53,49,214
168000,split,54,49,6
169000,merge,54,49,6
439000,split,60,49,36
440000,merge,60,49,36
448000,split,63,49,13
450000,merge,63,49,19
456000,split,65,49,13
467000,extinct,65,0,5
474000,extinct,53,0,6
696000,split,72,49,109
698000,merge,72,49,105
719000,split,77,49,98
720000,merge,77,49,98
730000,split,80,49,110
738000,merge,80,49,122
751000,split,83,49,118
753000,merge,83,49,112
758000,split,84,49,111
768000,merge,84,49,118
774000,split,85,49,107
785000,merge,85,49,116
790000,split,86,49,116
835000,merge,86,49,117
840000,split,88,49,98
868000,merge,88,49,119
875000,split,91,49,130
889000,merge,91,49,116
903000,split,95,49,110
905000,merge,95,49,132
912000,split,98,49,110
914000,merge,98,49,117
919000,split,101,49,95
929000,merge,101,49,109
935000,split,104,49,129
940000,merge,104,49,117
946000,split,108,49,116
948000,merge,108,49,118
953000,split,110,49,124
992000,merge,110,49,74
995000,split,114,49,14
