step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
10000,0,440,7.08,0.03,0.00,0.05,6.99,0.00,1.01,0.000,0.036,306886.7,20980.8,3,100,2.74,1.00,1.01,3.3143,7.24,813.3,14.6345,25.8455,5462,16.6328
10000,1,695,7.44,0.02,0.06,0.00,7.37,0.00,1.01,0.000,0.059,398330.2,22069.3,3,39,2.75,1.00,1.01,3.3671,7.58,1398.6,2.5170,34.0679,5461,30.7531
10000,2,728,7.47,0.00,0.00,0.03,7.44,0.00,1.00,0.000,0.062,415869.6,23172.3,3,59,2.66,1.00,1.00,3.5113,5.45,1753.3,0.0192,35.7840,5461,45.1332
20000,0,463,7.24,0.18,0.00,0.00,7.06,0.00,1.06,0.000,0.038,225304.4,2221.5,5,108,2.68,1.03,1.06,0.2765,5.01,880.8,20.3988,22.3333,5462,16.6345
20000,1,694,7.41,0.01,0.00,0.02,7.37,0.00,1.00,0.000,0.059,353515.8,4054.3,4,39,2.71,1.00,1.00,0.4699,4.40,1452.3,2.4119,34.3231,5461,30.7562
20000,2,711,7.81,0.04,0.00,0.02,7.75,0.00,1.02,0.000,0.064,372366.9,4430.4,3,56,2.71,1.02,1.02,0.5072,5.54,1828.2,0.0065,36.0361,5461,45.1377
30000,0,478,7.47,0.18,0.00,0.01,7.27,0.00,1.04,0.000,0.041,232921.8,2190.7,1,116,2.88,1.01,1.06,0.2700,3.66,1270.2,18.8403,23.1166,5462,16.6345
30000,1,692,7.98,0.03,0.01,0.01,7.93,0.00,1.01,0.000,0.063,351505.8,4075.4,1,39,2.97,1.00,1.01,0.4725,5.54,1724.9,2.0622,34.1216,5461,30.7562
30000,2,684,8.21,0.02,0.00,0.00,8.18,0.00,1.01,0.000,0.064,366072.0,4354.8,1,46,2.98,1.00,1.01,0.4981,10.01,1944.3,0.0058,35.3905,5461,45.1377
40000,0,487,7.35,0.03,0.00,0.02,7.30,0.00,1.01,0.000,0.041,240016.6,2381.2,1,88,2.98,1.00,1.01,0.2926,3.98,2068.3,17.0566,23.8147,5462,16.6345
40000,1,663,7.89,0.00,0.02,0.00,7.87,0.00,1.00,0.000,0.060,348802.5,3989.2,1,37,3.12,1.00,1.00,0.4611,5.31,2326.0,1.4988,33.8825,5461,30.7562
40000,2,683,8.28,0.09,0.00,0.02,8.17,0.00,1.03,0.001,0.065,360300.8,4423.4,1,46,3.11,1.03,1.04,0.5061,4.72,2018.4,0.0028,34.8648,5461,45.1377
50000,0,499,7.77,0.07,0.00,0.00,7.70,0.00,1.02,0.000,0.044,250061.4,2620.5,2,72,3.26,1.00,1.02,0.3206,3.98,3518.3,14.8599,24.7015,5462,16.6345
50000,1,663,8.11,0.05,0.01,0.00,8.06,0.00,1.01,0.000,0.062,345905.8,4037.0,2,31,3.25,1.00,1.02,0.4670,5.22,3242.1,0.8752,33.5068,5461,30.7562
50000,2,661,8.22,0.08,0.00,0.00,8.14,0.00,1.02,0.002,0.062,353932.7,4366.7,1,39,3.26,1.01,1.03,0.5039,9.47,2118.9,0.0014,34.2620,5461,45.1377
60000,0,496,7.72,0.05,0.00,0.00,7.67,0.00,1.02,0.000,0.044,258606.3,2720.1,1,78,3.28,1.00,1.02,0.3309,5.95,4158.6,13.2634,25.4792,5462,16.6345
60000,1,657,8.09,0.02,0.00,0.00,8.07,0.00,1.01,0.000,0.060,343187.1,4074.0,1,28,3.32,1.00,1.01,0.4716,8.86,3552.1,0.7686,33.2914,5461,30.7562
60000,2,652,8.09,0.02,0.02,0.00,8.04,0.00,1.01,0.000,0.061,349251.5,4303.7,1,47,3.27,1.01,1.01,0.4985,8.23,2138.0,0.0014,33.8516,5461,45.1377
70000,0,515,7.78,0.02,0.00,0.00,7.77,0.00,1.00,0.000,0.046,261615.0,2802.0,3,79,3.32,1.00,1.00,0.3395,4.85,4495.9,12.6069,25.7391,5462,16.6345
70000,1,641,8.07,0.01,0.00,0.00,8.06,0.00,1.01,0.000,0.059,342277.0,4094.3,3,25,3.34,1.01,1.01,0.4751,8.16,3754.0,0.6915,33.1823,5461,30.7562
70000,2,668,7.97,0.01,0.00,0.00,7.96,0.00,1.00,0.000,0.061,348675.4,4325.3,3,39,3.31,1.00,1.00,0.5025,4.48,2166.9,0.0012,33.7455,5461,45.1377
80000,0,495,7.82,0.02,0.00,0.00,7.80,0.00,1.00,0.000,0.044,262365.3,2780.8,1,66,3.31,1.00,1.01,0.3373,5.74,4405.7,12.4544,25.8255,5462,16.6345
80000,1,649,8.05,0.00,0.01,0.00,8.04,0.00,1.00,0.000,0.060,341932.8,4166.6,1,27,3.36,1.00,1.00,0.4854,4.59,3716.8,0.6947,33.1717,5461,30.7562
80000,2,662,7.92,0.02,0.00,0.01,7.90,0.00,1.01,0.000,0.060,348482.3,4370.2,1,37,3.35,1.00,1.01,0.5078,5.97,2170.3,0.0011,33.7423,5461,45.1377
90000,0,503,7.90,0.05,0.00,0.00,7.85,0.00,1.01,0.000,0.045,262217.8,2698.3,1,68,3.28,1.00,1.02,0.3276,7.02,4404.6,12.4489,25.8233,5462,16.6345
90000,1,648,8.02,0.00,0.00,0.00,8.01,0.00,1.00,0.000,0.060,341599.7,4128.8,1,28,3.38,1.00,1.00,0.4797,11.39,3660.6,0.6604,33.1533,5461,30.7562
90000,2,673,8.01,0.03,0.02,0.00,7.97,0.00,1.01,0.000,0.062,348493.8,4376.2,1,46,3.36,1.00,1.01,0.5075,3.30,2146.9,0.0010,33.7537,5461,45.1377
100000,0,508,7.95,0.00,0.00,0.00,7.95,0.00,1.00,0.000,0.046,261942.3,2768.6,2,85,3.37,1.00,1.00,0.3378,7.07,4411.7,12.4643,25.8039,5462,16.6345
100000,1,670,8.11,0.01,0.01,0.01,8.09,0.00,1.00,0.000,0.062,341605.4,4088.9,2,26,3.40,1.00,1.00,0.4735,1.90,3550.7,0.6658,33.1594,5461,30.7562
100000,2,666,8.31,0.08,0.00,0.01,8.23,0.00,1.03,0.000,0.063,348152.2,4328.6,2,44,3.42,1.02,1.03,0.5015,7.85,2171.6,0.0008,33.7676,5461,45.1377
110000,0,526,7.98,0.00,0.00,0.00,7.98,0.00,1.00,0.000,0.047,262951.7,2810.9,2,86,3.37,1.00,1.00,0.3420,7.88,4510.7,12.3568,25.9019,5462,16.6345
110000,1,633,8.15,0.02,0.01,0.00,8.13,0.00,1.00,0.000,0.060,341773.6,4104.6,2,32,3.42,1.00,1.01,0.4766,4.93,3516.7,0.6586,33.1627,5461,30.7562
110000,2,681,8.04,0.04,0.00,0.00,7.99,0.00,1.01,0.000,0.062,347626.4,4429.8,2,34,3.36,1.01,1.01,0.5137,3.72,2163.7,0.0005,33.6558,5461,45.1377
120000,0,514,7.98,0.04,0.00,0.00,7.93,0.00,1.01,0.000,0.047,262969.1,2792.0,2,69,3.40,1.00,1.02,0.3386,3.33,4670.8,12.2982,25.8893,5462,16.6345
120000,1,649,8.12,0.02,0.00,0.00,8.10,0.00,1.00,0.000,0.061,342335.3,4165.7,2,22,3.38,1.00,1.00,0.4854,6.08,3650.8,0.6544,33.1938,5461,30.7562
120000,2,673,8.19,0.04,0.00,0.00,8.15,0.00,1.01,0.000,0.063,347077.3,4384.9,2,37,3.33,1.00,1.01,0.5086,7.97,2166.7,0.0005,33.6137,5461,45.1377
130000,0,510,8.04,0.04,0.00,0.00,8.00,0.00,1.01,0.000,0.047,263825.0,2829.8,2,86,3.35,1.00,1.01,0.3448,5.10,4652.1,12.1671,25.9351,5462,16.6345
130000,1,649,8.24,0.03,0.00,0.00,8.20,0.00,1.01,0.000,0.062,341901.5,4210.3,2,32,3.40,1.00,1.01,0.4901,5.13,3669.6,0.6539,33.1596,5461,30.7562
130000,2,677,8.34,0.07,0.04,0.01,8.22,0.00,1.02,0.000,0.065,347482.3,4365.3,2,47,3.36,1.01,1.02,0.5068,6.78,2172.3,0.0005,33.6344,5461,45.1377
140000,0,519,7.85,0.02,0.00,0.00,7.83,0.00,1.00,0.000,0.047,262688.4,2815.9,1,87,3.38,1.00,1.01,0.3426,10.04,4531.7,12.2680,25.8615,5462,16.6345
140000,1,638,8.18,0.00,0.01,0.00,8.17,0.00,1.00,0.000,0.060,341907.9,4194.4,1,22,3.36,1.00,1.00,0.4886,7.69,3609.6,0.6826,33.1487,5461,30.7562
140000,2,657,8.55,0.03,0.01,0.00,8.52,0.00,1.01,0.000,0.064,349130.8,4345.5,1,41,3.31,1.00,1.01,0.5009,4.05,2112.4,0.0007,33.7382,5461,45.1377
150000,0,496,8.06,0.07,0.00,0.01,7.98,0.00,1.02,0.000,0.046,258547.2,2743.1,1,68,3.31,1.01,1.02,0.3338,4.84,3937.5,12.9190,25.5767,5462,16.6345
150000,1,660,8.60,0.08,0.00,0.01,8.52,0.00,1.02,0.000,0.065,343806.1,4197.3,1,34,3.29,1.00,1.03,0.4871,6.54,3182.4,0.7663,33.2805,5461,30.7562
150000,2,652,8.90,0.07,0.00,0.00,8.83,0.00,1.02,0.000,0.066,351784.0,4423.6,1,32,3.25,1.00,1.02,0.5101,10.36,2104.8,0.0006,33.9686,5461,45.1377
160000,0,487,8.09,0.03,0.01,0.02,8.03,0.00,1.01,0.000,0.044,252354.0,2671.6,2,74,3.21,1.00,1.01,0.3260,7.49,3169.6,13.9263,25.0931,5462,16.6345
160000,1,641,8.94,0.10,0.01,0.00,8.83,0.00,1.03,0.000,0.067,346378.1,4205.0,2,26,3.27,1.00,1.03,0.4834,4.94,2776.7,0.9062,33.5234,5461,30.7562
160000,2,652,8.98,0.05,0.00,0.00,8.92,0.00,1.02,0.000,0.067,354292.9,4513.4,2,39,3.24,1.00,1.02,0.5145,4.93,2060.2,0.0008,34.2189,5461,45.1377
170000,0,487,8.25,0.11,0.01,0.00,8.14,0.00,1.05,0.000,0.046,248824.8,2607.0,2,91,3.25,1.03,1.05,0.3176,2.55,2786.3,14.5532,24.8395,5462,16.6345
