step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
10000,1507,1.480,0.044,6.16,45157,43678,160,3,1314,1542,987152.1,63841.5,0.028,0.590,0.136,0.246,458,9.09,2.57,0.01,0.37,0.06,1.09,0.00,0.00,9.03,2.26,0.00,0.00,0.002,0.034,66,0.441,0.197,0.800,0.000,0.003,36053,31527,4,0.940,0.000,0.000,464205,0.163,0.049,0.000,85.72,19393,10,41.402,1.000,0.000,902397,1.00,14.10,0.000,0.000,0.000,8,10,10,52,13701,0.052,0.43,0.0073,0.099,623,0.098,0.000,0.128,0.326,3.41,2.14,7.81,0.00,0.000,1.00,1.00,1.00,0.098,0.00602,50.71,9.9937,11.76,2310.4,140221.0,26.987,3.6099,95.807,338.439,0.607,0.000,134692.7,82.338
20000,1540,1.489,0.041,6.08,32831,31022,500,0,1276,0,825725.4,8851.4,0.002,0.490,0.014,0.495,479,8.96,2.76,0.00,0.00,0.01,0.16,0.00,0.03,8.95,2.74,0.00,0.00,0.001,0.009,56,0.592,0.206,0.791,0.000,0.003,1854,1716,2,0.998,0.000,0.001,10584,0.132,0.052,0.000,82.50,5796,0,8851.420,0.000,0.000,230506,1.00,13.99,0.000,0.000,0.000,5,10,10,45,13797,0.053,0.00,0.0060,0.081,624,0.031,0.000,0.075,0.000,3.39,2.10,7.93,0.00,0.000,1.00,1.00,1.00,0.031,0.00422,49.92,1.0354,16.51,2286.0,140221.1,31.420,0.1496,82.345,225.115,0.600,0.000,134687.3,82.346
30000,1532,1.491,0.041,6.16,32687,30833,645,0,1217,6,824884.4,9026.8,0.002,0.456,0.001,0.541,474,8.88,2.45,0.02,0.57,0.03,0.84,0.00,0.00,8.82,2.37,0.00,0.00,0.001,0.035,44,0.613,0.181,0.816,0.000,0.003,1656,1614,1,1.000,0.000,0.000,10284,0.136,0.051,0.000,82.50,5910,0,1504.475,0.000,0.000,172571,1.01,14.00,0.000,0.001,0.000,5,10,10,40,13599,0.052,0.00,0.0061,0.080,602,0.025,0.000,0.074,0.000,3.36,2.06,7.95,0.00,0.000,1.01,1.01,1.01,0.025,0.00402,50.10,1.0553,14.03,2261.6,140221.2,31.240,0.1527,82.350,221.947,0.599,0.000,134728.6,82.346
40000,1546,1.454,0.042,6.27,32579,30814,649,0,1102,1,824814.4,8869.4,0.002,0.446,0.001,0.551,485,8.87,2.35,0.01,0.41,0.02,0.43,0.00,0.00,8.83,2.27,0.00,0.00,0.002,0.041,53,0.597,0.204,0.793,0.000,0.003,1665,1626,1,1.000,0.000,0.000,13251,0.126,0.052,0.000,82.49,6077,0,8869.448,0.000,0.000,158184,1.00,14.06,0.000,0.000,0.000,5,10,10,27,13712,0.052,0.00,0.0060,0.082,630,0.023,0.000,0.073,0.000,3.40,2.05,7.95,0.00,0.000,1.00,1.00,1.00,0.023,0.00390,50.22,1.0349,14.58,2269.3,140221.3,31.131,0.1477,82.347,221.950,0.600,0.000,134742.1,82.346
50000,1545,1.461,0.041,6.41,32636,30857,631,0,1149,3,824717.8,8889.1,0.002,0.441,0.001,0.556,479,8.89,2.41,0.01,0.31,0.02,0.43,0.01,0.33,8.85,2.33,0.00,0.03,0.001,0.018,52,0.566,0.192,0.804,0.000,0.004,1599,1575,1,1.000,0.000,0.001,16234,0.121,0.053,0.000,82.49,6580,0,2963.046,0.000,0.000,151264,1.00,14.13,0.000,0.000,0.001,5,10,10,39,13736,0.052,0.00,0.0060,0.074,625,0.022,0.000,0.073,0.000,3.35,2.05,7.94,0.00,0.001,1.01,1.00,1.00,0.022,0.00385,50.27,1.0383,16.10,2315.3,140221.4,31.075,0.1491,82.343,223.294,0.607,0.000,134711.0,82.346
60000,1546,1.474,0.041,6.56,32544,30777,647,0,1119,4,824880.9,8721.2,0.002,0.437,0.001,0.560,464,8.78,2.83,0.00,0.00,0.00,0.10,0.01,0.23,8.77,2.82,0.00,0.00,0.001,0.011,50,0.507,0.202,0.798,0.000,0.001,1760,1710,1,1.000,0.000,0.001,16903,0.132,0.049,0.000,82.48,6858,0,2180.300,0.000,0.001,151610,1.00,14.37,0.001,0.000,0.000,5,10,10,64,13576,0.052,0.00,0.0061,0.081,633,0.022,0.000,0.072,0.000,3.35,2.05,7.96,0.00,0.000,1.00,1.00,1.00,0.022,0.00381,50.34,1.0176,13.22,2390.5,140221.6,31.020,0.1456,82.336,225.937,0.608,0.000,134611.6,82.346
70000,1553,1.480,0.043,6.91,32328,30548,695,0,1078,1,824609.7,8507.0,0.001,0.422,0.001,0.575,482,8.48,2.20,0.00,0.13,0.00,0.13,0.01,0.31,8.46,2.18,0.00,0.00,0.000,0.006,48,0.384,0.198,0.799,0.000,0.003,1922,1809,1,1.000,0.000,0.002,21108,0.124,0.084,0.000,82.48,7554,0,8506.979,0.000,0.000,152541,1.00,14.89,0.000,0.000,0.000,5,8,10,43,13173,0.050,0.00,0.0063,0.077,626,0.023,0.000,0.070,0.000,3.38,2.04,7.93,0.00,0.000,1.00,1.00,1.00,0.023,0.00361,50.91,0.9938,14.89,2484.9,140221.8,30.451,0.1428,82.332,233.985,0.614,0.000,134476.9,82.346
80000,1568,1.446,0.042,7.24,32121,30343,752,0,1011,1,824821.5,8334.4,0.001,0.411,0.001,0.587,455,8.30,2.42,0.00,0.10,0.03,0.68,0.00,0.11,8.27,2.31,0.00,0.00,0.003,0.055,55,0.473,0.202,0.793,0.000,0.005,2114,1946,1,1.000,0.000,0.001,26147,0.126,0.061,0.000,82.48,8259,0,8334.372,0.000,0.000,144750,1.00,15.31,0.000,0.000,0.000,5,8,10,54,13016,0.050,0.00,0.0064,0.073,625,0.022,0.000,0.067,0.000,3.36,2.04,7.93,0.00,0.001,1.00,1.00,1.00,0.022,0.00344,51.23,0.9749,15.23,2559.7,140221.9,30.132,0.1413,82.342,239.884,0.618,0.000,134443.0,82.346
90000,1608,1.409,0.040,7.46,31899,30223,728,0,908,0,824655.4,7981.3,0.001,0.399,0.001,0.599,471,8.20,1.69,0.00,0.00,0.03,0.66,0.01,0.12,8.16,1.70,0.00,0.00,0.002,0.047,56,0.544,0.199,0.797,0.000,0.004,2261,1986,1,1.000,0.000,0.002,29533,0.125,0.063,0.000,82.47,8579,0,7981.287,0.000,0.000,143934,1.00,15.48,0.000,0.000,0.000,5,8,10,24,13185,0.050,0.00,0.0063,0.082,650,0.023,0.000,0.065,0.000,3.34,2.04,7.94,0.00,0.000,1.00,1.00,1.00,0.023,0.00322,51.59,0.9341,12.21,2644.2,140222.1,29.774,0.1362,82.340,248.474,0.629,0.000,134388.4,82.346
100000,1598,1.435,0.042,7.64,31708,30009,798,0,911,0,825086.4,7862.8,0.001,0.391,0.000,0.608,449,8.02,1.62,0.00,0.10,0.01,0.20,0.00,0.03,8.01,1.61,0.00,0.00,0.001,0.026,43,0.605,0.191,0.807,0.000,0.003,2382,2115,1,1.000,0.000,0.001,31787,0.120,0.059,0.000,82.48,8488,0,7862.792,0.000,0.001,141930,1.00,15.74,0.000,0.000,0.000,5,8,10,26,12819,0.049,0.00,0.0064,0.083,653,0.023,0.000,0.063,0.000,3.33,2.03,7.91,0.00,0.001,1.00,1.00,1.00,0.023,0.00313,51.93,0.9218,11.84,2698.0,140222.2,29.429,0.1355,82.336,253.738,0.625,0.000,134292.5,82.346
